date,close,volume
2018-06-08,50.11,1
2018-06-11,50.11,0
2018-06-12,50.11,30
2018-06-13,50.11,0
2018-06-14,50.11,10
2018-06-15,49.29,200
2018-06-18,49.29,171
2018-06-19,49.29,0
2018-06-20,49.21,11
2018-06-21,48.83,200
2018-06-22,48.83,0
2018-06-25,48.83,0
2018-06-26,48.53,200
2018-06-27,48.42,202
2018-06-28,48.42,0
2018-06-29,48.42,0
2018-07-02,48.42,0
2018-07-03,48.42,0
2018-07-05,48.42,2
2018-07-06,48.42,1
2018-07-09,48.42,3
2018-07-10,48.42,0
2018-07-11,48.42,50
2018-07-12,48.06,1
2018-07-13,47.83,1
2018-07-16,47.82,100
2018-07-17,47.5,410
2018-07-18,47.3,400
2018-07-19,46.9,600
2018-07-20,47.39,100
2018-07-23,47.39,0
2018-07-24,47.39,0
2018-07-25,47.39,25
2018-07-26,47.38,140
2018-07-27,47.38,0
2018-07-30,47.19,1
2018-07-31,47.19,1
2018-08-01,47.19,32
2018-08-02,46.94,9
2018-08-03,46.89,23
2018-08-06,46.89,1
2018-08-07,46.81,5
2018-08-08,46.75,8
2018-08-09,46.75,0
2018-08-10,46.79,400
2018-08-13,45.99,1345
2018-08-14,45.99,200
2018-08-15,45.7,51
2018-08-16,45.51,205
2018-08-17,45.51,965
2018-08-20,45.8,7
2018-08-21,45.8,0
2018-08-22,46.13,306
2018-08-23,45.83,368
2018-08-24,45.83,0
2018-08-27,46.5,50
2018-08-28,46.5,0
2018-08-29,46.49,169
2018-08-30,46.49,12
2018-08-31,46.49,0
2018-09-04,45.89,201
2018-09-05,45.89,0
2018-09-06,45.89,2
2018-09-07,45.89,0
2018-09-10,45.89,2
2018-09-11,45.89,0
2018-09-12,45.89,0
2018-09-13,45.89,0
2018-09-14,45.89,0
2018-09-17,45.89,30
2018-09-18,45.89,0
2018-09-19,45.89,0
2018-09-20,45.89,0
2018-09-21,45.89,0
2018-09-24,46.22,363
2018-09-25,46.22,10
2018-09-26,46.09,3
2018-09-27,45.61,400
2018-09-28,45.61,2
2018-10-01,45.84,368
2018-10-02,46.4,401
2018-10-03,46.4,3
2018-10-04,46.4,0
2018-10-05,46.31,3308
2018-10-08,45.72,400
2018-10-09,45.72,60
2018-10-10,45.72,0
2018-10-11,45.72,0
2018-10-12,45.72,1
2018-10-15,47.36,204
2018-10-16,47.36,2
2018-10-17,47.36,171
2018-10-18,47.19,2200
2018-10-19,47.19,1
