date,close,volume
2018-04-25,25.61,992
2018-04-26,25.71,8274
2018-04-27,25.66,4629
2018-04-30,25.66,705
2018-05-01,25.55,2434
2018-05-02,25.66,10280
2018-05-03,25.6,2589
2018-05-04,25.65,3345
2018-05-07,25.59,6960
2018-05-08,25.58,2399
2018-05-09,25.58,373
2018-05-10,25.66,1497
2018-05-11,25.64,2710
2018-05-14,25.58,2097
2018-05-15,25.51,5690
2018-05-16,25.55,3056
2018-05-17,25.52,3466
2018-05-18,25.59,4702
2018-05-21,25.57,3476
2018-05-22,25.56,4470
2018-05-23,25.6,12980
2018-05-24,25.72,3661
2018-05-25,25.69,199
2018-05-29,25.91,1525
2018-05-30,25.73,1150
2018-05-31,25.8,35976
2018-06-01,25.66,5345
2018-06-04,25.63,832
2018-06-05,25.61,2461
2018-06-06,25.56,13103
2018-06-07,25.59,2043
2018-06-08,25.59,6326
2018-06-11,25.62,2414
2018-06-12,25.56,351
2018-06-13,25.56,1481
2018-06-14,25.63,1198
2018-06-15,25.63,3816
2018-06-18,25.66,5623
2018-06-19,25.65,1798
2018-06-20,25.67,2903
2018-06-21,25.56,3263
2018-06-22,25.57,2922
2018-06-25,25.57,196
2018-06-26,25.57,283
2018-06-27,25.66,3182
2018-06-28,25.61,3153
2018-06-29,25.65,4479
2018-07-02,25.62,1480
2018-07-03,25.67,3758
2018-07-05,25.64,1472
2018-07-06,25.64,5459
2018-07-09,25.68,21407
2018-07-10,25.64,8238
2018-07-11,25.62,1834
2018-07-12,25.61,4707
2018-07-13,25.69,522775
2018-07-16,25.66,1485
2018-07-17,25.63,2370
2018-07-18,25.7,16449
2018-07-19,25.71,2517
2018-07-20,25.66,1688
2018-07-23,25.63,2367
2018-07-24,25.63,66
2018-07-25,25.65,704
2018-07-26,25.69,2596
2018-07-27,25.62,616
2018-07-30,25.63,2255
2018-07-31,25.64,2704
2018-08-01,25.58,73
2018-08-02,25.63,2822
2018-08-03,25.67,1158
2018-08-06,25.65,586
2018-08-07,25.63,877
2018-08-08,25.65,883
2018-08-09,25.71,2781
2018-08-10,25.71,63484
2018-08-13,25.76,1851
2018-08-14,25.78,4729
2018-08-15,25.79,4854
2018-08-16,25.71,2603
2018-08-17,25.77,805
2018-08-20,25.87,753
2018-08-21,25.77,5136
2018-08-22,25.78,5446
2018-08-23,25.8,107
2018-08-24,25.82,3751
2018-08-27,25.76,10025
2018-08-28,25.8,13210
2018-08-29,25.79,1698
2018-08-30,25.82,578
2018-08-31,25.8,828
2018-09-04,25.75,1624
2018-09-05,25.75,538
2018-09-06,25.72,6692
2018-09-07,25.66,14992
2018-09-10,25.7,2968
2018-09-11,25.66,2626
2018-09-12,25.68,1451
2018-09-13,25.68,4
2018-09-14,25.65,4727
2018-09-17,25.72,10789
2018-09-18,25.6,2082
2018-09-19,25.58,4830
2018-09-20,25.6,6913
2018-09-21,25.61,3922
2018-09-24,25.65,5792
2018-09-25,25.59,844
2018-09-26,25.67,3562
2018-09-27,25.68,418
2018-09-28,25.65,5814
2018-10-01,25.56,12874
2018-10-02,25.63,563
2018-10-03,25.57,1130
2018-10-04,25.57,208
2018-10-05,25.55,8718
2018-10-08,25.47,4299
2018-10-09,25.54,2271
2018-10-10,25.5,3033
2018-10-11,25.55,3440
2018-10-12,25.6,5833
2018-10-15,25.5,1673
2018-10-16,25.58,35465
2018-10-17,25.57,5144
2018-10-18,25.53,3219
2018-10-19,25.52,722
2018-10-22,25.53,1378
2018-10-23,25.52,2888
2018-10-24,25.57,2883
2018-10-25,25.54,1439
2018-10-26,25.64,1024
2018-10-29,25.63,13566
2018-10-30,25.61,3140
2018-10-31,25.54,4553
2018-11-01,25.47,9708
2018-11-02,25.42,5926
2018-11-05,25.43,5511
2018-11-06,25.46,617
2018-11-07,25.42,2450
2018-11-08,25.47,5887
2018-11-09,25.52,1664
2018-11-12,25.36,55935
2018-11-13,25.43,2464
2018-11-14,25.41,140
2018-11-15,25.51,1263
2018-11-16,25.42,2124
2018-11-19,25.55,2153
2018-11-20,25.47,4761
2018-11-21,25.48,1765
2018-11-23,25.51,5935
2018-11-26,25.5,2271
2018-11-27,25.47,2854
2018-11-28,25.46,4310
2018-11-29,25.51,1914
2018-11-30,25.48,2598
2018-12-03,25.46,6202
2018-12-04,25.47,5657
2018-12-06,25.38,4138
2018-12-07,25.45,1434
2018-12-10,25.46,4968
2018-12-11,25.43,9392
2018-12-12,25.45,2722
2018-12-13,25.46,6160
2018-12-14,25.5,9924
2018-12-17,25.52,4495
2018-12-18,25.48,742
2018-12-19,25.5,7179
2018-12-20,25.49,6282
2018-12-21,25.46,4995
2018-12-24,25.52,114
2018-12-26,25.46,2284
2018-12-27,25.51,4225
2018-12-28,25.57,13617
2018-12-31,25.59,316
2019-01-02,25.59,5028
2019-01-03,25.68,4185
2019-01-04,25.55,5170
2019-01-07,25.57,9456
2019-01-08,25.55,4909
2019-01-09,25.58,6845
2019-01-10,25.64,14408
2019-01-11,25.68,8674
2019-01-14,25.66,6743
2019-01-15,25.63,9495
2019-01-16,25.65,13804
2019-01-17,25.7,6497
2019-01-18,25.7,661
2019-01-22,25.73,1483
2019-01-23,25.75,3899
2019-01-24,25.83,3023
2019-01-25,25.81,1608
2019-01-28,25.81,5650
2019-01-29,25.85,1145
