date,close,volume
2020-06-25,25.18,1118
2020-06-26,25.17,11640
2020-06-29,25.24,3325
2020-06-30,25.31,49320
2020-07-01,25.38,714
2020-07-02,25.47,4107
2020-07-06,25.53,16488
2020-07-07,25.6,53
2020-07-08,25.58,1383
2020-07-09,25.62,1267
2020-07-10,25.55,3540
2020-07-13,25.57,603
2020-07-14,25.66,2000
2020-07-15,25.7,2762
2020-07-16,25.78,1140
2020-07-17,25.83,4771
2020-07-20,25.88,695769
2020-07-21,25.98,59790
2020-07-22,26.02,2463
2020-07-23,26.02,3170
2020-07-24,26.0,9005
2020-07-27,25.9,4252
2020-07-28,25.93,6304
2020-07-29,26.02,1505
2020-07-30,26.04,1517
2020-07-31,26.08,1050
2020-08-03,26.09,1657
2020-08-04,26.14,591
2020-08-05,26.13,1589
2020-08-06,26.2,307
2020-08-07,26.17,2715
2020-08-10,26.12,1558
2020-08-11,26.04,5270
2020-08-12,25.96,3078
2020-08-13,25.78,9103
2020-08-14,25.73,1073
