date,close,volume
2018-04-25,25.25,27350
2018-04-26,25.26,11103
2018-04-27,25.21,22865
2018-04-30,25.21,28649
2018-05-01,25.21,17979
2018-05-02,25.22,18609
2018-05-03,25.26,19928
2018-05-04,25.24,17753
2018-05-07,25.25,26706
2018-05-08,25.26,48011
2018-05-09,25.27,22395
2018-05-10,25.29,11054
2018-05-11,25.29,25533
2018-05-14,25.3,14846
2018-05-15,25.27,13861
2018-05-16,25.29,45471
2018-05-17,25.29,66340
2018-05-18,25.29,30293
2018-05-21,25.27,29437
2018-05-22,25.3,72002
2018-05-23,25.32,18712
2018-05-24,25.32,48917
2018-05-25,25.32,15365
2018-05-29,25.37,69822
2018-05-30,25.33,27856
2018-05-31,25.34,59464
2018-06-01,25.32,38357
2018-06-04,25.33,50242
2018-06-05,25.33,19857
2018-06-06,25.38,24920
2018-06-07,25.4,12987
2018-06-08,25.41,20502
2018-06-11,25.39,24547
2018-06-12,25.39,46917
2018-06-13,25.4,46846
2018-06-14,25.38,24110
2018-06-15,25.42,19285
2018-06-18,25.38,23292
2018-06-19,25.4,14515
2018-06-20,25.36,77899
2018-06-21,25.41,20171
2018-06-22,25.4,34200
2018-06-25,25.41,24240
2018-06-26,25.39,34049
2018-06-27,25.42,40316
2018-06-28,25.43,33624
2018-06-29,25.43,15515
2018-07-02,25.34,24986
2018-07-03,25.42,14774
2018-07-05,25.42,10946
2018-07-06,25.42,8528
2018-07-09,25.42,26213
2018-07-10,25.44,64092
2018-07-11,25.45,41993
2018-07-12,25.45,19223
2018-07-13,25.43,103081
2018-07-16,25.46,8640
2018-07-17,25.48,19239
2018-07-18,25.5,26648
2018-07-19,25.48,19365
2018-07-20,25.49,19236
2018-07-23,25.49,41955
2018-07-24,25.49,48131
2018-07-25,25.49,19530
2018-07-26,25.49,17235
2018-07-27,25.45,14853
2018-07-30,25.48,9433
2018-07-31,25.49,13903
2018-08-01,25.42,12015
2018-08-02,25.45,15338
2018-08-03,25.44,43391
2018-08-06,25.45,10459
2018-08-07,25.45,22400
2018-08-08,25.39,24788
2018-08-09,25.44,11516
2018-08-10,25.45,13786
2018-08-13,25.44,18925
2018-08-14,25.41,23979
2018-08-15,25.48,20609
2018-08-16,25.48,35094
2018-08-17,25.42,32128
2018-08-20,25.47,13850
2018-08-21,25.47,20371
2018-08-22,25.48,30136
2018-08-23,25.49,24238
2018-08-24,25.48,22652
2018-08-27,25.45,14340
2018-08-28,25.47,48685
2018-08-29,25.46,32969
2018-08-30,25.45,29463
2018-08-31,25.42,27961
2018-09-04,25.38,14431
2018-09-05,25.39,19244
2018-09-06,25.41,7178
2018-09-07,25.36,83016
2018-09-10,25.32,37583
2018-09-11,25.38,170825
2018-09-12,25.37,36258
2018-09-13,25.37,20280
2018-09-14,25.36,67613
2018-09-17,25.29,23667
2018-09-18,25.34,48652
2018-09-19,25.31,198813
2018-09-20,25.3,44737
2018-09-21,25.28,52884
2018-09-24,25.25,19672
2018-09-25,25.28,20755
2018-09-26,25.29,24052
2018-09-27,25.32,31480
2018-09-28,25.3,68050
2018-10-01,25.23,62892
2018-10-02,25.24,17375
2018-10-03,25.24,102160
2018-10-04,25.22,105814
2018-10-05,25.24,13787
2018-10-08,25.23,19190
2018-10-09,25.23,52313
2018-10-10,25.22,20446
2018-10-11,25.21,15763
2018-10-12,25.24,14347
2018-10-15,25.21,16872
2018-10-16,25.22,35388
2018-10-17,25.24,17909
2018-10-18,25.24,67580
2018-10-19,25.22,43165
2018-10-22,25.25,22114
2018-10-23,25.22,37869
2018-10-24,25.25,50979
2018-10-25,25.27,23024
2018-10-26,25.28,21548
2018-10-29,25.24,31192
2018-10-30,25.25,76435
2018-10-31,25.21,33170
2018-11-01,25.22,87155
2018-11-02,25.22,48860
2018-11-05,25.19,27364
2018-11-06,25.19,73545
2018-11-07,25.23,91052
2018-11-08,25.22,42753
2018-11-09,25.23,24841
2018-11-12,25.25,20027
2018-11-13,25.22,108513
2018-11-14,25.22,81338
2018-11-15,25.22,11048
2018-11-16,25.27,25051
2018-11-19,25.27,161707
2018-11-20,25.25,37206
2018-11-21,25.26,14080
2018-11-23,25.26,8967
2018-11-26,25.26,16996
2018-11-27,25.29,90113
2018-11-28,25.28,40261
2018-11-29,25.29,25007
2018-11-30,25.35,55620
2018-12-03,25.31,72797
2018-12-04,25.35,57567
2018-12-06,25.37,54806
2018-12-07,25.4,42176
2018-12-10,25.39,101514
2018-12-11,25.39,36350
2018-12-12,25.39,35792
2018-12-13,25.41,43200
2018-12-14,25.4,47587
2018-12-17,25.39,83960
2018-12-18,25.38,50553
2018-12-19,25.41,56532
2018-12-20,25.42,135611
2018-12-21,25.43,29594
2018-12-24,25.43,16292
2018-12-26,25.41,29800
2018-12-27,25.45,82399
2018-12-28,25.46,54409
2018-12-31,25.45,50338
2019-01-02,25.46,56397
2019-01-03,25.48,218545
2019-01-04,25.43,43977
2019-01-07,25.48,35760
2019-01-08,25.46,28801
2019-01-09,25.48,26062
2019-01-10,25.48,20450
2019-01-11,25.48,24339
2019-01-14,25.49,78122
2019-01-15,25.5,52671
2019-01-16,25.5,19161
2019-01-17,25.5,20113
2019-01-18,25.51,23182
2019-01-22,25.52,40062
2019-01-23,25.52,77977
