date,close,volume
2018-04-25,8.31,4045986
2018-04-26,8.33,4747280
2018-04-27,8.58,11208945
2018-04-30,8.51,3074666
2018-05-01,8.44,4800480
2018-05-02,8.36,6825513
2018-05-03,8.36,5840989
2018-05-04,8.47,7190885
2018-05-07,8.83,6959911
2018-05-08,9.0,9518621
2018-05-09,9.04,5136881
2018-05-10,9.08,4010299
2018-05-11,9.14,4318950
2018-05-14,9.17,4409963
2018-05-15,8.89,6739215
2018-05-16,8.76,5121552
2018-05-17,8.67,3649314
2018-05-18,8.45,6417999
2018-05-21,8.49,5198441
2018-05-22,8.49,4420711
2018-05-23,8.6,7884608
2018-05-24,8.62,3566888
2018-05-25,8.61,4581782
2018-05-29,8.4,6942370
2018-05-30,8.53,6226486
2018-05-31,8.39,9867162
2018-06-01,8.54,5541891
2018-06-04,8.4,7149269
2018-06-05,8.52,10816907
2018-06-06,8.7,9093100
2018-06-07,8.68,8445206
2018-06-08,8.55,4046566
2018-06-11,8.55,3572078
2018-06-12,8.56,2311917
2018-06-13,8.52,2236154
2018-06-14,8.39,2888252
2018-06-15,8.28,7054479
2018-06-18,8.68,9563580
2018-06-19,8.61,9881993
2018-06-20,8.71,6126986
2018-06-21,8.77,8978742
2018-06-22,8.83,5426928
2018-06-25,8.45,7413510
2018-06-26,8.44,3586340
2018-06-27,8.08,8774166
2018-06-28,7.88,15332760
2018-06-29,8.03,5416649
2018-07-02,8.06,5141695
2018-07-03,8.01,3577908
2018-07-05,7.97,5067057
2018-07-06,8.01,6740896
2018-07-09,8.05,5818509
2018-07-10,8.04,7416821
2018-07-11,7.93,7795283
2018-07-12,8.08,3437182
2018-07-13,7.9,7021079
2018-07-16,7.72,11797660
2018-07-17,7.87,3312686
2018-07-18,7.81,5394833
2018-07-19,7.73,6742814
2018-07-20,7.89,4781680
2018-07-23,8.01,6875678
2018-07-24,8.09,4376289
2018-07-25,8.06,5630467
2018-07-26,8.35,9008999
2018-07-27,8.72,11286931
2018-07-30,8.81,14147819
2018-07-31,8.83,8995467
2018-08-01,8.77,6716426
2018-08-02,8.77,7577886
2018-08-03,8.94,4351032
2018-08-06,9.09,5349059
2018-08-07,9.1,4395175
2018-08-08,9.29,5246035
2018-08-09,9.77,18378508
2018-08-10,9.51,6266116
2018-08-13,9.35,6300766
2018-08-14,9.46,4950443
2018-08-15,9.41,7611147
2018-08-16,9.54,4713524
2018-08-17,9.75,6919303
2018-08-20,9.72,4252781
2018-08-21,9.62,7018580
2018-08-22,9.63,7082487
2018-08-23,9.52,6083191
2018-08-24,9.45,4333228
2018-08-27,9.74,8344462
2018-08-28,9.58,4141874
2018-08-29,9.66,4075472
2018-08-30,9.63,3609213
2018-08-31,9.63,4946503
2018-09-04,9.14,10919458
2018-09-05,9.2,5218012
2018-09-06,9.13,3792366
2018-09-07,9.24,3796449
2018-09-10,9.12,4074120
2018-09-11,9.0,6606353
2018-09-12,9.02,6468802
2018-09-13,9.16,5789412
2018-09-14,9.26,5872889
2018-09-17,9.0,4372553
2018-09-18,8.78,10250050
2018-09-19,9.01,5998934
2018-09-20,9.11,6704005
2018-09-21,8.76,18199334
2018-09-24,8.53,9990396
2018-09-25,8.7,10755203
2018-09-26,8.76,9431763
2018-09-27,8.6,10068021
2018-09-28,8.49,9049440
2018-10-01,8.58,5532685
2018-10-02,8.47,7268606
2018-10-03,8.26,9805949
2018-10-04,8.35,14090141
2018-10-05,8.19,6560560
2018-10-08,8.32,8928544
2018-10-09,8.2,5418566
2018-10-10,8.39,13557844
2018-10-11,8.29,15423978
2018-10-12,8.43,16456289
2018-10-15,8.51,6127164
2018-10-16,8.76,5137027
2018-10-17,8.56,5379029
2018-10-18,8.34,9680863
2018-10-19,8.52,6785000
2018-10-22,8.72,6737320
2018-10-23,8.82,8441061
2018-10-24,8.55,5957879
2018-10-25,8.76,7162964
2018-10-26,9.18,13210812
2018-10-29,9.31,18091308
2018-10-30,9.3,13336778
2018-10-31,9.49,10342423
2018-11-01,9.74,8807540
2018-11-02,9.59,8907995
2018-11-05,9.52,5768467
2018-11-06,9.61,4754380
2018-11-07,9.74,7528965
2018-11-08,9.64,4620489
2018-11-09,9.65,7129230
2018-11-12,9.39,6857235
2018-11-13,9.8,14955332
2018-11-14,10.09,12457563
2018-11-15,10.22,7980293
2018-11-16,10.16,5530166
2018-11-19,10.06,7309299
2018-11-20,9.83,6193853
2018-11-21,10.01,5265297
2018-11-23,9.83,4259222
2018-11-26,9.89,5745018
2018-11-27,9.94,4656049
2018-11-28,10.21,9838461
2018-11-29,10.34,6054451
2018-11-30,10.17,4554321
2018-12-03,10.13,5615336
2018-12-04,10.0,6589349
2018-12-06,9.94,10393299
2018-12-07,9.82,5677263
2018-12-10,9.26,9314760
2018-12-11,9.28,11473565
2018-12-12,9.65,8948585
2018-12-13,9.78,8919980
2018-12-14,9.81,5469774
2018-12-17,9.85,7974530
2018-12-18,10.25,9641480
2018-12-19,10.22,8762799
2018-12-20,10.21,8724849
2018-12-21,9.93,6345097
2018-12-24,9.98,3568447
2018-12-26,10.25,6984353
2018-12-27,10.17,5204865
2018-12-28,10.34,4100406
2018-12-31,10.29,2302870
2019-01-02,10.46,3436893
2019-01-03,10.15,8826539
2019-01-04,10.5,8986371
2019-01-07,10.45,4074786
2019-01-08,10.76,7671614
2019-01-09,10.78,10315034
2019-01-10,10.77,4562515
2019-01-11,10.67,3802131
2019-01-14,10.43,4695264
2019-01-15,10.46,4084715
2019-01-16,10.57,8138688
2019-01-17,10.54,3960994
2019-01-18,10.46,4394481
2019-01-22,10.33,3704789
2019-01-23,10.31,3322060
2019-01-24,10.29,8943901
2019-01-25,9.95,10227067
2019-01-28,9.55,10645994
2019-01-29,9.7,14826801
2019-01-30,10.59,17489454
2019-01-31,10.21,8264897
2019-02-01,9.88,7746554
2019-02-04,9.9,7563564
2019-02-05,9.83,4602447
2019-02-06,10.0,5703895
2019-02-07,9.94,4783242
2019-02-08,9.79,5933089
2019-02-11,9.68,5822253
2019-02-12,9.67,10196895
2019-02-13,9.5,7819333
2019-02-14,9.64,10537669
2019-02-15,9.53,6223013
2019-02-19,9.61,6245835
2019-02-20,9.67,6615227
2019-02-21,9.82,7380091
2019-02-22,9.91,5653211
2019-02-25,9.97,8119913
2019-02-26,9.8,9010394
2019-02-27,9.68,3890985
2019-02-28,9.86,3908913
2019-03-01,9.93,4316384
2019-03-04,9.91,5111683
2019-03-05,10.35,9231592
2019-03-06,10.5,8133986
2019-03-07,10.42,8532327
2019-03-08,10.49,9465190
2019-03-11,10.81,8460432
2019-03-12,11.1,7031137
2019-03-13,11.15,6179754
2019-03-14,11.1,5437237
2019-03-15,11.31,7592479
2019-03-18,11.46,6262799
2019-03-19,11.46,5396258
2019-03-20,11.41,5805570
2019-03-21,11.37,3369234
2019-03-22,11.08,9065473
2019-03-25,10.98,9651271
2019-03-26,11.24,7402880
2019-03-27,11.25,7590043
2019-03-28,11.41,5340881
2019-03-29,11.46,5430952
2019-04-01,11.46,6542483
2019-04-02,11.54,10553179
2019-04-03,11.38,11277439
2019-04-04,11.15,12988016
2019-04-05,11.25,33173282
2019-04-08,11.07,10255231
2019-04-09,11.24,24241273
2019-04-10,11.25,6599473
2019-04-11,11.19,3291052
2019-04-12,11.25,3891932
2019-04-15,11.27,5073466
2019-04-16,11.65,6329569
2019-04-17,11.63,4614972
2019-04-18,11.53,4932275
2019-04-22,11.26,2552235
2019-04-23,11.35,5352137
2019-04-24,11.3,4374318
2019-04-25,11.27,3467277
2019-04-26,11.58,4628155
2019-04-29,11.53,8414903
2019-04-30,11.45,6464278
2019-05-01,11.4,5513740
2019-05-02,11.29,5136195
2019-05-03,11.44,6717780
2019-05-06,11.32,9144488
2019-05-07,10.91,7829968
2019-05-08,10.78,10981461
2019-05-09,10.89,10184050
2019-05-10,10.9,8447876
2019-05-13,10.62,8966950
2019-05-14,10.73,12151447
2019-05-15,10.68,4953938
2019-05-16,10.84,6811519
2019-05-17,10.97,5264890
2019-05-20,11.64,13931276
2019-05-21,11.54,6947591
2019-05-22,11.48,6279286
2019-05-23,11.64,12081190
2019-05-24,12.42,9221188
2019-05-28,12.15,12715982
2019-05-29,11.81,13125897
2019-05-30,12.05,8679199
2019-05-31,12.0,6078177
2019-06-03,11.95,8484661
2019-06-04,11.91,8522767
2019-06-05,11.83,9235307
2019-06-06,11.88,6164691
2019-06-07,11.95,4350621
2019-06-10,11.91,4728929
2019-06-11,12.04,4244870
2019-06-12,11.92,3428332
2019-06-13,11.94,4103677
2019-06-14,11.91,3418148
2019-06-17,11.78,3733399
2019-06-18,11.96,8144325
2019-06-19,11.93,5496946
2019-06-20,12.37,9096615
2019-06-21,12.24,4143217
2019-06-24,12.29,4178971
2019-06-25,12.41,7107090
2019-06-26,12.51,3652042
2019-06-27,12.6,4944627
2019-06-28,12.59,4842406
2019-07-01,12.63,3291482
2019-07-02,12.57,3889064
2019-07-03,12.59,3104046
2019-07-05,12.56,3499681
2019-07-08,12.38,3824144
2019-07-09,12.42,4783004
2019-07-10,12.48,5945863
2019-07-11,12.39,3562824
2019-07-12,12.32,4054169
2019-07-15,12.24,4534543
2019-07-16,12.29,3174095
2019-07-17,12.26,2702522
2019-07-18,12.1,4780736
2019-07-19,11.82,3600681
2019-07-22,11.82,3651618
2019-07-23,11.76,6049160
2019-07-24,11.72,5323397
2019-07-25,11.79,6549286
2019-07-26,11.86,6128276
2019-07-29,12.58,15214170
2019-07-30,12.18,5948297
2019-07-31,12.21,6979060
2019-08-01,11.92,9711764
2019-08-02,11.69,8749752
2019-08-05,11.21,8338737
2019-08-06,11.6,7945465
2019-08-07,11.49,9731720
2019-08-08,11.82,9724562
2019-08-09,11.73,3079536
2019-08-12,11.63,2721104
2019-08-13,11.56,4033451
2019-08-14,11.4,5212991
2019-08-15,11.5,4506940
2019-08-16,11.69,4936889
2019-08-19,11.62,3962879
2019-08-20,11.54,4572407
2019-08-21,11.46,2757327
2019-08-22,10.68,13680783
2019-08-23,11.17,19297307
2019-08-26,11.29,13139055
2019-08-27,11.52,6735465
2019-08-28,11.29,4607241
2019-08-29,11.22,4506576
2019-08-30,11.23,5584428
2019-09-03,10.75,6906625
2019-09-04,10.84,6075222
2019-09-05,10.66,8605908
2019-09-06,10.86,7799804
2019-09-09,10.95,4558409
2019-09-10,10.83,8018505
2019-09-11,11.11,10915931
2019-09-12,11.32,6527694
2019-09-13,11.47,5953495
2019-09-16,11.14,9904565
2019-09-17,11.18,5848899
2019-09-18,10.97,7301725
2019-09-19,10.77,8996738
2019-09-20,11.83,36331344
2019-09-23,12.55,13638743
2019-09-24,12.38,8370495
2019-09-25,12.34,8639172
2019-09-26,12.62,9437093
2019-09-27,12.47,6164847
2019-09-30,12.18,4788686
2019-10-01,11.91,5131957
2019-10-02,11.82,3373767
2019-10-03,11.91,3981502
2019-10-04,11.65,7196811
2019-10-07,11.75,4413451
2019-10-08,11.67,6383796
2019-10-09,11.99,8511524
2019-10-10,11.9,6821018
2019-10-11,11.86,5562066
2019-10-14,11.86,3991474
2019-10-15,12.05,3819945
2019-10-16,12.14,6921051
2019-10-17,12.13,6808209
2019-10-18,12.17,4408909
2019-10-21,12.21,3301158
2019-10-22,12.56,7508039
2019-10-23,12.72,6227820
2019-10-24,12.77,6354848
2019-10-25,13.03,11007017
2019-10-28,13.13,4973681
2019-10-29,13.31,7597953
2019-10-30,13.17,5435303
2019-10-31,13.03,5028113
2019-11-01,13.09,4027469
2019-11-04,13.23,6189782
2019-11-05,13.11,3873938
2019-11-06,13.4,7985803
2019-11-07,13.28,5144371
2019-11-08,13.58,6156008
2019-11-11,13.67,4256783
2019-11-12,13.61,4172853
2019-11-13,13.45,4981063
2019-11-14,13.59,6859833
2019-11-15,13.74,4754620
2019-11-18,13.63,7399726
2019-11-19,13.62,13006477
2019-11-20,13.69,10140168
2019-11-21,13.83,5931180
2019-11-22,13.68,3687172
2019-11-25,13.8,8252826
2019-11-26,13.97,10726505
2019-11-27,14.17,7023231
2019-11-29,14.09,3444735
2019-12-02,14.07,5663383
2019-12-03,13.99,5856828
2019-12-04,14.77,7104664
2019-12-05,14.77,9788681
2019-12-06,14.7,6502702
2019-12-09,14.76,5509922
2019-12-10,14.92,3318006
2019-12-11,14.98,5547835
2019-12-12,15.09,9619754
2019-12-13,15.18,5205244
2019-12-16,15.19,7573855
2019-12-17,15.22,5683006
2019-12-18,15.08,10075473
2019-12-19,15.08,5110679
2019-12-20,15.25,6983610
2019-12-23,15.07,3126620
2019-12-24,15.12,1907523
2019-12-26,15.1,2616830
2019-12-27,15.28,2843720
2019-12-30,15.13,2515157
2019-12-31,15.09,2237409
2020-01-02,15.23,5234539
2020-01-03,14.92,6245332
2020-01-06,14.72,9799562
2020-01-07,14.58,4675734
2020-01-08,14.71,7532593
2020-01-09,15.14,6759324
2020-01-10,15.04,5331269
2020-01-13,15.08,4291721
2020-01-14,15.04,5874122
2020-01-15,14.98,3983538
2020-01-16,14.97,5227968
2020-01-17,14.86,5010648
2020-01-21,14.71,8046212
2020-01-22,14.55,7171255
2020-01-23,14.64,7430834
2020-01-24,14.66,8099581
2020-01-27,14.79,9725497
2020-01-28,14.86,5733492
2020-01-29,14.73,3868213
2020-01-30,14.73,9431354
2020-01-31,14.58,6131559
2020-02-03,14.43,7539120
2020-02-04,14.83,7259800
2020-02-05,15.05,9319295
2020-02-06,15.04,8399841
2020-02-07,14.94,8251712
2020-02-10,15.02,6076433
2020-02-11,15.22,6851764
2020-02-12,15.35,6830580
2020-02-13,15.09,5310619
2020-02-14,15.09,3187964
2020-02-18,15.07,3532869
2020-02-19,15.16,4374546
2020-02-20,15.16,4688976
2020-02-21,15.05,3330861
2020-02-24,14.4,9600418
2020-02-25,14.42,8177592
2020-02-26,14.44,9065435
2020-02-27,14.08,7550846
2020-02-28,13.87,12708604
2020-03-02,14.11,6609108
2020-03-03,13.92,9920591
2020-03-04,13.58,14919160
2020-03-05,13.05,14304059
2020-03-06,12.91,9525697
2020-03-09,11.97,9709160
2020-03-10,12.48,9174359
2020-03-11,11.99,13315492
2020-03-12,10.45,22784749
2020-03-13,11.38,14526040
2020-03-16,10.28,9052137
2020-03-17,9.97,13581238
2020-03-18,9.14,9505566
2020-03-19,8.01,16434072
2020-03-20,8.02,18693150
2020-03-23,6.9,23255124
2020-03-24,7.14,24071431
2020-03-25,7.98,20470086
2020-03-26,8.88,14790339
2020-03-27,8.62,12414045
2020-03-30,8.41,9858633
2020-03-31,8.5,8525717
2020-04-01,7.72,9404502
2020-04-02,7.87,13482428
2020-04-03,7.23,9946564
2020-04-06,8.03,19217812
2020-04-07,8.3,11693396
2020-04-08,8.64,12066738
2020-04-09,9.04,11342734
2020-04-13,8.9,17301664
2020-04-14,9.04,10215197
2020-04-15,8.56,6811580
2020-04-16,8.77,10295756
2020-04-17,9.53,13040399
2020-04-20,9.21,7430113
2020-04-21,8.47,10846016
2020-04-22,9.0,13019879
2020-04-23,9.04,6927992
2020-04-24,8.72,6203425
2020-04-27,9.23,5490417
2020-04-28,9.26,7590739
2020-04-29,10.14,13180458
2020-04-30,9.76,8074948
2020-05-01,9.36,6043224
2020-05-04,8.96,8276238
2020-05-05,8.84,8254517
2020-05-06,8.78,6956194
2020-05-07,8.85,4594634
2020-05-08,9.02,3246518
2020-05-11,8.35,8396163
2020-05-12,9.01,14614005
2020-05-13,8.76,10795110
2020-05-14,8.71,8499708
2020-05-15,8.46,6064889
2020-05-18,8.19,10851286
2020-05-19,7.88,7229433
2020-05-20,8.17,6557261
2020-05-21,7.98,5946156
2020-05-22,7.76,6015403
2020-05-26,7.9,14744117
2020-05-27,8.51,13162380
2020-05-28,8.48,8235595
2020-05-29,8.7,7493369
