date,close,volume
2018-04-25,33.92,410628
2018-04-26,34.07,397528
2018-04-27,34.23,301662
2018-04-30,34.01,365374
2018-05-01,34.0,1248522
2018-05-02,33.91,483251
2018-05-03,34.03,295216
2018-05-04,34.04,305484
2018-05-07,34.04,424115
2018-05-08,33.92,758281
2018-05-09,34.04,1581928
2018-05-10,34.19,394795
2018-05-11,34.23,469885
2018-05-14,34.22,352053
2018-05-15,34.0,387977
2018-05-16,33.96,311033
2018-05-17,34.04,523773
2018-05-18,33.87,337265
2018-05-21,34.13,245114
2018-05-22,34.08,698857
2018-05-23,33.83,484680
2018-05-24,33.72,820646
2018-05-25,33.36,253497
2018-05-29,32.58,706720
2018-05-30,33.24,596970
2018-05-31,33.08,501582
2018-06-01,33.15,1302145
2018-06-04,33.37,1046873
2018-06-05,33.22,1297034
2018-06-06,33.48,718991
2018-06-07,33.35,482585
2018-06-08,33.39,483451
2018-06-11,33.59,409682
2018-06-12,33.4,758941
2018-06-13,33.38,533375
2018-06-14,33.3,411886
2018-06-15,33.09,562919
2018-06-18,33.0,715780
2018-06-19,32.23,533304
2018-06-20,32.26,400449
2018-06-21,32.03,1215209
2018-06-22,32.42,749700
2018-06-25,32.05,1266656
2018-06-26,32.13,671240
2018-06-27,31.79,702745
2018-06-28,31.95,513257
2018-06-29,32.05,646280
2018-07-02,31.82,600980
2018-07-03,32.05,389119
2018-07-05,32.53,435307
2018-07-06,32.8,515648
2018-07-09,33.01,444459
2018-07-10,32.93,462841
2018-07-11,32.38,642084
2018-07-12,32.72,275904
2018-07-13,32.7,326595
2018-07-16,32.62,409591
2018-07-17,32.6,441782
2018-07-18,32.58,462044
2018-07-19,32.41,997160
2018-07-20,32.69,341420
2018-07-23,32.6,424827
2018-07-24,32.69,372434
2018-07-25,32.97,507233
2018-07-26,32.69,347606
2018-07-27,32.97,422898
2018-07-30,33.13,275944
2018-07-31,33.33,433864
2018-08-01,33.05,428948
2018-08-02,32.87,392668
2018-08-03,32.9,347448
2018-08-06,32.84,661360
2018-08-07,33.07,333647
2018-08-08,33.13,471173
2018-08-09,33.02,210133
2018-08-10,32.47,392907
2018-08-13,32.34,389453
2018-08-14,32.33,358530
2018-08-15,32.04,1344848
2018-08-16,32.29,1118572
2018-08-17,32.53,399198
2018-08-20,32.64,408138
2018-08-21,32.91,309633
2018-08-22,33.02,337763
2018-08-23,32.62,348245
2018-08-24,32.81,475901
2018-08-27,33.12,331065
2018-08-28,33.0,367811
2018-08-29,33.16,394224
2018-08-30,32.93,323243
2018-08-31,32.62,573673
2018-09-04,32.34,404917
2018-09-05,32.29,390279
2018-09-06,32.18,390835
2018-09-07,31.92,335881
2018-09-10,32.26,370475
2018-09-11,32.3,386134
2018-09-12,32.42,263575
2018-09-13,32.51,313121
2018-09-14,32.38,474285
2018-09-17,32.7,341135
2018-09-18,32.94,460447
2018-09-19,32.94,307603
2018-09-20,33.31,479596
2018-09-21,33.16,474289
2018-09-24,33.15,325220
2018-09-25,33.33,395827
2018-09-26,32.95,459767
2018-09-27,32.93,380351
2018-09-28,32.63,402295
2018-10-01,32.63,612490
2018-10-02,32.49,528558
2018-10-03,32.5,802692
2018-10-04,32.22,677165
2018-10-05,32.09,417286
2018-10-08,31.9,351669
2018-10-09,31.79,469872
2018-10-10,31.43,1031250
2018-10-11,30.97,1113598
2018-10-12,31.06,829173
2018-10-15,31.16,691582
2018-10-16,31.69,508708
2018-10-17,31.49,557615
2018-10-18,31.06,647920
2018-10-19,31.35,516837
2018-10-22,31.1,445402
2018-10-23,30.89,929213
2018-10-24,30.2,646853
2018-10-25,30.35,652408
2018-10-26,30.25,791243
2018-10-29,30.25,939746
2018-10-30,30.67,686652
2018-10-31,30.73,759706
2018-11-01,31.18,1082899
2018-11-02,31.09,507859
2018-11-05,31.35,384221
2018-11-06,31.43,799370
2018-11-07,31.85,741067
2018-11-08,31.65,446616
2018-11-09,31.63,638347
2018-11-12,31.2,544626
2018-11-13,31.22,1076557
2018-11-14,31.33,529850
2018-11-15,31.21,855688
2018-11-16,31.19,1827886
2018-11-19,30.93,613219
2018-11-20,30.45,896574
2018-11-21,30.85,568821
2018-11-23,30.58,267457
2018-11-26,30.95,644523
2018-11-27,30.93,913173
2018-11-28,31.31,1244262
2018-11-29,31.14,1171880
2018-11-30,30.99,673685
2018-12-03,31.13,878058
2018-12-04,30.5,962515
2018-12-06,30.23,1712351
2018-12-07,30.04,1782041
2018-12-10,29.64,1665360
2018-12-11,29.72,2077459
2018-12-12,30.15,1376502
2018-12-13,30.15,1071396
2018-12-14,29.78,1415851
2018-12-17,29.41,2437562
2018-12-18,28.85,2038881
2018-12-19,28.77,2254000
2018-12-20,28.67,3420162
2018-12-21,28.16,2822551
2018-12-24,27.96,1519345
2018-12-26,28.61,2438062
2018-12-27,28.33,3584062
2018-12-28,28.63,4126999
2018-12-31,28.71,2760273
2019-01-02,28.64,915544
2019-01-03,28.69,1636119
2019-01-04,29.36,551290
2019-01-07,29.48,731832
2019-01-08,29.61,554991
2019-01-09,29.98,868985
2019-01-10,30.08,553323
2019-01-11,29.95,1190839
2019-01-14,29.8,862724
2019-01-15,29.81,643331
2019-01-16,29.86,584826
2019-01-17,30.07,581138
2019-01-18,30.35,722835
2019-01-22,30.0,1284890
2019-01-23,30.21,717726
2019-01-24,30.23,650308
2019-01-25,30.51,484367
2019-01-28,30.36,735669
2019-01-29,30.48,643634
2019-01-30,30.85,1372639
2019-01-31,30.83,1084897
2019-02-01,30.86,1385750
2019-02-04,30.93,748974
2019-02-05,31.23,1271551
2019-02-06,31.05,903380
2019-02-07,30.77,699383
2019-02-08,30.68,478654
2019-02-11,30.52,492894
2019-02-12,30.79,725760
2019-02-13,30.77,783350
2019-02-14,30.79,482192
2019-02-15,31.06,572389
2019-02-19,31.26,1197976
2019-02-20,31.22,874881
2019-02-21,31.19,592427
2019-02-22,31.36,466211
2019-02-25,31.43,443778
2019-02-26,31.61,807401
2019-02-27,31.59,603884
2019-02-28,31.63,618813
2019-03-01,31.77,385660
2019-03-04,31.67,501921
2019-03-05,31.67,500027
2019-03-06,31.61,450184
2019-03-07,31.24,539862
2019-03-08,31.27,351150
2019-03-11,31.5,371929
2019-03-12,31.43,529627
2019-03-13,31.74,510067
2019-03-14,31.85,550986
2019-03-15,31.98,745366
2019-03-18,32.17,401377
2019-03-19,32.16,657965
2019-03-20,31.79,490081
2019-03-21,31.61,454077
2019-03-22,31.02,613924
2019-03-25,30.97,421105
2019-03-26,31.04,442176
2019-03-27,30.98,747322
2019-03-28,30.77,379862
2019-03-29,30.86,506375
2019-04-01,31.15,512930
2019-04-02,31.28,587664
2019-04-03,31.56,474541
2019-04-04,31.59,551788
2019-04-05,31.54,450953
2019-04-08,31.49,359960
2019-04-09,31.32,367527
2019-04-10,31.47,419876
2019-04-11,31.49,475990
2019-04-12,31.82,685508
2019-04-15,31.96,507113
2019-04-16,31.9,541895
2019-04-17,32.04,395991
2019-04-18,31.96,581699
2019-04-22,31.97,373420
2019-04-23,31.87,477905
2019-04-24,31.56,425964
2019-04-25,31.52,413154
2019-04-26,31.5,401901
2019-04-29,31.7,452436
2019-04-30,31.69,401255
2019-05-01,31.5,423073
2019-05-02,31.42,461299
2019-05-03,31.65,365547
2019-05-06,31.32,429124
2019-05-07,30.9,486176
2019-05-08,30.92,354398
2019-05-09,30.78,844148
2019-05-10,31.1,520048
2019-05-13,30.37,575857
2019-05-14,30.59,702365
2019-05-15,30.67,479541
2019-05-16,30.8,509589
2019-05-17,30.55,810710
2019-05-20,30.65,582429
2019-05-21,30.88,567710
2019-05-22,30.61,417672
2019-05-23,30.25,622192
2019-05-24,30.6,469403
2019-05-28,30.28,389163
2019-05-29,30.1,477979
2019-05-30,30.21,871564
2019-05-31,30.06,699276
2019-06-03,30.09,904168
2019-06-04,30.58,317371
2019-06-05,30.6,495841
2019-06-06,30.79,686035
2019-06-07,31.17,557421
2019-06-10,31.21,303199
2019-06-11,31.33,366052
2019-06-12,31.03,459574
2019-06-13,31.02,261202
2019-06-14,30.78,1428034
2019-06-17,29.89,981639
2019-06-18,30.16,1221535
2019-06-19,30.39,772607
2019-06-20,30.55,804887
2019-06-21,30.5,732669
2019-06-24,30.57,751480
2019-06-25,30.32,624266
2019-06-26,30.44,450195
2019-06-27,30.62,593853
2019-06-28,30.72,467433
2019-07-01,30.76,878722
2019-07-02,30.86,562992
2019-07-03,31.15,317287
2019-07-05,31.08,861814
2019-07-08,30.79,420983
2019-07-09,30.69,316119
2019-07-10,30.77,580549
2019-07-11,30.83,637800
2019-07-12,31.0,341263
2019-07-15,31.01,650048
2019-07-16,30.75,538317
2019-07-17,30.59,392627
2019-07-18,30.84,457432
2019-07-19,30.65,379338
2019-07-22,30.67,413725
2019-07-23,30.77,391131
2019-07-24,30.83,386212
2019-07-25,30.65,411057
2019-07-26,30.63,394417
2019-07-29,30.65,379798
2019-07-30,30.13,547416
2019-07-31,29.95,1018544
2019-08-01,29.89,743250
2019-08-02,29.77,625418
2019-08-05,29.11,1050660
2019-08-06,29.23,1042181
2019-08-07,29.3,839320
2019-08-08,29.53,763958
2019-08-09,29.34,575529
2019-08-12,29.06,601747
2019-08-13,29.45,1433384
2019-08-14,28.58,1484247
2019-08-15,28.52,1425163
2019-08-16,28.96,778748
2019-08-19,29.27,944256
2019-08-20,29.07,612589
2019-08-21,29.31,495479
2019-08-22,29.33,431982
2019-08-23,29.01,1321705
2019-08-26,29.19,894438
2019-08-27,29.2,655233
2019-08-28,29.14,800896
2019-08-29,29.41,681282
2019-08-30,29.48,797888
2019-09-03,29.35,706542
2019-09-04,29.75,541007
2019-09-05,30.07,688012
2019-09-06,30.13,451023
2019-09-09,30.41,488637
2019-09-10,30.69,688874
2019-09-11,30.83,646877
2019-09-12,31.06,645246
2019-09-13,31.26,470260
2019-09-16,31.06,925153
2019-09-17,31.09,598888
2019-09-18,31.04,398804
2019-09-19,31.2,749680
2019-09-20,31.07,618135
2019-09-23,31.05,708951
2019-09-24,30.63,932150
2019-09-25,30.49,681906
2019-09-26,30.59,573687
2019-09-27,30.64,719247
2019-09-30,30.74,588402
2019-10-01,30.52,889753
2019-10-02,29.84,1027417
2019-10-03,29.95,992789
2019-10-04,30.14,661410
2019-10-07,30.15,389218
2019-10-08,29.79,829585
2019-10-09,29.94,874252
2019-10-10,30.29,1022134
2019-10-11,31.0,908451
2019-10-14,30.9,387050
2019-10-15,31.36,623609
2019-10-16,31.47,690039
2019-10-17,31.63,702708
2019-10-18,31.73,769583
2019-10-21,31.96,483566
2019-10-22,31.9,634396
2019-10-23,32.06,661659
2019-10-24,32.05,458173
2019-10-25,32.0,376052
2019-10-28,32.09,393566
2019-10-29,31.99,673071
2019-10-30,32.06,654668
2019-10-31,31.89,334751
2019-11-01,32.11,1169370
2019-11-04,32.16,576622
2019-11-05,32.19,561752
2019-11-06,32.24,673255
2019-11-07,32.43,873007
2019-11-08,32.43,391523
2019-11-11,32.53,373418
2019-11-12,32.57,854568
2019-11-13,32.35,905985
2019-11-14,32.32,872596
2019-11-15,32.5,493207
2019-11-18,32.49,648381
2019-11-19,32.46,707401
2019-11-20,32.24,1631683
2019-11-21,32.26,669886
2019-11-22,32.28,458521
2019-11-25,32.45,479426
2019-11-26,32.43,482383
2019-11-27,32.62,390765
2019-11-29,32.38,269952
2019-12-02,32.21,933954
2019-12-03,32.0,807830
2019-12-04,32.36,580116
2019-12-05,32.35,622869
2019-12-06,32.55,601607
2019-12-09,32.39,719149
2019-12-10,32.38,1151423
2019-12-11,32.61,469142
2019-12-12,32.85,910066
2019-12-13,33.28,830783
2019-12-16,33.35,758302
2019-12-17,33.2,1076997
2019-12-18,33.19,547787
2019-12-19,33.28,667970
2019-12-20,33.3,854289
2019-12-23,33.32,900067
2019-12-24,33.34,259505
2019-12-26,33.49,406860
2019-12-27,33.61,416120
2019-12-30,33.41,1962058
2019-12-31,33.57,819428
2020-01-02,33.9,2308347
2020-01-03,33.5,1589826
2020-01-06,33.58,1461689
2020-01-07,33.5,1170002
2020-01-08,33.6,1641687
2020-01-09,33.7,990558
2020-01-10,33.56,755654
2020-01-13,33.71,782562
2020-01-14,33.76,957537
2020-01-15,33.74,803735
2020-01-16,33.89,664891
2020-01-17,33.94,618313
2020-01-21,33.68,944641
2020-01-22,33.8,834546
2020-01-23,33.82,1616003
2020-01-24,33.65,902838
2020-01-27,33.02,1215795
2020-01-28,33.41,766651
2020-01-29,33.39,997639
2020-01-30,33.44,779103
2020-01-31,33.05,949459
2020-02-03,32.98,518821
2020-02-04,33.4,1151327
2020-02-05,33.57,1337810
2020-02-06,33.63,724091
2020-02-07,33.42,661597
2020-02-10,33.56,1150150
2020-02-11,33.81,838247
2020-02-12,34.05,839833
2020-02-13,33.91,918914
2020-02-14,34.01,1036945
2020-02-18,33.89,813654
2020-02-19,34.05,944150
2020-02-20,34.01,806913
2020-02-21,33.8,671812
2020-02-24,32.35,1681951
2020-02-25,31.61,2137159
2020-02-26,31.55,1810418
2020-02-27,30.5,1709280
2020-02-28,30.15,2450750
2020-03-02,30.48,2739928
2020-03-03,30.24,2132286
2020-03-04,31.09,1203714
2020-03-05,30.18,1317726
2020-03-06,29.62,1384420
2020-03-09,26.61,2820791
2020-03-10,27.51,2341896
2020-03-11,25.85,2244761
2020-03-12,22.59,3183899
2020-03-13,24.36,3679307
2020-03-16,21.34,2264439
2020-03-17,22.36,1707341
2020-03-18,20.78,2198136
2020-03-19,20.8,2701173
2020-03-20,20.23,2935782
2020-03-23,19.58,3739119
2020-03-24,21.35,3029429
2020-03-25,21.59,3978298
2020-03-26,22.78,3477596
2020-03-27,21.79,3204309
2020-03-30,22.29,2681725
2020-03-31,22.6,3195085
2020-04-01,21.53,2032451
2020-04-02,22.08,1509765
2020-04-03,21.21,1684481
2020-04-06,22.2,1720338
2020-04-07,22.34,2377717
2020-04-08,22.69,1776479
