date,close,volume
2018-04-25,145.1,5739
2018-04-26,146.18,4425
2018-04-27,146.76,4163
2018-04-30,144.29,3973
2018-05-01,144.34,7824
2018-05-02,142.51,3716
2018-05-03,140.48,7944
2018-05-04,141.93,9797
2018-05-07,142.06,25049
2018-05-08,140.94,7942
2018-05-09,142.34,18340
2018-05-10,143.69,4050
2018-05-11,147.34,3698
2018-05-14,148.3,14788
2018-05-15,147.65,23569
2018-05-16,148.05,12407
2018-05-17,149.39,11253
2018-05-18,149.7,8124
2018-05-21,148.22,4785
2018-05-22,147.79,4628
2018-05-23,148.12,5485
2018-05-24,147.92,4439
2018-05-25,148.32,3147
2018-05-29,147.36,7585
2018-05-30,149.66,7208
2018-05-31,148.91,8758
2018-06-01,150.53,11531
2018-06-04,149.86,6443
2018-06-05,150.55,14901
2018-06-06,152.96,10673
2018-06-07,153.47,8549
2018-06-08,154.67,5932
2018-06-11,154.74,9080
2018-06-12,154.87,17798
2018-06-13,155.15,7734
2018-06-14,155.5,11619
2018-06-15,155.89,5009
2018-06-18,154.55,8417
2018-06-19,154.97,14212
2018-06-20,156.38,25337
2018-06-21,154.3,17951
2018-06-22,154.7,10936
2018-06-25,152.74,10987
2018-06-26,152.32,5454
2018-06-27,150.16,7312
2018-06-28,151.22,14991
2018-06-29,151.36,6077
2018-07-02,151.16,4721
2018-07-03,152.34,5786
2018-07-05,154.46,7120
2018-07-06,156.88,10965
2018-07-09,157.99,9606
2018-07-10,158.11,8292
2018-07-11,158.07,3012
2018-07-12,159.7,8430
2018-07-13,159.04,8201
2018-07-16,157.26,3693
2018-07-17,158.8,4697
2018-07-18,158.43,16219
2018-07-19,158.14,14327
2018-07-20,157.58,10643
2018-07-23,157.92,1750
2018-07-24,158.15,18227
2018-07-25,159.99,14769
2018-07-26,159.92,4255
2018-07-27,158.66,2329
2018-07-30,159.41,2820
2018-07-31,161.49,10025
2018-08-01,161.97,75701
2018-08-02,162.6,53568
2018-08-03,163.08,4494
2018-08-06,163.85,7890
2018-08-07,165.25,10015
2018-08-08,166.55,8058
2018-08-09,164.99,11595
2018-08-10,164.85,3942
2018-08-13,165.01,5443
2018-08-14,165.48,6194
2018-08-15,165.39,6208
2018-08-16,167.12,8980
2018-08-17,167.62,10847
2018-08-20,168.94,27305
2018-08-21,168.4,84905
2018-08-22,168.21,7822
2018-08-23,167.4,3626
2018-08-24,167.72,22844
2018-08-27,167.94,13282
2018-08-28,168.2,6494
2018-08-29,168.97,13263
2018-08-30,168.78,4478
2018-08-31,169.55,250865
2018-09-04,168.66,5889
2018-09-05,169.32,10864
2018-09-06,168.08,1965
2018-09-07,168.28,9857
2018-09-10,167.38,4663
2018-09-11,166.74,5526
2018-09-12,167.1,3969
2018-09-13,167.8,7811
2018-09-14,167.18,4710
2018-09-17,165.38,3934
2018-09-18,166.75,21416
2018-09-19,166.46,5102
2018-09-20,169.48,5719
2018-09-21,169.2,20742
2018-09-24,168.36,2864
2018-09-25,168.18,20724
2018-09-26,167.05,4592
2018-09-27,167.9,6183
2018-09-28,167.86,15365
2018-10-01,165.84,76780
2018-10-02,165.91,71768
2018-10-03,167.62,9484
2018-10-04,164.7,12101
2018-10-05,164.35,4254
2018-10-08,164.03,2369
2018-10-09,164.19,25559
2018-10-10,160.47,17370
2018-10-11,155.59,23640
2018-10-12,158.05,6770
2018-10-15,157.93,8150
2018-10-16,162.33,43242
2018-10-17,163.46,10513
2018-10-18,161.45,6567
2018-10-19,160.3,19581
2018-10-22,158.98,9521
2018-10-23,158.01,10403
2018-10-24,151.14,25843
2018-10-25,153.66,14323
2018-10-26,151.59,16326
2018-10-29,151.29,79393
2018-10-30,151.83,13535
2018-10-31,152.41,10344
2018-11-01,156.4,53586
2018-11-02,155.44,28703
2018-11-05,156.15,2716
2018-11-06,156.29,9323
2018-11-07,159.02,8251
2018-11-08,157.94,8034
2018-11-09,156.66,3730
2018-11-12,154.76,10962
2018-11-13,153.9,10814
2018-11-14,150.9,13790
2018-11-15,152.5,9845
2018-11-16,154.24,5061
2018-11-19,153.46,8977
2018-11-20,152.06,13967
2018-11-21,152.01,5411
2018-11-23,153.02,2405
2018-11-26,152.85,12814
2018-11-27,152.18,11042
2018-11-28,155.37,4428
2018-11-29,155.92,9864
2018-11-30,157.57,11918
2018-12-03,160.16,13451
2018-12-04,156.85,117370
2018-12-06,155.4,26105
2018-12-07,153.14,34961
2018-12-10,153.27,52426
2018-12-11,153.4,32884
2018-12-12,154.39,23688
2018-12-13,153.38,21035
2018-12-14,148.18,16938
2018-12-17,144.38,100487
2018-12-18,143.05,71752
2018-12-19,140.13,14868
2018-12-20,137.28,21471
2018-12-21,134.06,54551
2018-12-24,132.01,14368
2018-12-26,137.94,21138
2018-12-27,137.91,24417
2018-12-28,139.03,11762
2018-12-31,140.77,93883
2019-01-02,141.08,30598
2019-01-03,137.01,12553
2019-01-04,142.38,29340
2019-01-07,144.7,12819
2019-01-08,145.9,8461
2019-01-09,145.06,18896
2019-01-10,145.57,3322
2019-01-11,146.35,15473
2019-01-14,144.61,2718
2019-01-15,146.5,16548
