date,close,volume
2018-04-25,10.36,2316889
2018-04-26,10.52,1554779
2018-04-27,10.97,3817245
2018-04-30,10.99,1662885
2018-05-01,11.14,1628896
2018-05-02,11.39,2197847
2018-05-03,11.0,2551484
2018-05-04,10.57,2274846
2018-05-07,10.2,2191823
2018-05-08,9.91,2838987
2018-05-09,10.09,1929813
2018-05-10,10.32,1388480
2018-05-11,10.61,1899396
2018-05-14,10.84,1452380
2018-05-15,10.33,2020625
2018-05-16,10.77,1807139
2018-05-17,10.76,4278491
2018-05-18,10.61,2888481
2018-05-21,10.27,1918020
2018-05-22,10.31,1568395
2018-05-23,10.38,1240650
2018-05-24,10.58,873550
2018-05-25,10.43,1457944
2018-05-29,10.29,1303258
2018-05-30,10.47,1809273
2018-05-31,11.46,5060489
2018-06-01,11.53,3072279
2018-06-04,10.68,3361060
2018-06-05,11.47,2380955
2018-06-06,11.39,2874264
2018-06-07,10.34,9283660
2018-06-08,10.01,2844020
2018-06-11,9.52,3390167
2018-06-12,9.83,2750979
2018-06-13,10.34,3580996
2018-06-14,10.49,2192444
2018-06-15,10.01,5479955
2018-06-18,10.33,3265883
2018-06-19,10.5,3127831
2018-06-20,11.21,2733207
2018-06-21,11.68,3200577
2018-06-22,12.15,8875468
2018-06-25,11.68,3282709
2018-06-26,11.32,1766834
2018-06-27,10.56,2749119
2018-06-28,9.96,4225606
2018-06-29,9.73,3578326
2018-07-02,10.18,2200704
2018-07-03,10.36,1187162
2018-07-05,11.04,3205697
2018-07-06,11.26,2550899
2018-07-09,11.09,2359008
2018-07-10,11.04,2664446
2018-07-11,10.5,2711338
2018-07-12,10.34,2946789
2018-07-13,10.12,2444397
2018-07-16,9.99,1753821
2018-07-17,9.98,2170446
2018-07-18,10.06,2063480
2018-07-19,9.97,1559263
2018-07-20,10.25,2935738
2018-07-23,10.19,1272861
2018-07-24,9.94,2089136
2018-07-25,9.78,1887974
2018-07-26,9.95,1791203
2018-07-27,9.8,4010477
2018-07-30,9.54,1736283
2018-07-31,9.3,2755066
2018-08-01,9.15,2000548
2018-08-02,9.15,1326342
2018-08-03,9.18,1215573
2018-08-06,9.1,1165078
2018-08-07,8.92,1803219
2018-08-08,8.6,1373280
2018-08-09,8.86,1532893
2018-08-10,8.94,1008378
2018-08-13,9.14,2147628
