date,close,volume
2018-04-25,34.55,152749
2018-04-26,34.4,86132
2018-04-27,34.25,52730
2018-04-30,34.25,79203
2018-05-01,34.4,109481
2018-05-02,33.8,114652
2018-05-03,32.15,119553
2018-05-04,31.85,134319
2018-05-07,31.0,84414
2018-05-08,30.95,116653
2018-05-09,31.0,75020
2018-05-10,27.93,286849
2018-05-11,29.0,160623
2018-05-14,28.45,137729
2018-05-15,28.55,154179
2018-05-16,29.45,105272
2018-05-17,29.95,126223
2018-05-18,29.75,102133
2018-05-21,30.2,89432
2018-05-22,29.65,75654
2018-05-23,30.05,136559
2018-05-24,30.35,128255
2018-05-25,30.2,91880
2018-05-29,29.7,89897
2018-05-30,29.8,107393
2018-05-31,28.7,84302
2018-06-01,28.8,71050
2018-06-04,29.15,88545
2018-06-05,28.85,66557
2018-06-06,28.45,64231
2018-06-07,28.55,55841
2018-06-08,28.85,56113
2018-06-11,29.45,137133
2018-06-12,29.1,81015
2018-06-13,29.2,52665
2018-06-14,29.35,54349
2018-06-15,29.4,119039
2018-06-18,29.8,85994
2018-06-19,30.25,70030
2018-06-20,30.75,93632
2018-06-21,31.2,86020
2018-06-22,31.6,229783
2018-06-25,31.75,112302
2018-06-26,31.9,73885
2018-06-27,31.65,46749
2018-06-28,31.85,55885
2018-06-29,31.8,135449
2018-07-02,32.5,76295
2018-07-03,32.65,48629
2018-07-05,33.05,106858
2018-07-06,32.9,74191
2018-07-09,32.35,51190
2018-07-10,31.25,93263
2018-07-11,30.2,64415
2018-07-12,29.45,83101
2018-07-13,29.75,43264
2018-07-16,29.8,38790
2018-07-17,30.15,50835
2018-07-18,29.7,50672
2018-07-19,29.8,90376
2018-07-20,29.55,56024
2018-07-23,28.85,63242
2018-07-24,28.55,72289
2018-07-25,28.4,63551
2018-07-26,28.9,66371
2018-07-27,28.7,59381
2018-07-30,29.45,57814
2018-07-31,29.75,53451
2018-08-01,28.9,69596
2018-08-02,28.85,70752
2018-08-03,28.95,64974
2018-08-06,28.95,72075
2018-08-07,29.5,94251
2018-08-08,29.55,55146
2018-08-09,29.95,146172
2018-08-10,34.35,238100
2018-08-13,32.85,129522
2018-08-14,33.8,133562
2018-08-15,33.05,69582
2018-08-16,33.4,73388
2018-08-17,33.9,113028
2018-08-20,33.0,87228
2018-08-21,33.85,70258
2018-08-22,35.1,145591
2018-08-23,36.8,163818
2018-08-24,36.35,73285
2018-08-27,36.6,140686
2018-08-28,36.55,59447
2018-08-29,35.35,72248
2018-08-30,35.95,55180
2018-08-31,35.95,89043
2018-09-04,34.5,82227
2018-09-05,34.15,92322
2018-09-06,33.9,55696
2018-09-07,34.35,45494
2018-09-10,35.5,101231
2018-09-11,35.35,70873
2018-09-12,35.8,85800
2018-09-13,34.35,56122
2018-09-14,35.45,73471
2018-09-17,35.6,68730
2018-09-18,35.5,107395
2018-09-19,34.65,40176
2018-09-20,34.4,45277
2018-09-21,34.05,158539
2018-09-24,34.0,50240
2018-09-25,33.7,128316
2018-09-26,34.25,84447
2018-09-27,34.45,59255
2018-09-28,34.25,45974
2018-10-01,33.67,45040
2018-10-02,32.89,55252
2018-10-03,32.08,62641
2018-10-04,31.69,42952
2018-10-05,31.6,36814
2018-10-08,32.51,49916
2018-10-09,32.27,33355
2018-10-10,31.94,60142
2018-10-11,30.43,51893
2018-10-12,30.81,135402
2018-10-15,31.62,59881
2018-10-16,32.1,41450
2018-10-17,32.33,33903
2018-10-18,31.83,114088
2018-10-19,32.04,115440
2018-10-22,33.36,88853
2018-10-23,32.87,100182
2018-10-24,32.11,48625
2018-10-25,31.7,166915
2018-10-26,31.0,173165
2018-10-29,31.46,128711
2018-10-30,34.1,107527
2018-10-31,32.94,113752
2018-11-01,32.55,82322
2018-11-02,33.04,68559
2018-11-05,32.77,39330
2018-11-06,32.73,45200
2018-11-07,33.42,44394
2018-11-08,33.8,33729
2018-11-09,33.03,35864
2018-11-12,33.01,32823
2018-11-13,32.64,33789
2018-11-14,32.24,39262
2018-11-15,31.38,49532
2018-11-16,31.06,34353
2018-11-19,30.83,49621
2018-11-20,30.0,56558
2018-11-21,29.94,41377
2018-11-23,30.51,16223
2018-11-26,29.98,44232
2018-11-27,30.29,29424
2018-11-28,30.38,52371
2018-11-29,29.59,45404
2018-11-30,29.09,52275
2018-12-03,29.44,138559
2018-12-04,27.57,129173
2018-12-06,28.1,79476
2018-12-07,28.82,84634
2018-12-10,30.07,88636
2018-12-11,31.45,62543
2018-12-12,31.3,83098
2018-12-13,30.25,67415
2018-12-14,29.43,42335
2018-12-17,29.1,61647
2018-12-18,29.28,61930
2018-12-19,28.46,76991
2018-12-20,27.64,93362
2018-12-21,27.14,209500
2018-12-24,25.95,55398
2018-12-26,27.62,78818
2018-12-27,26.41,65017
2018-12-28,26.51,69722
2018-12-31,27.22,106318
2019-01-02,27.78,70607
2019-01-03,28.17,89956
2019-01-04,28.7,53181
2019-01-07,29.54,88888
2019-01-08,29.56,55135
2019-01-09,28.99,46749
2019-01-10,28.3,80314
2019-01-11,28.65,44731
2019-01-14,28.61,42278
2019-01-15,29.23,29688
2019-01-16,29.98,47947
2019-01-17,30.31,45761
2019-01-18,30.35,40238
2019-01-22,30.07,49306
2019-01-23,30.1,70064
2019-01-24,30.11,79885
2019-01-25,29.62,58082
2019-01-28,28.99,42132
2019-01-29,28.56,46065
2019-01-30,27.83,73919
2019-01-31,28.54,51590
2019-02-01,28.6,45612
2019-02-04,28.55,26928
2019-02-05,29.3,37414
2019-02-06,28.96,36144
2019-02-07,31.09,79341
2019-02-08,29.78,67596
2019-02-11,30.19,46588
2019-02-12,29.83,49909
2019-02-13,30.78,41014
2019-02-14,30.99,44637
2019-02-15,31.12,39607
2019-02-19,31.03,48813
2019-02-20,30.33,36432
2019-02-21,29.92,56687
2019-02-22,30.25,39612
2019-02-25,30.44,65044
2019-02-26,30.5,37242
2019-02-27,31.0,50728
2019-02-28,31.12,58957
2019-03-01,31.37,77708
2019-03-04,30.64,62589
2019-03-05,30.71,37066
2019-03-06,29.83,61546
2019-03-07,29.85,55634
2019-03-08,29.57,43250
2019-03-11,29.62,33271
2019-03-12,29.45,52748
2019-03-13,29.39,36491
2019-03-14,28.86,36692
2019-03-15,27.99,153224
2019-03-18,28.56,46867
2019-03-19,28.45,28218
2019-03-20,28.0,31065
2019-03-21,28.04,35900
2019-03-22,27.55,56409
2019-03-25,27.58,39916
2019-03-26,27.76,40168
2019-03-27,27.56,65138
2019-03-28,27.29,48823
2019-03-29,27.62,37874
2019-04-01,27.63,68636
2019-04-02,27.12,80534
2019-04-03,26.1,133049
2019-04-04,26.35,62343
2019-04-05,27.01,48287
2019-04-08,27.09,45491
2019-04-09,27.06,53822
2019-04-10,27.32,29575
2019-04-11,27.37,37416
2019-04-12,27.17,34684
2019-04-15,27.49,30908
2019-04-16,27.65,34343
2019-04-17,28.13,31921
2019-04-18,28.0,51525
2019-04-22,27.69,38378
2019-04-23,28.16,36235
2019-04-24,28.15,45628
2019-04-25,28.19,92971
2019-04-26,27.51,50026
2019-04-29,27.9,58861
2019-04-30,27.45,43905
2019-05-01,27.24,75516
2019-05-02,26.7,52123
2019-05-03,27.59,138541
2019-05-06,27.88,37573
2019-05-07,27.45,41432
2019-05-08,27.53,56793
2019-05-09,28.92,58247
2019-05-10,29.91,50958
2019-05-13,30.18,62539
2019-05-14,30.86,47877
2019-05-15,30.49,79949
2019-05-16,30.58,64960
2019-05-17,30.67,59441
2019-05-20,30.41,129409
2019-05-21,30.95,40677
2019-05-22,30.83,65251
2019-05-23,30.51,83942
2019-05-24,31.12,46493
2019-05-28,31.39,81070
2019-05-29,31.41,63457
2019-05-30,30.92,43139
2019-05-31,29.81,126343
2019-06-03,29.86,67311
2019-06-04,30.7,94565
2019-06-05,29.88,58960
2019-06-06,29.9,39024
2019-06-07,30.01,27859
2019-06-10,30.07,25435
2019-06-11,31.0,67247
2019-06-12,31.72,65208
2019-06-13,31.82,46144
2019-06-14,31.77,36751
2019-06-17,32.07,81990
2019-06-18,32.01,83441
2019-06-19,31.69,53064
2019-06-20,31.61,60999
2019-06-21,31.58,170729
2019-06-24,30.86,59788
2019-06-25,31.01,56020
2019-06-26,31.2,48422
2019-06-27,31.55,39748
2019-06-28,31.13,142417
2019-07-01,31.34,64177
2019-07-02,31.27,86852
2019-07-03,31.41,24878
2019-07-05,31.76,35945
2019-07-08,31.84,34716
2019-07-09,31.99,46081
2019-07-10,31.99,50435
2019-07-11,32.23,35386
2019-07-12,32.29,49305
2019-07-15,32.29,52418
2019-07-16,32.52,28992
2019-07-17,31.97,79164
2019-07-18,31.99,73512
2019-07-19,31.95,41072
2019-07-22,30.71,35233
2019-07-23,30.32,43243
2019-07-24,30.94,42410
2019-07-25,31.13,98250
2019-07-26,31.77,37888
2019-07-29,31.76,31951
2019-07-30,31.9,40061
2019-07-31,31.48,59198
2019-08-01,31.12,46522
2019-08-02,31.08,33792
2019-08-05,30.78,42609
2019-08-06,30.95,63862
2019-08-07,31.75,59048
2019-08-08,33.21,80312
2019-08-09,33.23,133030
2019-08-12,33.58,135094
2019-08-13,34.16,108329
2019-08-14,33.87,145498
2019-08-15,34.01,91082
2019-08-16,35.29,92512
2019-08-19,36.01,96007
2019-08-20,35.64,54898
2019-08-21,37.01,96400
2019-08-22,37.41,179468
2019-08-23,37.08,90354
2019-08-26,38.39,127936
2019-08-27,37.75,110744
2019-08-28,38.89,93916
2019-08-29,38.65,96038
2019-08-30,38.88,83898
2019-09-03,39.17,100271
2019-09-04,39.63,191581
2019-09-05,39.88,171254
2019-09-06,40.13,112142
2019-09-09,40.89,153726
2019-09-10,41.54,120855
2019-09-11,42.5,114004
2019-09-12,42.0,223616
2019-09-13,41.59,132986
2019-09-16,40.92,86150
2019-09-17,41.1,73902
2019-09-18,40.12,147305
2019-09-19,39.46,84589
2019-09-20,39.36,176876
2019-09-23,38.91,77159
2019-09-24,38.97,67247
2019-09-25,39.61,75543
2019-09-26,39.16,52500
2019-09-27,38.83,42312
2019-09-30,38.86,74445
2019-10-01,39.1,73200
2019-10-02,38.43,72665
