date,close,volume
2018-04-25,34.2,3045866
2018-04-26,34.63,2731318
2018-04-27,34.95,2547642
2018-04-30,34.95,4513208
2018-05-01,34.84,2240549
2018-05-02,34.47,3578252
2018-05-03,34.36,3696957
2018-05-04,34.24,1992843
2018-05-07,34.25,1689589
2018-05-08,34.14,2398167
2018-05-09,34.21,2242600
2018-05-10,34.35,4438941
2018-05-11,34.16,1815460
2018-05-14,33.9,2367280
2018-05-15,33.39,4604842
2018-05-16,33.81,3783233
2018-05-17,33.37,3583030
2018-05-18,32.93,4130237
2018-05-21,32.73,3239221
2018-05-22,32.87,2543065
2018-05-23,32.65,2933064
2018-05-24,32.87,3046710
2018-05-25,33.44,6082115
2018-05-29,33.14,7135771
2018-05-30,33.66,7082779
2018-05-31,33.65,7122597
2018-06-01,33.81,4453035
2018-06-04,33.35,4870170
2018-06-05,33.35,3873068
2018-06-06,34.13,5696478
2018-06-07,33.57,6670113
2018-06-08,33.84,5370452
2018-06-11,33.91,1970767
2018-06-12,34.06,3829530
2018-06-13,33.92,3140719
2018-06-14,33.79,3759766
2018-06-15,33.73,2949698
2018-06-18,33.52,4395511
2018-06-19,33.38,5078899
2018-06-20,33.56,4395081
2018-06-21,33.38,2803015
2018-06-22,33.77,2480709
2018-06-25,33.33,5952930
2018-06-26,33.29,2970017
2018-06-27,32.64,5010911
2018-06-28,32.57,6458546
2018-06-29,33.29,5139387
2018-07-02,33.02,3772739
2018-07-03,33.18,2209783
2018-07-05,32.87,4041889
2018-07-06,33.33,4160271
2018-07-09,33.74,4063012
2018-07-10,33.98,3595210
2018-07-11,33.76,3413249
2018-07-12,34.24,4166475
2018-07-13,34.1,2234723
2018-07-16,33.76,2749957
2018-07-17,34.37,3641167
2018-07-18,34.05,3086672
2018-07-19,33.71,3393145
2018-07-20,34.1,3854165
2018-07-23,34.14,2995758
2018-07-24,34.55,2912494
2018-07-25,34.81,4468317
2018-07-26,34.8,5057527
2018-07-27,35.17,5756910
2018-07-30,35.34,4817195
2018-07-31,35.63,5431262
2018-08-01,35.63,5004977
