date,close,volume
2018-04-25,32.5,2500
2018-04-26,32.71,7289
2018-04-27,32.83,1390
2018-04-30,32.71,2357
2018-05-01,32.66,26084
2018-05-02,32.68,8972
2018-05-03,32.58,7999
2018-05-04,32.78,951
2018-05-07,32.69,5277
2018-05-08,32.63,2969
2018-05-09,32.72,396
2018-05-10,32.95,4554
2018-05-11,33.04,2572
2018-05-14,33.0,1683
2018-05-15,32.68,3405
2018-05-16,32.73,1272
2018-05-17,32.67,4655
2018-05-18,32.61,113
2018-05-21,32.76,1536
2018-05-22,32.82,10144
2018-05-23,32.82,848
2018-05-24,32.79,3057
2018-05-25,32.78,5386
2018-05-29,32.65,3093
2018-05-30,32.85,10741
2018-05-31,32.74,259
2018-06-01,32.8,4798
2018-06-04,32.91,2298
2018-06-05,32.91,2302
2018-06-06,33.01,7582
2018-06-07,32.95,2900
2018-06-08,33.01,1539
2018-06-11,32.99,418
2018-06-12,32.98,1198
2018-06-13,32.88,888
2018-06-14,32.93,3444
2018-06-15,32.88,4541
2018-06-18,32.79,824
2018-06-19,32.72,3234
2018-06-20,32.8,14815
2018-06-21,32.72,3245
2018-06-22,32.78,1401
2018-06-25,32.41,2923
2018-06-26,32.41,2086
2018-06-27,32.25,2833
2018-06-28,32.26,160
2018-06-29,32.43,2394
2018-07-02,32.28,9677
2018-07-03,32.48,3038
2018-07-05,32.62,3273
2018-07-06,32.82,1872
2018-07-09,32.88,1422
2018-07-10,32.94,2081
2018-07-11,32.74,642
2018-07-12,32.84,661
2018-07-13,32.86,149
2018-07-16,32.81,3164
2018-07-17,32.75,23058
2018-07-18,32.77,487
2018-07-19,32.84,7488
2018-07-20,32.77,1358
2018-07-23,32.71,1296
2018-07-24,32.74,1730
2018-07-25,32.85,1024
2018-07-26,32.87,3082
2018-07-27,32.81,3209
2018-07-30,32.89,239
2018-07-31,33.04,1139
2018-08-01,32.83,6385
2018-08-02,32.79,322
2018-08-03,32.92,2011
2018-08-06,32.93,497
2018-08-07,33.01,3516
2018-08-08,32.97,4169
2018-08-09,32.99,6442
2018-08-10,32.77,325
2018-08-13,32.59,4694
2018-08-14,32.72,1296
2018-08-15,32.61,262
2018-08-16,32.79,1721
2018-08-17,32.85,925
2018-08-20,33.02,189
2018-08-21,33.07,1694
2018-08-22,33.01,3231
2018-08-23,33.0,1444
2018-08-24,33.13,974
2018-08-27,33.17,4663
2018-08-28,33.16,2697
2018-08-29,33.18,2666
2018-08-30,33.09,1334
2018-08-31,33.04,1404
2018-09-04,32.82,20162
2018-09-05,32.81,2958
2018-09-06,32.88,2390
2018-09-07,32.74,483
2018-09-10,32.83,1352
2018-09-11,32.83,1232
2018-09-12,32.88,1050
2018-09-13,32.96,2399
2018-09-14,32.87,1353
2018-09-17,32.87,3859
2018-09-18,32.85,391
2018-09-19,32.7,2429
2018-09-20,32.88,812
2018-09-21,32.84,586
2018-09-24,32.53,1743
2018-09-25,32.44,834
2018-09-26,32.52,550
2018-09-27,32.55,1139
2018-09-28,32.53,1952
2018-10-01,32.5,1891
2018-10-02,32.53,7214
2018-10-03,32.31,18509
2018-10-04,32.04,8546
2018-10-05,32.01,701
2018-10-08,32.07,823
2018-10-09,32.17,3037
2018-10-10,31.88,1463
2018-10-11,31.88,28
2018-10-12,31.75,4607
2018-10-15,31.83,1456
2018-10-16,32.06,21528
2018-10-17,31.93,1258
2018-10-18,31.81,1278
2018-10-19,31.88,3243
