date,close,volume
2018-04-25,29.17,123702
2018-04-26,29.26,122515
2018-04-27,29.28,289295
2018-04-30,29.12,124584
2018-05-01,29.14,55346
2018-05-02,29.17,158165
2018-05-03,29.3,77865
2018-05-04,29.32,50505
2018-05-07,29.35,115231
2018-05-08,29.38,997940
2018-05-09,29.42,115897
2018-05-10,29.55,66937
2018-05-11,29.76,65062
2018-05-14,29.75,113869
2018-05-15,29.62,633922
2018-05-16,29.68,110515
2018-05-17,29.79,142847
2018-05-18,29.73,111690
2018-05-21,29.91,133591
2018-05-22,29.88,104521
2018-05-23,29.48,120417
2018-05-24,29.42,634026
2018-05-25,29.32,1470501
2018-05-29,28.73,2332167
2018-05-30,29.03,708974
2018-05-31,29.0,106189
2018-06-01,29.18,242190
2018-06-04,29.34,113671
2018-06-05,29.32,101048
2018-06-06,29.62,130623
2018-06-07,29.52,376833
2018-06-08,29.47,88284
2018-06-11,29.58,64797
2018-06-12,29.31,158271
2018-06-13,29.3,46036
2018-06-14,29.26,168804
2018-06-15,29.09,139917
2018-06-18,28.89,419587
2018-06-19,28.13,326050
2018-06-20,28.06,172146
2018-06-21,27.75,725297
2018-06-22,28.03,218814
2018-06-25,27.66,508506
2018-06-26,27.65,248744
2018-06-27,27.49,366620
2018-06-28,27.43,121175
2018-06-29,27.63,142758
2018-07-02,27.36,114867
2018-07-03,27.36,227182
2018-07-05,27.64,172391
2018-07-06,27.75,128587
2018-07-09,28.0,205206
2018-07-10,28.07,77938
2018-07-11,27.61,139622
2018-07-12,27.75,152008
2018-07-13,27.86,126647
2018-07-16,27.87,351659
2018-07-17,27.95,192215
2018-07-18,28.0,95258
2018-07-19,27.92,134041
2018-07-20,27.99,173867
2018-07-23,27.91,140943
2018-07-24,28.1,113267
2018-07-25,28.37,254562
2018-07-26,28.28,170856
2018-07-27,28.28,80546
2018-07-30,28.33,167436
2018-07-31,28.33,324104
2018-08-01,28.24,286986
2018-08-02,28.02,197705
2018-08-03,28.03,155745
2018-08-06,27.83,121468
2018-08-07,27.97,329385
2018-08-08,27.95,133580
2018-08-09,27.83,80579
2018-08-10,27.43,133264
2018-08-13,27.24,274574
