date,close,volume
2018-04-25,43.98,1024542
2018-04-26,43.48,1135970
2018-04-27,45.06,1042484
2018-04-30,43.03,1593195
2018-05-01,42.63,1208540
2018-05-02,42.74,1439519
2018-05-03,41.27,1266695
2018-05-04,44.01,2031660
2018-05-07,44.33,1460787
2018-05-08,40.53,5628517
2018-05-09,42.8,1387891
2018-05-10,42.8,1372
2018-05-11,45.95,1619382
2018-05-14,46.38,1496295
2018-05-15,44.39,1141804
2018-05-16,43.71,1184520
2018-05-17,43.83,1079782
2018-05-18,44.64,1117939
2018-05-21,43.23,777903
2018-05-22,43.8,596857
2018-05-23,44.09,536543
2018-05-24,45.23,709815
2018-05-25,44.85,515095
2018-05-29,46.08,1093130
2018-05-30,47.05,674185
2018-05-31,46.65,1255911
2018-06-01,46.61,911363
2018-06-04,46.76,540967
2018-06-05,46.14,611658
2018-06-06,46.62,572709
2018-06-07,45.98,720711
2018-06-08,44.68,880824
2018-06-11,45.87,872297
2018-06-12,47.15,738547
2018-06-13,46.86,627067
2018-06-14,47.35,851880
2018-06-15,46.57,1341104
2018-06-18,43.61,3388197
2018-06-19,43.43,1140268
2018-06-20,44.03,1446215
2018-06-21,42.17,1100575
2018-06-22,42.95,1062761
2018-06-25,42.17,1456527
2018-06-26,43.46,933353
2018-06-27,42.0,762932
2018-06-28,41.98,843568
2018-06-29,41.67,960136
2018-07-02,42.88,524480
2018-07-03,43.44,297617
2018-07-05,43.44,450241
2018-07-06,45.53,968505
2018-07-09,45.2,906125
2018-07-10,44.95,717727
2018-07-11,45.17,755540
2018-07-12,45.59,687314
2018-07-13,45.24,550147
2018-07-16,44.27,581276
2018-07-17,44.11,548011
2018-07-18,44.79,479524
2018-07-19,45.84,745474
2018-07-20,46.5,928913
2018-07-23,44.56,777200
2018-07-24,45.32,1292564
2018-07-25,45.49,720059
2018-07-26,46.01,588721
2018-07-27,45.04,793260
2018-07-30,43.69,741599
2018-07-31,43.68,932889
2018-08-01,43.09,719490
2018-08-02,44.44,691967
2018-08-03,43.62,524053
2018-08-06,43.65,600864
2018-08-07,44.2,1407334
2018-08-08,45.57,1543143
2018-08-09,48.21,1239752
2018-08-10,48.7,2341581
2018-08-13,50.01,1226627
2018-08-14,51.02,1065631
2018-08-15,49.65,960374
2018-08-16,51.42,794986
2018-08-17,50.84,712600
2018-08-20,51.67,830723
2018-08-21,53.25,1048064
2018-08-22,52.68,1030526
2018-08-23,51.21,1199753
2018-08-24,49.8,2031377
2018-08-27,53.7,2671870
2018-08-28,45.17,6119187
2018-08-29,46.19,1816964
2018-08-30,46.43,908303
2018-08-31,45.69,556887
2018-09-04,45.76,1448227
2018-09-05,45.06,876171
2018-09-06,44.46,1020432
2018-09-07,44.18,775473
2018-09-10,44.55,933052
2018-09-11,44.65,630653
2018-09-12,45.04,869228
2018-09-13,45.09,964826
2018-09-14,46.0,844908
2018-09-17,48.19,1762055
2018-09-18,49.36,1481393
2018-09-19,49.98,653418
2018-09-20,50.8,701950
2018-09-21,49.14,1728035
2018-09-24,50.51,1002900
2018-09-25,51.52,2152372
2018-09-26,51.39,864674
2018-09-27,51.73,718628
2018-09-28,51.58,942747
2018-10-01,50.06,865030
2018-10-02,48.55,1094090
2018-10-03,47.99,1372626
2018-10-04,47.48,1202874
2018-10-05,48.73,818898
2018-10-08,45.0,3512274
2018-10-09,44.89,1650918
2018-10-10,44.06,1460625
2018-10-11,43.37,1343028
2018-10-12,45.0,911740
2018-10-15,45.13,749938
2018-10-16,47.49,873622
2018-10-17,47.34,708961
2018-10-18,46.35,534603
2018-10-19,45.19,837520
2018-10-22,46.7,1052224
2018-10-23,48.84,1930025
2018-10-24,46.01,1374147
2018-10-25,48.33,1131908
2018-10-26,47.77,954549
2018-10-29,47.9,750514
2018-10-30,49.06,1076880
2018-10-31,49.55,958607
2018-11-01,51.88,1161942
2018-11-02,51.7,873463
2018-11-05,51.52,1716356
2018-11-06,53.65,1508286
2018-11-07,54.32,1258843
2018-11-08,52.79,1082635
2018-11-09,51.5,1136791
2018-11-12,50.25,1546271
2018-11-13,51.73,948871
2018-11-14,50.06,1370952
2018-11-15,51.67,737951
2018-11-16,53.74,972630
2018-11-19,53.62,669722
2018-11-20,53.29,803360
2018-11-21,53.76,469071
2018-11-23,54.15,399802
2018-11-26,56.26,843929
2018-11-27,55.44,970065
2018-11-28,57.96,874547
2018-11-29,57.43,937189
2018-11-30,58.29,791386
2018-12-03,59.54,906712
2018-12-04,56.0,1510904
2018-12-06,56.05,1071896
2018-12-07,53.12,1411970
2018-12-10,53.33,883950
2018-12-11,53.95,691967
2018-12-12,56.17,988739
2018-12-13,53.47,902570
2018-12-14,52.93,634882
2018-12-17,51.87,1119063
2018-12-18,51.27,689290
2018-12-19,50.86,853623
2018-12-20,49.78,868456
2018-12-21,48.78,1538627
2018-12-24,49.5,557793
2018-12-26,52.15,727329
2018-12-27,53.12,940175
2018-12-28,51.36,949546
2018-12-31,54.06,955683
2019-01-02,53.77,902086
2019-01-03,52.92,859197
2019-01-04,54.33,2568042
2019-01-07,56.81,1099129
2019-01-08,57.2,1205832
2019-01-09,57.21,653084
2019-01-10,57.34,884475
2019-01-11,57.8,610942
2019-01-14,56.39,613258
2019-01-15,58.26,727174
2019-01-16,57.18,583765
2019-01-17,57.6,694737
2019-01-18,58.03,1241169
2019-01-22,57.44,782689
2019-01-23,57.21,801078
2019-01-24,57.05,906740
2019-01-25,58.74,843974
2019-01-28,56.96,773234
2019-01-29,54.55,1082249
2019-01-30,55.92,750916
2019-01-31,58.0,818913
2019-02-01,58.49,693163
2019-02-04,59.01,607842
2019-02-05,58.26,520562
2019-02-06,58.05,530795
2019-02-07,58.03,764517
2019-02-08,58.73,596885
2019-02-11,59.1,675872
2019-02-12,59.67,719684
2019-02-13,60.55,821019
2019-02-14,58.87,503087
2019-02-15,58.98,617134
2019-02-19,58.54,487386
2019-02-20,58.37,452025
2019-02-21,57.41,525923
2019-02-22,58.76,414533
2019-02-25,61.67,1497423
2019-02-26,61.62,1026371
2019-02-27,70.94,4747467
2019-02-28,70.99,1848274
2019-03-01,69.69,1711267
2019-03-04,70.49,1106405
2019-03-05,71.22,1328568
2019-03-06,69.18,937317
2019-03-07,69.81,786115
2019-03-08,70.46,1151507
2019-03-11,73.92,1375372
2019-03-12,74.88,1115934
2019-03-13,76.61,1287643
2019-03-14,77.44,1223966
2019-03-15,78.54,1288397
2019-03-18,79.52,1364307
2019-03-19,79.61,1172853
2019-03-20,80.21,930448
2019-03-21,80.5,1579203
2019-03-22,78.9,790899
2019-03-25,79.04,906499
2019-03-26,80.18,931423
2019-03-27,77.03,1331045
2019-03-28,79.75,1126580
2019-03-29,81.17,893002
2019-04-01,81.31,893467
2019-04-02,81.74,876697
2019-04-03,84.89,2015870
2019-04-04,82.15,1154950
2019-04-05,84.99,1381057
2019-04-08,86.14,1274582
2019-04-09,83.72,1114000
2019-04-10,85.62,909114
2019-04-11,83.76,891300
2019-04-12,84.61,680018
2019-04-15,83.88,1000835
2019-04-16,83.28,1196304
2019-04-17,72.67,3767748
2019-04-18,72.99,2181791
2019-04-22,72.64,1130168
2019-04-23,75.0,1110393
2019-04-24,73.33,1665422
2019-04-25,73.86,1008017
2019-04-26,74.73,956705
2019-04-29,74.38,889701
2019-04-30,74.33,935393
2019-05-01,73.57,720273
2019-05-02,72.21,1577639
2019-05-03,73.46,1177674
2019-05-06,72.74,1153472
2019-05-07,67.62,2450493
2019-05-08,68.65,5360908
2019-05-09,67.36,2001604
2019-05-10,69.28,1401315
2019-05-13,66.55,1425172
2019-05-14,66.74,1687320
2019-05-15,66.55,1163552
2019-05-16,67.78,988262
2019-05-17,67.4,1013423
2019-05-20,67.46,1092484
2019-05-21,69.24,1022715
2019-05-22,68.56,1236153
2019-05-23,67.14,1265558
2019-05-24,64.72,2588017
2019-05-28,65.04,8094383
2019-05-29,64.42,1390529
2019-05-30,64.72,1076653
2019-05-31,65.6,1506063
2019-06-03,64.91,1563202
2019-06-04,65.57,1592348
2019-06-05,66.27,736669
2019-06-06,63.49,1083050
2019-06-07,63.68,1034104
2019-06-10,63.9,1015866
2019-06-11,63.36,1144593
2019-06-12,64.44,1121685
2019-06-13,63.88,848755
2019-06-14,62.09,902546
2019-06-17,64.73,1133488
2019-06-18,64.9,844560
2019-06-19,65.24,806448
2019-06-20,64.92,1042927
2019-06-21,64.33,1191049
2019-06-24,63.84,827981
2019-06-25,64.46,659199
2019-06-26,63.59,875357
2019-06-27,64.69,797021
2019-06-28,64.27,1936144
2019-07-01,64.8,1037514
2019-07-02,66.01,1304857
2019-07-03,65.56,972655
2019-07-05,64.57,742276
2019-07-08,64.02,779805
2019-07-09,65.59,914353
2019-07-10,65.2,919435
2019-07-11,65.45,807960
2019-07-12,65.52,946635
2019-07-15,67.86,1087011
2019-07-16,67.61,984454
2019-07-17,67.41,574461
2019-07-18,70.44,1326108
2019-07-19,68.76,1325115
2019-07-22,68.88,952422
2019-07-23,63.96,3517656
2019-07-24,62.96,1325909
2019-07-25,63.0,910692
2019-07-26,63.93,723090
2019-07-29,64.33,704412
2019-07-30,65.53,986562
2019-07-31,65.86,1080355
2019-08-01,66.07,829879
2019-08-02,64.49,811522
2019-08-05,62.0,1004268
2019-08-06,64.07,2208301
2019-08-07,67.68,1536056
2019-08-08,68.3,1212450
2019-08-09,68.44,969755
2019-08-12,68.06,1340220
2019-08-13,67.05,1280705
2019-08-14,66.93,845495
2019-08-15,67.48,920589
2019-08-16,69.08,626393
2019-08-19,70.0,917905
2019-08-20,70.98,980645
2019-08-21,72.15,854755
2019-08-22,67.85,1155997
2019-08-23,67.96,1118712
2019-08-26,67.6,728774
2019-08-27,66.14,1250719
2019-08-28,64.2,1191511
2019-08-29,64.1,799177
2019-08-30,63.21,614946
2019-09-03,62.06,1029483
2019-09-04,62.19,1391004
2019-09-05,62.76,635826
2019-09-06,61.75,717688
2019-09-09,60.12,1109804
2019-09-10,62.79,1357199
2019-09-11,64.83,833422
2019-09-12,66.88,1460254
2019-09-13,66.2,1903070
2019-09-16,65.13,882318
2019-09-17,64.78,723790
2019-09-18,63.11,686524
2019-09-19,62.94,716809
2019-09-20,62.71,1600778
2019-09-23,61.0,1235386
2019-09-24,61.25,1093238
2019-09-25,61.32,1079516
2019-09-26,59.32,1149953
2019-09-27,59.06,1058961
2019-09-30,59.91,833119
