date,close,volume
2019-05-14,25.01,402316
2019-05-15,25.06,6123
2019-05-16,25.4,110271
2019-05-17,25.11,73844
2019-05-20,25.02,37617
2019-05-21,25.04,8167
2019-05-22,25.05,25297
2019-05-23,25.07,16569
2019-05-24,25.16,20634
2019-05-28,25.19,14488
2019-05-29,25.31,23918
2019-05-30,25.48,8401
2019-05-31,25.67,47749
2019-06-03,25.89,33992
2019-06-04,26.11,41267
2019-06-05,26.25,108543
2019-06-06,26.33,45363
2019-06-07,26.21,92817
2019-06-10,25.82,299853
2019-06-11,25.81,45550
2019-06-12,25.78,26382
2019-06-13,25.76,21388
2019-06-14,25.77,17001
2019-06-17,25.73,30461
2019-06-18,25.78,5463
2019-06-19,25.88,25095
2019-06-20,26.18,100797
2019-06-21,26.0,15998
2019-06-24,26.08,21916
2019-06-25,26.0,12245
2019-06-26,25.95,6098
2019-06-27,25.95,3673
2019-06-28,25.97,7156
2019-07-01,25.9,14747
2019-07-02,25.93,21377
2019-07-03,25.89,4711
2019-07-05,25.84,5136
2019-07-08,25.71,16208
2019-07-09,25.76,13676
2019-07-10,25.83,10615
2019-07-11,26.06,201026
2019-07-12,25.97,18099
2019-07-15,25.99,1009
2019-07-16,25.97,2649
2019-07-17,26.0,2383
2019-07-18,26.02,6185
2019-07-19,26.05,827088
2019-07-22,26.05,13753
2019-07-23,26.06,9802
2019-07-24,26.01,3312
2019-07-25,25.94,43926
2019-07-26,25.85,9741
2019-07-29,25.71,19013
2019-07-30,25.72,20068
2019-07-31,25.68,19803
2019-08-01,25.77,9682
2019-08-02,25.81,6248
2019-08-05,25.98,18836
2019-08-06,26.05,11191
2019-08-07,26.17,10859
2019-08-08,26.11,15606
2019-08-09,25.96,27517
2019-08-12,26.02,1013
2019-08-13,25.89,43652
2019-08-14,25.85,19300
2019-08-15,25.92,4043
2019-08-16,25.89,6606
2019-08-19,25.98,15533
2019-08-20,26.02,3461
2019-08-21,25.82,3167
2019-08-22,25.77,25350
2019-08-23,25.85,11000
2019-08-26,25.75,9003
2019-08-27,25.9,4328
2019-08-28,25.91,2269
2019-08-29,25.88,4854
2019-08-30,25.85,6727
