date,close,volume
2018-04-25,55.87,31098
2018-04-26,56.47,27496
2018-04-27,56.66,39130
2018-04-30,56.08,57256
2018-05-01,55.87,112814
2018-05-02,55.49,60863
2018-05-03,55.15,41651
2018-05-04,55.46,55278
2018-05-07,55.48,28553
2018-05-08,55.19,48138
2018-05-09,55.38,45163
2018-05-10,55.95,16360
2018-05-11,56.63,68760
2018-05-14,57.06,29294
2018-05-15,56.35,28721
2018-05-16,56.78,27186
2018-05-17,56.81,31112
2018-05-18,56.85,48816
2018-05-21,56.95,26214
2018-05-22,56.9,87925
2018-05-23,56.75,202394
2018-05-24,56.69,15398
2018-05-25,56.55,18185
2018-05-29,55.87,30260
2018-05-30,56.72,40075
2018-05-31,56.17,53300
2018-06-01,56.83,59232
2018-06-04,56.9,23875
2018-06-05,56.75,25530
2018-06-06,57.25,23095
2018-06-07,57.18,26816
2018-06-08,57.5,68097
2018-06-11,57.59,60234
2018-06-12,57.49,16638
2018-06-13,57.59,28032
2018-06-14,57.77,34773
2018-06-15,57.91,185541
2018-06-18,57.42,302235
2018-06-19,56.94,34395
2018-06-20,57.18,92778
2018-06-21,56.99,91840
2018-06-22,57.35,79232
2018-06-25,56.68,92933
2018-06-26,56.63,111264
2018-06-27,56.07,41108
2018-06-28,56.16,19953
2018-06-29,56.44,35951
2018-07-02,56.43,33326
2018-07-03,56.61,16030
2018-07-05,57.18,46821
2018-07-06,57.89,43274
2018-07-09,58.32,133560
2018-07-10,58.5,31710
2018-07-11,57.98,61280
2018-07-12,58.69,29307
2018-07-13,58.97,76082
2018-07-16,58.62,190498
2018-07-17,58.96,2349894
2018-07-18,58.99,1168248
2018-07-19,58.7,44810
2018-07-20,58.86,39794
2018-07-23,58.9,61254
2018-07-24,59.33,27261
2018-07-25,59.97,145660
2018-07-26,59.88,88362
2018-07-27,59.56,50026
2018-07-30,59.52,49777
2018-07-31,60.01,99160
2018-08-01,60.1,366729
2018-08-02,60.23,67106
2018-08-03,60.41,48802
2018-08-06,60.46,279038
2018-08-07,60.53,331474
2018-08-08,60.48,43943
2018-08-09,60.4,66789
2018-08-10,59.95,71893
2018-08-13,59.77,101613
2018-08-14,60.04,39090
2018-08-15,59.85,18613
2018-08-16,60.27,95077
2018-08-17,60.63,60124
2018-08-20,60.88,99540
2018-08-21,61.08,2266332
2018-08-22,61.14,1440141
2018-08-23,60.99,82245
2018-08-24,61.27,34115
2018-08-27,61.65,45644
2018-08-28,61.62,44540
2018-08-29,62.01,32048
2018-08-30,61.84,52381
2018-08-31,61.65,43065
2018-09-04,61.2,353487
2018-09-05,61.21,98951
2018-09-06,61.1,56522
2018-09-07,61.01,32194
2018-09-10,61.13,70412
2018-09-11,61.03,427966
2018-09-12,61.42,106944
2018-09-13,62.0,38841
2018-09-14,61.84,78120
2018-09-17,61.68,55692
2018-09-18,62.11,41882
2018-09-19,61.93,64282
2018-09-20,62.57,118946
2018-09-21,62.63,56188
2018-09-24,62.59,76959
2018-09-25,62.61,41142
2018-09-26,62.74,221652
2018-09-27,63.01,45685
2018-09-28,62.98,55580
2018-10-01,63.41,85467
2018-10-02,63.28,47321
2018-10-03,63.26,70337
2018-10-04,62.59,34404
2018-10-05,62.44,34528
2018-10-08,62.21,34435
2018-10-09,62.3,53273
2018-10-10,60.99,79665
2018-10-11,59.61,110724
2018-10-12,60.23,92779
2018-10-15,60.02,195755
2018-10-16,61.54,92721
2018-10-17,61.66,38310
2018-10-18,61.05,26768
2018-10-19,60.85,76149
2018-10-22,60.39,136944
2018-10-23,59.92,127057
2018-10-24,57.89,64246
2018-10-25,58.43,128249
2018-10-26,57.91,59309
2018-10-29,58.07,89385
2018-10-30,58.84,164130
2018-10-31,59.03,211403
2018-11-01,59.71,266693
2018-11-02,59.23,47417
2018-11-05,59.77,55144
2018-11-06,59.98,56301
2018-11-07,61.63,108046
2018-11-08,61.49,481238
2018-11-09,61.42,170635
2018-11-12,60.52,258077
2018-11-13,60.21,49696
2018-11-14,59.89,86767
2018-11-15,60.2,110892
2018-11-16,60.74,88472
2018-11-19,60.08,186089
2018-11-20,59.5,342775
2018-11-21,59.44,60769
2018-11-23,59.42,27358
2018-11-26,60.07,97790
2018-11-27,60.34,133820
2018-11-28,61.65,145333
2018-11-29,61.74,76619
2018-11-30,62.4,189400
2018-12-03,62.64,414153
2018-12-04,61.32,88342
2018-12-06,60.84,91512
2018-12-07,59.67,52965
2018-12-10,59.75,192711
2018-12-11,59.82,85597
2018-12-12,60.54,114544
2018-12-13,60.56,61158
2018-12-14,58.81,84817
2018-12-17,57.74,99132
2018-12-18,57.05,251687
2018-12-19,56.21,211445
2018-12-20,55.74,159513
2018-12-21,55.01,514360
2018-12-24,53.92,60764
2018-12-26,55.89,103668
2018-12-27,56.24,131543
2018-12-28,56.15,103831
2018-12-31,56.65,227054
2019-01-02,55.99,296090
2019-01-03,55.2,176424
2019-01-04,56.79,128304
2019-01-07,56.95,3067901
2019-01-08,57.54,4129605
2019-01-09,57.84,558062
2019-01-10,58.01,107625
2019-01-11,58.02,127884
2019-01-14,57.37,148755
2019-01-15,58.18,133839
2019-01-16,58.08,76739
2019-01-17,58.56,117058
2019-01-18,59.12,91841
2019-01-22,58.69,233873
2019-01-23,58.79,61105
2019-01-24,58.34,222234
2019-01-25,58.41,155479
2019-01-28,57.87,124032
