date,close,volume
2018-04-25,3.53,6485
2018-04-26,3.51,13442
2018-04-27,3.64,9007
2018-04-30,3.62,854
2018-05-01,3.65,5398
2018-05-02,3.69,4492
2018-05-03,3.57,1809
2018-05-04,3.6,13585
2018-05-07,3.63,4199
2018-05-08,3.53,4895
2018-05-09,3.53,3941
2018-05-10,3.51,8281
2018-05-11,3.43,5737
2018-05-14,3.34,22731
2018-05-15,3.49,17013
2018-05-16,3.35,18213
2018-05-17,3.38,7697
2018-05-18,3.42,6888
2018-05-21,3.44,18599
2018-05-22,3.49,4447
2018-05-23,3.95,139321
2018-05-24,3.75,16340
2018-05-25,3.88,14784
2018-05-29,3.97,29867
2018-05-30,3.96,16726
2018-05-31,4.05,7500
2018-06-01,4.13,10851
2018-06-04,4.03,14821
2018-06-05,4.02,62818
2018-06-06,4.14,10624
2018-06-07,4.1,4822
2018-06-08,4.08,3450
2018-06-11,4.23,9080
2018-06-12,4.06,9274
2018-06-13,4.08,19523
2018-06-14,4.01,11217
2018-06-15,3.75,19754
2018-06-18,3.65,30005
2018-06-19,3.76,30108
2018-06-20,4.05,25273
2018-06-21,3.76,8225
2018-06-22,3.75,8535
2018-06-25,4.06,7366
2018-06-26,3.78,1706
2018-06-27,3.73,1357
2018-06-28,4.03,2522
2018-06-29,3.81,7545
2018-07-02,3.82,4061
2018-07-03,3.79,3703
2018-07-05,3.8,3385
2018-07-06,3.87,12033
2018-07-09,3.62,20202
2018-07-10,3.62,9709
2018-07-11,3.57,17510
2018-07-12,3.61,13461
2018-07-13,3.6,43099
2018-07-16,3.69,6522
2018-07-17,3.61,1803
2018-07-18,3.69,33156
2018-07-19,3.61,1763
2018-07-20,3.75,642
2018-07-23,3.6,32392
2018-07-24,3.6,15310
2018-07-25,3.72,4484
2018-07-26,3.67,1403
2018-07-27,3.65,5796
2018-07-30,3.6,5555
2018-07-31,3.61,8316
2018-08-01,3.82,28394
2018-08-02,3.63,7941
2018-08-03,3.6,7864
2018-08-06,3.67,7785
2018-08-07,3.65,3310
2018-08-08,3.77,4880
2018-08-09,3.5,14361
2018-08-10,3.43,8298
2018-08-13,3.6,15359
2018-08-14,3.46,7358
2018-08-15,3.35,54169
2018-08-16,3.54,9059
2018-08-17,3.52,13458
2018-08-20,3.58,3080
2018-08-21,3.45,6427
2018-08-22,3.53,1472
2018-08-23,3.4,11941
2018-08-24,3.55,2787
2018-08-27,3.55,1043
2018-08-28,3.45,7864
2018-08-29,3.42,6730
2018-08-30,3.53,1821
2018-08-31,3.42,1865
2018-09-04,3.4,1919
2018-09-05,3.3,21751
2018-09-06,3.44,15236
2018-09-07,3.4,7294
2018-09-10,3.42,28731
2018-09-11,3.29,9073
2018-09-12,3.05,18146
2018-09-13,3.14,5556
2018-09-14,3.1,9925
2018-09-17,3.15,5550
2018-09-18,3.21,16520
2018-09-19,3.11,13857
2018-09-20,3.13,15846
2018-09-21,3.21,17494
2018-09-24,3.29,36120
2018-09-25,3.19,5048
2018-09-26,2.96,27571
2018-09-27,2.8,41831
2018-09-28,2.8,74876
2018-10-01,3.0,91720
2018-10-02,3.01,14331
2018-10-03,3.12,8368
2018-10-04,2.94,11902
2018-10-05,3.13,5859
2018-10-08,3.06,21666
2018-10-09,3.04,8085
2018-10-10,2.99,19549
2018-10-11,3.13,7383
2018-10-12,3.12,6534
2018-10-15,2.95,7032
2018-10-16,2.85,16974
2018-10-17,2.83,6357
2018-10-18,2.8,8034
2018-10-19,2.88,53836
2018-10-22,2.79,26525
2018-10-23,2.75,17580
2018-10-24,2.73,19680
2018-10-25,2.67,8809
2018-10-26,2.73,4295
2018-10-29,2.8,40297
2018-10-30,2.72,5578
2018-10-31,2.9,50524
2018-11-01,2.86,10844
2018-11-02,2.85,3972
2018-11-05,2.82,1776
2018-11-06,2.76,18018
2018-11-07,2.95,1600
2018-11-08,3.04,3203
2018-11-09,2.77,3209
2018-11-12,2.75,1614
2018-11-13,2.65,17766
2018-11-14,2.48,12833
2018-11-15,2.49,27241
2018-11-16,2.45,6378
2018-11-19,2.4,2579
2018-11-20,2.43,11733
2018-11-21,2.45,799
2018-11-23,2.42,241
2018-11-26,2.35,1678
2018-11-27,2.38,3382
2018-11-28,2.34,8980
2018-11-29,2.38,16361
2018-11-30,2.3,3809
2018-12-03,2.25,32713
2018-12-04,2.27,20903
2018-12-06,2.17,18126
2018-12-07,2.2,1763
2018-12-10,2.3,84146
2018-12-11,2.31,6637
2018-12-12,2.55,62429
2018-12-13,2.48,21126
2018-12-14,2.47,23762
2018-12-17,2.22,35431
2018-12-18,2.33,9050
2018-12-19,2.62,43338
2018-12-20,2.5,80920
2018-12-21,2.31,7795
2018-12-24,2.28,10272
2018-12-26,2.19,11403
2018-12-27,2.19,48481
2018-12-28,2.16,16882
2018-12-31,2.03,116081
2019-01-02,2.39,14532
2019-01-03,2.11,3707
2019-01-04,2.27,5266
2019-01-07,2.48,6502
2019-01-08,2.33,2233
2019-01-09,2.43,11474
2019-01-10,2.38,14882
2019-01-11,2.43,20883
2019-01-14,2.48,8096
2019-01-15,2.36,3123
2019-01-16,2.27,21559
2019-01-17,2.23,56640
2019-01-18,2.29,4181
2019-01-22,2.3,8435
2019-01-23,2.26,4720
2019-01-24,2.32,39806
2019-01-25,2.36,10383
2019-01-28,2.4,2690
2019-01-29,2.41,7609
2019-01-30,2.41,10264
2019-01-31,2.39,5989
2019-02-01,2.41,7440
2019-02-04,2.46,6760
2019-02-05,2.34,22051
2019-02-06,2.45,18819
2019-02-07,2.45,4800
2019-02-08,2.47,10904
2019-02-11,2.61,3647
2019-02-12,2.7,10633
2019-02-13,2.59,6680
2019-02-14,2.62,2088
2019-02-15,2.57,4647
2019-02-19,2.57,3575
2019-02-20,2.5,2691
2019-02-21,2.7,6122
2019-02-22,2.65,393
2019-02-25,2.66,2860
2019-02-26,2.54,5062
2019-02-27,2.61,1563
2019-02-28,2.57,7421
2019-03-01,2.58,7662
2019-03-04,2.6,18418
2019-03-05,2.67,3825
2019-03-06,2.5,6078
2019-03-07,2.85,75602
2019-03-08,2.8,17452
2019-03-11,2.8,11855
2019-03-12,2.85,1236
2019-03-13,2.79,3882
2019-03-14,2.9,15337
2019-03-15,2.78,10455
2019-03-18,2.78,5000
2019-03-19,2.8,2384
2019-03-20,2.75,7434
2019-03-21,2.71,12686
2019-03-22,2.73,4480
2019-03-25,2.71,5353
2019-03-26,2.66,2540
2019-03-27,2.61,3484
2019-03-28,2.64,955
2019-03-29,2.65,761
2019-04-01,2.53,13270
2019-04-02,2.62,4398
2019-04-03,2.61,17029
2019-04-04,2.57,1514
2019-04-05,2.8,19104
2019-04-08,2.95,6930
2019-04-09,2.89,3310
2019-04-10,2.92,29114
2019-04-11,2.9,13599
2019-04-12,2.97,7231
2019-04-15,2.93,6524
2019-04-16,2.92,2635
2019-04-17,2.89,1826
2019-04-18,2.81,12518
2019-04-22,2.76,13584
2019-04-23,2.8,4383
2019-04-24,2.82,12742
2019-04-25,2.84,6166
2019-04-26,2.77,41191
2019-04-29,2.76,4369
2019-04-30,2.86,10267
2019-05-01,2.85,1002
2019-05-02,2.79,16562
2019-05-03,2.8,2658
2019-05-06,2.89,41997
2019-05-07,2.99,496
2019-05-08,2.97,1122
2019-05-09,2.88,3436
2019-05-10,2.95,1992
2019-05-13,2.95,173
2019-05-14,2.89,1079
2019-05-15,2.82,6232
2019-05-16,2.74,3412
2019-05-17,2.79,3309
2019-05-20,2.81,3462
2019-05-21,2.78,3085
2019-05-22,2.74,15131
2019-05-23,2.8,1062
2019-05-24,2.78,9691
2019-05-28,2.82,10067
2019-05-29,2.9,3384
2019-05-30,2.9,8195
2019-05-31,2.83,2708
2019-06-03,2.88,3263
2019-06-04,2.93,627
2019-06-05,2.85,6275
2019-06-06,2.83,4637
2019-06-07,2.69,1897
2019-06-10,2.81,10023
2019-06-11,2.95,23290
2019-06-12,2.91,12096
2019-06-13,3.08,16362
2019-06-14,3.01,5681
2019-06-17,3.01,1389
2019-06-18,3.02,7571
2019-06-19,3.08,416
2019-06-20,3.03,1715
2019-06-21,3.05,4406
2019-06-24,3.08,2236
2019-06-25,3.05,32349
2019-06-26,3.05,1087
2019-06-27,3.02,2789
2019-06-28,3.01,32653
2019-07-01,3.12,17773
2019-07-02,3.0,1136
2019-07-03,3.0,1207
2019-07-05,3.03,1110
2019-07-08,3.07,4286
2019-07-09,3.01,1304
2019-07-10,3.07,2940
2019-07-11,3.02,2578
2019-07-12,3.14,20278
2019-07-15,3.11,4884
2019-07-16,3.01,1606
2019-07-17,3.31,58829
2019-07-18,3.21,3045
2019-07-19,3.34,6829
2019-07-22,3.33,4364
2019-07-23,3.25,4848
2019-07-24,3.28,6057
2019-07-25,3.3,494
2019-07-26,3.36,12641
2019-07-29,3.6,127140
2019-07-30,3.66,20426
2019-07-31,3.68,23851
2019-08-01,3.68,32857
2019-08-02,3.85,22464
2019-08-05,3.7,34876
2019-08-06,3.8,10784
2019-08-07,3.76,3989
2019-08-08,3.74,36531
2019-08-09,3.82,16143
2019-08-12,3.84,12911
2019-08-13,4.1,91608
2019-08-14,4.16,88122
2019-08-15,4.31,54042
2019-08-16,4.4,21800
2019-08-19,4.34,24933
2019-08-20,4.37,19255
2019-08-21,4.4,36232
2019-08-22,4.31,16915
2019-08-23,4.13,14073
2019-08-26,4.24,12855
2019-08-27,4.24,21269
2019-08-28,4.38,6230
2019-08-29,4.45,38375
2019-08-30,4.53,18001
2019-09-03,4.74,72340
2019-09-04,4.8,41389
2019-09-05,4.8,22120
2019-09-06,4.9,14986
2019-09-09,4.95,35120
2019-09-10,4.93,34399
2019-09-11,5.06,57706
2019-09-12,5.09,83415
2019-09-13,5.11,31243
2019-09-16,5.11,49512
2019-09-17,4.89,95530
2019-09-18,4.86,22001
2019-09-19,4.95,34197
2019-09-20,5.03,37646
2019-09-23,4.95,17007
2019-09-24,5.0,26416
2019-09-25,5.0,36142
2019-09-26,5.03,10631
2019-09-27,4.31,75274
2019-09-30,4.57,45802
2019-10-01,4.59,17823
2019-10-02,4.46,60056
2019-10-03,4.44,31858
2019-10-04,4.41,10657
2019-10-07,4.38,37865
2019-10-08,4.13,23901
2019-10-09,4.16,27871
2019-10-10,4.18,29958
2019-10-11,4.28,17468
2019-10-14,4.21,25728
2019-10-15,4.16,37415
2019-10-16,4.26,16080
2019-10-17,4.28,4826
2019-10-18,4.29,1348
2019-10-21,4.41,24784
2019-10-22,4.51,7449
2019-10-23,4.6,17512
2019-10-24,4.61,1306
2019-10-25,4.59,6709
2019-10-28,4.56,13090
2019-10-29,4.55,8516
2019-10-30,4.6,10822
2019-10-31,5.95,859573
2019-11-01,6.27,278873
2019-11-04,6.22,364895
2019-11-05,5.93,128445
2019-11-06,5.98,88667
2019-11-07,6.06,97836
2019-11-08,6.61,115741
2019-11-11,6.98,191265
2019-11-12,7.18,203012
2019-11-13,6.87,249232
2019-11-14,7.25,112253
2019-11-15,7.38,107931
2019-11-18,7.39,125783
2019-11-19,7.16,120272
2019-11-20,7.31,76889
2019-11-21,6.61,198354
2019-11-22,6.96,96028
2019-11-25,7.72,196595
2019-11-26,7.84,199634
2019-11-27,7.3,238997
2019-11-29,7.79,259224
2019-12-02,7.91,318638
2019-12-03,7.92,214299
2019-12-04,7.83,121479
2019-12-05,7.82,121033
2019-12-06,7.89,168027
2019-12-09,8.35,362667
2019-12-10,8.71,264554
2019-12-11,8.82,271393
2019-12-12,9.21,205775
2019-12-13,9.49,211469
2019-12-16,7.69,1177244
2019-12-17,7.3,254729
2019-12-18,6.52,382913
2019-12-19,6.85,225741
2019-12-20,6.99,175379
2019-12-23,6.65,186548
2019-12-24,6.53,57811
2019-12-26,6.73,79697
2019-12-27,6.33,185103
2019-12-30,6.16,190252
2019-12-31,6.17,75864
2020-01-02,6.25,78477
2020-01-03,6.21,72107
2020-01-06,6.17,88992
2020-01-07,6.3,53985
2020-01-08,6.6,88931
2020-01-09,6.64,103457
2020-01-10,6.35,83241
2020-01-13,6.25,113144
2020-01-14,6.08,56573
2020-01-15,6.27,58734
2020-01-16,6.49,93989
