date,close,volume
2018-04-25,16.13,53607
2018-04-26,16.13,69844
2018-04-27,16.09,41534
2018-04-30,16.13,39887
2018-05-01,16.11,107693
2018-05-02,16.16,46772
2018-05-03,16.07,43966
2018-05-04,16.04,33174
2018-05-07,16.03,39379
2018-05-08,16.14,37196
2018-05-09,15.98,48914
2018-05-10,16.0,34935
2018-05-11,16.01,54104
2018-05-14,15.92,47626
2018-05-15,15.89,66761
2018-05-16,15.87,41404
2018-05-17,15.86,77437
2018-05-18,15.83,127791
2018-05-21,15.79,61689
2018-05-22,15.74,62178
2018-05-23,15.79,53306
2018-05-24,15.76,57675
2018-05-25,15.73,49736
2018-05-29,15.66,94990
2018-05-30,15.63,106383
2018-05-31,15.68,60431
2018-06-01,15.71,73768
2018-06-04,15.55,254572
2018-06-05,15.44,156902
2018-06-06,15.52,89176
2018-06-07,15.64,84614
2018-06-08,15.63,59315
2018-06-11,15.62,52219
2018-06-12,15.65,57260
2018-06-13,15.58,39549
2018-06-14,15.55,42391
2018-06-15,15.47,102742
2018-06-18,15.39,88295
2018-06-19,15.39,62842
2018-06-20,15.35,59860
2018-06-21,15.4,63081
2018-06-22,15.43,53619
2018-06-25,15.43,36433
2018-06-26,15.4,41323
2018-06-27,15.43,56219
2018-06-28,15.45,85662
2018-06-29,15.44,92916
2018-07-02,15.38,76696
2018-07-03,15.36,35938
2018-07-05,15.31,65689
2018-07-06,15.27,90783
2018-07-09,15.32,104069
2018-07-10,15.42,44845
2018-07-11,15.41,65899
2018-07-12,15.32,48313
2018-07-13,15.37,22791
2018-07-16,15.31,49530
2018-07-17,15.29,55104
2018-07-18,15.3,26499
2018-07-19,15.37,24283
2018-07-20,15.32,38378
2018-07-23,15.4,39810
2018-07-24,15.49,49668
2018-07-25,15.43,55400
2018-07-26,15.49,33992
2018-07-27,15.5,47124
2018-07-30,15.52,48562
2018-07-31,15.6,24045
2018-08-01,15.63,92749
2018-08-02,15.65,29148
2018-08-03,15.7,113940
2018-08-06,15.72,52283
2018-08-07,15.77,77269
2018-08-08,15.78,38475
2018-08-09,15.86,60204
2018-08-10,15.84,57665
2018-08-13,15.85,55987
2018-08-14,15.8,62229
2018-08-15,15.8,86073
2018-08-16,15.89,88092
2018-08-17,15.83,68483
2018-08-20,15.93,48647
2018-08-21,15.9,166971
2018-08-22,15.94,97389
2018-08-23,15.91,32999
2018-08-24,16.03,55067
2018-08-27,16.04,29502
2018-08-28,16.06,45335
2018-08-29,16.03,78026
2018-08-30,15.88,125672
2018-08-31,15.88,82927
2018-09-04,15.93,40029
2018-09-05,15.83,75481
2018-09-06,15.82,33134
2018-09-07,15.67,151362
2018-09-10,15.79,30875
2018-09-11,15.78,174610
2018-09-12,15.85,61378
2018-09-13,15.68,40199
2018-09-14,15.75,185118
2018-09-17,15.69,33346
2018-09-18,15.6,112374
2018-09-19,15.63,82292
2018-09-20,15.69,92884
2018-09-21,15.69,69704
2018-09-24,15.75,29137
2018-09-25,15.7,36362
2018-09-26,15.71,36525
2018-09-27,15.76,38076
2018-09-28,15.59,49593
2018-10-01,15.72,26193
2018-10-02,15.7,31374
2018-10-03,15.61,68617
2018-10-04,15.43,84840
2018-10-05,15.32,100612
2018-10-08,15.35,44254
2018-10-09,15.4,53609
2018-10-10,15.14,75705
2018-10-11,15.03,52305
2018-10-12,14.95,80789
2018-10-15,14.94,48292
2018-10-16,15.2,139670
2018-10-17,15.1,31625
2018-10-18,15.1,23548
2018-10-19,14.98,33233
2018-10-22,14.91,47039
2018-10-23,14.81,58923
2018-10-24,14.81,30397
2018-10-25,14.84,51431
2018-10-26,14.74,91184
2018-10-29,14.71,52116
2018-10-30,14.65,44417
2018-10-31,14.58,36393
2018-11-01,14.7,38441
2018-11-02,14.69,16062
2018-11-05,14.81,27791
2018-11-06,14.82,41084
2018-11-07,14.89,32817
2018-11-08,14.9,30478
2018-11-09,14.98,37226
2018-11-12,14.98,53412
2018-11-13,14.79,40088
2018-11-14,14.65,25564
2018-11-15,14.58,96247
2018-11-16,14.44,41922
2018-11-19,14.28,75393
2018-11-20,14.13,56639
2018-11-21,14.08,77675
2018-11-23,14.2,46428
2018-11-26,14.22,45388
2018-11-27,14.14,82525
2018-11-28,14.23,63405
2018-11-29,14.24,89962
2018-11-30,14.22,79055
2018-12-03,14.36,51888
2018-12-04,14.38,113223
2018-12-06,14.24,71001
2018-12-07,14.25,64700
2018-12-10,14.23,53168
2018-12-11,14.16,86712
2018-12-12,14.26,51743
2018-12-13,14.14,148435
2018-12-14,14.03,59601
2018-12-17,13.79,190314
2018-12-18,13.75,162423
2018-12-19,13.64,122289
2018-12-20,13.3,176779
2018-12-21,13.28,159159
2018-12-24,13.32,43220
2018-12-26,13.51,127744
2018-12-27,13.84,148073
2018-12-28,13.71,133364
2018-12-31,13.65,114340
2019-01-02,13.7,67769
2019-01-03,13.73,71714
2019-01-04,13.96,89468
2019-01-07,14.29,98706
2019-01-08,14.57,63361
2019-01-09,14.53,32042
2019-01-10,14.56,38311
2019-01-11,14.67,53605
2019-01-14,14.51,25962
2019-01-15,14.34,50653
2019-01-16,14.39,62103
2019-01-17,14.38,93521
2019-01-18,14.41,101893
2019-01-22,14.44,38086
2019-01-23,14.46,123814
2019-01-24,14.46,234585
2019-01-25,14.54,82225
2019-01-28,14.68,26746
2019-01-29,14.61,24865
2019-01-30,14.67,32861
2019-01-31,14.88,55579
2019-02-01,14.85,42215
2019-02-04,14.94,27962
2019-02-05,14.98,51814
2019-02-06,15.05,181784
2019-02-07,15.03,42462
2019-02-08,15.0,27909
2019-02-11,15.09,30782
2019-02-12,14.99,83706
2019-02-13,15.02,50422
2019-02-14,14.95,92649
2019-02-15,14.98,124217
2019-02-19,14.97,40302
2019-02-20,14.99,51868
2019-02-21,15.0,35653
2019-02-22,15.04,64292
2019-02-25,15.05,50356
2019-02-26,15.03,21062
2019-02-27,15.09,30092
2019-02-28,15.14,44927
2019-03-01,15.18,47139
2019-03-04,15.17,94240
2019-03-05,15.18,59408
2019-03-06,15.14,46673
2019-03-07,15.07,81869
2019-03-08,15.04,115247
2019-03-11,15.09,49800
2019-03-12,15.15,66083
2019-03-13,15.18,74584
2019-03-14,15.02,40858
2019-03-15,15.04,39938
2019-03-18,15.16,50159
2019-03-19,15.19,161895
2019-03-20,15.35,66440
2019-03-21,15.22,46178
2019-03-22,15.22,34202
2019-03-25,15.21,30256
2019-03-26,15.2,18253
2019-03-27,15.15,45909
2019-03-28,15.15,50186
2019-03-29,15.16,62966
2019-04-01,15.25,62637
2019-04-02,15.27,45589
2019-04-03,15.3,45290
2019-04-04,15.34,39590
2019-04-05,15.39,50864
2019-04-08,15.45,39358
2019-04-09,15.43,36989
2019-04-10,15.54,45407
2019-04-11,15.6,58681
2019-04-12,15.55,49807
2019-04-15,15.53,30688
2019-04-16,15.54,35271
2019-04-17,15.51,45026
2019-04-18,15.49,32975
2019-04-22,15.52,44479
2019-04-23,15.57,68059
2019-04-24,15.58,44787
2019-04-25,15.63,54023
2019-04-26,15.63,48041
2019-04-29,15.67,35199
2019-04-30,15.73,63586
2019-05-01,15.74,109865
2019-05-02,15.77,68978
2019-05-03,15.74,35902
2019-05-06,15.71,48524
2019-05-07,15.62,56274
2019-05-08,15.68,72360
2019-05-09,15.65,82275
2019-05-10,15.71,104943
2019-05-13,15.61,36647
2019-05-14,15.57,36913
2019-05-15,15.39,62175
2019-05-16,15.29,89604
2019-05-17,15.25,42398
2019-05-20,15.33,63203
2019-05-21,15.45,71714
2019-05-22,15.52,58823
2019-05-23,15.45,23745
2019-05-24,15.43,26498
2019-05-28,15.45,37805
2019-05-29,15.29,30674
2019-05-30,15.22,44781
2019-05-31,15.09,49922
2019-06-03,14.91,57193
2019-06-04,15.08,55194
2019-06-05,15.15,30703
2019-06-06,15.23,28280
2019-06-07,15.32,43427
2019-06-10,15.27,106842
2019-06-11,15.28,104506
2019-06-12,15.31,74732
2019-06-13,15.21,39750
2019-06-14,15.21,28603
2019-06-17,15.21,70473
2019-06-18,15.23,90427
2019-06-19,15.28,68613
2019-06-20,15.34,62334
2019-06-21,15.31,36563
2019-06-24,15.37,62219
2019-06-25,15.27,69554
2019-06-26,15.33,46287
2019-06-27,15.39,75050
2019-06-28,15.47,93970
2019-07-01,15.44,101025
2019-07-02,15.49,118315
2019-07-03,15.52,84233
2019-07-05,15.41,119099
2019-07-08,15.48,107565
2019-07-09,15.51,104679
2019-07-10,15.57,100056
2019-07-11,15.51,86049
2019-07-12,15.41,73888
2019-07-15,15.42,62163
2019-07-16,15.39,44417
2019-07-17,15.37,120050
2019-07-18,15.35,35738
2019-07-19,15.31,45618
2019-07-22,15.35,42766
2019-07-23,15.4,156949
2019-07-24,15.45,83789
2019-07-25,15.39,22820
2019-07-26,15.47,56197
2019-07-29,15.47,44994
2019-07-30,15.49,114457
2019-07-31,15.52,53858
2019-08-01,15.52,61336
2019-08-02,15.46,29857
2019-08-05,15.22,46391
2019-08-06,15.3,70330
2019-08-07,15.26,35723
2019-08-08,15.28,32631
2019-08-09,15.31,25969
2019-08-12,15.18,93841
2019-08-13,15.2,103490
2019-08-14,14.97,121457
2019-08-15,14.99,67002
2019-08-16,14.88,128263
2019-08-19,14.95,83334
2019-08-20,15.06,59418
2019-08-21,15.2,123411
2019-08-22,15.2,52742
2019-08-23,15.12,54068
2019-08-26,15.13,28397
2019-08-27,15.04,52451
2019-08-28,15.1,38935
2019-08-29,15.13,57855
2019-08-30,15.1,42893
