date,close,volume
2018-09-28,25.13,109411
2018-10-01,25.13,340
2018-10-02,25.13,1
2018-10-03,25.13,40
2018-10-04,25.13,0
2018-10-05,25.13,0
2018-10-08,25.13,0
2018-10-09,24.03,512
2018-10-10,23.39,2004
2018-10-11,23.39,0
2018-10-12,23.39,0
2018-10-15,23.39,0
2018-10-16,24.0,710
2018-10-17,24.0,0
2018-10-18,24.0,0
2018-10-19,24.0,0
2018-10-22,24.0,0
2018-10-23,24.0,0
2018-10-24,24.0,0
2018-10-25,24.0,0
2018-10-26,24.0,0
2018-10-29,22.41,300
2018-10-30,22.41,0
2018-10-31,22.41,0
2018-11-01,22.41,0
2018-11-02,22.41,0
2018-11-05,22.41,0
2018-11-06,22.41,0
2018-11-07,24.42,1989
2018-11-08,23.82,24386
2018-11-09,23.45,400
2018-11-12,23.18,3615
2018-11-13,23.41,6600
2018-11-14,23.58,5959143
2018-11-15,23.96,13771
2018-11-16,23.95,5803948
2018-11-19,23.76,10788
2018-11-20,23.43,400
2018-11-21,23.69,862
2018-11-23,23.45,100
2018-11-26,23.69,425
2018-11-27,23.73,74508
2018-11-28,24.3,633
2018-11-29,24.3,0
2018-11-30,24.1,100
2018-12-03,24.54,112
2018-12-04,24.07,91515
2018-12-06,23.83,11228
2018-12-07,23.5,7071
2018-12-10,23.22,1489
2018-12-11,23.31,1468
2018-12-12,23.69,2546
2018-12-13,23.77,33135
2018-12-14,23.45,200
2018-12-17,23.19,2147
2018-12-18,23.35,8213
2018-12-19,23.04,7324
2018-12-20,23.18,412
2018-12-21,22.93,825
2018-12-24,22.77,4473
2018-12-26,23.18,47054
2018-12-27,23.15,5706
2018-12-28,23.27,103309
2018-12-31,23.22,60688
2019-01-02,23.25,296
2019-01-03,22.87,4343
2019-01-04,23.62,4558
2019-01-07,23.68,2044
2019-01-08,23.72,800
2019-01-09,24.15,3000
2019-01-10,24.29,2018
2019-01-11,24.19,400
2019-01-14,24.02,2300
2019-01-15,24.21,12889
2019-01-16,24.48,1237
2019-01-17,24.55,300
2019-01-18,24.72,4953
2019-01-22,24.35,2107
2019-01-23,24.55,1356
2019-01-24,24.78,300
2019-01-25,25.09,891
2019-01-28,24.81,5178
2019-01-29,24.88,6025961
2019-01-30,25.39,1282
2019-01-31,25.62,1279
2019-02-01,25.44,2871
2019-02-04,25.48,825
2019-02-05,25.77,208
2019-02-06,25.49,3336
2019-02-07,25.19,1196
2019-02-08,25.06,1661
2019-02-11,24.97,2593
2019-02-12,25.18,718
2019-02-13,25.02,500
2019-02-14,25.08,5998570
2019-02-15,25.02,389
2019-02-19,25.19,6657641
2019-02-20,25.35,7702
2019-02-21,25.28,13642
2019-02-22,25.57,335
2019-02-25,25.79,202
2019-02-26,25.71,5300
2019-02-27,25.53,9961
2019-02-28,25.22,81024
2019-03-01,25.23,1355
2019-03-04,25.23,1168
2019-03-05,25.45,310
2019-03-06,25.32,28350
2019-03-07,24.93,86382
2019-03-08,24.74,16942
2019-03-11,25.19,16
2019-03-12,25.3,8659
2019-03-13,25.3,2666
2019-03-14,25.16,75414
2019-03-15,25.58,20453
2019-03-18,25.87,4638
2019-03-19,25.92,6508
2019-03-20,25.97,7819
2019-03-21,26.0,86085
2019-03-22,25.29,2021
2019-03-25,25.26,3738
2019-03-26,25.36,1
2019-03-27,25.13,17739
2019-03-28,25.32,331
2019-03-29,25.55,3898
2019-04-01,25.98,3910
2019-04-02,25.88,2806
2019-04-03,26.05,1392
2019-04-04,26.15,3671
2019-04-05,26.32,2092
2019-04-08,26.27,1222
2019-04-09,26.25,951
2019-04-10,26.4,18496
2019-04-11,26.11,12187
2019-04-12,26.26,6016
2019-04-15,26.15,2900
2019-04-16,26.34,19165
2019-04-17,26.41,1323
2019-04-18,26.36,4044
2019-04-22,26.26,364788
2019-04-23,26.23,8073
2019-04-24,25.87,6078
2019-04-25,25.82,234
2019-04-26,25.96,3432
2019-04-29,26.05,4019
2019-04-30,26.02,4479
2019-05-01,25.84,6868
2019-05-02,25.87,2544
2019-05-03,26.16,1458
2019-05-06,25.7,865
2019-05-07,25.23,5713
2019-05-08,25.19,4143
2019-05-09,24.78,2505
2019-05-10,24.86,15027
2019-05-13,24.11,12872
2019-05-14,24.44,200
2019-05-15,24.45,4652
2019-05-16,24.41,861
2019-05-17,24.0,6654
2019-05-20,24.01,30700
2019-05-21,24.24,901
2019-05-22,24.2,1271
2019-05-23,23.9,8095
2019-05-24,23.99,4556
2019-05-28,23.96,3696
