date,close,volume
2018-04-25,58.24,38444
2018-04-26,58.92,19963
2018-04-27,59.15,23386
2018-04-30,58.82,19375
2018-05-01,58.51,16120
2018-05-02,58.16,50140
2018-05-03,58.06,27323
2018-05-04,58.29,19191
2018-05-07,57.83,16360
2018-05-08,58.06,31587
2018-05-09,57.93,16729
2018-05-10,59.21,16531
2018-05-11,59.08,20469
2018-05-14,59.38,12142
2018-05-15,58.23,10877
2018-05-16,59.13,15250
2018-05-17,58.33,13317
2018-05-18,57.74,16445
2018-05-21,58.07,13693
2018-05-22,58.21,26301
2018-05-23,58.13,16900
2018-05-24,57.69,6153
2018-05-25,57.75,8902
2018-05-29,56.42,25229
2018-05-30,56.93,14257
2018-05-31,57.07,6086
2018-06-01,57.53,8647
2018-06-04,58.15,9898
2018-06-05,57.68,62258
2018-06-06,58.23,17483
2018-06-07,57.5,14891
2018-06-08,57.53,8512
2018-06-11,57.3,42750
2018-06-12,57.18,11044
2018-06-13,56.85,20405
2018-06-14,56.41,19574
2018-06-15,56.2,24533
2018-06-18,55.38,28652
2018-06-19,55.02,56976
2018-06-20,55.15,14475
2018-06-21,54.51,34464
2018-06-22,54.89,9534
2018-06-25,54.46,58654
2018-06-26,53.7,100779
2018-06-27,52.63,41768
2018-06-28,53.08,21686
2018-06-29,53.99,11495
2018-07-02,53.56,25385
2018-07-03,53.59,39795
2018-07-05,53.59,53430
2018-07-06,54.07,15986
2018-07-09,55.01,19909
2018-07-10,55.02,15931
2018-07-11,53.9,78775
2018-07-12,54.68,9541
2018-07-13,54.71,18612
2018-07-16,54.35,78221
2018-07-17,54.84,8648
2018-07-18,54.7,23335
2018-07-19,54.29,23529
2018-07-20,55.12,11328
2018-07-23,54.84,10031
2018-07-24,55.6,9073
2018-07-25,56.42,30134
2018-07-26,55.74,9306
2018-07-27,55.96,12093
2018-07-30,56.01,13650
2018-07-31,56.23,12698
2018-08-01,55.93,5720
2018-08-02,55.48,30269
2018-08-03,55.86,9344
2018-08-06,55.45,31567
2018-08-07,55.91,7706
2018-08-08,55.89,15436
2018-08-09,55.71,9427
2018-08-10,54.5,7733
2018-08-13,53.82,15049
2018-08-14,54.19,11866
2018-08-15,52.83,10813
2018-08-16,53.18,112603
2018-08-17,53.5,15991
2018-08-20,53.67,13544
2018-08-21,54.19,8130
2018-08-22,54.69,12338
2018-08-23,53.97,21105
2018-08-24,54.88,8412
2018-08-27,55.56,18104
2018-08-28,55.31,11104
2018-08-29,55.57,55293
2018-08-30,54.15,15068
2018-08-31,54.6,5235
2018-09-04,53.53,12837
2018-09-05,52.95,10880
2018-09-06,53.1,5675
2018-09-07,52.82,42573
2018-09-10,52.54,11520
2018-09-11,52.51,17072
2018-09-12,52.72,28171
2018-09-13,53.29,15983
2018-09-14,53.42,15710
2018-09-17,53.15,62377
2018-09-18,53.66,13201
2018-09-19,54.28,21467
2018-09-20,54.51,401515
2018-09-21,54.83,10565
2018-09-24,54.34,18739
2018-09-25,53.76,11687
2018-09-26,53.78,12027
2018-09-27,54.26,29126
2018-09-28,54.05,9559
2018-10-01,54.12,10606
2018-10-02,53.67,17241
2018-10-03,53.36,27453
2018-10-04,52.2,51158
2018-10-05,52.12,14652
2018-10-08,52.47,29327
2018-10-09,52.44,15057
2018-10-10,51.19,31893
2018-10-11,50.78,35590
2018-10-12,51.79,13321
2018-10-15,51.57,28943
2018-10-16,52.48,156538
2018-10-17,52.05,49127
2018-10-18,50.82,24416
2018-10-19,51.4,11185
2018-10-22,51.63,81269
2018-10-23,51.19,25403
2018-10-24,49.89,23663
2018-10-25,50.6,18330
2018-10-26,50.28,14158
2018-10-29,49.44,61979
2018-10-30,50.48,154485
2018-10-31,50.77,21205
2018-11-01,52.23,20057
2018-11-02,52.26,18777
2018-11-05,52.51,54172
2018-11-06,52.36,30059
2018-11-07,53.3,60024
2018-11-08,52.0,42572
2018-11-09,51.37,55049
2018-11-12,50.7,67780
2018-11-13,51.22,29011
2018-11-14,51.36,20094
2018-11-15,52.16,40651
2018-11-16,52.28,51661
2018-11-19,51.88,43657
2018-11-20,50.94,56189
2018-11-21,51.53,38818
2018-11-23,51.21,16723
2018-11-26,51.34,27141
2018-11-27,51.56,24741
2018-11-28,52.59,62252
2018-11-29,52.52,31535
2018-11-30,52.35,133698
2018-12-03,53.17,73407
2018-12-04,52.15,172646
2018-12-06,51.77,35167
2018-12-07,50.95,169262
2018-12-10,50.54,398006
2018-12-11,50.76,55771
2018-12-12,51.48,39559
2018-12-13,51.65,146583
2018-12-14,50.99,42167
2018-12-17,50.68,104486
2018-12-18,50.82,43718
2018-12-19,50.4,40594
2018-12-20,50.76,66959
2018-12-21,50.2,68173
2018-12-24,49.67,17607
2018-12-26,50.42,78588
2018-12-27,50.49,46649
2018-12-28,50.92,194615
2018-12-31,50.84,200404
2019-01-02,51.13,45557
2019-01-03,50.43,16107
2019-01-04,51.89,24732
2019-01-07,51.8,24150
2019-01-08,51.94,16078
2019-01-09,52.62,16979
2019-01-10,52.94,27096
2019-01-11,52.7,21453
2019-01-14,52.57,41506
2019-01-15,52.61,34161
2019-01-16,53.08,24608
2019-01-17,53.45,96416
2019-01-18,53.49,71014
2019-01-22,52.8,70912
2019-01-23,53.31,32611
2019-01-24,53.72,30765
2019-01-25,54.08,58241
2019-01-28,53.48,63586
2019-01-29,53.52,71719
2019-01-30,54.39,38081
2019-01-31,54.97,24156
2019-02-01,54.7,54048
2019-02-04,54.71,139801
2019-02-05,55.26,25931
2019-02-06,54.65,44933
2019-02-07,54.29,42804
2019-02-08,54.14,79329
2019-02-11,53.6,28968
2019-02-12,54.08,54906
2019-02-13,53.72,29521
2019-02-14,53.87,21878
2019-02-15,53.79,250499
2019-02-19,54.07,17645
2019-02-20,54.27,10526
2019-02-21,54.34,26273
2019-02-22,54.77,21244
2019-02-25,55.16,27406
2019-02-26,55.08,11937
2019-02-27,54.54,36345
2019-02-28,53.92,9338
2019-03-01,53.99,39488
2019-03-04,53.92,12314
2019-03-05,54.22,45313
2019-03-06,53.88,13147
2019-03-07,53.23,13233
2019-03-08,52.97,34497
2019-03-11,53.8,29788
2019-03-12,53.86,31747
2019-03-13,54.12,49189
2019-03-14,53.87,11472
2019-03-15,54.45,51918
2019-03-18,55.27,32823
2019-03-19,55.21,22862
2019-03-20,55.24,14120
2019-03-21,55.14,15876
2019-03-22,53.62,30050
2019-03-25,53.9,210999
2019-03-26,54.17,12716
2019-03-27,53.38,12570
2019-03-28,53.89,6741
2019-03-29,54.24,16241
2019-04-01,54.97,70159
2019-04-02,54.78,10444
2019-04-03,55.04,228719
2019-04-04,55.32,17988
2019-04-05,55.65,12848
2019-04-08,55.63,33264
2019-04-09,55.59,103641
2019-04-10,55.73,32278
2019-04-11,55.18,33368
2019-04-12,55.3,22563
2019-04-15,55.39,64521
2019-04-16,55.58,46691
2019-04-17,55.68,32469
2019-04-18,55.82,107783
2019-04-22,55.64,17874
2019-04-23,55.62,38650
2019-04-24,55.07,23657
2019-04-25,55.16,103749
2019-04-26,55.32,126734
2019-04-29,55.32,108402
2019-04-30,55.44,22835
2019-05-01,55.0,29721
2019-05-02,54.97,20649
2019-05-03,55.49,25265
2019-05-06,54.75,19159
2019-05-07,53.82,122251
2019-05-08,53.73,36993
2019-05-09,53.01,194302
2019-05-10,53.55,19200
2019-05-13,51.83,17677
2019-05-14,52.43,16106
2019-05-15,52.45,20468
2019-05-16,52.3,65817
2019-05-17,51.48,46694
2019-05-20,51.84,10207
2019-05-21,52.39,31204
2019-05-22,52.39,37685
2019-05-23,51.84,16009
2019-05-24,52.03,11300
2019-05-28,52.27,9835
2019-05-29,52.71,7157
2019-05-30,53.02,10913
2019-05-31,53.43,136217
2019-06-03,53.93,88965
2019-06-04,54.13,23051
2019-06-05,53.68,17960
2019-06-06,53.83,13173
2019-06-07,54.21,18647
2019-06-10,54.45,12869
2019-06-11,54.97,9812
2019-06-12,54.43,30216
2019-06-13,54.57,11962
2019-06-14,53.97,21940
2019-06-17,54.07,12118
2019-06-18,55.08,17076
2019-06-19,55.57,13343
2019-06-20,56.27,45481
2019-06-21,56.17,165982
2019-06-24,56.09,22584
2019-06-25,55.04,21893
2019-06-26,55.4,23494
2019-06-27,55.71,17882
2019-06-28,55.62,24218
2019-07-01,56.2,44305
2019-07-02,56.12,18781
2019-07-03,56.17,5753
2019-07-05,56.01,44379
2019-07-08,56.07,12680
2019-07-09,55.82,16195
2019-07-10,56.28,104449
2019-07-11,56.19,125307
2019-07-12,56.08,33111
2019-07-15,56.19,55236
2019-07-16,56.23,41063
2019-07-17,56.17,49737
2019-07-18,56.56,26899
2019-07-19,56.14,42066
2019-07-22,55.99,25443
2019-07-23,55.99,26135
2019-07-24,56.02,118351
2019-07-25,55.59,34312
2019-07-26,55.55,25631
2019-07-29,55.74,27075
2019-07-30,55.25,32467
2019-07-31,54.7,23126
2019-08-01,53.95,33962
2019-08-02,53.47,22526
2019-08-05,51.94,109639
2019-08-06,52.55,41689
2019-08-07,52.76,71778
2019-08-08,53.54,25812
2019-08-09,52.98,22242
2019-08-12,52.27,27157
2019-08-13,52.76,39047
2019-08-14,51.25,75659
2019-08-15,51.36,66899
2019-08-16,51.96,24776
2019-08-19,51.87,41620
2019-08-20,52.14,48675
2019-08-21,52.42,26062
2019-08-22,52.04,17669
2019-08-23,51.45,9430
2019-08-26,51.4,16915
2019-08-27,51.44,14977
2019-08-28,51.55,48136
2019-08-29,52.18,19132
2019-08-30,52.47,102549
2019-09-03,52.35,10731
2019-09-04,52.93,104939
2019-09-05,53.49,22142
2019-09-06,53.69,31417
2019-09-09,53.55,81983
2019-09-10,53.66,37724
2019-09-11,53.98,47974
2019-09-12,54.22,50486
2019-09-13,54.38,19403
2019-09-16,54.24,18894
2019-09-17,54.25,15262
2019-09-18,54.0,16264
2019-09-19,53.64,30257
2019-09-20,53.68,123404
2019-09-23,53.64,31534
2019-09-24,52.64,22686
2019-09-25,52.77,17961
2019-09-26,52.65,42490
2019-09-27,52.32,16676
2019-09-30,52.45,24291
2019-10-01,52.07,16126
2019-10-02,51.7,16102
2019-10-03,52.15,13408
2019-10-04,52.58,13799
2019-10-07,52.11,12737
2019-10-08,51.78,13406
2019-10-09,52.16,178021
2019-10-10,52.62,124710
2019-10-11,53.39,23241
2019-10-14,53.21,17788
2019-10-15,53.35,17285
2019-10-16,53.62,13949
2019-10-17,53.69,19229
2019-10-18,53.7,16312
2019-10-21,53.99,9784
2019-10-22,54.3,12264
2019-10-23,54.4,13668
2019-10-24,54.44,26197
2019-10-25,54.65,10133
2019-10-28,54.89,32754
2019-10-29,54.64,21094
2019-10-30,54.98,25252
2019-10-31,54.43,25867
2019-11-01,55.05,13367
2019-11-04,55.34,22930
2019-11-05,55.46,52757
2019-11-06,55.39,53012
2019-11-07,55.74,45885
2019-11-08,55.07,13398
2019-11-11,54.81,13844
2019-11-12,54.28,29202
2019-11-13,54.05,22272
2019-11-14,54.01,16739
2019-11-15,54.39,8278
2019-11-18,54.23,10658
2019-11-19,54.42,28730
2019-11-20,54.32,19361
2019-11-21,54.41,20560
2019-11-22,54.38,13242
2019-11-25,54.69,16086
2019-11-26,54.43,26659
2019-11-27,54.34,27834
2019-11-29,53.79,8751
2019-12-02,53.81,30116
2019-12-03,53.61,34349
2019-12-04,54.02,33912
2019-12-05,54.25,11728
2019-12-06,54.55,15014
2019-12-09,54.47,11839
2019-12-10,54.49,20451
2019-12-11,54.97,22475
2019-12-12,55.64,32979
2019-12-13,55.73,27785
2019-12-16,56.26,25300
2019-12-17,56.28,131644
2019-12-18,56.74,21577
2019-12-19,57.01,173007
2019-12-20,56.89,64914
2019-12-23,56.48,88491
2019-12-24,56.43,16009
2019-12-26,56.88,19844
2019-12-27,56.93,15640
2019-12-30,56.82,88028
2019-12-31,57.0,15953
2020-01-02,57.79,25937
2020-01-03,56.99,83062
2020-01-06,56.86,32142
2020-01-07,56.78,29528
2020-01-08,56.95,66235
2020-01-09,57.22,87035
2020-01-10,57.31,18455
2020-01-13,57.92,21065
2020-01-14,57.8,18590
2020-01-15,57.45,92642
2020-01-16,57.66,22634
2020-01-17,58.24,26067
2020-01-21,57.21,44588
2020-01-22,57.54,19263
2020-01-23,57.24,17408
2020-01-24,56.77,34314
2020-01-27,55.14,27255
2020-01-28,55.52,26629
2020-01-29,55.47,95714
2020-01-30,54.76,44875
2020-01-31,53.69,32039
2020-02-03,54.0,29447
2020-02-04,54.98,48843
2020-02-05,55.32,48976
2020-02-06,55.17,13542
2020-02-07,54.48,31322
2020-02-10,54.62,20708
2020-02-11,55.2,22082
2020-02-12,55.75,59473
2020-02-13,55.27,19588
2020-02-14,55.24,18548
2020-02-18,55.09,16621
2020-02-19,55.42,45398
2020-02-20,54.67,25632
2020-02-21,54.5,23749
2020-02-24,52.43,80737
2020-02-25,51.97,21562
2020-02-26,51.98,36343
2020-02-27,50.78,86621
2020-02-28,50.11,101637
2020-03-02,50.98,50557
2020-03-03,50.85,25960
2020-03-04,51.48,26780
2020-03-05,50.2,16622
2020-03-06,49.2,34809
2020-03-09,44.77,31554
2020-03-10,47.19,37948
2020-03-11,45.16,62183
2020-03-12,40.24,308008
2020-03-13,43.05,92580
2020-03-16,37.96,135875
2020-03-17,40.21,103967
2020-03-18,36.3,146932
2020-03-19,37.0,158568
2020-03-20,37.02,84236
2020-03-23,36.19,54581
2020-03-24,38.17,154915
2020-03-25,39.77,97245
2020-03-26,41.11,256648
2020-03-27,39.04,162399
