date,close,volume
2018-04-25,59.75,107720
2018-04-26,60.35,61462
2018-04-27,60.54,68951
2018-04-30,60.33,67666
2018-05-01,60.18,72975
2018-05-02,60.04,63167
2018-05-03,60.22,96875
2018-05-04,60.35,61994
2018-05-07,60.31,48545
2018-05-08,60.29,61738
2018-05-09,60.48,78005
2018-05-10,60.92,64004
2018-05-11,60.98,113479
2018-05-14,61.04,54655
2018-05-15,60.53,81366
2018-05-16,60.66,94982
2018-05-17,60.68,90215
2018-05-18,60.59,68860
2018-05-21,60.94,78291
2018-05-22,60.87,64413
2018-05-23,60.49,62682
2018-05-24,60.33,102738
2018-05-25,60.1,48928
2018-05-29,59.1,75358
2018-05-30,59.91,178449
2018-05-31,59.57,86231
2018-06-01,60.0,125389
2018-06-04,60.2,51167
2018-06-05,60.09,63488
2018-06-06,60.73,80704
2018-06-07,60.47,63153
2018-06-08,60.59,105680
2018-06-11,60.78,61941
2018-06-12,60.38,670554
2018-06-13,60.41,81987
2018-06-14,60.21,130203
2018-06-15,59.89,69218
2018-06-18,59.54,75580
2018-06-19,58.79,216631
2018-06-20,58.63,381729
2018-06-21,58.21,66889
2018-06-22,58.67,113967
2018-06-25,58.09,101644
2018-06-26,57.54,176767
2018-06-27,57.07,88628
2018-06-28,57.16,130501
2018-06-29,57.6,160871
2018-07-02,56.78,156822
2018-07-03,56.9,65990
2018-07-05,57.36,98352
2018-07-06,57.77,84558
2018-07-09,58.21,74036
2018-07-10,58.18,120182
2018-07-11,57.29,71046
2018-07-12,57.73,79728
2018-07-13,57.75,50410
2018-07-16,57.74,126616
2018-07-17,57.86,86397
2018-07-18,57.89,97272
2018-07-19,57.62,67543
2018-07-20,58.13,142816
2018-07-23,58.0,56244
2018-07-24,58.22,99118
2018-07-25,58.72,79802
2018-07-26,58.46,89283
2018-07-27,58.66,46840
2018-07-30,58.65,55224
2018-07-31,58.65,74445
2018-08-01,58.49,77094
2018-08-02,57.99,74146
2018-08-03,58.03,169961
2018-08-06,57.85,69056
2018-08-07,58.3,136950
2018-08-08,58.27,165439
2018-08-09,58.05,102804
2018-08-10,57.25,149440
2018-08-13,56.92,132408
2018-08-14,57.07,232199
2018-08-15,56.27,67614
2018-08-16,56.69,80518
2018-08-17,57.09,63309
