date,close,volume
2018-04-25,26.41,208
2018-04-26,26.41,0
2018-04-27,26.41,52
2018-04-30,26.63,179
2018-05-01,26.63,0
2018-05-02,26.44,300
2018-05-03,26.08,474
2018-05-04,26.08,0
2018-05-07,26.08,1
2018-05-08,26.08,0
2018-05-09,26.08,0
2018-05-10,26.08,51
2018-05-11,26.08,0
2018-05-14,26.08,20
2018-05-15,26.08,2
2018-05-16,26.08,1
2018-05-17,26.08,0
2018-05-18,26.08,0
2018-05-21,26.25,290
2018-05-22,26.25,600
2018-05-23,26.25,0
2018-05-24,26.01,6
2018-05-25,26.01,0
2018-05-29,25.69,252
2018-05-30,25.69,0
2018-05-31,25.69,5
2018-06-01,25.69,0
2018-06-04,25.69,0
2018-06-05,25.69,0
2018-06-06,26.21,200
2018-06-07,26.21,0
2018-06-08,26.21,1
2018-06-11,26.21,0
2018-06-12,26.21,3
2018-06-13,26.21,0
2018-06-14,26.21,0
2018-06-15,26.21,0
2018-06-18,26.21,0
2018-06-19,25.1,1350
2018-06-20,25.1,0
2018-06-21,25.1,0
2018-06-22,25.21,100
2018-06-25,24.75,861
2018-06-26,24.75,0
2018-06-27,24.27,100
2018-06-28,24.27,0
2018-06-29,24.27,31
2018-07-02,24.27,0
2018-07-03,24.27,0
2018-07-05,24.27,2
2018-07-06,24.27,0
2018-07-09,24.27,0
2018-07-10,24.27,0
2018-07-11,24.27,0
2018-07-12,24.27,0
2018-07-13,24.27,99
2018-07-16,24.27,0
2018-07-17,24.27,5
2018-07-18,24.27,0
2018-07-19,24.6,535
2018-07-20,24.6,10
2018-07-23,24.92,149
2018-07-24,24.92,10
2018-07-25,25.58,153
2018-07-26,25.58,0
2018-07-27,25.58,0
2018-07-30,25.58,0
2018-07-31,25.35,269
2018-08-01,24.91,1001
2018-08-02,24.91,3
2018-08-03,24.91,0
2018-08-06,24.91,100
2018-08-07,24.91,322
2018-08-08,24.91,0
2018-08-09,24.91,0
2018-08-10,24.91,0
2018-08-13,24.91,0
2018-08-14,24.91,99
2018-08-15,24.91,0
2018-08-16,23.42,50000
2018-08-17,23.7,2000
2018-08-20,23.71,541
2018-08-21,24.25,1000
2018-08-22,24.21,16680
2018-08-23,24.21,0
2018-08-24,24.3,1000
2018-08-27,24.3,6
2018-08-28,24.71,1400
2018-08-29,24.68,710
2018-08-30,24.05,243
2018-08-31,24.05,0
2018-09-04,24.05,0
2018-09-05,23.5,220
2018-09-06,23.5,0
2018-09-07,23.5,0
2018-09-10,23.5,0
2018-09-11,23.5,0
2018-09-12,23.05,1080
2018-09-13,23.05,4
2018-09-14,23.05,1
2018-09-17,23.05,0
2018-09-18,23.05,457
2018-09-19,23.83,1879
2018-09-20,23.83,31
2018-09-21,23.83,0
2018-09-24,23.83,35
2018-09-25,24.09,1283
2018-09-26,24.09,0
2018-09-27,24.09,0
2018-09-28,24.09,4
2018-10-01,24.18,382
2018-10-02,23.68,750
2018-10-03,23.63,347
2018-10-04,22.99,628
2018-10-05,22.99,0
2018-10-08,22.99,0
2018-10-09,22.99,0
2018-10-10,22.13,246
2018-10-11,21.76,475
2018-10-12,21.76,0
2018-10-15,21.92,877
2018-10-16,21.91,262
2018-10-17,21.91,0
2018-10-18,21.91,0
2018-10-19,21.6,342
2018-10-22,22.4,525
2018-10-23,22.4,91
2018-10-24,22.4,0
2018-10-25,22.4,0
2018-10-26,22.4,0
2018-10-29,22.4,15
2018-10-30,22.4,0
2018-10-31,21.73,6040
2018-11-01,22.65,500
2018-11-02,22.77,450
2018-11-05,22.61,403
2018-11-06,22.5,1289
2018-11-07,22.74,1000
2018-11-08,22.44,100
2018-11-09,22.44,24
2018-11-12,22.44,0
2018-11-13,22.44,47
2018-11-14,22.44,0
2018-11-15,22.83,3300
2018-11-16,22.6,150
2018-11-19,22.6,0
2018-11-20,22.6,0
2018-11-21,22.6,0
2018-11-23,22.6,0
2018-11-26,22.6,0
2018-11-27,22.6,0
2018-11-28,22.6,0
2018-11-29,22.6,5
2018-11-30,22.6,0
2018-12-03,23.33,1381
2018-12-04,23.33,0
2018-12-06,23.33,1
2018-12-07,23.33,0
2018-12-10,22.16,100
2018-12-11,22.33,3615
2018-12-12,22.52,7044
2018-12-13,22.69,1784
2018-12-14,22.36,100
2018-12-17,21.91,100
2018-12-18,21.92,0
2018-12-19,21.43,136
2018-12-20,21.39,269
2018-12-21,21.15,369
2018-12-24,21.09,100
2018-12-26,21.03,15800
2018-12-27,20.88,0
2018-12-28,21.0,212
2018-12-31,20.91,121
2019-01-02,20.82,101
2019-01-03,20.42,101
2019-01-04,21.27,500
2019-01-07,21.37,100
2019-01-08,21.47,160
2019-01-09,21.91,100
2019-01-10,22.02,201
2019-01-11,21.96,1
2019-01-14,21.71,10332
2019-01-15,22.06,10200
2019-01-16,22.35,10000
2019-01-17,22.41,10100
2019-01-18,22.65,6101
2019-01-22,22.03,300
2019-01-23,22.22,1102
2019-01-24,22.45,3226
2019-01-25,22.88,450
2019-01-28,22.66,2016
2019-01-29,22.66,3000
2019-01-30,23.07,3158
2019-01-31,23.38,1000
2019-02-01,23.29,1215
2019-02-04,23.32,116
2019-02-05,23.62,4450
2019-02-06,23.45,684
2019-02-07,23.13,120
2019-02-08,23.16,1
2019-02-11,23.42,1
2019-02-12,23.58,760
2019-02-13,23.84,830
2019-02-14,23.75,1296
2019-02-15,23.57,0
2019-02-19,24.0,0
2019-02-20,24.12,0
2019-02-21,24.03,62
2019-02-22,24.57,0
2019-02-25,25.39,1486
2019-02-26,25.23,237
2019-02-27,24.98,700
2019-02-28,24.81,124
2019-03-01,25.22,1798
2019-03-04,25.45,856
2019-03-05,25.83,936
2019-03-06,25.7,920
2019-03-07,25.09,0
2019-03-08,24.52,100
2019-03-11,25.26,0
2019-03-12,25.34,60
2019-03-13,25.23,0
2019-03-14,25.02,25
2019-03-15,25.38,0
2019-03-18,25.84,0
2019-03-19,25.88,5263
2019-03-20,25.83,1525
2019-03-21,25.86,4900
2019-03-22,25.23,34187
2019-03-25,25.2,10001
2019-03-26,25.15,10000
2019-03-27,25.1,10000
2019-03-28,25.21,8800
2019-03-29,25.83,10000
2019-04-01,26.4,10000
2019-04-02,26.28,8101
2019-04-03,26.54,7259
2019-04-04,26.84,7400
2019-04-05,27.1,8000
2019-04-08,27.02,101
2019-04-09,26.88,0
2019-04-10,27.0,121
2019-04-11,26.55,458
2019-04-12,26.97,1351
2019-04-15,26.45,10
2019-04-16,26.92,3264
2019-04-17,27.01,1663
2019-04-18,26.93,29
2019-04-22,26.66,0
2019-04-23,26.66,661
2019-04-24,26.41,402
2019-04-25,26.08,1611
2019-04-26,26.16,223
2019-04-29,26.15,0
2019-04-30,26.16,349
2019-05-01,26.13,1692
2019-05-02,26.12,64
2019-05-03,26.52,2
2019-05-06,25.53,216
2019-05-07,24.79,120
2019-05-08,24.76,5
2019-05-09,24.48,0
2019-05-10,24.74,0
2019-05-13,23.79,14
2019-05-14,24.29,10
2019-05-15,24.49,0
2019-05-16,24.65,0
2019-05-17,23.85,0
2019-05-20,23.35,100
2019-05-21,23.7,0
2019-05-22,23.53,2
2019-05-23,23.15,0
2019-05-24,23.01,105
2019-05-28,23.21,430
2019-05-29,23.34,75
2019-05-30,23.28,5
2019-05-31,23.08,12540
2019-06-03,23.24,0
2019-06-04,23.23,221
2019-06-05,22.97,0
2019-06-06,22.9,0
2019-06-07,23.14,101
2019-06-10,23.42,75
2019-06-11,23.84,0
2019-06-12,23.46,125
2019-06-13,23.5,8
2019-06-14,23.25,0
2019-06-17,23.36,0
2019-06-18,24.04,104
2019-06-19,24.11,2170
2019-06-20,24.68,2
2019-06-21,24.51,2
2019-06-24,24.57,102
2019-06-25,24.16,5
2019-06-26,24.47,0
2019-06-27,24.67,0
2019-06-28,24.65,0
2019-07-01,25.24,0
2019-07-02,25.18,10
2019-07-03,25.06,0
2019-07-05,24.76,0
2019-07-08,24.44,3642
2019-07-09,24.42,63
2019-07-10,24.48,94
2019-07-11,24.36,0
2019-07-12,24.43,91
2019-07-15,24.66,4
2019-07-16,24.63,0
2019-07-17,24.62,100
2019-07-18,24.57,14
2019-07-19,24.62,0
2019-07-22,24.52,0
2019-07-23,24.75,343
2019-07-24,24.92,331
2019-07-25,24.83,0
2019-07-26,24.94,0
2019-07-29,24.85,480
2019-07-30,24.68,0
2019-07-31,24.44,106
2019-08-01,23.67,600
2019-08-02,23.52,245
2019-08-05,22.49,0
2019-08-06,22.74,2032
2019-08-07,22.84,192
2019-08-08,23.14,276
2019-08-09,22.84,323
2019-08-12,22.68,0
2019-08-13,23.22,0
2019-08-14,22.61,100
2019-08-15,22.87,100
2019-08-16,23.28,141
2019-08-19,23.62,172
2019-08-20,23.62,45
2019-08-21,23.74,0
2019-08-22,23.53,412
2019-08-23,23.01,0
2019-08-26,23.2,0
2019-08-27,23.35,0
2019-08-28,23.32,0
2019-08-29,23.59,7
2019-08-30,23.56,1509
2019-09-03,23.59,0
2019-09-04,23.94,94
2019-09-05,24.35,0
2019-09-06,24.42,876
2019-09-09,24.49,44
2019-09-10,24.42,1
2019-09-11,24.51,0
2019-09-12,24.76,671
2019-09-13,24.92,3
2019-09-16,24.65,0
2019-09-17,24.51,0
2019-09-18,24.44,125
2019-09-19,24.42,0
2019-09-20,24.23,9
2019-09-23,24.1,9
2019-09-24,23.89,100
2019-09-25,23.93,100
2019-09-26,23.76,150
2019-09-27,23.31,320
2019-09-30,23.46,0
2019-10-01,23.34,20
2019-10-02,23.33,5
2019-10-03,23.61,99
2019-10-04,23.65,0
2019-10-07,23.52,187
2019-10-08,23.26,0
2019-10-09,23.55,200
2019-10-10,23.93,0
2019-10-11,24.35,0
2019-10-14,24.32,0
2019-10-15,24.48,0
2019-10-16,24.5,339
2019-10-17,24.54,0
2019-10-18,24.17,0
2019-10-21,24.34,1
2019-10-22,24.25,1125
2019-10-23,24.16,200
2019-10-24,24.21,0
2019-10-25,24.51,4
2019-10-28,24.77,90
2019-10-29,24.53,4
2019-10-30,24.53,0
2019-10-31,24.37,2
2019-11-01,24.83,0
2019-11-04,25.21,80
2019-11-05,25.37,100
2019-11-06,25.31,21
2019-11-07,25.63,9
2019-11-08,25.45,4
2019-11-11,25.14,198
2019-11-12,24.95,1
2019-11-13,24.7,0
2019-11-14,24.7,26
2019-11-15,24.69,16
2019-11-18,24.76,0
2019-11-19,24.98,109
2019-11-20,24.74,6
2019-11-21,24.78,2
2019-11-22,24.69,0
2019-11-25,25.04,8
2019-11-26,25.14,0
2019-11-27,25.22,51
2019-11-29,24.76,3794
2019-12-02,24.68,0
2019-12-03,24.57,0
2019-12-04,24.77,0
2019-12-05,24.96,0
