date,close,volume
2018-04-25,22.72,2852
2018-04-26,22.78,1500
2018-04-27,22.91,1222
2018-04-30,22.88,5092
2018-05-01,22.89,6165
2018-05-02,23.02,3325
2018-05-03,22.96,5248
2018-05-04,23.2,1621
2018-05-07,23.39,2590
2018-05-08,23.4,29451
2018-05-09,23.48,5481
2018-05-10,23.74,13134
2018-05-11,23.73,6122
2018-05-14,23.82,5674
2018-05-15,23.65,4817
2018-05-16,23.86,885
2018-05-17,23.9,7148
2018-05-18,23.62,486
2018-05-21,23.79,9178
2018-05-22,23.88,1319
2018-05-23,23.68,9746
2018-05-24,23.6,11100
2018-05-25,23.49,11005
2018-05-29,23.18,8484
2018-05-30,23.34,6148
2018-05-31,23.48,6330
2018-06-01,23.58,3817
2018-06-04,23.79,3874
2018-06-05,24.05,5089
2018-06-06,24.35,4488
2018-06-07,24.31,13449
2018-06-08,24.17,9077
2018-06-11,24.21,15924
2018-06-12,24.24,5608
2018-06-13,24.07,7513
2018-06-14,24.14,6703
2018-06-15,24.02,4368
2018-06-18,23.86,4238
2018-06-19,23.19,6660
2018-06-20,23.4,1047
2018-06-21,22.9,8486
2018-06-22,22.98,2541
2018-06-25,22.42,4123
2018-06-26,22.6,599
2018-06-27,22.45,3592
2018-06-28,22.03,12817
2018-06-29,22.38,5336
2018-07-02,22.07,1237
2018-07-03,22.1,3503
2018-07-05,21.99,4293
2018-07-06,22.49,1280
2018-07-09,22.67,675
2018-07-10,22.68,2824
2018-07-11,22.12,21393
2018-07-12,22.59,4896
2018-07-13,22.55,6576
2018-07-16,22.48,1239
2018-07-17,22.45,515
2018-07-18,22.71,29023
2018-07-19,22.45,7775
2018-07-20,22.43,9526
2018-07-23,22.24,4098
2018-07-24,22.38,7934
2018-07-25,22.36,700
2018-07-26,22.43,6374
2018-07-27,22.5,8408
2018-07-30,22.26,1366
2018-07-31,22.46,3528
2018-08-01,22.15,4523
2018-08-02,22.04,597
2018-08-03,22.23,10484
2018-08-06,22.16,15836
2018-08-07,22.43,2252
2018-08-08,22.43,1246
2018-08-09,22.65,2218
2018-08-10,22.16,4643
2018-08-13,21.9,1409
2018-08-14,21.9,2263
2018-08-15,21.4,659
2018-08-16,21.5,2511
2018-08-17,21.44,1681
2018-08-20,21.39,4080
2018-08-21,21.81,2907
2018-08-22,21.81,128
2018-08-23,21.5,2926
2018-08-24,22.15,2376
2018-08-27,22.37,1255
2018-08-28,22.27,558
2018-08-29,22.27,3765
2018-08-30,22.07,400
2018-08-31,22.32,783
2018-09-04,22.01,2952
2018-09-05,21.9,1933
2018-09-06,21.69,4113
2018-09-07,21.36,1755
2018-09-10,21.48,10008
2018-09-11,21.4,2361
2018-09-12,21.44,923
2018-09-13,21.71,884
2018-09-14,21.87,1891
2018-09-17,21.65,2009
2018-09-18,21.75,1208
2018-09-19,22.15,1416
2018-09-20,22.26,250
2018-09-21,22.6,4956
2018-09-24,22.28,2023
2018-09-25,22.22,902
2018-09-26,22.11,2292
2018-09-27,21.99,477
2018-09-28,22.0,4537
2018-10-01,22.01,4379
2018-10-02,21.98,1207
2018-10-03,21.9,3772
2018-10-04,21.37,3758
2018-10-05,20.85,10794
2018-10-08,20.64,2054
2018-10-09,20.5,13123
2018-10-10,19.87,16814
2018-10-11,19.74,9630
2018-10-12,19.77,2619
2018-10-15,19.81,1034
2018-10-16,19.98,8757
2018-10-17,19.94,2683
2018-10-18,19.34,2347
2018-10-19,19.26,980
2018-10-22,19.42,1578
2018-10-23,19.17,473
2018-10-24,18.81,1618
2018-10-25,18.8,2019
2018-10-26,18.63,6021
2018-10-29,18.67,1379
2018-10-30,19.05,683
2018-10-31,19.83,6276
2018-11-01,20.45,1364
2018-11-02,20.45,217
2018-11-05,20.15,5482
2018-11-06,20.23,2679
2018-11-07,20.27,2502
2018-11-08,20.11,1263
2018-11-09,19.74,2134
2018-11-12,19.16,2511
2018-11-13,19.53,775
2018-11-14,20.0,1579
2018-11-15,19.8,724
2018-11-16,19.75,1004
2018-11-19,19.45,1338
2018-11-20,19.06,925
2018-11-21,19.4,806
2018-11-23,19.2,3219
