date,close,volume
2018-04-25,8.41,137569
2018-04-26,8.52,114202
2018-04-27,8.38,62018
2018-04-30,8.34,70042
2018-05-01,8.1,53127
2018-05-02,7.89,88515
2018-05-03,7.65,119399
2018-05-04,7.71,288348
2018-05-07,7.73,220420
2018-05-08,7.85,382645
2018-05-09,7.95,229028
2018-05-10,8.12,113489
2018-05-11,8.12,141976
2018-05-14,7.98,51912
2018-05-15,7.92,108633
2018-05-16,7.91,96081
2018-05-17,8.01,70707
2018-05-18,7.98,111416
2018-05-21,8.1,99981
2018-05-22,8.08,112393
2018-05-23,7.95,96194
2018-05-24,8.03,85803
2018-05-25,8.25,76008
2018-05-29,8.07,70104
2018-05-30,8.23,81521
2018-05-31,8.19,112726
2018-06-01,8.21,132314
2018-06-04,8.18,672865
2018-06-05,8.27,82073
2018-06-06,8.37,53793
2018-06-07,8.29,71701
2018-06-08,8.14,76632
2018-06-11,8.16,149091
2018-06-12,8.41,149565
2018-06-13,8.29,65764
2018-06-14,8.41,45884
2018-06-15,8.27,54214
2018-06-18,8.16,178960
2018-06-19,8.06,91344
2018-06-20,8.0,97719
2018-06-21,8.03,71809
2018-06-22,8.08,92526
2018-06-25,8.03,123371
2018-06-26,7.97,97385
2018-06-27,7.92,413999
2018-06-28,7.84,289463
2018-06-29,7.89,647189
2018-07-02,7.88,102281
2018-07-03,7.89,58812
2018-07-05,7.84,71413
2018-07-06,7.88,106391
2018-07-09,8.03,105944
2018-07-10,8.12,44237
2018-07-11,8.17,73209
2018-07-12,8.29,50706
2018-07-13,8.27,32789
2018-07-16,8.21,72932
2018-07-17,8.24,41843
2018-07-18,8.35,97903
2018-07-19,8.41,287475
2018-07-20,8.45,79183
2018-07-23,8.36,58953
2018-07-24,8.31,64717
2018-07-25,8.39,61926
2018-07-26,8.31,48130
2018-07-27,8.24,113484
2018-07-30,8.23,84154
2018-07-31,7.91,87088
2018-08-01,7.85,52983
2018-08-02,7.75,60200
2018-08-03,7.78,100851
2018-08-06,7.68,89344
2018-08-07,7.76,82694
2018-08-08,7.82,116788
2018-08-09,7.74,133269
2018-08-10,7.56,187887
2018-08-13,7.46,123741
