date,close,volume
2018-04-25,4.85,51417
2018-04-26,4.9,85520
2018-04-27,4.95,68703
2018-04-30,4.9,70580
2018-05-01,4.9,50783
2018-05-02,5.0,125969
2018-05-03,5.05,73101
2018-05-04,5.1,158838
2018-05-07,5.3,226094
2018-05-08,5.2,86166
2018-05-09,5.35,166745
2018-05-10,6.2,1298001
2018-05-11,6.15,426073
2018-05-14,5.95,160841
2018-05-15,5.9,98552
2018-05-16,5.95,82883
2018-05-17,6.1,237160
2018-05-18,6.05,149854
2018-05-21,6.05,138855
2018-05-22,6.05,190438
2018-05-23,6.0,80622
2018-05-24,5.85,98016
2018-05-25,5.7,233347
2018-05-29,5.5,146071
2018-05-30,5.5,81606
2018-05-31,5.5,72796
2018-06-01,5.4,110667
2018-06-04,3.85,2638967
2018-06-05,4.38,2103470
2018-06-06,4.3,697203
2018-06-07,4.2,404268
2018-06-08,4.25,278779
2018-06-11,4.1,346198
2018-06-12,4.63,705919
2018-06-13,5.2,720307
2018-06-14,5.0,472570
2018-06-15,5.0,292872
2018-06-18,4.9,219557
2018-06-19,4.95,366958
2018-06-20,4.88,196799
2018-06-21,4.6,280922
2018-06-22,4.55,234690
2018-06-25,4.35,321721
2018-06-26,4.35,172712
2018-06-27,4.2,202578
2018-06-28,4.25,120863
2018-06-29,4.25,126401
2018-07-02,4.4,198033
2018-07-03,4.35,34917
2018-07-05,4.3,80727
2018-07-06,4.3,140099
2018-07-09,4.35,135802
2018-07-10,4.3,258483
2018-07-11,4.22,105907
2018-07-12,4.22,71474
2018-07-13,4.22,95381
2018-07-16,4.25,63862
2018-07-17,4.35,57309
2018-07-18,4.34,71220
2018-07-19,4.2,42228
2018-07-20,4.22,207584
2018-07-23,4.2,88080
2018-07-24,4.18,115704
2018-07-25,4.15,116345
2018-07-26,4.08,167455
2018-07-27,4.05,118377
2018-07-30,4.03,167571
2018-07-31,3.98,78749
2018-08-01,3.75,116818
2018-08-02,3.95,117860
2018-08-03,4.1,207736
2018-08-06,4.03,121369
2018-08-07,4.1,87604
2018-08-08,4.1,159820
2018-08-09,3.85,365549
2018-08-10,4.2,328640
2018-08-13,4.0,283932
2018-08-14,4.15,166905
2018-08-15,4.0,158351
2018-08-16,4.1,316551
2018-08-17,4.05,79578
2018-08-20,4.0,164504
2018-08-21,4.0,105499
2018-08-22,4.1,110564
2018-08-23,4.05,129489
2018-08-24,4.0,144959
2018-08-27,4.0,112457
2018-08-28,4.1,85031
2018-08-29,4.05,48984
2018-08-30,4.15,249133
2018-08-31,4.15,248169
2018-09-04,4.25,222223
2018-09-05,4.1,151585
2018-09-06,4.0,148415
2018-09-07,3.98,168917
2018-09-10,3.95,132272
2018-09-11,3.8,224507
2018-09-12,3.8,216072
2018-09-13,3.85,166494
2018-09-14,4.75,3015434
2018-09-17,4.2,823817
2018-09-18,4.6,505993
2018-09-19,4.95,660632
2018-09-20,5.65,1698850
2018-09-21,5.4,1612210
2018-09-24,5.25,881728
2018-09-25,5.0,281312
2018-09-26,4.95,509954
2018-09-27,4.95,437819
2018-09-28,4.85,240101
2018-10-01,5.08,388445
2018-10-02,5.54,1037130
2018-10-03,6.3,2313798
2018-10-04,5.6,1040963
2018-10-05,5.82,743628
2018-10-08,5.46,525756
2018-10-09,5.4,576268
2018-10-10,5.26,389383
2018-10-11,5.08,564651
2018-10-12,5.14,671420
2018-10-15,5.09,317229
2018-10-16,5.05,326277
2018-10-17,5.0,134865
2018-10-18,4.85,297267
2018-10-19,4.6,368914
2018-10-22,4.4,397633
2018-10-23,4.4,184009
2018-10-24,4.15,194829
2018-10-25,4.25,186916
2018-10-26,4.0,425532
2018-10-29,4.66,1968756
2018-10-30,4.61,407943
2018-10-31,4.81,432012
2018-11-01,4.8,310814
2018-11-02,4.99,244553
2018-11-05,5.35,685433
2018-11-06,5.19,499933
2018-11-07,5.13,347567
2018-11-08,5.26,402829
2018-11-09,4.71,682934
2018-11-12,4.6,200121
2018-11-13,4.61,198571
2018-11-14,4.61,169369
2018-11-15,4.66,185023
2018-11-16,4.6,132995
2018-11-19,4.4,492552
2018-11-20,4.26,285888
2018-11-21,4.5,141326
2018-11-23,4.49,128411
2018-11-26,4.43,112503
2018-11-27,4.36,122685
2018-11-28,4.52,209093
2018-11-29,4.51,106022
2018-11-30,4.47,100548
2018-12-03,4.71,295779
2018-12-04,4.5,184086
2018-12-06,4.24,271695
2018-12-07,4.27,152450
2018-12-10,4.14,176793
2018-12-11,4.18,167279
2018-12-12,4.29,286617
2018-12-13,4.22,193221
2018-12-14,4.24,52187
2018-12-17,4.08,270729
2018-12-18,4.13,193925
2018-12-19,4.01,211494
2018-12-20,3.87,391963
2018-12-21,3.62,354931
2018-12-24,3.72,116372
2018-12-26,3.82,252157
2018-12-27,3.74,162482
2018-12-28,3.74,198260
2018-12-31,3.63,449914
2019-01-02,4.15,400300
2019-01-03,4.17,190974
2019-01-04,4.4,166895
2019-01-07,4.53,180215
2019-01-08,4.43,110688
2019-01-09,5.39,1767804
2019-01-10,5.05,537395
2019-01-11,5.35,443540
