date,close,volume
2018-10-23,29.63,198
2018-10-24,29.3,301
2018-10-25,29.1,756
2018-10-26,28.42,317
2018-10-29,28.42,42
2018-10-30,28.77,272
2018-10-31,29.3,1575
2018-11-01,29.96,829
2018-11-02,30.06,150
2018-11-05,30.06,3188
2018-11-06,30.06,16
2018-11-07,30.85,342
2018-11-08,30.88,1205
2018-11-09,30.88,117
2018-11-12,29.75,511
2018-11-13,29.37,1485
2018-11-14,29.2,740
2018-11-15,29.68,7765
2018-11-16,29.84,3818
2018-11-19,29.08,1868
2018-11-20,28.42,790
2018-11-21,28.8,2148
2018-11-23,28.57,1075
2018-11-26,29.25,2297
2018-11-27,29.01,2676
2018-11-28,29.61,2255
2018-11-29,29.84,2438
2018-11-30,29.67,8230
2018-12-03,30.25,1526
2018-12-04,29.05,2326
2018-12-06,28.86,1202
2018-12-07,28.86,79
2018-12-10,28.51,1240
2018-12-11,28.47,221
2018-12-12,28.85,1697
2018-12-13,28.52,770
2018-12-14,28.03,1660
2018-12-17,27.32,1543
2018-12-18,27.42,391
2018-12-19,26.92,3513
2018-12-20,26.2,3896
2018-12-21,25.52,145
2018-12-24,24.98,176
2018-12-26,26.11,291
2018-12-27,26.24,3384
2018-12-28,26.41,1385
2018-12-31,26.54,2791
2019-01-02,26.69,102
2019-01-03,25.94,510
2019-01-04,27.02,441
2019-01-07,27.51,401
2019-01-08,27.86,1165
2019-01-09,28.17,587
2019-01-10,28.37,101
2019-01-11,28.44,252
2019-01-14,28.13,435
2019-01-15,28.37,100
2019-01-16,28.44,1
2019-01-17,28.66,362
2019-01-18,29.0,49
2019-01-22,28.4,358
2019-01-23,28.44,183
2019-01-24,28.79,0
2019-01-25,29.25,173
2019-01-28,29.01,8
2019-01-29,29.03,2400
2019-01-30,29.49,450
2019-01-31,29.86,277
2019-02-01,29.94,1866
2019-02-04,30.22,3193
2019-02-05,30.38,1347
2019-02-06,30.45,20
2019-02-07,29.98,587
2019-02-08,30.13,1123
2019-02-11,30.33,3062
2019-02-12,30.78,4722
2019-02-13,30.8,3228
2019-02-14,30.93,913
2019-02-15,31.21,4231
2019-02-19,31.37,9695
2019-02-20,31.5,6724
2019-02-21,31.38,929
2019-02-22,31.78,1195
2019-02-25,32.03,4762
2019-02-26,31.91,2905
2019-02-27,31.99,3326
