date,close,volume
2018-04-25,48.78,200
2018-04-26,48.78,0
2018-04-27,48.78,0
2018-04-30,48.78,0
2018-05-01,48.67,202
2018-05-02,48.67,0
2018-05-03,48.67,0
2018-05-04,48.67,0
2018-05-07,48.69,550
2018-05-08,48.69,1
2018-05-09,48.69,1
2018-05-10,48.69,0
2018-05-11,48.69,0
2018-05-14,48.69,0
2018-05-15,48.69,1
2018-05-16,48.69,0
2018-05-17,48.69,0
2018-05-18,48.69,0
2018-05-21,48.69,0
2018-05-22,48.69,0
2018-05-23,48.69,0
2018-05-24,48.69,0
2018-05-25,48.69,0
2018-05-29,48.69,5
2018-05-30,48.69,0
2018-05-31,48.69,0
2018-06-01,48.56,0
2018-06-04,48.56,5
2018-06-05,48.56,0
2018-06-06,48.56,0
2018-06-07,48.59,500
2018-06-08,48.57,8562
2018-06-11,48.57,30
2018-06-12,48.57,0
2018-06-13,48.57,0
2018-06-14,48.57,0
2018-06-15,48.57,31
2018-06-18,48.57,0
2018-06-19,48.57,0
2018-06-20,48.57,0
2018-06-21,48.57,1630
2018-06-22,48.57,0
2018-06-25,48.57,0
2018-06-26,48.57,0
2018-06-27,48.66,401
2018-06-28,48.66,0
2018-06-29,48.66,0
2018-07-02,48.54,0
2018-07-03,48.54,100
2018-07-05,48.54,0
2018-07-06,48.54,0
2018-07-09,48.54,0
2018-07-10,48.54,1
2018-07-11,48.54,1
2018-07-12,48.54,0
2018-07-13,48.54,0
2018-07-16,48.54,96
2018-07-17,48.68,489
2018-07-18,48.68,1100
2018-07-19,48.68,5
2018-07-20,48.68,105
2018-07-23,48.68,0
2018-07-24,48.68,0
2018-07-25,48.68,2
2018-07-26,48.66,606
2018-07-27,48.66,0
2018-07-30,48.66,0
2018-07-31,48.66,2
2018-08-01,48.58,106
2018-08-02,48.58,85
2018-08-03,48.58,0
2018-08-06,48.58,0
2018-08-07,48.58,0
2018-08-08,48.58,86
2018-08-09,48.67,147
2018-08-10,48.67,0
2018-08-13,48.79,500
2018-08-14,48.79,0
2018-08-15,48.85,148
2018-08-16,48.82,2048
2018-08-17,48.82,0
2018-08-20,48.82,0
2018-08-21,48.82,0
2018-08-22,48.95,2048
2018-08-23,48.95,1
2018-08-24,48.95,0
2018-08-27,48.82,200
2018-08-28,48.82,0
2018-08-29,48.82,12
2018-08-30,48.9,100
2018-08-31,48.9,100
2018-09-04,48.77,0
2018-09-05,48.77,0
2018-09-06,48.77,0
2018-09-07,48.77,99
2018-09-10,48.7,100
2018-09-11,48.7,1
2018-09-12,48.68,551
2018-09-13,48.68,0
2018-09-14,48.68,0
2018-09-17,48.68,1
2018-09-18,48.68,45
2018-09-19,48.68,0
2018-09-20,48.68,34
2018-09-21,48.68,0
2018-09-24,48.68,0
2018-09-25,48.68,0
2018-09-26,48.65,620416
2018-09-27,48.65,0
2018-09-28,48.65,0
2018-10-01,48.6,0
2018-10-02,48.6,0
2018-10-03,48.6,40
2018-10-04,48.6,0
2018-10-05,48.6,0
2018-10-08,48.6,1
2018-10-09,48.54,100
2018-10-10,48.54,0
2018-10-11,48.54,0
2018-10-12,48.54,2
2018-10-15,48.56,1000
2018-10-16,48.56,0
2018-10-17,48.56,0
2018-10-18,48.56,2
2018-10-19,48.5,2059
2018-10-22,48.5,0
2018-10-23,48.5,0
2018-10-24,48.5,0
2018-10-25,48.54,200
2018-10-26,48.54,0
2018-10-29,48.54,0
2018-10-30,48.54,0
2018-10-31,48.54,0
2018-11-01,48.39,0
2018-11-02,48.18,92281
2018-11-05,48.27,1823
2018-11-06,48.3,874
2018-11-07,48.37,487
2018-11-08,48.28,4072
2018-11-09,48.29,2756
2018-11-12,48.25,462
2018-11-13,48.25,4
2018-11-14,48.21,1316
2018-11-15,48.14,327
2018-11-16,48.11,189
2018-11-19,48.2,1684
2018-11-20,48.13,1059
2018-11-21,48.18,939
2018-11-23,48.09,3117
2018-11-26,48.06,3187
2018-11-27,48.15,434
2018-11-28,48.22,1434
2018-11-29,48.19,1909
2018-11-30,48.11,201
2018-12-03,48.03,1065
2018-12-04,48.02,2340
2018-12-06,47.98,352
2018-12-07,48.0,1255
2018-12-10,47.99,937
2018-12-11,48.01,1040
2018-12-12,48.03,247
2018-12-13,48.1,1866
2018-12-14,48.12,652
2018-12-17,48.13,1036
2018-12-18,48.18,1019
2018-12-19,48.09,1625
2018-12-20,48.02,10023
2018-12-21,47.88,935
2018-12-24,47.83,865
2018-12-26,47.86,456
2018-12-27,47.92,1555
2018-12-28,48.02,24
2018-12-31,48.1,886
2019-01-02,48.09,149
2019-01-03,48.14,1198
2019-01-04,48.12,633
2019-01-07,48.16,563
2019-01-08,48.17,1441
2019-01-09,48.29,252
2019-01-10,48.3,324
2019-01-11,48.36,774
2019-01-14,48.32,1558
2019-01-15,48.39,8133
2019-01-16,48.46,6476
2019-01-17,48.47,1041
2019-01-18,48.53,697
2019-01-22,48.53,1763
2019-01-23,48.6,506
2019-01-24,48.66,125
2019-01-25,48.66,1019
2019-01-28,48.7,2851
2019-01-29,48.74,566
2019-01-30,48.91,281
2019-01-31,49.09,2144
2019-02-01,48.91,706
2019-02-04,48.88,2841
2019-02-05,48.98,495
2019-02-06,48.97,1938
2019-02-07,49.02,5027
2019-02-08,49.05,3963
2019-02-11,49.02,2677
2019-02-12,49.03,3893
2019-02-13,49.03,5059
2019-02-14,49.07,1593
2019-02-15,49.08,1068
2019-02-19,49.13,2823
2019-02-20,49.13,3291
2019-02-21,49.04,6588
2019-02-22,49.24,16132
2019-02-25,49.2,1326
2019-02-26,49.25,7625
2019-02-27,49.2,1564
2019-02-28,49.19,1056
2019-03-01,49.01,1099
2019-03-04,49.09,839
2019-03-05,49.1,1608
2019-03-06,49.15,1384
2019-03-07,49.19,14187
2019-03-08,49.28,3814
2019-03-11,49.26,2042
2019-03-12,49.34,2199
2019-03-13,49.33,8383
2019-03-14,49.26,2531
2019-03-15,49.38,4283
2019-03-18,49.37,545
2019-03-19,49.41,9383
2019-03-20,49.59,5057
2019-03-21,49.6,2145
2019-03-22,49.7,136
2019-03-25,49.77,1158
2019-03-26,49.8,12250
2019-03-27,49.81,6403
2019-03-28,49.86,1522
2019-03-29,49.81,511
2019-04-01,49.6,2212
2019-04-02,49.66,949
2019-04-03,49.64,8622
2019-04-04,49.67,1160
2019-04-05,49.7,1244
2019-04-08,49.7,1758
2019-04-09,49.75,1110
2019-04-10,49.81,2631
2019-04-11,49.81,234
2019-04-12,49.78,4546
2019-04-15,49.78,140
2019-04-16,49.75,3122
2019-04-17,49.73,5308
2019-04-18,49.76,3117
2019-04-22,49.74,2895
2019-04-23,49.84,2922
2019-04-24,49.92,3642
2019-04-25,49.95,1577
2019-04-26,50.04,2516
2019-04-29,49.98,1567
2019-04-30,50.01,12933
2019-05-01,49.81,1313
2019-05-02,49.75,2937
2019-05-03,49.81,3066
2019-05-06,49.88,1472
2019-05-07,49.86,5582
2019-05-08,49.82,1314
2019-05-09,49.84,1499
2019-05-10,49.88,1718
2019-05-13,49.88,5168
2019-05-14,49.94,1124
2019-05-15,49.99,2631
2019-05-16,49.98,960
2019-05-17,49.95,24766
2019-05-20,49.89,1919
2019-05-21,49.9,5978
2019-05-22,49.91,4176
2019-05-23,49.98,7794
2019-05-24,50.04,5272
2019-05-28,50.12,8404
2019-05-29,50.08,906
2019-05-30,50.17,7812
2019-05-31,50.23,8998
2019-06-03,50.29,402207
2019-06-04,50.33,1115
2019-06-05,50.3,4579
2019-06-06,50.33,423
2019-06-07,50.42,1130
2019-06-10,50.35,2243
2019-06-11,50.31,505
2019-06-12,50.33,1197
2019-06-13,50.43,10980
2019-06-14,50.43,541
2019-06-17,50.42,2245
2019-06-18,50.53,1010
2019-06-19,50.71,1133
2019-06-20,50.84,3461
2019-06-21,50.73,5650
2019-06-24,50.8,586
2019-06-25,50.79,3549
2019-06-26,50.74,970
2019-06-27,50.84,943
2019-06-28,50.91,21637
2019-07-01,50.78,1977
2019-07-02,50.84,7821
2019-07-03,50.89,1606
2019-07-05,50.71,4588
2019-07-08,50.66,2956
2019-07-09,50.63,3126
2019-07-10,50.7,1054
2019-07-11,50.65,1117
2019-07-12,50.67,2529
2019-07-15,50.73,11012
2019-07-16,50.63,7947
2019-07-17,50.72,3113
2019-07-18,50.84,856
2019-07-19,50.81,11612
2019-07-22,50.83,2428
2019-07-23,50.85,3343
2019-07-24,50.87,862
2019-07-25,50.8,3167
2019-07-26,50.85,2824
2019-07-29,50.86,4676
2019-07-30,50.84,11842
2019-07-31,50.84,19938
