date,close,volume
2018-04-25,49.9,312092
2018-04-26,48.2,530220
2018-04-27,46.7,342540
2018-04-30,45.67,241289
2018-05-01,44.83,214182
2018-05-02,46.22,296755
2018-05-03,46.12,177655
2018-05-04,47.02,238672
2018-05-07,47.13,301813
2018-05-08,47.45,255109
2018-05-09,46.98,256881
2018-05-10,47.57,127849
2018-05-11,47.07,109578
2018-05-14,46.98,171317
2018-05-15,46.72,179991
2018-05-16,48.03,237075
2018-05-17,48.95,193662
2018-05-18,50.08,163931
2018-05-21,50.59,185367
2018-05-22,49.73,130143
2018-05-23,49.34,138369
2018-05-24,49.08,177127
2018-05-25,48.73,123158
2018-05-29,49.11,152957
2018-05-30,49.35,133094
2018-05-31,48.52,180287
2018-06-01,48.97,161256
2018-06-04,48.59,171837
2018-06-05,49.07,136257
2018-06-06,49.91,117222
2018-06-07,49.78,85646
2018-06-08,50.02,100817
2018-06-11,50.91,134282
2018-06-12,49.99,139968
2018-06-13,49.56,183029
2018-06-14,48.11,241392
2018-06-15,48.31,262489
2018-06-18,48.31,91405
2018-06-19,48.17,239867
2018-06-20,48.39,150182
2018-06-21,47.14,136256
2018-06-22,47.76,634034
2018-06-25,45.63,171461
2018-06-26,45.94,230884
2018-06-27,45.67,141991
2018-06-28,45.72,127259
2018-06-29,46.14,208448
2018-07-02,45.42,233082
2018-07-03,45.65,79931
2018-07-05,46.18,121260
2018-07-06,46.82,96532
2018-07-09,48.0,147737
2018-07-10,48.62,118685
2018-07-11,47.29,123059
2018-07-12,47.3,107777
2018-07-13,47.9,118298
2018-07-16,47.45,113088
2018-07-17,48.37,141571
2018-07-18,49.13,196287
2018-07-19,49.13,150224
2018-07-20,48.24,82738
2018-07-23,46.74,212217
2018-07-24,46.29,226817
2018-07-25,46.42,172589
2018-07-26,47.78,387728
2018-07-27,47.49,186727
2018-07-30,46.07,295637
2018-07-31,48.09,280921
2018-08-01,48.82,275053
2018-08-02,48.3,141502
2018-08-03,47.81,72134
2018-08-06,48.16,69265
2018-08-07,48.44,66070
2018-08-08,48.79,116399
2018-08-09,48.85,109199
2018-08-10,48.17,132242
2018-08-13,46.51,121222
2018-08-14,47.14,71111
2018-08-15,45.56,121022
2018-08-16,45.83,149947
2018-08-17,46.14,119601
2018-08-20,46.28,147258
2018-08-21,46.42,166978
2018-08-22,47.25,123241
2018-08-23,46.53,90385
2018-08-24,48.15,203782
2018-08-27,49.26,142772
2018-08-28,47.77,97728
2018-08-29,47.66,112928
2018-08-30,46.91,80342
2018-08-31,47.03,99369
2018-09-04,46.01,125214
2018-09-05,46.09,81230
2018-09-06,46.22,149319
2018-09-07,46.86,125796
2018-09-10,46.37,71169
2018-09-11,46.91,195837
2018-09-12,46.78,109669
2018-09-13,47.63,89461
2018-09-14,47.57,124290
2018-09-17,46.89,118801
2018-09-18,47.0,130201
2018-09-19,47.76,180976
2018-09-20,49.98,331186
2018-09-21,49.74,364023
2018-09-24,49.0,130507
2018-09-25,48.53,149358
2018-09-26,47.8,155303
2018-09-27,47.3,154173
2018-09-28,47.15,194563
2018-10-01,46.2,172671
2018-10-02,45.43,157478
2018-10-03,45.84,86653
2018-10-04,45.19,141296
2018-10-05,43.4,206334
2018-10-08,42.85,128893
2018-10-09,41.19,165539
2018-10-10,38.09,480859
2018-10-11,37.03,311875
2018-10-12,37.59,273696
2018-10-15,37.07,239900
2018-10-16,38.64,149950
2018-10-17,37.7,190785
2018-10-18,36.77,171527
2018-10-19,36.13,148334
2018-10-22,36.06,137348
2018-10-23,35.22,302827
2018-10-24,33.35,217865
2018-10-25,29.52,1094451
2018-10-26,27.22,564093
2018-10-29,27.1,533981
2018-10-30,27.8,499904
2018-10-31,27.54,504447
2018-11-01,28.96,303314
2018-11-02,28.66,327269
2018-11-05,28.01,225338
2018-11-06,27.95,401938
2018-11-07,29.38,252931
2018-11-08,28.08,108181
2018-11-09,27.5,269337
2018-11-12,27.04,169957
2018-11-13,26.83,205644
2018-11-14,26.59,220018
2018-11-15,26.9,199948
2018-11-16,26.15,407213
2018-11-19,25.61,320325
2018-11-20,24.56,239769
2018-11-21,25.5,176338
2018-11-23,25.13,90434
2018-11-26,25.63,272000
2018-11-27,25.15,169657
2018-11-28,26.94,400695
2018-11-29,26.29,141328
2018-11-30,26.2,225199
2018-12-03,26.57,259899
2018-12-04,24.39,249505
2018-12-06,24.33,390977
2018-12-07,23.93,283639
2018-12-10,24.24,371882
2018-12-11,23.39,249042
2018-12-12,23.71,260708
2018-12-13,23.22,278111
2018-12-14,22.26,188018
2018-12-17,21.83,338656
2018-12-18,22.49,284679
2018-12-19,21.67,274888
2018-12-20,21.39,259942
2018-12-21,19.74,1466247
2018-12-24,19.94,176024
2018-12-26,21.53,344039
2018-12-27,22.04,203187
2018-12-28,22.14,266196
2018-12-31,21.84,231927
2019-01-02,22.9,223764
2019-01-03,22.05,148114
2019-01-04,23.73,241603
2019-01-07,24.31,240990
2019-01-08,25.27,313482
2019-01-09,25.51,366104
2019-01-10,25.82,151311
2019-01-11,25.65,221036
2019-01-14,25.76,193970
2019-01-15,25.37,123966
2019-01-16,25.53,295818
2019-01-17,25.88,287688
2019-01-18,26.34,233173
2019-01-22,26.34,158529
2019-01-23,25.52,208383
2019-01-24,26.29,154798
2019-01-25,27.37,178211
2019-01-28,27.3,149679
2019-01-29,27.69,187800
2019-01-30,28.49,178896
2019-01-31,28.2,127626
2019-02-01,28.63,122317
2019-02-04,28.83,177983
2019-02-05,28.44,126303
2019-02-06,28.85,162730
2019-02-07,27.69,179421
2019-02-08,27.0,103100
2019-02-11,27.71,135486
2019-02-12,28.37,81835
2019-02-13,28.19,142315
2019-02-14,28.35,177307
2019-02-15,29.16,200543
2019-02-19,36.37,1255205
2019-02-20,35.01,402992
2019-02-21,34.54,232474
2019-02-22,35.78,185844
2019-02-25,35.82,426517
2019-02-26,35.61,170192
2019-02-27,36.24,208901
2019-02-28,35.58,603928
2019-03-01,35.67,339436
2019-03-04,36.05,364282
2019-03-05,35.18,333755
2019-03-06,35.54,430952
2019-03-07,34.6,414325
2019-03-08,34.5,173362
2019-03-11,34.9,201587
2019-03-12,35.05,283199
2019-03-13,33.96,151057
2019-03-14,32.81,323063
2019-03-15,32.94,397155
2019-03-18,33.08,176231
2019-03-19,32.75,458452
2019-03-20,32.63,314089
2019-03-21,33.22,209377
2019-03-22,30.52,214900
2019-03-25,30.89,236447
2019-03-26,30.77,204161
2019-03-27,31.11,173929
2019-03-28,31.84,143654
2019-03-29,32.18,304654
2019-04-01,33.43,210976
2019-04-02,33.32,171989
2019-04-03,34.03,176320
2019-04-04,34.8,182808
2019-04-05,34.9,414904
2019-04-08,35.15,80386
2019-04-09,34.07,163075
2019-04-10,34.3,151324
2019-04-11,35.1,128716
2019-04-12,35.71,147778
2019-04-15,35.24,142364
2019-04-16,36.29,144210
2019-04-17,36.41,193061
2019-04-18,36.49,147778
2019-04-22,36.14,129066
2019-04-23,36.57,176295
2019-04-24,36.36,249357
2019-04-25,32.91,698162
2019-04-26,33.16,394234
2019-04-29,32.84,271724
2019-04-30,32.82,255926
2019-05-01,32.07,413336
2019-05-02,31.74,261308
2019-05-03,33.05,208940
2019-05-06,31.92,268772
2019-05-07,30.72,258930
2019-05-08,30.15,197264
2019-05-09,29.97,174993
2019-05-10,29.98,228231
2019-05-13,28.57,192491
2019-05-14,29.13,123751
2019-05-15,29.13,195934
2019-05-16,29.09,209568
2019-05-17,28.09,216294
2019-05-20,27.4,187535
2019-05-21,28.26,178337
2019-05-22,27.67,116796
2019-05-23,26.6,206242
2019-05-24,26.55,72479
2019-05-28,26.21,162081
2019-05-29,26.3,186432
2019-05-30,25.5,184700
2019-05-31,24.47,178728
2019-06-03,24.89,146840
2019-06-04,26.95,154574
2019-06-05,25.9,216631
2019-06-06,25.17,161326
2019-06-07,25.51,173841
2019-06-10,25.94,188555
2019-06-11,26.02,270459
2019-06-12,25.72,132412
2019-06-13,26.71,164053
2019-06-14,26.01,120001
2019-06-17,25.95,217887
2019-06-18,27.15,208772
2019-06-19,27.18,139151
2019-06-20,28.12,149014
2019-06-21,28.0,211995
2019-06-24,27.55,212139
2019-06-25,28.22,270819
2019-06-26,28.71,276949
2019-06-27,30.22,186619
2019-06-28,31.07,1034909
2019-07-01,31.47,286426
2019-07-02,31.28,194457
2019-07-03,31.47,67567
2019-07-05,31.69,101969
2019-07-08,30.78,143980
2019-07-09,30.25,115019
2019-07-10,29.8,108615
2019-07-11,28.94,164770
2019-07-12,30.09,174024
2019-07-15,29.78,111240
2019-07-16,30.73,162112
2019-07-17,29.7,184552
2019-07-18,29.82,125819
2019-07-19,30.01,205932
2019-07-22,29.06,209741
2019-07-23,30.22,147512
2019-07-24,31.05,208960
2019-07-25,32.3,503032
2019-07-26,31.69,427909
2019-07-29,30.72,213770
2019-07-30,31.05,181004
2019-07-31,30.67,272644
2019-08-01,29.21,197453
2019-08-02,28.46,252081
2019-08-05,26.91,217476
2019-08-06,27.18,282550
2019-08-07,27.53,253055
2019-08-08,28.64,138053
2019-08-09,28.06,241150
2019-08-12,27.28,99672
2019-08-13,27.78,198646
2019-08-14,26.11,256316
2019-08-15,26.0,148849
2019-08-16,27.6,172929
2019-08-19,28.36,114274
2019-08-20,28.21,257764
2019-08-21,28.39,131875
2019-08-22,28.23,115581
2019-08-23,26.51,188287
2019-08-26,26.33,138987
2019-08-27,26.01,143350
2019-08-28,26.52,116205
2019-08-29,27.56,118486
2019-08-30,27.44,109578
2019-09-03,25.99,197082
2019-09-04,27.42,122992
2019-09-05,29.31,205336
2019-09-06,29.17,92518
2019-09-09,30.63,159091
2019-09-10,32.58,221543
2019-09-11,33.68,189910
2019-09-12,34.06,242538
2019-09-13,34.3,160895
2019-09-16,34.09,185573
2019-09-17,33.92,157756
2019-09-18,33.45,219724
2019-09-19,33.09,359502
2019-09-20,32.3,474560
2019-09-23,32.14,167595
2019-09-24,31.2,321845
2019-09-25,33.04,228671
2019-09-26,32.4,166120
2019-09-27,32.09,173765
2019-09-30,32.29,145483
2019-10-01,31.91,254007
2019-10-02,32.04,300132
2019-10-03,31.76,251603
2019-10-04,31.99,141554
2019-10-07,31.57,349090
2019-10-08,29.99,233035
2019-10-09,30.07,162516
2019-10-10,20.42,2268470
2019-10-11,21.47,1100139
2019-10-14,21.56,423910
2019-10-15,22.11,381905
2019-10-16,22.34,379567
2019-10-17,22.39,311617
2019-10-18,21.91,212666
2019-10-21,22.07,322721
2019-10-22,21.96,233209
2019-10-23,21.45,316344
2019-10-24,21.99,515322
2019-10-25,22.93,331709
2019-10-28,22.79,249755
2019-10-29,23.31,280809
2019-10-30,24.04,665776
2019-10-31,22.42,339546
2019-11-01,23.74,239138
2019-11-04,24.74,293307
2019-11-05,25.42,340810
2019-11-06,24.58,304797
2019-11-07,24.66,164951
2019-11-08,24.77,169804
2019-11-11,24.39,191879
2019-11-12,24.32,157280
2019-11-13,23.63,164343
2019-11-14,23.3,177063
2019-11-15,22.76,262691
2019-11-18,22.67,174378
2019-11-19,22.71,124949
2019-11-20,22.05,202449
2019-11-21,21.99,155872
2019-11-22,22.27,150371
2019-11-25,23.16,154750
2019-11-26,22.97,133069
2019-11-27,22.92,159312
2019-11-29,22.53,82964
2019-12-02,22.35,214346
2019-12-03,21.84,207140
2019-12-04,22.33,216200
2019-12-05,22.36,178803
2019-12-06,22.99,174839
2019-12-09,23.79,266089
2019-12-10,23.58,256682
2019-12-11,23.82,180584
2019-12-12,24.67,264914
2019-12-13,24.01,166982
2019-12-16,24.11,164883
2019-12-17,24.59,255706
2019-12-18,24.61,135735
2019-12-19,24.85,117084
2019-12-20,24.57,444918
2019-12-23,25.3,150189
2019-12-24,25.25,38739
2019-12-26,24.76,86269
2019-12-27,24.75,136176
2019-12-30,24.74,144753
2019-12-31,25.32,174067
2020-01-02,25.25,306204
2020-01-03,24.31,267156
2020-01-06,23.75,196772
2020-01-07,24.0,158718
2020-01-08,24.37,191984
2020-01-09,23.51,157216
2020-01-10,22.86,151335
2020-01-13,23.74,164797
2020-01-14,23.61,147537
2020-01-15,23.9,146997
2020-01-16,23.92,111215
2020-01-17,23.57,134373
2020-01-21,22.29,207596
2020-01-22,21.42,177461
2020-01-23,20.99,335401
2020-01-24,20.08,184591
2020-01-27,18.99,189041
2020-01-28,19.13,211242
2020-01-29,18.81,161588
2020-01-30,17.67,276624
2020-01-31,16.45,232596
2020-02-03,16.8,298087
2020-02-04,17.02,166909
2020-02-05,18.04,181917
2020-02-06,17.53,174105
2020-02-07,16.49,175964
2020-02-10,16.1,145525
2020-02-11,16.8,184839
2020-02-12,17.12,179385
2020-02-13,16.9,122546
2020-02-14,16.35,194419
2020-02-18,15.85,153774
2020-02-19,16.39,178465
2020-02-20,16.15,170834
2020-02-21,15.95,298525
2020-02-24,14.89,279471
2020-02-25,13.26,436948
2020-02-26,12.45,429729
2020-02-27,10.32,1036768
2020-02-28,10.12,876843
2020-03-02,10.31,1111493
2020-03-03,10.5,1112066
2020-03-04,10.7,611906
2020-03-05,10.44,527564
2020-03-06,9.62,647900
2020-03-09,7.81,477770
2020-03-10,7.82,968942
2020-03-11,7.35,594591
2020-03-12,5.7,855509
2020-03-13,6.84,614029
2020-03-16,8.15,1058832
2020-03-17,7.22,556409
2020-03-18,6.46,615595
2020-03-19,5.66,686187
2020-03-20,6.05,817786
2020-03-23,4.66,582956
2020-03-24,4.86,1209753
2020-03-25,6.02,1062187
2020-03-26,7.06,486646
2020-03-27,6.66,361647
2020-03-30,8.65,1023024
2020-03-31,8.1,846661
2020-04-01,7.65,817472
2020-04-02,8.74,635447
2020-04-03,7.92,526718
2020-04-06,9.04,469517
2020-04-07,9.07,500797
2020-04-08,9.84,396812
2020-04-09,10.76,469017
2020-04-13,9.47,545286
2020-04-14,10.21,331323
2020-04-15,9.49,242903
2020-04-16,8.55,532375
2020-04-17,9.9,312198
2020-04-20,8.71,405271
2020-04-21,8.77,445618
2020-04-22,8.9,309110
2020-04-23,9.65,593075
2020-04-24,9.81,294735
2020-04-27,10.32,357024
2020-04-28,10.82,332347
2020-04-29,13.3,552960
2020-04-30,15.61,2721647
2020-05-01,13.9,862544
2020-05-04,14.4,628221
2020-05-05,14.56,642696
2020-05-06,13.78,524542
2020-05-07,13.36,489471
2020-05-08,14.65,494962
2020-05-11,14.25,683375
2020-05-12,12.52,681420
2020-05-13,11.35,713418
2020-05-14,11.32,524611
2020-05-15,10.98,316332
2020-05-18,13.27,683111
2020-05-19,12.52,423735
2020-05-20,13.75,286734
2020-05-21,13.9,424940
2020-05-22,14.34,547294
2020-05-26,16.14,913304
2020-05-27,17.83,488246
2020-05-28,15.97,469260
2020-05-29,15.25,645838
2020-06-01,15.38,336008
2020-06-02,16.19,344036
2020-06-03,17.24,354962
2020-06-04,17.57,679595
2020-06-05,18.24,564166
2020-06-08,19.11,534033
2020-06-09,19.31,493490
2020-06-10,17.27,595096
2020-06-11,14.7,596570
2020-06-12,15.99,436409
2020-06-15,16.36,421036
2020-06-16,17.2,580289
2020-06-17,15.87,419333
2020-06-18,15.61,314528
2020-06-19,15.97,587581
2020-06-22,16.18,315347
2020-06-23,16.22,288632
2020-06-24,15.43,442007
2020-06-25,16.75,307907
2020-06-26,16.11,669254
2020-06-29,17.15,289981
2020-06-30,17.28,274569
2020-07-01,16.37,444179
2020-07-02,16.74,209918
2020-07-06,16.96,220791
2020-07-07,16.48,372907
2020-07-08,16.35,261524
2020-07-09,15.2,264520
2020-07-10,16.37,326821
2020-07-13,16.9,596638
2020-07-14,18.15,311660
2020-07-15,19.0,394966
2020-07-16,18.84,240121
2020-07-17,18.66,178341
2020-07-20,17.95,201637
2020-07-21,18.48,156722
2020-07-22,18.08,297968
2020-07-23,18.26,146366
2020-07-24,17.6,189455
2020-07-27,17.97,136167
2020-07-28,17.35,188435
2020-07-29,18.36,301816
2020-07-30,14.01,1689659
2020-07-31,13.15,689636
2020-08-03,13.65,556846
2020-08-04,13.55,356734
2020-08-05,14.08,264321
2020-08-06,14.16,299109
2020-08-07,15.05,305649
2020-08-10,15.67,414040
2020-08-11,15.93,305799
2020-08-12,15.71,207137
2020-08-13,15.41,224400
2020-08-14,15.26,207864
