date,close,volume
2018-04-25,11.85,15713
2018-04-26,12.05,14888
2018-04-27,11.85,33224
2018-04-30,11.9,24558
2018-05-01,12.1,16958
2018-05-02,12.15,18631
2018-05-03,11.85,8747
2018-05-04,12.05,5285
2018-05-07,12.0,27004
2018-05-08,10.7,510848
2018-05-09,10.6,71301
2018-05-10,10.9,39248
2018-05-11,11.0,33069
2018-05-14,10.7,28705
2018-05-15,10.8,39120
2018-05-16,10.75,13017
2018-05-17,10.65,83196
2018-05-18,10.6,30499
2018-05-21,10.5,20985
2018-05-22,10.18,49111
2018-05-23,10.4,75395
2018-05-24,10.85,1124576
2018-05-25,10.9,17163
2018-05-29,10.9,12412
2018-05-30,10.85,31444
2018-05-31,10.9,29534
2018-06-01,11.05,38917
2018-06-04,11.0,36323
2018-06-05,11.15,33060
2018-06-06,11.25,33218
2018-06-07,11.2,42200
2018-06-08,11.3,26107
2018-06-11,11.35,30324
2018-06-12,11.6,42961
2018-06-13,11.6,21820
2018-06-14,11.7,24068
2018-06-15,11.75,62146
2018-06-18,11.65,40182
2018-06-19,11.65,39525
2018-06-20,11.9,78689
2018-06-21,12.0,43686
2018-06-22,12.75,210848
2018-06-25,12.95,39177
2018-06-26,13.03,31590
2018-06-27,13.0,33947
2018-06-28,13.05,24019
2018-06-29,12.65,50613
2018-07-02,12.6,11305
2018-07-03,12.75,11528
2018-07-05,12.9,12078
2018-07-06,13.4,13288
2018-07-09,13.3,11988
2018-07-10,13.2,21690
2018-07-11,13.5,29685
2018-07-12,13.05,19718
2018-07-13,12.9,19120
2018-07-16,13.25,15083
2018-07-17,13.0,13689
2018-07-18,13.05,13515
2018-07-19,13.05,9039
2018-07-20,13.15,11700
2018-07-23,12.55,29099
2018-07-24,12.65,16221
2018-07-25,12.8,16272
2018-07-26,12.95,18283
2018-07-27,12.2,35793
2018-07-30,12.05,13841
2018-07-31,12.15,18814
2018-08-01,12.15,4045
2018-08-02,12.0,16837
2018-08-03,11.5,12943
2018-08-06,11.85,55302
2018-08-07,11.65,9864
2018-08-08,11.9,11247
2018-08-09,11.85,15894
2018-08-10,11.55,9227
2018-08-13,11.65,20061
2018-08-14,11.65,7001
2018-08-15,11.75,15494
2018-08-16,12.0,15531
2018-08-17,11.75,32841
2018-08-20,12.0,17660
2018-08-21,12.0,15502
2018-08-22,12.2,9558
2018-08-23,12.15,14935
2018-08-24,12.2,14269
2018-08-27,11.85,11681
2018-08-28,11.75,24826
2018-08-29,11.75,9798
2018-08-30,11.45,40619
2018-08-31,11.65,9665
2018-09-04,11.4,13368
2018-09-05,11.25,10568
2018-09-06,11.3,4097
2018-09-07,11.2,32990
2018-09-10,11.55,7862
2018-09-11,11.2,14337
2018-09-12,11.15,11025
2018-09-13,10.95,13574
2018-09-14,10.8,57221
2018-09-17,10.85,27926
2018-09-18,10.75,11840
2018-09-19,10.75,28559
2018-09-20,10.9,16010
2018-09-21,11.2,82555
2018-09-24,10.85,10033
2018-09-25,10.8,11747
2018-09-26,10.75,11951
2018-09-27,10.8,25257
2018-09-28,10.9,18314
2018-10-01,10.5,14135
2018-10-02,10.4,19704
2018-10-03,9.97,104252
2018-10-04,9.95,36416
2018-10-05,9.91,9823
