date,close,volume
2018-04-25,14.55,110312
2018-04-26,15.63,236896
2018-04-27,15.25,102784
2018-04-30,14.75,48679
2018-05-01,14.6,92988
2018-05-02,14.35,81108
2018-05-03,14.45,75789
2018-05-04,14.55,57238
2018-05-07,14.6,89574
2018-05-08,14.4,44921
2018-05-09,14.45,36351
2018-05-10,14.0,115741
2018-05-11,14.25,48986
2018-05-14,14.8,153547
2018-05-15,14.5,31390
2018-05-16,14.35,53292
2018-05-17,14.25,44265
2018-05-18,14.35,36047
2018-05-21,14.3,11641
2018-05-22,14.25,54056
2018-05-23,14.15,37010
2018-05-24,14.1,25837
2018-05-25,13.9,72870
2018-05-29,14.0,70121
2018-05-30,13.8,74446
2018-05-31,13.35,207193
2018-06-01,13.45,106553
2018-06-04,13.1,73750
2018-06-05,13.45,76325
2018-06-06,13.4,51538
2018-06-07,13.55,32632
2018-06-08,13.4,26943
2018-06-11,13.5,62710
2018-06-12,13.4,51006
2018-06-13,13.5,54865
2018-06-14,13.6,56544
2018-06-15,13.55,50743
2018-06-18,13.72,82847
2018-06-19,13.8,40925
2018-06-20,13.75,23939
2018-06-21,13.9,54467
2018-06-22,14.0,43298
2018-06-25,13.95,28043
2018-06-26,13.8,63716
2018-06-27,13.95,82694
2018-06-28,13.6,32967
2018-06-29,13.85,54262
2018-07-02,13.85,21772
2018-07-03,13.99,33272
2018-07-05,14.0,53352
2018-07-06,13.95,46899
2018-07-09,13.8,47508
2018-07-10,13.7,53454
2018-07-11,13.9,62697
2018-07-12,13.7,86936
2018-07-13,13.75,44044
2018-07-16,13.75,32326
2018-07-17,13.75,32902
2018-07-18,13.8,38402
2018-07-19,13.9,54857
2018-07-20,13.9,90458
2018-07-23,13.7,68937
2018-07-24,13.75,39019
2018-07-25,13.93,65640
2018-07-26,14.0,41166
2018-07-27,13.9,40681
2018-07-30,13.75,100001
2018-07-31,13.4,72201
2018-08-01,13.3,32042
2018-08-02,13.15,134996
2018-08-03,13.25,57628
2018-08-06,13.23,112647
2018-08-07,13.15,50802
2018-08-08,13.03,44538
2018-08-09,12.7,95047
2018-08-10,13.0,63362
2018-08-13,12.95,48866
2018-08-14,12.95,74417
2018-08-15,13.0,74081
2018-08-16,12.95,55381
2018-08-17,13.1,41414
2018-08-20,13.35,54096
2018-08-21,13.3,34349
2018-08-22,13.45,81440
2018-08-23,13.1,38478
2018-08-24,13.3,36496
2018-08-27,13.05,102101
2018-08-28,13.1,35239
2018-08-29,13.1,104497
2018-08-30,13.05,52158
2018-08-31,12.95,69280
2018-09-04,13.15,100424
2018-09-05,13.1,60270
2018-09-06,12.95,28802
2018-09-07,12.9,62809
2018-09-10,13.0,59727
2018-09-11,13.0,97671
2018-09-12,13.45,131146
2018-09-13,13.3,70269
2018-09-14,13.25,48020
2018-09-17,13.2,43090
2018-09-18,13.3,38008
2018-09-19,13.25,31001
2018-09-20,13.3,57210
2018-09-21,13.0,63648
2018-09-24,13.2,47369
2018-09-25,13.55,62526
2018-09-26,13.6,61119
2018-09-27,13.95,85232
2018-09-28,13.85,79360
2018-10-01,13.79,45298
2018-10-02,14.2,89426
2018-10-03,14.09,54741
2018-10-04,14.0,69154
2018-10-05,14.1,20850
2018-10-08,14.28,33156
2018-10-09,14.44,94490
2018-10-10,14.45,118407
2018-10-11,14.22,89973
2018-10-12,13.95,68087
2018-10-15,14.3,72782
2018-10-16,14.59,55218
2018-10-17,14.4,39954
2018-10-18,14.4,25048
2018-10-19,14.41,32001
2018-10-22,14.36,39583
2018-10-23,14.54,59409
2018-10-24,14.94,117011
2018-10-25,14.72,87707
2018-10-26,14.08,136861
2018-10-29,13.77,120188
2018-10-30,13.8,72443
2018-10-31,14.08,125294
2018-11-01,14.55,91016
2018-11-02,14.32,47232
2018-11-05,14.07,21272
2018-11-06,13.71,127515
2018-11-07,12.59,289095
2018-11-08,12.6,155799
