date,close,volume
2018-04-25,3.8,7277
2018-04-26,3.8,100
2018-04-27,3.8,205
2018-04-30,3.8,84
2018-05-01,3.7,250
2018-05-02,3.79,542
2018-05-03,3.66,720
2018-05-04,3.66,51
2018-05-07,3.79,482
2018-05-08,3.75,22543
2018-05-09,3.75,214
2018-05-10,3.79,10706
2018-05-11,3.75,5822
2018-05-14,3.75,2465
2018-05-15,3.71,29482
2018-05-16,3.75,99843
2018-05-17,3.7,25616
2018-05-18,3.59,10931
2018-05-21,3.67,13894
2018-05-22,3.68,740
2018-05-23,3.85,137
2018-05-24,3.71,800
2018-05-25,3.7,283
2018-05-29,3.67,24301
2018-05-30,3.68,325
2018-05-31,3.77,251
2018-06-01,3.61,4537
2018-06-04,3.55,433
2018-06-05,3.58,79467
2018-06-06,3.54,37174
2018-06-07,3.31,4044
2018-06-08,3.5,885
2018-06-11,3.5,484
2018-06-12,3.74,2441
2018-06-13,3.67,1553
2018-06-14,3.61,1676
2018-06-15,3.58,2384
2018-06-18,3.58,8
2018-06-19,3.73,1680
2018-06-20,3.64,31365
2018-06-21,3.72,40469
2018-06-22,3.6,1755
2018-06-25,3.64,17496
2018-06-26,3.7,735
2018-06-27,3.73,3002
2018-06-28,3.56,2048
2018-06-29,3.47,18569
2018-07-02,3.47,2815
2018-07-03,3.5,3010
2018-07-05,3.49,4474
2018-07-06,3.52,3770
2018-07-09,3.57,2232
2018-07-10,3.55,876
2018-07-11,3.58,5515
2018-07-12,3.58,215
2018-07-13,3.67,357
2018-07-16,3.61,220
2018-07-17,3.61,0
2018-07-18,3.71,3357
2018-07-19,3.62,13002
2018-07-20,3.76,267
2018-07-23,3.69,3131
2018-07-24,3.69,2
2018-07-25,3.8,6652
2018-07-26,3.79,1138
2018-07-27,3.84,600
2018-07-30,3.85,1883
2018-07-31,3.85,12
2018-08-01,3.85,0
2018-08-02,3.71,9116
2018-08-03,3.8,306
2018-08-06,3.84,7345
2018-08-07,3.78,1800
2018-08-08,3.75,1100
2018-08-09,3.75,242
2018-08-10,3.62,6017
2018-08-13,3.52,6203
2018-08-14,3.61,4522
2018-08-15,3.65,9080
2018-08-16,3.61,2701
2018-08-17,3.57,9009
2018-08-20,3.56,17650
2018-08-21,3.5,36353
2018-08-22,3.48,31949
2018-08-23,3.41,11881
2018-08-24,3.5,3551
2018-08-27,3.46,23487
2018-08-28,3.62,510
2018-08-29,3.6,205
2018-08-30,3.52,600
