date,close,volume
2018-04-25,1.55,97050
2018-04-26,1.61,93663
2018-04-27,1.6,76814
2018-04-30,1.54,156652
2018-05-01,1.49,188928
2018-05-02,1.48,104138
2018-05-03,1.5,75352
2018-05-04,1.54,261631
2018-05-07,1.57,880427
2018-05-08,1.78,2962451
2018-05-09,1.14,2162319
2018-05-10,1.06,541028
2018-05-11,1.1,448095
2018-05-14,1.27,711050
2018-05-15,1.25,250783
2018-05-16,1.2,178792
2018-05-17,1.23,113459
2018-05-18,1.3,292360
2018-05-21,1.25,277208
2018-05-22,1.22,110333
2018-05-23,1.24,53832
2018-05-24,1.19,105809
2018-05-25,1.22,69274
2018-05-29,1.19,74471
2018-05-30,1.17,71185
2018-05-31,1.18,100534
2018-06-01,1.19,44507
2018-06-04,1.19,32195
2018-06-05,1.21,75833
2018-06-06,1.24,109238
2018-06-07,1.28,238853
2018-06-08,1.27,111433
2018-06-11,1.33,114668
2018-06-12,1.32,52282
2018-06-13,1.36,100272
2018-06-14,1.39,161485
2018-06-15,1.39,83694
2018-06-18,1.34,56459
2018-06-19,1.34,45222
2018-06-20,1.36,94942
2018-06-21,1.3,41020
2018-06-22,1.27,126140
2018-06-25,1.27,51224
2018-06-26,1.3,47664
2018-06-27,1.33,46857
2018-06-28,1.28,37845
2018-06-29,1.3,32186
2018-07-02,1.33,39481
2018-07-03,1.38,44434
2018-07-05,1.35,66812
2018-07-06,1.38,33283
2018-07-09,1.38,204161
2018-07-10,1.38,35671
2018-07-11,1.41,97416
2018-07-12,1.43,54560
2018-07-13,1.42,48306
2018-07-16,1.41,45227
2018-07-17,1.38,60916
2018-07-18,1.41,62884
2018-07-19,1.38,87448
2018-07-20,1.39,50019
2018-07-23,1.41,234080
2018-07-24,1.4,30763
2018-07-25,1.41,42794
2018-07-26,1.39,42924
2018-07-27,1.39,11002
2018-07-30,1.37,37390
2018-07-31,1.31,48592
2018-08-01,1.39,59349
2018-08-02,1.39,38334
2018-08-03,1.37,44621
2018-08-06,1.43,36940
2018-08-07,1.41,60296
2018-08-08,1.49,373882
2018-08-09,1.49,101105
2018-08-10,1.53,103978
2018-08-13,1.55,97811
2018-08-14,1.49,153146
2018-08-15,1.44,35031
2018-08-16,1.4,56288
2018-08-17,1.37,22153
2018-08-20,1.35,51801
2018-08-21,1.4,72735
2018-08-22,1.42,36359
2018-08-23,1.44,17163
2018-08-24,1.4,22617
2018-08-27,1.37,83724
2018-08-28,1.37,33532
2018-08-29,1.41,20085
2018-08-30,1.42,80278
2018-08-31,1.49,58428
2018-09-04,1.58,275421
2018-09-05,1.62,51926
2018-09-06,1.63,32577
2018-09-07,1.57,68983
2018-09-10,1.56,22741
2018-09-11,1.57,28248
2018-09-12,1.57,36622
2018-09-13,1.6,63820
2018-09-14,1.56,26364
2018-09-17,1.57,10808
2018-09-18,1.58,60390
2018-09-19,1.57,60230
2018-09-20,1.52,171468
2018-09-21,1.54,78791
2018-09-24,1.49,32746
2018-09-25,1.46,62992
2018-09-26,1.42,52246
2018-09-27,1.42,118388
2018-09-28,1.38,124685
2018-10-01,1.37,104452
2018-10-02,1.38,39471
2018-10-03,1.38,22926
2018-10-04,1.32,71747
2018-10-05,1.37,16165
2018-10-08,1.34,38589
2018-10-09,1.34,14616
2018-10-10,1.31,48319
2018-10-11,1.3,16070
2018-10-12,1.35,41829
2018-10-15,1.31,36245
2018-10-16,1.3,105004
2018-10-17,1.35,409505
2018-10-18,1.3,109561
2018-10-19,1.21,169837
2018-10-22,1.13,237326
2018-10-23,1.16,173520
2018-10-24,1.3,63987
2018-10-25,1.31,40669
2018-10-26,1.31,126533
2018-10-29,1.31,46915
2018-10-30,1.34,41584
2018-10-31,1.4,61381
2018-11-01,1.44,76505
2018-11-02,1.48,293646
2018-11-05,1.48,342191
2018-11-06,1.5,146718
2018-11-07,1.49,152336
2018-11-08,1.63,408461
2018-11-09,1.6,166918
2018-11-12,1.6,139170
2018-11-13,1.6,82190
2018-11-14,1.47,93836
2018-11-15,1.41,46465
2018-11-16,1.44,37500
2018-11-19,1.39,38154
2018-11-20,1.41,13828
2018-11-21,1.41,9844
2018-11-23,1.41,21946
2018-11-26,1.35,38032
2018-11-27,1.39,27517
2018-11-28,1.4,27523
2018-11-29,1.41,56700
2018-11-30,1.36,58823
2018-12-03,1.45,84813
2018-12-04,1.46,89571
2018-12-06,1.39,43841
2018-12-07,1.39,26448
2018-12-10,1.44,114617
2018-12-11,1.37,27941
2018-12-12,1.44,29994
2018-12-13,1.38,53814
2018-12-14,1.39,27498
2018-12-17,1.35,51018
2018-12-18,1.31,81873
2018-12-19,1.31,63898
2018-12-20,1.3,218792
2018-12-21,1.26,76983
2018-12-24,1.25,70660
2018-12-26,1.15,174020
2018-12-27,1.09,146538
2018-12-28,1.07,189276
2018-12-31,1.3,229049
2019-01-02,1.46,171211
2019-01-03,1.56,87699
2019-01-04,1.62,143078
