date,close,volume
2018-04-25,16.88,136
2018-04-26,16.88,122
2018-04-27,16.88,100
2018-04-30,16.75,209
2018-05-01,16.75,139
2018-05-02,16.75,106
2018-05-03,16.8,2361
2018-05-04,16.95,4546
2018-05-07,16.9,224
2018-05-08,16.9,9
2018-05-09,16.9,301
2018-05-10,16.9,108
2018-05-11,17.4,7977
2018-05-14,17.4,6219
2018-05-15,17.4,2900
2018-05-16,17.64,3093
2018-05-17,17.94,156
2018-05-18,17.75,799
2018-05-21,17.4,1898
2018-05-22,17.5,8529
2018-05-23,17.35,610
2018-05-24,17.4,1017
2018-05-25,17.48,14744
2018-05-29,17.37,10198
2018-05-30,17.6,2175
2018-05-31,17.75,1125
2018-06-01,17.75,440
2018-06-04,17.51,1207
2018-06-05,17.51,181
2018-06-06,17.31,591
2018-06-07,17.31,0
2018-06-08,17.31,279
2018-06-11,17.31,4
2018-06-12,17.31,3
2018-06-13,17.32,811
2018-06-14,17.32,18
2018-06-15,17.32,139
2018-06-18,17.49,541
2018-06-19,17.05,496
2018-06-20,17.05,2
2018-06-21,17.15,3166
2018-06-22,17.15,1163
2018-06-25,17.15,86
2018-06-26,17.15,0
2018-06-27,17.15,14
2018-06-28,17.15,50
2018-06-29,17.15,110
2018-07-02,17.15,0
2018-07-03,17.15,0
2018-07-05,17.15,58
2018-07-06,17.15,22
2018-07-09,17.32,970
2018-07-10,17.2,772
2018-07-11,17.2,208
2018-07-12,17.4,700
2018-07-13,17.2,250
2018-07-16,17.2,360
2018-07-17,17.2,0
2018-07-18,17.27,582
2018-07-19,17.27,0
2018-07-20,17.2,2887
2018-07-23,17.2,98
2018-07-24,17.2,169
2018-07-25,17.2,0
2018-07-26,17.2,1
2018-07-27,17.2,3961
2018-07-30,17.2,35
2018-07-31,17.2,62
2018-08-01,17.3,930
2018-08-02,17.3,33
2018-08-03,17.3,49
2018-08-06,17.2,71
2018-08-07,17.2,87
2018-08-08,17.1,239
2018-08-09,17.25,546
2018-08-10,17.25,200
2018-08-13,17.2,106
2018-08-14,17.25,1508
2018-08-15,17.25,6
2018-08-16,17.15,160
2018-08-17,17.25,2672
2018-08-20,17.25,11326
