date,close,volume
2019-07-25,38.1,14798181
2019-07-26,38.12,2633142
2019-07-29,41.63,1410637
2019-07-30,41.0,910374
2019-07-31,44.25,2864558
2019-08-01,41.01,526984
2019-08-02,37.49,1230676
2019-08-05,33.53,803876
2019-08-06,33.15,603363
2019-08-07,33.21,547428
2019-08-08,33.21,570651
2019-08-09,37.57,1155449
2019-08-12,36.94,574970
2019-08-13,36.25,472616
2019-08-14,33.92,816947
2019-08-15,34.03,258848
2019-08-16,36.79,406833
2019-08-19,36.5,813411
2019-08-20,34.99,383560
2019-08-21,34.95,493427
2019-08-22,35.42,351110
2019-08-23,34.64,139083
2019-08-26,31.34,1446215
2019-08-27,29.69,1054095
2019-08-28,30.04,812222
2019-08-29,30.84,424123
2019-08-30,30.64,682046
2019-09-03,30.23,508047
2019-09-04,30.89,894970
2019-09-05,25.55,5734689
2019-09-06,26.06,1169419
2019-09-09,23.47,1517642
2019-09-10,23.35,1377301
2019-09-11,23.93,1222543
2019-09-12,25.28,1333561
2019-09-13,24.64,553592
2019-09-16,23.48,957158
2019-09-17,22.57,1174829
2019-09-18,22.59,1013085
2019-09-19,23.06,880475
2019-09-20,23.86,2578694
2019-09-23,22.49,771966
2019-09-24,19.39,3099681
2019-09-25,19.0,1668189
2019-09-26,17.89,1152400
2019-09-27,17.05,1440486
2019-09-30,17.44,924670
2019-10-01,15.92,1387253
2019-10-02,16.87,1484119
2019-10-03,17.66,861526
2019-10-04,17.32,985644
2019-10-07,20.5,2915799
2019-10-08,19.1,1686500
2019-10-09,19.12,1826546
2019-10-10,18.86,967061
2019-10-11,17.64,1410643
2019-10-14,18.45,862406
2019-10-15,19.46,966807
2019-10-16,20.33,714187
2019-10-17,21.22,1362250
2019-10-18,20.62,745592
2019-10-21,20.0,889074
2019-10-22,20.96,510530
2019-10-23,21.32,386273
2019-10-24,20.97,555110
2019-10-25,21.17,416978
2019-10-28,22.67,1073827
2019-10-29,21.84,696918
2019-10-30,21.45,598097
2019-10-31,21.59,404159
2019-11-01,22.52,653332
2019-11-04,23.52,1518026
2019-11-05,22.69,854206
2019-11-06,21.2,1856782
2019-11-07,24.43,3599160
2019-11-08,25.25,853941
2019-11-11,25.88,792948
2019-11-12,25.6,672228
2019-11-13,26.71,821849
2019-11-14,25.36,519064
2019-11-15,25.55,436563
2019-11-18,25.55,520788
2019-11-19,28.44,1528446
2019-11-20,27.96,864688
