date,close,volume
2018-04-25,29.2,191146
2018-04-26,29.3,285732
2018-04-27,29.3,186462
2018-04-30,28.8,295876
2018-05-01,29.05,293111
2018-05-02,29.05,177498
2018-05-03,28.75,203936
2018-05-04,29.1,337653
2018-05-07,29.05,246047
2018-05-08,29.3,247207
2018-05-09,29.35,270128
2018-05-10,29.75,278856
2018-05-11,29.9,196540
2018-05-14,29.65,250602
2018-05-15,29.6,203247
2018-05-16,30.3,276927
2018-05-17,30.75,285651
2018-05-18,31.5,403284
2018-05-21,32.2,598350
2018-05-22,31.4,435848
2018-05-23,31.5,324915
2018-05-24,31.5,264875
2018-05-25,31.75,174135
2018-05-29,31.75,272578
2018-05-30,32.05,264331
2018-05-31,31.2,370000
2018-06-01,31.3,289729
2018-06-04,32.05,325827
2018-06-05,32.75,331363
2018-06-06,33.55,288872
2018-06-07,33.75,287665
2018-06-08,34.1,345848
2018-06-11,33.7,283419
2018-06-12,34.1,241770
2018-06-13,33.1,488429
2018-06-14,32.85,349873
2018-06-15,32.8,674799
2018-06-18,33.15,381739
2018-06-19,33.25,838128
2018-06-20,31.75,1190688
2018-06-21,30.5,872223
2018-06-22,29.8,689694
2018-06-25,30.05,672696
2018-06-26,31.3,567306
2018-06-27,30.3,439469
2018-06-28,30.85,385400
2018-06-29,30.6,433809
2018-07-02,31.25,513005
2018-07-03,31.55,284893
2018-07-05,32.1,482850
2018-07-06,32.1,358844
2018-07-09,31.65,413174
2018-07-10,30.8,357978
2018-07-11,30.3,543997
2018-07-12,29.85,388281
2018-07-13,30.1,352588
2018-07-16,29.95,368681
2018-07-17,30.65,323111
2018-07-18,31.0,277210
2018-07-19,32.4,506124
2018-07-20,32.4,278829
2018-07-23,32.1,316463
2018-07-24,31.75,490041
2018-07-25,31.3,394603
2018-07-26,31.65,577013
2018-07-27,30.9,436176
2018-07-30,30.45,318654
2018-07-31,30.5,440081
2018-08-01,30.2,349052
2018-08-02,30.1,212015
2018-08-03,30.25,267060
2018-08-06,30.45,268889
2018-08-07,30.65,187644
2018-08-08,31.0,384344
2018-08-09,30.85,353529
2018-08-10,31.05,202873
2018-08-13,31.15,191247
2018-08-14,31.4,201686
2018-08-15,31.1,316600
2018-08-16,31.45,326976
2018-08-17,31.9,227746
2018-08-20,32.4,319109
2018-08-21,33.1,914198
2018-08-22,37.45,3109839
2018-08-23,33.55,1613458
2018-08-24,33.3,764692
2018-08-27,33.15,534942
2018-08-28,33.5,355392
2018-08-29,33.15,357254
2018-08-30,33.15,404237
2018-08-31,33.25,345735
2018-09-04,33.15,441225
2018-09-05,33.2,304065
2018-09-06,31.9,455803
2018-09-07,32.1,248718
2018-09-10,32.75,213940
2018-09-11,33.0,273023
2018-09-12,32.8,200711
2018-09-13,32.95,231679
2018-09-14,32.75,183625
2018-09-17,32.0,296724
2018-09-18,31.7,288554
2018-09-19,31.95,386512
2018-09-20,32.2,276173
2018-09-21,32.2,835740
2018-09-24,32.0,289887
2018-09-25,31.9,249790
2018-09-26,31.65,313220
2018-09-27,31.5,156843
2018-09-28,31.6,222004
2018-10-01,30.97,276670
2018-10-02,30.55,463014
2018-10-03,31.35,448743
2018-10-04,30.62,294532
2018-10-05,29.67,431679
2018-10-08,29.63,380355
2018-10-09,28.98,315326
2018-10-10,28.74,379901
2018-10-11,28.24,426094
2018-10-12,28.13,433559
2018-10-15,28.12,228699
2018-10-16,28.61,644007
2018-10-17,28.34,307181
2018-10-18,27.59,299787
2018-10-19,27.37,301318
2018-10-22,27.84,333231
2018-10-23,28.51,383855
2018-10-24,27.83,392656
2018-10-25,28.84,366660
2018-10-26,27.51,432954
2018-10-29,27.74,322260
2018-10-30,28.75,288613
2018-10-31,27.8,504232
2018-11-01,28.74,328174
2018-11-02,29.09,221566
2018-11-05,28.76,361025
2018-11-06,29.1,291541
2018-11-07,29.37,332068
2018-11-08,29.2,186706
2018-11-09,28.9,195164
2018-11-12,28.74,233916
2018-11-13,28.92,370156
2018-11-14,28.58,333617
2018-11-15,28.83,219517
2018-11-16,28.99,418475
2018-11-19,28.75,372905
2018-11-20,27.77,347525
2018-11-21,28.04,278236
2018-11-23,28.26,110564
2018-11-26,28.35,333095
2018-11-27,28.15,244999
2018-11-28,29.16,583438
2018-11-29,29.81,2763588
2018-11-30,29.23,1167584
2018-12-03,29.71,639289
2018-12-04,27.68,601608
2018-12-06,27.69,641796
2018-12-07,27.06,549819
2018-12-10,26.72,514053
2018-12-11,26.32,497663
2018-12-12,26.9,335404
2018-12-13,26.25,251010
2018-12-14,25.73,337469
2018-12-17,26.09,686606
2018-12-18,27.0,562903
2018-12-19,26.34,495711
2018-12-20,26.08,551178
2018-12-21,25.79,1133411
2018-12-24,25.35,220790
2018-12-26,26.93,425405
2018-12-27,27.44,430032
2018-12-28,27.41,387548
2018-12-31,27.71,547717
2019-01-02,27.49,529740
2019-01-03,27.03,373467
2019-01-04,27.93,347943
2019-01-07,29.2,663185
2019-01-08,29.91,322869
2019-01-09,30.19,242078
2019-01-10,30.02,212818
2019-01-11,30.24,216708
2019-01-14,30.2,213932
2019-01-15,29.97,157094
2019-01-16,29.84,300914
2019-01-17,29.98,291957
2019-01-18,30.13,215745
2019-01-22,29.68,239038
2019-01-23,29.1,351151
2019-01-24,28.99,231303
2019-01-25,29.0,259045
2019-01-28,28.98,185104
2019-01-29,29.02,172974
2019-01-30,29.29,206278
2019-01-31,29.62,416070
2019-02-01,29.83,261868
2019-02-04,29.89,154808
2019-02-05,30.11,134491
2019-02-06,29.85,163807
2019-02-07,29.42,215083
2019-02-08,29.15,419237
2019-02-11,29.34,281034
2019-02-12,30.11,185854
2019-02-13,30.44,283339
2019-02-14,30.54,241966
2019-02-15,31.41,358216
2019-02-19,32.22,574416
2019-02-20,36.01,1302144
2019-02-21,35.79,630787
2019-02-22,35.9,460556
2019-02-25,35.99,260084
2019-02-26,35.24,313068
2019-02-27,34.83,355419
2019-02-28,34.41,338132
2019-03-01,34.59,509439
2019-03-04,34.04,521477
2019-03-05,33.99,273926
2019-03-06,33.57,390071
2019-03-07,33.33,292851
2019-03-08,33.4,253150
2019-03-11,33.97,341078
2019-03-12,34.02,199929
2019-03-13,34.16,235722
2019-03-14,33.83,231017
2019-03-15,33.69,567991
2019-03-18,33.7,298962
2019-03-19,32.95,326406
2019-03-20,32.64,318535
2019-03-21,32.69,316086
2019-03-22,31.61,249305
2019-03-25,32.26,246342
2019-03-26,32.62,211148
2019-03-27,32.92,205369
2019-03-28,33.22,235402
2019-03-29,32.99,230858
2019-04-01,33.42,287622
2019-04-02,32.93,246745
2019-04-03,32.9,220749
2019-04-04,33.14,323815
2019-04-05,33.36,207180
2019-04-08,33.29,165388
2019-04-09,33.18,270527
2019-04-10,34.66,768605
2019-04-11,34.75,275193
2019-04-12,34.34,240188
2019-04-15,34.39,178117
2019-04-16,34.97,245476
2019-04-17,34.72,192495
2019-04-18,33.92,244645
2019-04-22,33.01,242688
2019-04-23,33.29,387510
2019-04-24,32.78,352309
2019-04-25,32.05,301108
2019-04-26,32.45,219436
2019-04-29,32.9,234293
2019-04-30,32.8,415700
2019-05-01,33.16,665303
2019-05-02,34.13,278654
2019-05-03,34.73,218516
2019-05-06,34.76,345489
2019-05-07,34.06,218441
2019-05-08,33.85,167781
2019-05-09,33.92,213222
2019-05-10,34.46,201118
2019-05-13,33.24,255143
2019-05-14,33.58,268291
2019-05-15,33.53,211382
2019-05-16,33.64,517274
2019-05-17,32.88,236912
2019-05-20,33.39,235173
