date,close,volume
2018-04-25,26.86,339863
2018-04-26,27.26,425768
2018-04-27,27.54,334773
2018-04-30,26.86,1242472
2018-05-01,27.44,630782
2018-05-02,27.08,1346265
2018-05-03,29.06,1742302
2018-05-04,29.92,1341533
2018-05-07,29.44,1020457
2018-05-08,29.85,845722
2018-05-09,28.64,589748
2018-05-10,28.69,406394
2018-05-11,28.56,491192
2018-05-14,28.29,575225
2018-05-15,26.83,794462
2018-05-16,27.07,1027363
2018-05-17,27.81,644179
2018-05-18,28.29,451266
2018-05-21,28.49,519615
2018-05-22,27.95,537611
2018-05-23,28.51,658603
2018-05-24,28.73,821282
2018-05-25,29.3,606540
2018-05-29,29.72,944682
2018-05-30,29.45,674231
2018-05-31,29.24,495267
2018-06-01,29.42,526188
2018-06-04,29.33,613368
2018-06-05,29.43,423689
2018-06-06,29.67,347277
2018-06-07,29.74,655437
2018-06-08,30.28,1037153
2018-06-11,30.13,468890
2018-06-12,30.73,309996
2018-06-13,29.68,533820
2018-06-14,29.44,504498
2018-06-15,29.19,700312
2018-06-18,28.58,410966
2018-06-19,28.43,354817
2018-06-20,28.47,293516
2018-06-21,28.14,273560
2018-06-22,27.73,897714
2018-06-25,27.23,307136
2018-06-26,27.88,565939
2018-06-27,27.53,537569
2018-06-28,27.81,504498
2018-06-29,28.49,717477
2018-07-02,28.35,600641
2018-07-03,28.56,164607
2018-07-05,29.48,612149
2018-07-06,29.19,318201
2018-07-09,29.27,344838
2018-07-10,28.98,273570
2018-07-11,29.01,298360
2018-07-12,29.5,446527
2018-07-13,29.44,403560
2018-07-16,29.65,310470
2018-07-17,30.15,607997
2018-07-18,29.92,253489
2018-07-19,30.25,269396
2018-07-20,29.48,264093
2018-07-23,28.81,490239
2018-07-24,27.9,378636
2018-07-25,27.02,551795
2018-07-26,27.5,707590
2018-07-27,26.79,452989
2018-07-30,26.49,405069
2018-07-31,26.89,514749
2018-08-01,28.03,800784
2018-08-02,28.18,918558
