date,close,volume
2018-04-25,336.13,883168
2018-04-26,344.45,776354
2018-04-27,341.17,530701
2018-04-30,339.61,297868
2018-05-01,339.46,310408
2018-05-02,333.25,639138
2018-05-03,330.59,678085
2018-05-04,329.97,847634
2018-05-07,339.31,625007
2018-05-08,333.44,396568
2018-05-09,325.31,1357119
2018-05-10,316.63,1857524
2018-05-11,309.01,835933
2018-05-14,298.58,1020468
2018-05-15,290.75,1201543
2018-05-16,305.13,1383151
2018-05-17,298.85,765524
2018-05-18,295.37,605541
2018-05-21,290.6,493482
2018-05-22,294.76,677659
2018-05-23,304.79,687317
2018-05-24,314.93,1383433
2018-05-25,314.7,1544033
2018-05-29,297.71,2464485
2018-05-30,302.27,1076819
2018-05-31,290.83,1028013
2018-06-01,296.66,558638
2018-06-04,307.65,478773
2018-06-05,307.02,634888
2018-06-06,315.0,759002
2018-06-07,288.85,1475688
2018-06-08,288.8,1437406
2018-06-11,297.73,1462411
2018-06-12,301.14,528656
2018-06-13,291.0,858931
2018-06-14,305.0,1849236
2018-06-15,303.82,821263
2018-06-18,294.58,995154
2018-06-19,295.26,648667
2018-06-20,296.48,767488
2018-06-21,287.37,595313
2018-06-22,290.86,481084
2018-06-25,288.27,577247
2018-06-26,298.35,984959
2018-06-27,285.35,691998
2018-06-28,296.8,675695
2018-06-29,298.93,537695
2018-07-02,295.7,591743
2018-07-03,297.43,225185
2018-07-05,304.46,429594
2018-07-06,312.91,503842
2018-07-09,309.77,588638
2018-07-10,308.15,590816
2018-07-11,303.24,392192
2018-07-12,318.05,715924
2018-07-13,327.68,935104
2018-07-16,343.25,1031776
2018-07-17,359.8,1705961
2018-07-18,369.35,2050708
2018-07-19,374.61,948086
2018-07-20,373.46,779118
2018-07-23,363.29,961277
2018-07-24,353.0,671673
2018-07-25,364.99,516289
2018-07-26,363.73,397429
2018-07-27,354.57,562497
2018-07-30,343.25,787158
2018-07-31,342.91,658364
2018-08-01,346.14,580901
2018-08-02,339.27,662038
2018-08-03,343.88,380951
2018-08-06,348.52,339870
2018-08-07,347.42,893929
2018-08-08,344.43,672404
2018-08-09,384.39,2099005
2018-08-10,372.35,986528
2018-08-13,358.86,726100
2018-08-14,363.51,267538
2018-08-15,344.79,1156941
2018-08-16,334.8,717041
2018-08-17,324.2,860165
2018-08-20,319.75,863420
2018-08-21,328.45,1182902
2018-08-22,344.93,1663922
2018-08-23,348.33,653954
2018-08-24,367.54,1453416
2018-08-27,374.85,658411
2018-08-28,378.18,578886
2018-08-29,377.44,638102
2018-08-30,340.15,1831504
2018-08-31,342.41,883623
2018-09-04,342.27,708061
2018-09-05,328.0,1269159
2018-09-06,320.76,992924
2018-09-07,326.5,554468
2018-09-10,319.43,426166
2018-09-11,318.73,568056
2018-09-12,316.9,696308
2018-09-13,320.67,532117
2018-09-14,325.04,745360
2018-09-17,322.26,530885
2018-09-18,315.08,827920
2018-09-19,315.81,799454
2018-09-20,323.08,520634
2018-09-21,319.68,643837
2018-09-24,331.38,1042542
2018-09-25,319.62,800313
2018-09-26,330.75,949677
2018-09-27,340.08,1018481
2018-09-28,340.47,487255
2018-10-01,332.49,882795
2018-10-02,353.9,1054120
2018-10-03,354.1,716752
2018-10-04,339.46,595691
2018-10-05,335.64,635265
2018-10-08,339.5,1110096
2018-10-09,340.06,495839
2018-10-10,319.07,835231
2018-10-11,304.86,944963
2018-10-12,303.42,1350695
2018-10-15,294.75,1291402
2018-10-16,308.6,1242225
2018-10-17,313.37,536868
2018-10-18,298.76,499099
2018-10-19,301.87,418440
2018-10-22,313.56,580946
2018-10-23,306.86,505613
2018-10-24,291.4,490794
2018-10-25,297.59,601765
2018-10-26,295.37,725299
2018-10-29,287.34,956246
2018-10-30,310.41,868624
2018-10-31,324.5,1042284
2018-11-01,341.65,846257
2018-11-02,354.39,1361383
2018-11-05,357.62,386466
2018-11-06,336.19,593315
2018-11-07,349.56,549204
2018-11-08,331.47,568307
2018-11-09,325.69,427954
2018-11-12,322.0,596344
2018-11-13,327.94,396378
2018-11-14,336.86,614815
2018-11-15,340.77,624723
2018-11-16,344.61,450405
2018-11-19,335.39,519794
2018-11-20,313.79,1136822
2018-11-21,319.0,692045
2018-11-23,309.82,480023
2018-11-26,322.18,644249
2018-11-27,331.72,391100
2018-11-28,345.78,658522
2018-11-29,357.99,616410
2018-11-30,351.97,915360
2018-12-03,369.51,788909
2018-12-04,354.85,718799
2018-12-06,350.56,600830
2018-12-07,346.56,389967
2018-12-10,353.52,446875
2018-12-11,355.24,591678
2018-12-12,361.36,487773
2018-12-13,333.51,721475
2018-12-14,326.52,497445
2018-12-17,310.49,535054
2018-12-18,310.83,454889
2018-12-19,312.39,747848
2018-12-20,306.4,489518
2018-12-21,286.56,1423599
2018-12-24,257.52,1005360
2018-12-26,281.81,1031369
2018-12-27,289.1,579304
2018-12-28,292.09,735622
2018-12-31,292.85,390323
2019-01-02,298.01,349028
2019-01-03,296.59,564326
2019-01-04,315.33,606574
2019-01-07,328.94,467744
2019-01-08,328.49,500925
2019-01-09,339.96,590486
2019-01-10,339.59,620410
2019-01-11,344.95,431938
2019-01-14,339.77,400675
2019-01-15,350.1,513224
2019-01-16,344.92,643606
2019-01-17,342.23,388104
2019-01-18,350.66,475905
2019-01-22,330.86,622210
2019-01-23,328.88,420517
2019-01-24,339.15,456261
2019-01-25,342.88,469313
2019-01-28,355.0,468673
2019-01-29,351.23,453184
2019-01-30,362.02,575417
2019-01-31,364.0,733797
2019-02-01,364.66,495599
2019-02-04,368.08,358416
2019-02-05,363.25,451109
2019-02-06,358.92,501510
2019-02-07,358.2,332162
2019-02-08,347.82,908111
2019-02-11,350.83,559903
2019-02-12,364.0,527211
2019-02-13,360.57,228207
2019-02-14,359.84,373567
2019-02-15,363.1,243300
2019-02-19,367.21,488870
2019-02-20,368.34,399167
2019-02-21,364.98,427140
2019-02-22,374.06,304734
2019-02-25,375.09,548343
2019-02-26,369.49,781158
2019-02-27,446.68,2625297
2019-02-28,458.79,1136455
2019-03-01,451.64,1408250
2019-03-04,463.8,724658
2019-03-05,467.77,705435
