date,close,volume
2018-04-25,93.25,125897
2018-04-26,94.02,127563
2018-04-27,95.02,117289
2018-04-30,95.79,309255
2018-05-01,92.99,235676
2018-05-02,84.44,326286
2018-05-03,83.52,192025
2018-05-04,85.58,169973
2018-05-07,88.55,171723
2018-05-08,89.16,78595
2018-05-09,89.78,132065
2018-05-10,88.51,151071
2018-05-11,87.39,124184
2018-05-14,86.02,107079
2018-05-15,85.95,216051
2018-05-16,86.59,156250
2018-05-17,86.66,107623
2018-05-18,86.58,118428
2018-05-21,86.87,124688
2018-05-22,85.62,115392
2018-05-23,87.33,120468
2018-05-24,88.03,176500
2018-05-25,87.43,196449
2018-05-29,88.02,112250
2018-05-30,87.89,263940
2018-05-31,88.55,152170
2018-06-01,87.93,132542
2018-06-04,87.99,128423
2018-06-05,91.59,192095
2018-06-06,91.16,244292
2018-06-07,90.83,254391
2018-06-08,94.34,271726
2018-06-11,90.59,397917
2018-06-12,91.62,123384
2018-06-13,91.96,81120
2018-06-14,94.54,179703
2018-06-15,95.02,160696
2018-06-18,95.47,84078
2018-06-19,96.09,77772
2018-06-20,98.06,219009
2018-06-21,95.51,116418
2018-06-22,94.62,166952
2018-06-25,93.35,133751
2018-06-26,93.1,145423
2018-06-27,90.17,158763
2018-06-28,90.52,117032
2018-06-29,88.81,188568
2018-07-02,91.56,172142
2018-07-03,91.93,92103
2018-07-05,94.85,106549
2018-07-06,94.82,78271
2018-07-09,93.15,282124
2018-07-10,92.8,96384
2018-07-11,93.74,133596
2018-07-12,92.21,195134
2018-07-13,89.41,249158
2018-07-16,89.62,178124
2018-07-17,91.7,133009
2018-07-18,90.22,138609
2018-07-19,91.74,197423
2018-07-20,91.93,167701
2018-07-23,91.57,129824
2018-07-24,89.99,204784
2018-07-25,90.74,132406
2018-07-26,89.81,216657
2018-07-27,86.34,194714
2018-07-30,81.09,277903
2018-07-31,82.07,256228
2018-08-01,80.66,273006
2018-08-02,71.86,1158337
2018-08-03,76.11,418337
2018-08-06,75.02,181958
2018-08-07,76.87,293398
2018-08-08,77.01,332069
2018-08-09,74.92,389241
2018-08-10,77.21,178228
2018-08-13,76.37,167047
2018-08-14,77.18,68391
2018-08-15,75.13,169106
2018-08-16,75.41,149668
2018-08-17,75.07,130692
2018-08-20,73.72,123119
2018-08-21,73.05,165505
2018-08-22,74.47,95754
2018-08-23,74.31,63298
2018-08-24,74.76,118065
2018-08-27,73.2,87148
2018-08-28,72.23,217494
2018-08-29,72.84,185545
2018-08-30,75.64,144583
2018-08-31,77.11,205059
2018-09-04,77.45,171910
2018-09-05,77.46,162453
2018-09-06,78.91,111030
2018-09-07,79.03,159624
2018-09-10,77.88,148267
2018-09-11,79.84,164863
2018-09-12,77.26,198055
2018-09-13,77.84,96812
2018-09-14,79.03,73084
2018-09-17,78.24,154355
2018-09-18,79.01,130359
2018-09-19,78.1,211057
2018-09-20,78.75,134743
2018-09-21,79.07,179943
2018-09-24,77.95,385784
2018-09-25,78.25,148881
2018-09-26,78.53,108722
2018-09-27,78.76,109579
2018-09-28,78.98,415456
2018-10-01,75.91,306681
2018-10-02,75.89,135772
2018-10-03,75.49,122320
2018-10-04,75.11,104622
2018-10-05,74.79,145414
2018-10-08,76.18,83104
2018-10-09,76.97,102237
2018-10-10,76.27,234333
2018-10-11,74.49,169271
2018-10-12,74.31,124687
2018-10-15,73.7,114805
2018-10-16,75.68,107226
2018-10-17,75.3,85654
2018-10-18,74.17,91622
2018-10-19,75.94,71614
2018-10-22,75.4,81650
2018-10-23,72.04,195934
2018-10-24,69.23,231514
2018-10-25,69.72,204848
2018-10-26,67.73,256471
2018-10-29,69.0,140024
2018-10-30,71.35,180733
2018-10-31,71.17,268196
2018-11-01,70.6,477926
2018-11-02,65.42,448287
2018-11-05,65.75,197242
2018-11-06,68.69,161496
2018-11-07,69.43,116938
2018-11-08,68.78,140301
2018-11-09,67.96,184319
2018-11-12,68.24,156771
2018-11-13,69.97,144863
2018-11-14,69.77,202636
2018-11-15,68.63,202598
2018-11-16,71.41,169008
2018-11-19,69.25,175044
2018-11-20,69.15,113015
2018-11-21,68.04,136942
2018-11-23,68.84,35433
2018-11-26,70.22,109120
2018-11-27,67.83,162722
2018-11-28,68.0,124898
2018-11-29,67.62,147997
2018-11-30,67.99,99532
2018-12-03,67.63,95806
2018-12-04,64.95,117808
2018-12-06,63.53,131645
2018-12-07,61.56,206266
2018-12-10,60.6,208545
2018-12-11,59.29,209720
2018-12-12,60.02,238746
2018-12-13,56.45,480725
2018-12-14,56.51,457486
2018-12-17,54.91,532841
2018-12-18,56.17,272403
2018-12-19,55.84,363046
2018-12-20,56.47,498435
2018-12-21,56.64,613967
2018-12-24,56.28,91341
2018-12-26,56.85,215039
2018-12-27,57.52,131833
2018-12-28,57.36,132165
2018-12-31,57.05,137425
2019-01-02,56.38,183729
2019-01-03,56.19,135262
2019-01-04,58.16,119390
2019-01-07,58.47,129876
2019-01-08,60.47,184222
2019-01-09,62.79,328889
2019-01-10,66.32,352661
2019-01-11,65.71,345146
2019-01-14,62.53,229245
2019-01-15,62.82,86424
2019-01-16,64.41,112690
2019-01-17,66.06,189582
2019-01-18,68.02,271196
2019-01-22,67.32,148422
2019-01-23,69.41,117721
2019-01-24,70.22,101731
2019-01-25,70.02,112767
2019-01-28,73.31,147341
2019-01-29,71.43,101359
2019-01-30,70.99,154317
2019-01-31,71.79,137628
2019-02-01,71.17,151196
2019-02-04,71.05,120022
2019-02-05,70.14,124433
2019-02-06,70.79,136879
2019-02-07,70.09,84120
2019-02-08,71.03,97136
