date,close,volume
2018-04-25,12.28,514
2018-04-26,12.28,146
2018-04-27,12.62,15370
2018-04-30,12.62,88
2018-05-01,12.62,164
2018-05-02,12.62,0
2018-05-03,12.47,1410
2018-05-04,12.47,20
2018-05-07,12.47,0
2018-05-08,12.47,17
2018-05-09,12.5,3069
2018-05-10,12.26,659
2018-05-11,12.26,0
2018-05-14,12.26,0
2018-05-15,12.23,9622
2018-05-16,12.44,6155
2018-05-17,12.44,0
2018-05-18,12.44,38
2018-05-21,12.44,0
2018-05-22,12.44,0
2018-05-23,12.44,0
2018-05-24,12.44,0
2018-05-25,12.44,51
2018-05-29,12.44,0
2018-05-30,12.36,367
2018-05-31,12.75,158
2018-06-01,12.91,197
2018-06-04,12.74,2214
2018-06-05,12.85,349
2018-06-06,12.92,223
2018-06-07,12.92,0
2018-06-08,12.92,259
2018-06-11,12.5,3351
2018-06-12,12.63,200
2018-06-13,12.94,353
2018-06-14,12.62,2489
2018-06-15,12.58,1144
2018-06-18,12.54,6622
2018-06-19,12.56,3191
2018-06-20,12.56,12
2018-06-21,12.56,12
2018-06-22,12.67,912
2018-06-25,12.64,111
2018-06-26,12.64,0
2018-06-27,12.64,0
2018-06-28,12.64,0
2018-06-29,12.88,1496
2018-07-02,12.88,6
2018-07-03,12.88,0
2018-07-05,12.26,200
2018-07-06,12.26,60
2018-07-09,12.26,0
2018-07-10,12.21,1348
2018-07-11,12.21,0
2018-07-12,12.5,113
2018-07-13,12.21,1161
2018-07-16,12.5,528
2018-07-17,12.21,117
2018-07-18,12.21,0
2018-07-19,12.45,1861
2018-07-20,12.5,1696
2018-07-23,12.74,491
2018-07-24,12.88,3199
2018-07-25,12.76,1200
2018-07-26,12.76,0
2018-07-27,12.76,2300
2018-07-30,12.76,380
2018-07-31,12.76,68
2018-08-01,12.8,614
2018-08-02,12.8,0
2018-08-03,12.8,30
2018-08-06,12.8,0
2018-08-07,12.52,1255
2018-08-08,12.52,20
2018-08-09,12.52,0
2018-08-10,12.71,320
2018-08-13,12.71,2
2018-08-14,12.71,0
2018-08-15,12.71,0
2018-08-16,12.51,617
2018-08-17,12.51,41
2018-08-20,12.51,0
2018-08-21,12.36,103
2018-08-22,12.36,0
2018-08-23,12.36,0
2018-08-24,12.36,32
2018-08-27,12.36,0
2018-08-28,12.71,375
2018-08-29,12.36,4160
2018-08-30,12.31,3333
2018-08-31,12.31,26
2018-09-04,12.34,133
2018-09-05,12.26,1751
2018-09-06,12.25,114
2018-09-07,12.25,101
2018-09-10,12.25,4
2018-09-11,12.25,4
2018-09-12,12.31,1540
2018-09-13,12.31,26
2018-09-14,12.26,635
2018-09-17,12.26,65
2018-09-18,12.26,40
2018-09-19,12.16,4044
2018-09-20,12.2,2982
2018-09-21,12.58,411
2018-09-24,12.38,500
2018-09-25,12.38,52
2018-09-26,12.38,19
2018-09-27,12.38,2
2018-09-28,12.16,121
2018-10-01,12.18,1118
2018-10-02,12.18,14
2018-10-03,12.18,19
2018-10-04,12.7,5326
2018-10-05,12.89,13200
2018-10-08,12.76,660
2018-10-09,13.0,134
2018-10-10,12.9,6668
2018-10-11,12.9,27
2018-10-12,13.07,5929
2018-10-15,13.2,591
2018-10-16,13.24,123
2018-10-17,13.24,3
2018-10-18,13.24,2
2018-10-19,13.06,1396
2018-10-22,12.41,736
2018-10-23,12.25,1966
2018-10-24,12.51,1531
2018-10-25,12.51,3782
2018-10-26,12.51,1
2018-10-29,12.51,1
2018-10-30,12.68,1405
2018-10-31,12.5,2980
2018-11-01,12.5,0
2018-11-02,12.5,63
2018-11-05,12.31,268
2018-11-06,12.31,0
2018-11-07,12.36,3322
2018-11-08,12.25,353
2018-11-09,12.12,148
2018-11-12,12.12,82
2018-11-13,12.12,9
2018-11-14,12.12,15
2018-11-15,12.12,35
2018-11-16,12.12,53
2018-11-19,12.12,28
2018-11-20,12.6,1196
2018-11-21,12.6,0
2018-11-23,12.6,0
2018-11-26,12.6,0
2018-11-27,12.6,0
2018-11-28,12.6,10
2018-11-29,12.51,12528
2018-11-30,12.12,1479
2018-12-03,12.75,2319
2018-12-04,12.48,278
2018-12-06,12.24,220
2018-12-07,12.24,29
2018-12-10,12.24,0
2018-12-11,12.24,21
2018-12-12,12.24,0
2018-12-13,12.3,173
2018-12-14,12.3,0
2018-12-17,12.24,3217
2018-12-18,12.24,0
2018-12-19,12.24,0
2018-12-20,12.08,500
2018-12-21,11.76,4143
2018-12-24,11.76,0
2018-12-26,11.76,1392
2018-12-27,11.76,245
2018-12-28,11.76,0
2018-12-31,12.25,948
2019-01-02,12.25,1
2019-01-03,12.25,0
2019-01-04,12.25,0
2019-01-07,12.25,0
2019-01-08,12.25,0
2019-01-09,12.25,0
2019-01-10,12.25,0
2019-01-11,12.25,0
2019-01-14,12.25,0
2019-01-15,12.25,46
2019-01-16,11.84,26039
2019-01-17,11.62,3243
2019-01-18,11.57,150
2019-01-22,11.74,2007
2019-01-23,11.74,8
2019-01-24,11.74,30
2019-01-25,11.74,0
2019-01-28,11.74,11
2019-01-29,11.74,5
2019-01-30,11.57,334
2019-01-31,11.55,2234
2019-02-01,11.55,24
2019-02-04,11.55,0
2019-02-05,11.65,313
2019-02-06,11.65,58
2019-02-07,11.65,0
2019-02-08,11.65,62
2019-02-11,11.65,119
2019-02-12,11.7,4337
2019-02-13,11.65,647
2019-02-14,11.65,560
2019-02-15,11.65,312
2019-02-19,11.75,563
2019-02-20,11.75,74
2019-02-21,11.75,139
2019-02-22,11.75,1
2019-02-25,11.75,3
2019-02-26,11.75,80
2019-02-27,11.75,506
2019-02-28,11.68,1400
2019-03-01,11.68,0
2019-03-04,11.65,1730
2019-03-05,11.55,1318
2019-03-06,11.55,235
2019-03-07,11.55,215
2019-03-08,11.5,3433
2019-03-11,11.36,139
2019-03-12,11.36,29
2019-03-13,11.36,0
2019-03-14,11.36,0
2019-03-15,11.7,462
2019-03-18,11.52,2461
2019-03-19,11.66,182
2019-03-20,11.66,184
2019-03-21,11.66,80
2019-03-22,11.66,0
2019-03-25,11.66,54
2019-03-26,11.45,443
2019-03-27,11.44,124
2019-03-28,11.36,28766
2019-03-29,11.26,135
2019-04-01,11.62,143
2019-04-02,11.62,86
2019-04-03,11.62,1
2019-04-04,11.36,460
2019-04-05,11.36,0
2019-04-08,11.36,0
2019-04-09,11.36,0
2019-04-10,11.87,1738
2019-04-11,11.87,0
2019-04-12,11.87,0
2019-04-15,11.87,199
2019-04-16,11.52,587
2019-04-17,12.5,14499
2019-04-18,11.61,407
2019-04-22,11.61,28
2019-04-23,11.61,6
2019-04-24,11.73,656
2019-04-25,11.73,101
2019-04-26,11.73,4
2019-04-29,12.5,590
2019-04-30,12.5,1
2019-05-01,12.5,0
2019-05-02,11.62,7233
2019-05-03,11.62,0
2019-05-06,11.38,449
2019-05-07,11.6,9845
2019-05-08,11.6,2
2019-05-09,11.6,0
2019-05-10,11.6,0
2019-05-13,11.4,1324
2019-05-14,11.4,0
2019-05-15,11.4,28
2019-05-16,11.4,3
2019-05-17,11.4,20
2019-05-20,11.75,1000
2019-05-21,11.6,916
2019-05-22,11.6,112
2019-05-23,11.6,1
2019-05-24,11.6,0
2019-05-28,11.75,5488
2019-05-29,11.75,3001
2019-05-30,12.0,1269
2019-05-31,12.0,730
2019-06-03,12.24,826
2019-06-04,12.24,31
2019-06-05,12.25,116
2019-06-06,11.95,1612
2019-06-07,11.95,4
2019-06-10,11.95,2
2019-06-11,11.95,0
2019-06-12,11.95,0
2019-06-13,11.95,45
2019-06-14,12.1,824
2019-06-17,12.1,7
2019-06-18,12.1,1
2019-06-19,12.15,2000
2019-06-20,12.15,1
2019-06-21,12.15,49
2019-06-24,12.15,600
2019-06-25,12.15,0
2019-06-26,12.15,0
2019-06-27,12.15,0
2019-06-28,12.1,306
2019-07-01,12.25,979
2019-07-02,12.18,102
2019-07-03,12.18,3
2019-07-05,12.18,32
2019-07-08,12.15,126
2019-07-09,12.17,250
2019-07-10,11.73,3160
2019-07-11,12.18,688
2019-07-12,12.18,0
2019-07-15,11.86,5200
2019-07-16,11.94,10334
2019-07-17,11.94,18
2019-07-18,11.94,0
2019-07-19,11.94,8
2019-07-22,11.76,2734
2019-07-23,11.83,2641
2019-07-24,11.8,1803
2019-07-25,11.9,128
2019-07-26,11.9,99
2019-07-29,12.32,657
2019-07-30,12.32,0
2019-07-31,11.8,1702
2019-08-01,11.81,432
2019-08-02,11.81,62
2019-08-05,11.95,166
2019-08-06,11.95,0
2019-08-07,11.95,295
2019-08-08,11.46,3085
2019-08-09,11.57,2069
2019-08-12,12.01,7937
2019-08-13,12.04,1031
2019-08-14,11.66,100
2019-08-15,12.11,456
2019-08-16,12.11,0
2019-08-19,12.22,533
2019-08-20,11.47,112
2019-08-21,11.46,1285
2019-08-22,11.71,1555
2019-08-23,11.81,1730
2019-08-26,11.7,390
2019-08-27,11.72,2603
2019-08-28,11.62,218
2019-08-29,11.62,44
2019-08-30,11.62,0
2019-09-03,11.41,862
2019-09-04,11.65,1000
2019-09-05,11.75,3750
2019-09-06,11.7,513
2019-09-09,11.59,100
2019-09-10,12.0,2944
2019-09-11,12.0,2402
2019-09-12,12.02,156
2019-09-13,12.0,602
2019-09-16,12.0,1324
2019-09-17,12.0,821
2019-09-18,11.71,2871
2019-09-19,11.85,1362
2019-09-20,12.28,8045
2019-09-23,12.34,515
2019-09-24,12.34,2
2019-09-25,12.34,11
2019-09-26,12.34,7
2019-09-27,12.34,46
2019-09-30,11.73,220
2019-10-01,11.73,0
2019-10-02,11.74,353
2019-10-03,11.74,76
2019-10-04,12.06,462
2019-10-07,12.06,13
2019-10-08,12.06,2
2019-10-09,12.06,255
2019-10-10,11.85,5049
2019-10-11,12.48,4601
2019-10-14,12.48,0
2019-10-15,12.06,654
2019-10-16,12.06,8
2019-10-17,12.35,633
2019-10-18,12.35,0
2019-10-21,12.35,20
2019-10-22,12.35,5
2019-10-23,12.01,1029
2019-10-24,12.01,0
2019-10-25,12.01,0
2019-10-28,12.01,8
2019-10-29,12.0,889
2019-10-30,12.0,1
2019-10-31,12.01,2314
2019-11-01,12.01,1
2019-11-04,12.01,0
2019-11-05,12.01,38
2019-11-06,12.01,0
2019-11-07,12.01,9
2019-11-08,11.98,2438
2019-11-11,11.98,0
2019-11-12,11.96,883
2019-11-13,12.18,1642
2019-11-14,12.1,1002
2019-11-15,12.01,1505
2019-11-18,12.01,0
2019-11-19,12.01,11
2019-11-20,12.01,915
2019-11-21,12.01,0
2019-11-22,12.25,2364
2019-11-25,12.25,0
2019-11-26,12.25,0
2019-11-27,12.25,0
2019-11-29,12.25,525
2019-12-02,12.25,0
2019-12-03,12.25,35
2019-12-04,12.25,43
2019-12-05,12.25,29
2019-12-06,12.37,2592
2019-12-09,12.37,0
2019-12-10,12.37,0
2019-12-11,12.37,0
2019-12-12,12.37,0
2019-12-13,12.37,3
2019-12-16,12.84,920
2019-12-17,12.51,958
2019-12-18,12.51,26
