date,close,volume
2018-04-25,11.17,56337
2018-04-26,11.19,76026
2018-04-27,11.2,49383
2018-04-30,11.25,59994
2018-05-01,11.29,92250
2018-05-02,11.29,69892
2018-05-03,11.4,99341
2018-05-04,11.35,76260
2018-05-07,11.29,65608
2018-05-08,11.32,92348
2018-05-09,11.29,58724
2018-05-10,11.37,81704
2018-05-11,11.36,64595
2018-05-14,11.4,66092
2018-05-15,11.31,69404
2018-05-16,11.31,107472
2018-05-17,11.31,94445
2018-05-18,11.28,62338
2018-05-21,11.32,41832
2018-05-22,11.37,60023
2018-05-23,11.37,39656
2018-05-24,11.47,46978
2018-05-25,11.48,39385
2018-05-29,11.46,94497
2018-05-30,11.5,44457
2018-05-31,11.54,84270
2018-06-01,11.57,55311
2018-06-04,11.45,46098
2018-06-05,11.52,35685
2018-06-06,11.5,25332
2018-06-07,11.44,80548
2018-06-08,11.48,71037
2018-06-11,11.51,45073
2018-06-12,11.51,37510
2018-06-13,11.49,51243
2018-06-14,11.45,26423
2018-06-15,11.37,59185
2018-06-18,11.37,76083
2018-06-19,11.42,80016
2018-06-20,11.34,67674
2018-06-21,11.37,79021
2018-06-22,11.43,67127
2018-06-25,11.4,29873
2018-06-26,11.42,18190
2018-06-27,11.47,50967
2018-06-28,11.42,106813
2018-06-29,11.42,65132
2018-07-02,11.49,133843
2018-07-03,11.56,97961
2018-07-05,11.48,46557
2018-07-06,11.62,121417
2018-07-09,11.52,60400
2018-07-10,11.48,81803
2018-07-11,11.43,105390
2018-07-12,11.49,67949
2018-07-13,11.52,103186
2018-07-16,11.49,82956
2018-07-17,11.51,114319
2018-07-18,11.5,68453
2018-07-19,11.43,61927
2018-07-20,11.46,41961
2018-07-23,11.48,67117
2018-07-24,11.5,55502
2018-07-25,11.49,48864
2018-07-26,11.44,84930
2018-07-27,11.44,59357
2018-07-30,11.43,68213
2018-07-31,11.59,100327
2018-08-01,11.59,149527
2018-08-02,11.62,67988
2018-08-03,11.47,151431
2018-08-06,11.49,88677
2018-08-07,11.48,33751
2018-08-08,11.43,124603
2018-08-09,11.43,59064
2018-08-10,11.52,55291
2018-08-13,11.61,44589
2018-08-14,11.64,101230
2018-08-15,11.64,70450
2018-08-16,11.56,94467
2018-08-17,11.54,44929
2018-08-20,11.57,51221
2018-08-21,11.56,52509
2018-08-22,11.6,76309
2018-08-23,11.56,48374
2018-08-24,11.6,89738
2018-08-27,11.58,57206
2018-08-28,11.54,53418
2018-08-29,11.56,77381
2018-08-30,11.55,119483
2018-08-31,11.54,79406
2018-09-04,11.61,52926
2018-09-05,11.63,64715
2018-09-06,11.63,85009
2018-09-07,11.62,53278
2018-09-10,11.7,104245
2018-09-11,11.69,22093
2018-09-12,11.68,60816
2018-09-13,11.58,121743
2018-09-14,11.54,115342
2018-09-17,11.38,144360
2018-09-18,11.48,100722
2018-09-19,11.46,101151
2018-09-20,11.45,72351
2018-09-21,11.33,131753
2018-09-24,11.2,69496
2018-09-25,11.15,113872
2018-09-26,11.19,146030
2018-09-27,11.12,135315
2018-09-28,11.12,98148
2018-10-01,11.16,109013
2018-10-02,11.2,46952
2018-10-03,11.13,51318
2018-10-04,11.05,131188
2018-10-05,10.97,44354
2018-10-08,10.86,103234
2018-10-09,10.96,72529
2018-10-10,10.78,94394
2018-10-11,10.69,182390
2018-10-12,10.73,68333
2018-10-15,10.84,137724
2018-10-16,10.79,81302
2018-10-17,10.74,66289
2018-10-18,10.73,113554
2018-10-19,10.7,91645
2018-10-22,10.72,86086
2018-10-23,10.77,93263
2018-10-24,10.85,90392
2018-10-25,10.97,231730
2018-10-26,10.87,71065
2018-10-29,10.76,52448
2018-10-30,10.8,71535
2018-10-31,10.78,77075
2018-11-01,10.85,116914
2018-11-02,10.77,75751
2018-11-05,10.79,47527
2018-11-06,10.88,49497
2018-11-07,10.92,38295
2018-11-08,10.89,75831
2018-11-09,10.95,81014
2018-11-12,11.02,107114
2018-11-13,11.03,81044
2018-11-14,11.1,41357
2018-11-15,10.91,142230
2018-11-16,10.93,87946
2018-11-19,10.84,117860
2018-11-20,10.8,65007
2018-11-21,10.68,117984
2018-11-23,10.68,28123
2018-11-26,10.78,72100
2018-11-27,10.83,41039
2018-11-28,10.85,50143
2018-11-29,10.9,73636
2018-11-30,10.93,66052
2018-12-03,10.96,112073
2018-12-04,11.07,171635
2018-12-06,11.07,126086
2018-12-07,11.07,50827
2018-12-10,11.16,150707
2018-12-11,11.17,89699
2018-12-12,10.96,138923
2018-12-13,10.87,110688
2018-12-14,10.89,118958
2018-12-17,10.84,107327
2018-12-18,10.92,113444
2018-12-19,10.82,138588
2018-12-20,10.67,154302
2018-12-21,10.71,182938
2018-12-24,10.73,110753
2018-12-26,10.73,122401
2018-12-27,10.8,143718
2018-12-28,10.85,185890
2018-12-31,10.96,125015
2019-01-02,11.15,122529
2019-01-03,11.23,137245
2019-01-04,11.21,99091
2019-01-07,11.22,90017
2019-01-08,11.27,129000
2019-01-09,11.25,79527
2019-01-10,11.25,97566
2019-01-11,11.28,124022
2019-01-14,11.32,23784
2019-01-15,11.29,60431
2019-01-16,11.29,64114
2019-01-17,11.28,93308
2019-01-18,11.27,58250
2019-01-22,11.27,77677
2019-01-23,11.43,48519
2019-01-24,11.49,82741
2019-01-25,11.42,121657
2019-01-28,11.38,48523
2019-01-29,11.42,93278
2019-01-30,11.38,99317
2019-01-31,11.43,53749
2019-02-01,11.37,136818
2019-02-04,11.46,111079
2019-02-05,11.42,63273
2019-02-06,11.23,232406
2019-02-07,11.17,246702
2019-02-08,11.26,92474
2019-02-11,11.27,183165
2019-02-12,11.25,127375
2019-02-13,11.28,85627
2019-02-14,11.35,129666
2019-02-15,11.42,95005
2019-02-19,11.4,109377
2019-02-20,11.4,50000
2019-02-21,11.36,65471
2019-02-22,11.4,124615
2019-02-25,11.37,56740
2019-02-26,11.39,60389
2019-02-27,11.42,54922
2019-02-28,11.47,120812
2019-03-01,11.52,64518
2019-03-04,11.49,65472
2019-03-05,11.51,134071
2019-03-06,11.68,141346
2019-03-07,11.82,103035
2019-03-08,11.87,84465
2019-03-11,11.71,62528
2019-03-12,11.66,264211
2019-03-13,11.66,50196
2019-03-14,11.63,85325
2019-03-15,11.66,92837
2019-03-18,11.65,44862
2019-03-19,11.66,65255
2019-03-20,11.65,148341
2019-03-21,11.7,63618
2019-03-22,11.77,83136
2019-03-25,11.83,65876
2019-03-26,11.81,76566
2019-03-27,11.79,49451
2019-03-28,11.9,61752
2019-03-29,11.94,44515
2019-04-01,11.97,83631
2019-04-02,11.93,78006
2019-04-03,11.88,34821
2019-04-04,11.9,32201
2019-04-05,11.9,74315
2019-04-08,11.93,84975
2019-04-09,11.95,89936
2019-04-10,11.94,71364
2019-04-11,11.93,202839
2019-04-12,11.99,43084
2019-04-15,12.05,109817
2019-04-16,11.9,84222
2019-04-17,11.9,40341
2019-04-18,11.84,56598
2019-04-22,11.81,40591
2019-04-23,11.84,52390
2019-04-24,11.9,43959
2019-04-25,11.75,128152
2019-04-26,11.86,72494
2019-04-29,11.91,62573
2019-04-30,11.91,61765
2019-05-01,11.96,48953
2019-05-02,11.96,68308
2019-05-03,12.0,46243
2019-05-06,12.04,52390
2019-05-07,12.05,113162
2019-05-08,12.11,50068
2019-05-09,12.11,42086
2019-05-10,12.13,37579
2019-05-13,12.16,41693
2019-05-14,12.14,94207
2019-05-15,12.1,42109
2019-05-16,12.05,52055
2019-05-17,12.0,49987
2019-05-20,11.96,101851
2019-05-21,11.98,70846
2019-05-22,11.96,35375
2019-05-23,11.93,65346
2019-05-24,11.96,69043
2019-05-28,12.03,40828
2019-05-29,12.08,36303
2019-05-30,11.98,148115
2019-05-31,12.09,46002
2019-06-03,12.11,54817
2019-06-04,12.13,41922
2019-06-05,12.02,76120
2019-06-06,12.09,76270
2019-06-07,12.31,129787
2019-06-10,12.27,45560
2019-06-11,12.29,57357
2019-06-12,12.3,52462
2019-06-13,12.33,58120
2019-06-14,12.35,55953
2019-06-17,12.2,41417
2019-06-18,12.11,86463
2019-06-19,12.12,93639
2019-06-20,12.14,50439
2019-06-21,12.28,136233
2019-06-24,12.27,40255
2019-06-25,12.2,26961
2019-06-26,12.2,31370
2019-06-27,12.2,35852
2019-06-28,12.2,41689
2019-07-01,12.31,119306
2019-07-02,12.38,126798
2019-07-03,12.41,28084
2019-07-05,12.4,36160
2019-07-08,12.41,76552
2019-07-09,12.51,51288
2019-07-10,12.43,113943
2019-07-11,12.48,167436
2019-07-12,12.52,95428
2019-07-15,12.45,52843
2019-07-16,12.42,50376
2019-07-17,12.36,46654
2019-07-18,12.37,38123
2019-07-19,12.32,29121
2019-07-22,12.38,60405
2019-07-23,12.38,46483
2019-07-24,12.41,49705
2019-07-25,12.48,58654
2019-07-26,12.65,40311
2019-07-29,12.64,61377
2019-07-30,12.7,97989
2019-07-31,12.68,59593
