date,close,volume
2018-04-25,5.68,166330
2018-04-26,5.7,188829
2018-04-27,5.69,166155
2018-04-30,5.72,221920
2018-05-01,5.74,283111
2018-05-02,5.7,110167
2018-05-03,5.67,250680
2018-05-04,5.68,148394
2018-05-07,5.67,161917
2018-05-08,5.72,255244
2018-05-09,5.69,111233
2018-05-10,5.7,81327
2018-05-11,5.68,104157
2018-05-14,5.67,80678
2018-05-15,5.63,96589
2018-05-16,5.63,73609
2018-05-17,5.62,160715
2018-05-18,5.6,104405
2018-05-21,5.62,204949
2018-05-22,5.63,109561
2018-05-23,5.63,78519
2018-05-24,5.61,77922
2018-05-25,5.61,231450
2018-05-29,5.62,134645
2018-05-30,5.65,110346
2018-05-31,5.66,133463
2018-06-01,5.65,133702
2018-06-04,5.64,95022
2018-06-05,5.62,139226
2018-06-06,5.63,123506
2018-06-07,5.62,132687
2018-06-08,5.64,55044
2018-06-11,5.65,65423
2018-06-12,5.63,216475
2018-06-13,5.59,92230
2018-06-14,5.62,65896
2018-06-15,5.62,66323
2018-06-18,5.62,114469
2018-06-19,5.6,87127
2018-06-20,5.62,61052
2018-06-21,5.61,121290
2018-06-22,5.6,114109
2018-06-25,5.58,111587
2018-06-26,5.6,159246
2018-06-27,5.62,83054
2018-06-28,5.64,77713
2018-06-29,5.65,152760
2018-07-02,5.64,119053
2018-07-03,5.64,56383
2018-07-05,5.63,102421
2018-07-06,5.61,134832
2018-07-09,5.59,143345
2018-07-10,5.61,114378
2018-07-11,5.61,93917
2018-07-12,5.6,125414
2018-07-13,5.6,134796
2018-07-16,5.6,115368
2018-07-17,5.58,120990
2018-07-18,5.55,95853
2018-07-19,5.58,164956
2018-07-20,5.57,107195
2018-07-23,5.57,53588
2018-07-24,5.58,130664
2018-07-25,5.57,178676
2018-07-26,5.59,87247
2018-07-27,5.59,170626
2018-07-30,5.55,104089
2018-07-31,5.56,119745
2018-08-01,5.55,143974
2018-08-02,5.57,88510
2018-08-03,5.55,166896
2018-08-06,5.56,191363
2018-08-07,5.56,118496
2018-08-08,5.57,179258
2018-08-09,5.54,192185
2018-08-10,5.54,164476
2018-08-13,5.52,240941
2018-08-14,5.51,140392
2018-08-15,5.51,116541
2018-08-16,5.53,67044
2018-08-17,5.55,107541
2018-08-20,5.56,110368
2018-08-21,5.59,125899
2018-08-22,5.61,101143
2018-08-23,5.57,129718
2018-08-24,5.61,92809
2018-08-27,5.64,105524
2018-08-28,5.67,194159
2018-08-29,5.69,134315
2018-08-30,5.7,267944
2018-08-31,5.7,159330
2018-09-04,5.69,122766
2018-09-05,5.69,140061
2018-09-06,5.66,231147
2018-09-07,5.62,118362
2018-09-10,5.65,124551
2018-09-11,5.67,106156
2018-09-12,5.68,113312
2018-09-13,5.68,103065
2018-09-14,5.67,80981
2018-09-17,5.65,144319
2018-09-18,5.6,115464
2018-09-19,5.61,123786
2018-09-20,5.62,140221
2018-09-21,5.62,109260
2018-09-24,5.63,105596
2018-09-25,5.59,88426
2018-09-26,5.59,169861
2018-09-27,5.56,140152
2018-09-28,5.53,169981
2018-10-01,5.61,186876
2018-10-02,5.57,79281
2018-10-03,5.55,129278
2018-10-04,5.47,135622
2018-10-05,5.4,165982
2018-10-08,5.37,124726
2018-10-09,5.42,186117
2018-10-10,5.32,201848
2018-10-11,5.3,149485
2018-10-12,5.33,124716
2018-10-15,5.4,100852
2018-10-16,5.39,119778
2018-10-17,5.32,193389
2018-10-18,5.32,411134
2018-10-19,5.29,184764
2018-10-22,5.27,178796
2018-10-23,5.27,183386
2018-10-24,5.25,192019
2018-10-25,5.26,248262
2018-10-26,5.23,234141
2018-10-29,5.22,208447
2018-10-30,5.21,118766
2018-10-31,5.24,176844
2018-11-01,5.29,181693
2018-11-02,5.27,108807
2018-11-05,5.3,108870
2018-11-06,5.31,127050
2018-11-07,5.33,137854
2018-11-08,5.34,57034
2018-11-09,5.29,111239
2018-11-12,5.31,100431
2018-11-13,5.26,198822
2018-11-14,5.23,272813
2018-11-15,5.22,124133
2018-11-16,5.23,263977
2018-11-19,5.23,189046
2018-11-20,5.21,414478
2018-11-21,5.21,284768
2018-11-23,5.28,150082
2018-11-26,5.3,147679
2018-11-27,5.3,225139
2018-11-28,5.36,206585
2018-11-29,5.39,282794
2018-11-30,5.44,257139
2018-12-03,5.46,240083
2018-12-04,5.48,313813
2018-12-06,5.43,379758
2018-12-07,5.47,200704
2018-12-10,5.42,174608
2018-12-11,5.4,175309
2018-12-12,5.39,126049
2018-12-13,5.37,111421
2018-12-14,5.31,127664
2018-12-17,5.32,185657
2018-12-18,5.15,212205
2018-12-19,5.09,390262
2018-12-20,5.03,378063
2018-12-21,5.07,322389
2018-12-24,5.1,162184
2018-12-26,5.16,218667
2018-12-27,5.2,141270
2018-12-28,5.18,244499
2018-12-31,5.12,292589
2019-01-02,5.23,172770
2019-01-03,5.29,161059
2019-01-04,5.29,117155
2019-01-07,5.37,94668
2019-01-08,5.42,599208
2019-01-09,5.45,66038
2019-01-10,5.44,86662
2019-01-11,5.45,200718
2019-01-14,5.39,208849
2019-01-15,5.38,182598
2019-01-16,5.38,217445
2019-01-17,5.36,243902
2019-01-18,5.32,164634
2019-01-22,5.33,214577
2019-01-23,5.3,178973
2019-01-24,5.36,132271
2019-01-25,5.36,118751
2019-01-28,5.44,151972
2019-01-29,5.52,342746
2019-01-30,5.58,223412
2019-01-31,5.61,188532
2019-02-01,5.64,150798
2019-02-04,5.58,151000
2019-02-05,5.59,97486
2019-02-06,5.66,127644
2019-02-07,5.65,57938
2019-02-08,5.66,113745
2019-02-11,5.66,83191
2019-02-12,5.62,68349
2019-02-13,5.61,101088
2019-02-14,5.57,129088
2019-02-15,5.55,169337
2019-02-19,5.56,124834
2019-02-20,5.57,90351
2019-02-21,5.56,143363
2019-02-22,5.6,131471
2019-02-25,5.67,212272
2019-02-26,5.65,365061
2019-02-27,5.6,216289
2019-02-28,5.6,124763
2019-03-01,5.65,151299
2019-03-04,5.68,157468
2019-03-05,5.68,154619
2019-03-06,5.66,76988
2019-03-07,5.64,72107
2019-03-08,5.58,151221
2019-03-11,5.62,86601
2019-03-12,5.6,57423
2019-03-13,5.59,140576
2019-03-14,5.57,87619
2019-03-15,5.56,102205
2019-03-18,5.57,112240
2019-03-19,5.56,159213
2019-03-20,5.62,133684
2019-03-21,5.62,80341
2019-03-22,5.64,188460
2019-03-25,5.64,110259
2019-03-26,5.63,91012
2019-03-27,5.67,238384
2019-03-28,5.67,144455
2019-03-29,5.68,189367
2019-04-01,5.72,204131
2019-04-02,5.73,219997
2019-04-03,5.72,542129
2019-04-04,5.72,88456
2019-04-05,5.72,66723
2019-04-08,5.73,113759
2019-04-09,5.74,450223
2019-04-10,5.74,51280
2019-04-11,5.76,66143
2019-04-12,5.76,113055
2019-04-15,5.77,106765
2019-04-16,5.67,215844
2019-04-17,5.64,195328
2019-04-18,5.64,192296
2019-04-22,5.61,116821
2019-04-23,5.64,154802
2019-04-24,5.62,157625
2019-04-25,5.62,162267
2019-04-26,5.64,183856
2019-04-29,5.64,129049
2019-04-30,5.69,175114
2019-05-01,5.75,188351
2019-05-02,5.75,104395
2019-05-03,5.75,176033
2019-05-06,5.76,70861
2019-05-07,5.7,104622
2019-05-08,5.7,105992
2019-05-09,5.65,153843
2019-05-10,5.64,113201
2019-05-13,5.61,146389
2019-05-14,5.6,158082
2019-05-15,5.61,108621
2019-05-16,5.59,132775
2019-05-17,5.58,107621
2019-05-20,5.6,123435
2019-05-21,5.62,77011
2019-05-22,5.65,141138
2019-05-23,5.69,118717
2019-05-24,5.65,71293
