date,close,volume
2018-04-25,25.44,1846
2018-04-26,25.44,1
2018-04-27,25.24,1890
2018-04-30,25.29,2701
2018-05-01,25.29,49
2018-05-02,25.29,2
2018-05-03,25.29,138
2018-05-04,25.29,90
2018-05-07,25.29,46
2018-05-08,25.58,552
2018-05-09,25.57,148
2018-05-10,25.78,2672
2018-05-11,25.78,0
2018-05-14,25.8,3762
2018-05-15,25.86,2123
2018-05-16,25.87,1701
2018-05-17,25.93,4521
2018-05-18,26.03,100
2018-05-21,25.99,3782
2018-05-22,25.85,304
2018-05-23,25.85,353
2018-05-24,25.85,2
2018-05-25,25.85,56
2018-05-29,25.67,569
2018-05-30,25.67,6
2018-05-31,25.67,0
2018-06-01,25.96,3526
2018-06-04,25.79,326
2018-06-05,25.79,0
2018-06-06,25.93,4080
2018-06-07,25.88,342
2018-06-08,25.88,19
2018-06-11,25.77,124
2018-06-12,25.77,2
2018-06-13,25.72,1348
2018-06-14,25.68,801
2018-06-15,25.47,307
2018-06-18,25.58,2393
2018-06-19,25.38,2270
2018-06-20,25.33,6242
2018-06-21,25.33,58
2018-06-22,24.99,957
2018-06-25,24.87,5401
2018-06-26,24.65,389
2018-06-27,24.37,200
2018-06-28,24.38,1331
2018-06-29,24.38,50
2018-07-02,24.7,11101
2018-07-03,24.7,12
2018-07-05,24.7,208
2018-07-06,24.41,402
2018-07-09,24.45,2795
2018-07-10,24.45,3235
2018-07-11,24.34,861
2018-07-12,24.34,2
2018-07-13,24.23,418
2018-07-16,24.23,183
2018-07-17,24.8,17002
2018-07-18,25.0,708
2018-07-19,25.0,4
2018-07-20,25.0,0
2018-07-23,25.0,102
2018-07-24,25.0,38
2018-07-25,25.0,0
2018-07-26,25.13,619
2018-07-27,24.83,3143
2018-07-30,24.83,78
2018-07-31,24.83,107
2018-08-01,24.61,876
2018-08-02,24.61,34
2018-08-03,24.61,1
2018-08-06,24.75,2842
2018-08-07,24.88,3260
2018-08-08,24.96,955
2018-08-09,24.96,0
2018-08-10,25.14,542
2018-08-13,25.13,772
2018-08-14,25.13,2
2018-08-15,24.88,1739
2018-08-16,24.83,508
2018-08-17,24.83,89
2018-08-20,24.83,1
2018-08-21,24.83,130
2018-08-22,24.83,0
2018-08-23,24.93,771
2018-08-24,24.93,8
2018-08-27,24.93,66
2018-08-28,24.93,0
2018-08-29,24.93,0
2018-08-30,24.93,2
2018-08-31,25.3,367
2018-09-04,25.5,305
2018-09-05,25.26,1626
2018-09-06,25.2,620
2018-09-07,25.2,117
2018-09-10,25.2,0
2018-09-11,25.39,8400
2018-09-12,25.39,0
2018-09-13,25.39,133570
2018-09-14,25.39,0
2018-09-17,25.08,6332
2018-09-18,24.84,550
2018-09-19,24.59,110
2018-09-20,24.61,763
2018-09-21,24.53,109
2018-09-24,24.53,12
2018-09-25,24.92,3018
2018-09-26,25.0,300
2018-09-27,25.14,9407
2018-09-28,25.14,90
2018-10-01,25.08,13252
2018-10-02,24.94,786
2018-10-03,25.03,1221
2018-10-04,25.03,0
2018-10-05,24.87,461
2018-10-08,24.87,57
2018-10-09,24.77,6066
2018-10-10,24.42,8986
2018-10-11,24.25,500
2018-10-12,24.72,1885
2018-10-15,24.54,220
2018-10-16,24.54,0
2018-10-17,24.4,2406
2018-10-18,24.39,700
2018-10-19,24.11,1513
2018-10-22,24.11,67
2018-10-23,24.28,346
2018-10-24,24.25,373
2018-10-25,23.7,230
2018-10-26,23.7,0
2018-10-29,23.7,0
2018-10-30,23.7,0
2018-10-31,23.7,36
2018-11-01,23.7,0
2018-11-02,23.7,0
2018-11-05,23.7,92
2018-11-06,24.32,4000
2018-11-07,24.44,216
2018-11-08,24.44,0
2018-11-09,24.44,0
2018-11-12,24.31,193
2018-11-13,24.44,685
2018-11-14,24.44,166
2018-11-15,24.44,0
2018-11-16,24.44,0
2018-11-19,23.99,325
2018-11-20,23.99,0
2018-11-21,23.99,0
2018-11-23,23.99,0
2018-11-26,23.84,309
2018-11-27,23.84,0
2018-11-28,24.03,3536
2018-11-29,24.16,12900
2018-11-30,24.03,312
2018-12-03,24.03,0
2018-12-04,24.03,273
2018-12-06,23.99,1242
2018-12-07,24.06,1767
2018-12-10,24.08,1556
2018-12-11,24.57,2362
2018-12-12,24.64,638
2018-12-13,24.57,756
2018-12-14,24.6,381
2018-12-17,24.66,783
2018-12-18,25.33,2362
2018-12-19,24.68,1038
2018-12-20,24.75,2015
2018-12-21,30.48,13706
2018-12-24,25.3,7582
2018-12-26,26.07,1242
2018-12-27,24.64,90679
2018-12-28,24.7,5825
2018-12-31,24.71,469
2019-01-02,24.16,14690
2019-01-03,24.04,804
2019-01-04,23.99,0
2019-01-07,23.95,7
2019-01-08,23.99,300
2019-01-09,25.14,1108
2019-01-10,23.8,404
2019-01-11,23.71,0
2019-01-14,23.64,240
2019-01-15,23.87,125
2019-01-16,23.78,9026
2019-01-17,23.87,546
2019-01-18,23.71,25
2019-01-22,23.75,2633
2019-01-23,23.68,3310
2019-01-24,23.6,5306
2019-01-25,23.45,3466
2019-01-28,23.46,3304
2019-01-29,23.37,0
2019-01-30,23.32,300
2019-01-31,23.35,300
2019-02-01,23.36,300
2019-02-04,23.4,346
2019-02-05,23.43,100
2019-02-06,23.32,126
2019-02-07,23.5,1901
2019-02-08,23.54,200
2019-02-11,23.7,6
2019-02-12,23.36,1676
2019-02-13,23.48,61
2019-02-14,23.56,0
2019-02-15,23.5,14
2019-02-19,23.24,775
2019-02-20,23.28,0
2019-02-21,23.34,700
2019-02-22,23.26,262
2019-02-25,23.3,169
2019-02-26,23.32,0
2019-02-27,23.32,423
2019-02-28,23.57,65
2019-03-01,23.48,0
2019-03-04,23.43,0
2019-03-05,23.52,6
2019-03-06,23.55,10
2019-03-07,23.59,300
2019-03-08,23.62,702
2019-03-11,23.76,0
2019-03-12,23.68,0
2019-03-13,23.75,0
2019-03-14,23.75,1
2019-03-15,23.66,0
2019-03-18,23.77,0
2019-03-19,23.57,1700
2019-03-20,23.71,300
2019-03-21,23.75,2500
2019-03-22,23.9,105807
2019-03-25,24.01,4511
2019-03-26,24.16,245
2019-03-27,23.76,2520
2019-03-28,23.85,362
2019-03-29,24.06,5450
2019-04-01,24.0,3821
2019-04-02,23.83,692
2019-04-03,23.77,225
2019-04-04,23.61,2
2019-04-05,23.41,0
2019-04-08,23.39,0
2019-04-09,23.52,40
2019-04-10,23.59,178
2019-04-11,23.64,3931
2019-04-12,23.45,400
2019-04-15,23.46,271
2019-04-16,23.32,461
2019-04-17,23.18,0
2019-04-18,23.27,683
2019-04-22,23.34,32
2019-04-23,23.41,0
2019-04-24,23.49,651
2019-04-25,23.67,200
2019-04-26,23.63,1922
2019-04-29,23.62,400
2019-04-30,23.82,883
2019-05-01,23.82,515
2019-05-02,23.86,300
2019-05-03,23.88,0
2019-05-06,23.94,1
2019-05-07,23.89,100
2019-05-08,24.05,6095
2019-05-09,24.03,302
2019-05-10,24.32,13804
2019-05-13,24.47,0
2019-05-14,24.32,1602
2019-05-15,24.4,0
2019-05-16,24.55,0
2019-05-17,24.51,300
