date,close,volume
2018-04-25,105.31,60621
2018-04-26,109.79,68438
2018-04-27,108.42,91984
2018-04-30,108.58,85010
2018-05-01,109.22,89840
2018-05-02,108.09,124571
2018-05-03,106.95,108085
2018-05-04,107.18,95661
2018-05-07,108.57,107266
2018-05-08,109.41,87413
2018-05-09,110.51,51733
2018-05-10,111.14,74345
2018-05-11,111.43,40860
2018-05-14,112.22,65831
2018-05-15,112.89,58978
2018-05-16,114.08,79602
2018-05-17,114.69,65575
2018-05-18,114.63,102097
2018-05-21,115.9,77406
2018-05-22,115.76,93253
2018-05-23,116.64,98298
2018-05-24,117.9,106565
2018-05-25,117.69,48882
2018-05-29,118.27,88740
2018-05-30,119.98,94495
2018-05-31,120.01,53103
2018-06-01,121.04,103419
2018-06-04,123.73,151413
2018-06-05,123.83,105033
2018-06-06,125.4,102618
2018-06-07,127.21,101351
2018-06-08,127.75,74653
2018-06-11,129.66,78737
2018-06-12,131.0,120789
2018-06-13,132.09,159269
2018-06-14,131.76,177864
2018-06-15,131.01,169958
2018-06-18,129.92,160976
2018-06-19,131.29,157134
2018-06-20,134.08,157345
2018-06-21,133.52,88514
2018-06-22,132.21,193683
2018-06-25,131.86,96067
2018-06-26,129.63,114645
2018-06-27,129.18,77767
2018-06-28,127.94,128437
2018-06-29,128.25,93285
2018-07-02,128.93,72660
2018-07-03,128.75,90509
2018-07-05,129.33,71716
2018-07-06,129.49,69110
2018-07-09,132.35,144853
2018-07-10,132.79,86020
2018-07-11,131.55,128111
2018-07-12,131.67,74208
2018-07-13,136.32,247244
2018-07-16,136.45,52472
2018-07-17,138.72,87183
2018-07-18,138.86,243279
2018-07-19,138.59,69713
2018-07-20,139.16,134905
2018-07-23,139.56,62465
2018-07-24,138.66,123358
2018-07-25,139.72,62613
2018-07-26,134.89,141190
2018-07-27,134.35,85832
2018-07-30,133.01,85083
2018-07-31,132.0,75325
2018-08-01,131.1,66024
2018-08-02,130.99,55863
2018-08-03,130.4,168843
2018-08-06,131.32,86756
2018-08-07,133.25,145308
2018-08-08,134.0,96336
2018-08-09,134.32,81569
2018-08-10,132.17,73715
2018-08-13,132.67,68002
2018-08-14,134.34,83289
2018-08-15,133.38,62012
2018-08-16,134.76,92131
2018-08-17,137.06,87154
2018-08-20,136.75,56061
2018-08-21,137.55,57943
2018-08-22,136.96,53734
2018-08-23,137.77,79898
2018-08-24,137.39,75501
2018-08-27,138.13,56491
2018-08-28,139.56,55790
2018-08-29,139.54,85274
2018-08-30,138.8,27513
2018-08-31,142.32,144332
2018-09-04,142.18,74094
2018-09-05,141.21,55886
2018-09-06,142.27,50928
2018-09-07,139.51,80449
2018-09-10,139.65,72656
2018-09-11,138.42,65672
2018-09-12,137.58,50981
2018-09-13,137.49,31025
2018-09-14,138.35,58833
2018-09-17,131.66,71104
2018-09-18,131.34,82281
2018-09-19,131.13,66974
2018-09-20,131.07,56097
2018-09-21,131.21,158089
2018-09-24,131.15,92772
2018-09-25,128.45,66094
2018-09-26,127.23,106996
2018-09-27,126.17,156356
2018-09-28,125.9,77173
2018-10-01,125.37,123244
2018-10-02,121.81,93966
2018-10-03,121.57,246673
2018-10-04,119.41,49961
2018-10-05,117.65,85193
2018-10-08,115.75,65269
2018-10-09,115.21,78817
2018-10-10,110.57,60372
2018-10-11,110.34,213332
2018-10-12,111.77,68906
2018-10-15,112.45,70679
2018-10-16,115.76,151464
2018-10-17,116.86,63451
2018-10-18,114.19,71466
2018-10-19,115.14,69882
2018-10-22,115.64,154209
2018-10-23,116.09,72213
2018-10-24,114.96,267125
2018-10-25,130.7,227473
2018-10-26,129.76,117787
2018-10-29,121.1,151674
2018-10-30,122.12,65276
2018-10-31,124.8,79868
2018-11-01,125.01,57018
2018-11-02,124.01,80051
2018-11-05,124.2,79660
2018-11-06,124.46,61437
2018-11-07,126.07,44704
2018-11-08,124.87,68791
2018-11-09,124.67,116173
2018-11-12,123.33,59345
2018-11-13,121.62,110152
2018-11-14,120.58,48880
2018-11-15,121.76,69199
2018-11-16,121.33,47037
2018-11-19,118.03,126653
2018-11-20,115.93,73782
2018-11-21,116.0,81940
2018-11-23,115.21,23691
2018-11-26,115.87,50644
2018-11-27,115.24,50497
2018-11-28,118.58,183876
2018-11-29,119.34,127469
2018-11-30,118.14,78022
2018-12-03,119.09,79957
2018-12-04,117.21,130800
2018-12-06,116.48,103265
2018-12-07,115.21,109115
2018-12-10,111.58,77128
2018-12-11,112.21,137426
2018-12-12,112.58,107880
2018-12-13,114.75,100952
2018-12-14,114.42,109423
2018-12-17,112.8,107047
2018-12-18,112.37,112742
2018-12-19,111.79,185101
2018-12-20,108.99,94994
2018-12-21,106.73,166111
2018-12-24,105.5,62302
2018-12-26,109.45,93814
2018-12-27,109.99,88881
2018-12-28,110.11,79117
2018-12-31,109.84,87793
2019-01-02,108.6,77656
2019-01-03,107.77,126538
2019-01-04,108.51,113840
2019-01-07,107.77,78699
2019-01-08,108.61,73950
2019-01-09,109.09,115712
2019-01-10,109.12,69891
2019-01-11,108.9,47533
2019-01-14,108.01,87150
2019-01-15,109.11,85990
2019-01-16,111.45,69489
2019-01-17,112.96,77592
2019-01-18,115.1,98848
2019-01-22,115.0,105275
2019-01-23,119.72,128484
2019-01-24,120.49,140273
2019-01-25,120.33,92385
2019-01-28,118.79,58778
2019-01-29,118.54,62784
2019-01-30,118.84,65756
2019-01-31,124.15,77339
2019-02-01,122.68,74486
2019-02-04,123.61,53779
2019-02-05,125.78,82236
2019-02-06,124.98,63910
2019-02-07,124.72,80744
2019-02-08,125.83,53322
2019-02-11,126.14,64620
2019-02-12,126.33,81867
2019-02-13,127.13,58654
2019-02-14,126.08,58490
2019-02-15,126.39,51095
2019-02-19,125.37,64578
2019-02-20,125.77,60744
2019-02-21,127.22,76723
2019-02-22,126.11,70082
2019-02-25,127.17,55640
2019-02-26,126.49,41019
2019-02-27,127.02,58616
2019-02-28,126.56,55038
2019-03-01,125.3,178847
2019-03-04,124.3,56562
2019-03-05,122.3,64914
2019-03-06,122.05,40901
2019-03-07,121.04,73829
2019-03-08,119.88,45378
2019-03-11,120.23,78574
2019-03-12,119.11,57979
2019-03-13,119.79,56619
2019-03-14,119.59,84109
2019-03-15,120.5,133310
2019-03-18,122.16,106962
2019-03-19,122.46,59329
2019-03-20,121.69,52574
2019-03-21,122.09,73375
2019-03-22,120.89,81503
2019-03-25,121.69,107307
2019-03-26,123.04,102710
2019-03-27,122.38,41523
2019-03-28,124.55,67294
2019-03-29,125.99,75745
2019-04-01,128.89,121108
