date,close,volume
2018-04-25,87.46,591085
2018-04-26,87.19,470799
2018-04-27,87.89,411637
2018-04-30,86.44,265098
2018-05-01,86.68,409720
2018-05-02,87.83,441940
2018-05-03,87.92,629016
2018-05-04,90.36,362480
2018-05-07,90.7,488086
2018-05-08,91.42,272963
2018-05-09,92.51,513647
2018-05-10,91.9,303975
2018-05-11,91.96,245559
2018-05-14,91.39,355684
2018-05-15,91.79,302875
2018-05-16,93.53,395910
2018-05-17,94.8,490639
2018-05-18,94.3,248922
2018-05-21,94.86,581818
2018-05-22,92.85,630384
2018-05-23,91.31,617943
2018-05-24,91.61,468514
2018-05-25,91.33,218231
2018-05-29,90.02,262505
2018-05-30,90.6,467792
2018-05-31,91.83,580413
2018-06-01,91.69,450187
2018-06-04,92.07,464598
2018-06-05,92.69,326528
2018-06-06,91.58,489763
2018-06-07,92.79,474255
2018-06-08,93.39,397558
2018-06-11,93.58,185306
2018-06-12,94.39,300545
2018-06-13,93.36,307580
2018-06-14,93.58,252439
2018-06-15,93.49,684846
2018-06-18,93.22,161353
2018-06-19,92.07,254021
2018-06-20,92.36,277534
2018-06-21,89.69,430039
2018-06-22,89.14,567114
2018-06-25,86.66,628438
2018-06-26,85.75,728548
2018-06-27,85.32,645496
2018-06-28,85.17,267388
2018-06-29,84.85,449907
2018-07-02,84.0,962749
2018-07-03,83.66,326250
2018-07-05,84.0,704899
2018-07-06,83.73,753213
2018-07-09,85.14,1112772
2018-07-10,84.64,1419097
2018-07-11,80.86,2490942
2018-07-12,81.06,1378173
2018-07-13,81.71,662836
2018-07-16,81.52,833359
2018-07-17,82.43,831766
2018-07-18,82.94,1165241
2018-07-19,83.54,571121
2018-07-20,82.95,580395
2018-07-23,82.86,578321
2018-07-24,81.98,506573
2018-07-25,82.53,516085
2018-07-26,82.31,817638
2018-07-27,83.43,506889
2018-07-30,82.98,493937
2018-07-31,84.63,456682
2018-08-01,83.25,588185
2018-08-02,83.24,456897
2018-08-03,83.3,380364
2018-08-06,84.14,292592
2018-08-07,84.88,410045
2018-08-08,84.65,259498
2018-08-09,84.66,504428
2018-08-10,84.91,504495
2018-08-13,84.69,491025
2018-08-14,86.22,412898
2018-08-15,85.76,450967
2018-08-16,86.04,323440
2018-08-17,87.12,345304
2018-08-20,88.11,240246
2018-08-21,88.78,581696
2018-08-22,87.5,420167
2018-08-23,86.91,423700
2018-08-24,86.06,395599
2018-08-27,85.92,357102
2018-08-28,86.1,201312
2018-08-29,86.1,361998
2018-08-30,85.54,255258
2018-08-31,85.48,243449
2018-09-04,86.35,547110
2018-09-05,87.58,345021
2018-09-06,87.22,416566
