date,close,volume
2020-05-14,25.08,1093715
2020-05-15,25.07,52804
2020-05-18,25.08,123762
2020-05-19,25.09,17896
2020-05-20,25.13,33581
2020-05-21,25.07,38734
2020-05-22,25.07,7297
2020-05-26,25.07,319441
2020-05-27,25.04,68461
2020-05-28,24.92,20147
2020-05-29,25.02,17467
2020-06-01,24.69,12716
2020-06-02,24.94,8132
2020-06-03,24.88,19431
2020-06-04,24.94,8838
2020-06-05,25.06,15258
2020-06-08,24.95,1070
2020-06-09,24.81,3437
2020-06-10,24.62,2508
2020-06-11,23.7,6074
2020-06-12,23.12,14202
2020-06-15,24.01,9448
2020-06-16,23.88,6333
2020-06-17,23.85,2112
2020-06-18,23.73,4599
2020-06-19,23.76,7064
2020-06-22,23.42,6537
2020-06-23,23.27,12824
2020-06-24,23.14,4776
2020-06-25,23.16,2031
2020-06-26,23.61,4178
2020-06-29,23.21,2531
2020-06-30,23.12,5300
2020-07-01,23.2,4141
2020-07-02,23.04,5846
2020-07-06,23.41,7296
2020-07-07,23.53,10868
2020-07-08,23.01,27709
2020-07-09,22.81,79733
2020-07-10,23.14,50355
2020-07-13,23.54,14959
2020-07-14,23.26,2535
2020-07-15,23.61,9597
2020-07-16,23.9,2223
2020-07-17,23.85,165059
2020-07-20,23.94,13873
2020-07-21,24.12,11013
2020-07-22,24.2,4367
2020-07-23,24.16,6647
2020-07-24,23.8,5419
2020-07-27,23.59,16421
2020-07-28,23.72,3235
2020-07-29,23.93,18091
2020-07-30,23.71,9965
2020-07-31,23.89,12396
2020-08-03,24.21,81348
2020-08-04,24.45,118454
2020-08-05,24.46,6572
2020-08-06,24.42,446
2020-08-07,25.19,18003
2020-08-10,24.82,2870
2020-08-11,24.23,17879
2020-08-12,24.2,10413
2020-08-13,24.39,2188
2020-08-14,24.23,6660
