date,close,volume
2018-04-25,52.05,157256
2018-04-26,55.35,216704
2018-04-27,51.15,212713
2018-04-30,50.75,171667
2018-05-01,50.6,233257
2018-05-02,51.6,110251
2018-05-03,52.35,104204
2018-05-04,53.05,104125
2018-05-07,53.4,69719
2018-05-08,54.35,118213
2018-05-09,55.3,157679
2018-05-10,55.1,108822
2018-05-11,54.9,46120
2018-05-14,54.9,62963
2018-05-15,55.5,118219
2018-05-16,56.2,103834
2018-05-17,56.25,85059
2018-05-18,56.55,73615
2018-05-21,57.2,61164
2018-05-22,56.2,78657
2018-05-23,55.8,63530
2018-05-24,55.35,58878
2018-05-25,54.35,62286
2018-05-29,53.95,121789
2018-05-30,54.65,87725
2018-05-31,54.55,79525
2018-06-01,54.75,85706
2018-06-04,55.3,105588
2018-06-05,56.2,54671
2018-06-06,56.65,71793
2018-06-07,56.45,146100
2018-06-08,56.2,64730
2018-06-11,56.75,73836
2018-06-12,56.35,44464
2018-06-13,55.85,59795
2018-06-14,56.35,80286
2018-06-15,55.8,181080
2018-06-18,56.35,49746
2018-06-19,55.35,97026
2018-06-20,55.35,64474
2018-06-21,55.1,101458
2018-06-22,54.95,164761
2018-06-25,53.7,109989
2018-06-26,54.25,77066
2018-06-27,53.85,93114
2018-06-28,54.05,66855
2018-06-29,54.15,130329
2018-07-02,55.35,165829
2018-07-03,54.85,30937
2018-07-05,55.4,71526
2018-07-06,56.45,96173
2018-07-09,56.5,63501
2018-07-10,55.95,72401
2018-07-11,55.15,47342
2018-07-12,55.6,39635
2018-07-13,55.55,37036
2018-07-16,55.15,72349
2018-07-17,55.75,31837
2018-07-18,56.5,37901
2018-07-19,55.9,50431
2018-07-20,55.8,40092
2018-07-23,55.75,98606
2018-07-24,57.5,122401
2018-07-25,57.85,105154
2018-07-26,61.5,234343
2018-07-27,61.35,152202
2018-07-30,61.35,109113
2018-07-31,62.7,101036
2018-08-01,63.5,84852
2018-08-02,63.8,72661
2018-08-03,63.55,81695
2018-08-06,64.3,77488
2018-08-07,64.35,91061
2018-08-08,64.45,81384
2018-08-09,63.9,78331
2018-08-10,64.2,69707
2018-08-13,64.0,130030
2018-08-14,64.2,109615
2018-08-15,61.85,226318
2018-08-16,62.15,106853
2018-08-17,61.8,66547
2018-08-20,62.4,139065
2018-08-21,62.6,107086
2018-08-22,63.0,109783
2018-08-23,62.85,91368
2018-08-24,63.6,64777
2018-08-27,63.5,109269
2018-08-28,63.45,78578
2018-08-29,64.2,107459
2018-08-30,63.4,87804
2018-08-31,63.8,120506
2018-09-04,63.05,140340
2018-09-05,62.1,106688
2018-09-06,61.6,147541
2018-09-07,60.35,84223
2018-09-10,59.0,251371
2018-09-11,58.8,68771
2018-09-12,59.4,128293
2018-09-13,58.8,148166
2018-09-14,59.4,86605
2018-09-17,59.2,148321
2018-09-18,58.85,89027
2018-09-19,58.75,75559
2018-09-20,59.25,74654
2018-09-21,59.0,219747
2018-09-24,58.95,50375
2018-09-25,59.2,134469
2018-09-26,59.0,107173
2018-09-27,58.75,106077
2018-09-28,60.5,222560
2018-10-01,60.84,118243
2018-10-02,59.58,90063
2018-10-03,59.97,68251
2018-10-04,59.58,93882
2018-10-05,59.26,96528
2018-10-08,58.62,71259
2018-10-09,56.84,129013
2018-10-10,55.55,167377
2018-10-11,55.06,102495
2018-10-12,55.38,100384
2018-10-15,55.63,57173
2018-10-16,56.55,115291
2018-10-17,56.26,50677
2018-10-18,54.55,72392
2018-10-19,54.18,69468
2018-10-22,55.12,106781
2018-10-23,53.79,73278
2018-10-24,50.54,133618
2018-10-25,57.33,187565
2018-10-26,58.12,152558
2018-10-29,56.24,129458
2018-10-30,57.54,97979
2018-10-31,56.83,119892
2018-11-01,57.83,94829
2018-11-02,58.52,212413
2018-11-05,57.45,84183
2018-11-06,57.57,126696
2018-11-07,58.81,157604
