date,close,volume
2018-04-25,16.4,1082016
2018-04-26,16.99,870183
2018-04-27,17.01,810814
2018-04-30,16.62,917067
2018-05-01,17.52,1745950
2018-05-02,20.61,5687768
2018-05-03,21.98,2647638
2018-05-04,21.46,1347271
2018-05-07,22.07,1044854
2018-05-08,22.32,678377
2018-05-09,22.52,832625
2018-05-10,22.9,781738
2018-05-11,22.77,640568
2018-05-14,23.1,844134
2018-05-15,23.04,674400
2018-05-16,23.08,717177
2018-05-17,23.01,705319
2018-05-18,22.65,621377
2018-05-21,22.56,555353
2018-05-22,22.25,579277
2018-05-23,22.2,492945
2018-05-24,22.06,720557
2018-05-25,22.53,872461
2018-05-29,22.48,569827
2018-05-30,22.72,700807
2018-05-31,22.55,720481
2018-06-01,23.72,1091015
2018-06-04,23.01,617760
2018-06-05,23.63,859140
2018-06-06,23.95,578118
2018-06-07,24.16,717625
2018-06-08,24.58,891775
2018-06-11,25.37,936198
2018-06-12,25.58,725725
2018-06-13,24.15,1031654
2018-06-14,24.99,802149
2018-06-15,24.68,630807
2018-06-18,24.7,500306
2018-06-19,24.36,397416
2018-06-20,25.18,441020
2018-06-21,24.33,419619
2018-06-22,23.86,2242850
2018-06-25,22.99,648187
2018-06-26,23.76,851290
2018-06-27,22.66,443188
2018-06-28,23.19,527093
2018-06-29,23.04,687858
2018-07-02,23.29,315763
2018-07-03,23.4,217770
2018-07-05,24.83,372845
2018-07-06,24.24,627007
2018-07-09,24.43,358360
2018-07-10,24.84,391658
2018-07-11,24.17,260015
2018-07-12,25.45,358206
2018-07-13,24.6,336992
2018-07-16,24.12,375905
2018-07-17,24.29,389485
2018-07-18,24.47,264770
2018-07-19,24.64,318927
2018-07-20,23.9,308011
2018-07-23,23.58,530292
2018-07-24,22.66,420178
2018-07-25,22.67,612740
2018-07-26,22.66,477963
2018-07-27,21.84,498017
2018-07-30,21.32,535377
2018-07-31,20.83,936444
2018-08-01,20.29,1565405
2018-08-02,20.65,1520733
2018-08-03,21.18,1243847
2018-08-06,22.0,616446
2018-08-07,22.63,521558
2018-08-08,23.25,586657
2018-08-09,23.88,342398
2018-08-10,23.3,329494
2018-08-13,22.95,304578
2018-08-14,21.83,915045
2018-08-15,20.92,464247
2018-08-16,21.48,539057
2018-08-17,21.89,293844
2018-08-20,21.69,360519
2018-08-21,23.17,501014
2018-08-22,22.65,423836
2018-08-23,23.1,291660
2018-08-24,22.86,387722
2018-08-27,23.37,334691
2018-08-28,23.51,363503
2018-08-29,22.99,492510
2018-08-30,22.31,743120
2018-08-31,23.05,538861
2018-09-04,22.71,356664
2018-09-05,22.68,505231
2018-09-06,21.81,394989
2018-09-07,21.89,411473
2018-09-10,22.25,260172
2018-09-11,21.98,388667
2018-09-12,19.38,2353257
2018-09-13,19.79,715279
2018-09-14,20.27,506662
2018-09-17,20.34,406396
2018-09-18,21.3,698973
2018-09-19,21.56,593811
2018-09-20,22.46,399393
2018-09-21,21.41,688180
2018-09-24,20.96,455066
2018-09-25,20.2,581634
2018-09-26,19.38,565500
2018-09-27,19.83,488403
2018-09-28,20.6,656174
2018-10-01,20.01,392244
2018-10-02,19.53,437084
2018-10-03,19.64,599039
2018-10-04,19.09,446610
2018-10-05,17.76,757594
2018-10-08,17.03,1202726
2018-10-09,16.84,627125
2018-10-10,15.69,996553
2018-10-11,15.42,891516
2018-10-12,15.66,578582
2018-10-15,15.65,1040059
2018-10-16,16.95,640209
2018-10-17,16.76,614364
2018-10-18,15.28,801347
2018-10-19,14.8,813831
2018-10-22,14.85,682283
2018-10-23,14.72,1019164
2018-10-24,13.48,1193159
2018-10-25,14.28,1163166
2018-10-26,13.59,934179
2018-10-29,13.69,791229
2018-10-30,13.86,564661
2018-10-31,14.07,706397
2018-11-01,15.9,2956092
2018-11-02,16.53,1118783
2018-11-05,16.07,806022
2018-11-06,16.06,685805
2018-11-07,15.92,820061
2018-11-08,15.87,762895
2018-11-09,16.07,871160
2018-11-12,14.89,1009259
2018-11-13,15.14,1036884
2018-11-14,17.95,3140466
2018-11-15,17.72,1372697
2018-11-16,18.01,802502
2018-11-19,16.71,966323
2018-11-20,17.17,900330
2018-11-21,17.38,364863
2018-11-23,17.13,357128
2018-11-26,17.71,641696
2018-11-27,17.15,419119
2018-11-28,18.25,519340
2018-11-29,17.5,602797
2018-11-30,17.77,1209096
2018-12-03,18.14,838824
2018-12-04,17.58,820775
2018-12-06,15.95,1269144
2018-12-07,15.64,987253
2018-12-10,15.89,628715
2018-12-11,15.98,799237
2018-12-12,16.07,884788
2018-12-13,15.85,515791
2018-12-14,15.56,601950
2018-12-17,15.39,913156
2018-12-18,15.74,948265
2018-12-19,14.69,584077
2018-12-20,14.56,498096
2018-12-21,14.07,547918
2018-12-24,13.91,261624
2018-12-26,14.99,671708
2018-12-27,14.86,401097
2018-12-28,15.0,753897
2018-12-31,14.51,540867
2019-01-02,14.87,695752
2019-01-03,14.14,1121175
2019-01-04,14.68,621871
2019-01-07,15.22,948353
2019-01-08,15.42,701910
2019-01-09,16.12,667722
2019-01-10,16.43,413634
2019-01-11,16.78,526360
2019-01-14,16.12,394428
2019-01-15,16.59,357791
2019-01-16,16.3,301193
2019-01-17,16.53,385164
2019-01-18,16.67,431412
2019-01-22,16.0,343679
2019-01-23,16.0,285255
2019-01-24,17.28,648813
