date,close,volume
2018-04-25,64.19,216031
2018-04-26,63.16,299396
2018-04-27,63.95,321038
2018-04-30,62.57,414742
2018-05-01,63.9,486257
2018-05-02,64.95,1206474
2018-05-03,67.01,912550
2018-05-04,66.15,548472
2018-05-07,65.94,447500
2018-05-08,67.16,770933
2018-05-09,66.37,510174
2018-05-10,67.54,486596
2018-05-11,66.93,467500
2018-05-14,68.7,400926
2018-05-15,69.31,452379
2018-05-16,69.47,315697
2018-05-17,68.49,466417
2018-05-18,68.0,296162
2018-05-21,67.81,217669
2018-05-22,66.03,370583
2018-05-23,66.41,550552
2018-05-24,66.88,575267
2018-05-25,67.12,371851
2018-05-29,66.83,321344
2018-05-30,67.88,309262
2018-05-31,66.76,445745
2018-06-01,66.62,401006
2018-06-04,68.03,554410
2018-06-05,71.6,669916
2018-06-06,71.32,392802
2018-06-07,70.42,442840
2018-06-08,71.92,443817
2018-06-11,72.44,454265
2018-06-12,72.8,807587
2018-06-13,72.59,540658
2018-06-14,71.05,474528
2018-06-15,70.77,523675
2018-06-18,73.33,529182
2018-06-19,77.34,850843
2018-06-20,80.18,1039439
2018-06-21,80.2,791326
2018-06-22,80.56,3385414
2018-06-25,79.0,607330
2018-06-26,77.65,529065
2018-06-27,75.01,442442
2018-06-28,75.27,681859
2018-06-29,74.29,477245
2018-07-02,74.41,347612
2018-07-03,74.94,208676
2018-07-05,75.51,552379
2018-07-06,76.88,326335
2018-07-09,78.16,428869
2018-07-10,77.59,440610
2018-07-11,78.28,350086
2018-07-12,78.9,362921
2018-07-13,79.54,399193
2018-07-16,79.7,368417
2018-07-17,79.81,316413
2018-07-18,78.19,417836
2018-07-19,78.86,365090
2018-07-20,79.21,223574
2018-07-23,79.59,419083
2018-07-24,78.85,975531
2018-07-25,79.08,227465
2018-07-26,79.39,347966
2018-07-27,78.86,249161
2018-07-30,79.63,268707
2018-07-31,79.24,362035
2018-08-01,79.42,384618
2018-08-02,83.2,1434798
2018-08-03,85.43,990412
2018-08-06,84.71,694035
2018-08-07,85.77,414626
2018-08-08,85.39,285876
2018-08-09,84.78,254504
2018-08-10,84.12,353141
2018-08-13,83.59,366000
2018-08-14,85.31,457818
2018-08-15,86.07,274885
2018-08-16,86.63,184036
2018-08-17,87.22,292486
2018-08-20,86.4,265086
2018-08-21,87.49,283440
2018-08-22,88.09,308753
2018-08-23,87.1,426234
2018-08-24,86.0,860159
2018-08-27,84.85,304541
2018-08-28,84.21,606880
2018-08-29,83.28,586295
2018-08-30,82.76,637398
2018-08-31,82.98,321078
2018-09-04,84.48,413745
2018-09-05,84.22,267415
2018-09-06,83.58,308035
2018-09-07,82.59,262999
2018-09-10,82.77,322887
2018-09-11,84.08,406667
2018-09-12,82.96,265291
2018-09-13,82.12,321741
2018-09-14,82.7,300825
2018-09-17,82.04,368164
2018-09-18,82.8,446199
2018-09-19,84.27,343263
2018-09-20,85.88,277143
2018-09-21,85.91,732147
2018-09-24,86.56,328114
2018-09-25,86.07,480319
2018-09-26,86.34,350943
2018-09-27,86.1,319563
2018-09-28,85.46,289865
2018-10-01,85.01,347939
2018-10-02,83.86,356356
2018-10-03,83.17,292743
2018-10-04,81.5,384457
2018-10-05,80.45,417519
2018-10-08,80.56,343966
2018-10-09,80.2,336671
2018-10-10,78.99,324820
2018-10-11,78.61,425473
2018-10-12,78.91,326171
2018-10-15,79.22,409406
2018-10-16,80.88,359638
2018-10-17,80.66,355667
2018-10-18,79.6,296843
2018-10-19,79.98,270932
2018-10-22,80.09,252485
2018-10-23,80.94,404771
2018-10-24,79.05,544843
2018-10-25,80.98,293276
2018-10-26,80.29,298558
2018-10-29,80.83,388304
2018-10-30,81.7,381514
2018-10-31,80.63,507641
2018-11-01,81.09,851944
2018-11-02,81.45,500498
2018-11-05,82.16,388265
2018-11-06,81.39,330289
2018-11-07,81.64,480894
2018-11-08,81.7,242613
2018-11-09,79.83,283443
2018-11-12,79.29,321672
2018-11-13,79.62,389534
2018-11-14,79.32,262892
2018-11-15,79.4,254746
2018-11-16,79.3,420057
2018-11-19,78.73,409490
