date,close,volume
2018-04-25,13.07,171017
2018-04-26,13.1,170174
2018-04-27,13.09,170755
2018-04-30,13.12,150832
2018-05-01,13.14,202933
2018-05-02,13.18,124535
2018-05-03,13.18,64708
2018-05-04,13.15,91154
2018-05-07,13.16,52361
2018-05-08,13.12,194814
2018-05-09,13.13,128533
2018-05-10,13.21,133897
2018-05-11,13.21,149403
2018-05-14,13.13,129186
2018-05-15,13.11,151228
2018-05-16,13.11,46451
2018-05-17,13.11,105190
2018-05-18,13.06,80317
2018-05-21,13.16,102298
2018-05-22,13.08,194293
2018-05-23,13.18,50897
2018-05-24,13.18,109712
2018-05-25,13.22,126421
2018-05-29,13.3,85232
2018-05-30,13.28,172385
2018-05-31,13.3,98898
2018-06-01,13.31,78475
2018-06-04,13.32,120930
2018-06-05,13.38,98792
2018-06-06,13.33,91112
2018-06-07,13.37,78668
2018-06-08,13.35,62999
2018-06-11,13.34,85848
2018-06-12,13.33,67157
2018-06-13,13.34,96539
2018-06-14,13.24,94136
2018-06-15,13.22,75685
2018-06-18,13.17,162150
2018-06-19,13.25,134339
2018-06-20,13.24,61944
2018-06-21,13.23,93115
2018-06-22,13.27,53002
2018-06-25,13.26,49582
2018-06-26,13.28,44710
2018-06-27,13.24,33431
2018-06-28,13.31,64784
2018-06-29,13.32,81751
2018-07-02,13.33,118506
2018-07-03,13.36,51871
2018-07-05,13.36,120707
2018-07-06,13.42,158188
2018-07-09,13.42,85798
2018-07-10,13.42,105711
2018-07-11,13.51,118111
2018-07-12,13.58,88224
2018-07-13,13.49,77097
2018-07-16,13.52,57346
2018-07-17,13.56,82700
2018-07-18,13.55,75768
2018-07-19,13.51,40283
2018-07-20,13.59,154841
2018-07-23,13.5,78471
2018-07-24,13.52,73298
2018-07-25,13.44,89479
2018-07-26,13.46,25821
2018-07-27,13.45,46793
2018-07-30,13.42,34424
2018-07-31,13.43,36129
2018-08-01,13.53,77749
2018-08-02,13.56,43599
2018-08-03,13.55,61048
2018-08-06,13.71,97666
2018-08-07,13.71,88930
2018-08-08,13.72,89886
2018-08-09,13.74,92989
2018-08-10,13.74,68452
2018-08-13,13.83,97386
2018-08-14,13.79,93579
2018-08-15,13.84,142781
2018-08-16,13.84,54275
2018-08-17,13.76,65346
2018-08-20,13.79,143097
2018-08-21,13.83,79301
2018-08-22,13.82,90191
2018-08-23,13.79,83417
2018-08-24,13.87,47751
2018-08-27,13.79,75457
2018-08-28,13.77,85916
2018-08-29,13.91,119994
2018-08-30,13.81,62673
2018-08-31,13.91,47976
2018-09-04,13.99,59338
2018-09-05,13.92,70182
2018-09-06,13.78,69412
2018-09-07,13.81,51115
2018-09-10,13.76,98211
2018-09-11,13.76,75818
2018-09-12,13.85,60273
2018-09-13,13.67,47466
2018-09-14,13.6,57836
2018-09-17,13.56,68678
2018-09-18,13.52,59973
2018-09-19,13.57,61422
2018-09-20,13.46,69518
2018-09-21,13.31,94723
2018-09-24,13.28,91179
2018-09-25,13.2,96570
2018-09-26,13.17,88779
2018-09-27,13.16,99029
2018-09-28,13.13,117742
2018-10-01,13.17,155621
2018-10-02,13.19,121365
2018-10-03,13.23,114482
2018-10-04,13.18,83688
2018-10-05,13.02,103565
2018-10-08,13.0,81235
2018-10-09,13.12,93429
2018-10-10,13.0,118910
2018-10-11,12.84,232469
2018-10-12,12.86,78022
2018-10-15,12.87,139646
2018-10-16,12.73,141781
2018-10-17,12.83,155491
2018-10-18,12.71,132382
2018-10-19,12.74,128519
2018-10-22,12.7,90221
2018-10-23,12.6,146239
2018-10-24,12.63,100898
2018-10-25,12.54,179215
2018-10-26,12.51,144134
2018-10-29,12.42,238596
2018-10-30,12.4,138163
2018-10-31,12.41,204095
2018-11-01,12.52,203938
