date,close,volume
2018-04-25,10.05,9842
2018-04-26,10.0,11015
2018-04-27,10.0,6855
2018-04-30,10.05,4613
2018-05-01,10.1,10531
2018-05-02,10.0,7451
2018-05-03,10.1,6354
2018-05-04,10.05,3419
2018-05-07,10.0,28667
2018-05-08,10.0,3645
2018-05-09,10.0,48593
2018-05-10,10.25,51082
2018-05-11,10.61,10784
2018-05-14,10.55,9621
2018-05-15,10.87,19238
2018-05-16,10.8,7267
2018-05-17,10.55,19570
2018-05-18,10.75,18164
2018-05-21,10.85,17480
2018-05-22,10.56,15232
2018-05-23,10.6,33547
2018-05-24,10.85,25422
2018-05-25,10.85,9153
2018-05-29,10.85,7477
2018-05-30,10.85,4974
2018-05-31,10.95,4621
2018-06-01,11.2,11071
2018-06-04,11.05,4746
2018-06-05,11.11,4249
2018-06-06,11.1,6143
2018-06-07,10.98,4004
2018-06-08,10.85,9884
2018-06-11,10.64,7634
2018-06-12,10.7,4543
2018-06-13,10.4,10391
2018-06-14,10.45,6748
2018-06-15,10.4,6470
2018-06-18,10.75,5903
2018-06-19,10.7,3914
2018-06-20,10.6,1097
2018-06-21,10.48,3512
2018-06-22,10.55,7244
2018-06-25,10.2,9324
2018-06-26,10.15,4030
2018-06-27,10.25,5676
2018-06-28,10.1,5309
2018-06-29,10.15,1679
2018-07-02,10.05,7481
2018-07-03,10.15,978
2018-07-05,10.1,2318
2018-07-06,10.15,4107
2018-07-09,10.18,1637
2018-07-10,10.1,1213
2018-07-11,10.15,14123
2018-07-12,10.15,1975
2018-07-13,10.1,4327
2018-07-16,10.1,1678
2018-07-17,10.18,2055
2018-07-18,10.14,1584
2018-07-19,10.15,1966
2018-07-20,10.26,945
2018-07-23,10.2,7480
2018-07-24,10.1,5478
2018-07-25,10.15,2147
2018-07-26,10.16,828
2018-07-27,10.15,6452
2018-07-30,10.15,3580
2018-07-31,10.15,3039
2018-08-01,10.15,272
2018-08-02,10.1,2753
2018-08-03,10.1,1605
2018-08-06,10.1,4541
2018-08-07,10.1,20009
2018-08-08,9.95,16597
2018-08-09,9.78,20075
2018-08-10,9.9,7319
2018-08-13,9.85,3103
2018-08-14,9.8,1133
2018-08-15,9.85,2738
2018-08-16,9.9,12409
2018-08-17,9.8,3480
2018-08-20,9.75,12936
2018-08-21,9.7,4981
2018-08-22,9.7,4798
2018-08-23,9.8,1903
2018-08-24,9.85,3642
2018-08-27,9.65,37026
2018-08-28,9.9,12271
2018-08-29,9.68,8996
2018-08-30,9.6,14712
2018-08-31,9.55,7670
2018-09-04,9.65,6138
2018-09-05,9.8,23662
2018-09-06,9.8,6701
2018-09-07,9.85,7766
2018-09-10,9.7,3166
2018-09-11,9.55,8534
2018-09-12,9.7,3637
2018-09-13,9.55,4953
2018-09-14,9.55,3277
2018-09-17,9.65,19891
2018-09-18,9.6,4239
2018-09-19,9.65,3629
2018-09-20,9.98,74524
2018-09-21,10.25,43448
2018-09-24,10.15,27955
2018-09-25,9.95,30187
2018-09-26,9.9,20349
2018-09-27,9.84,29155
2018-09-28,9.8,9337
2018-10-01,9.73,14650
2018-10-02,9.78,7536
2018-10-03,9.7,21057
2018-10-04,9.69,4829
2018-10-05,9.56,14734
2018-10-08,9.45,10525
2018-10-09,9.21,44942
2018-10-10,9.3,14427
2018-10-11,9.41,9635
2018-10-12,9.33,18878
2018-10-15,9.57,41656
2018-10-16,9.56,11061
2018-10-17,9.5,5055
2018-10-18,9.61,8134
2018-10-19,9.38,5753
2018-10-22,9.5,2561
2018-10-23,9.44,442
2018-10-24,9.51,9399
2018-10-25,9.55,10872
2018-10-26,9.57,451
2018-10-29,9.4,5741
2018-10-30,9.45,2687
2018-10-31,9.37,613
2018-11-01,9.45,3094
2018-11-02,9.37,9211
2018-11-05,9.43,18295
2018-11-06,9.5,9659
2018-11-07,9.55,5166
2018-11-08,9.45,7573
2018-11-09,9.45,7927
2018-11-12,9.29,20102
2018-11-13,9.3,20576
2018-11-14,9.15,56216
2018-11-15,9.15,36659
2018-11-16,9.18,6246
2018-11-19,9.71,6466
2018-11-20,9.3,15375
2018-11-21,9.59,7949
2018-11-23,9.69,1709
2018-11-26,9.58,13995
2018-11-27,9.76,15780
2018-11-28,9.93,12772
2018-11-29,9.97,8184
2018-11-30,10.04,10293
2018-12-03,10.1,5606
2018-12-04,10.06,8027
2018-12-06,10.09,5413
2018-12-07,10.18,23132
2018-12-10,10.32,11438
2018-12-11,10.29,5969
2018-12-12,9.88,22342
2018-12-13,9.74,4989
2018-12-14,9.86,2192
2018-12-17,9.8,8790
2018-12-18,9.61,7054
2018-12-19,9.65,7927
2018-12-20,9.62,8464
2018-12-21,9.82,6967
2018-12-24,9.5,1866
2018-12-26,9.6,17639
2018-12-27,9.35,19451
2018-12-28,9.55,5766
2018-12-31,9.83,16399
2019-01-02,9.84,4487
2019-01-03,9.94,4374
2019-01-04,10.05,5206
2019-01-07,10.29,8214
2019-01-08,10.42,12246
2019-01-09,10.77,12311
2019-01-10,10.98,11979
2019-01-11,11.06,3972
2019-01-14,10.8,8588
2019-01-15,10.88,1589
2019-01-16,10.92,4564
2019-01-17,10.95,3605
2019-01-18,10.96,3615
2019-01-22,11.05,13047
2019-01-23,11.18,15004
2019-01-24,11.05,11748
2019-01-25,11.0,7810
2019-01-28,11.05,8294
2019-01-29,11.04,10480
2019-01-30,11.05,6662
2019-01-31,11.2,8051
2019-02-01,11.28,14371
2019-02-04,11.48,6313
2019-02-05,11.55,11020
2019-02-06,11.78,10602
2019-02-07,11.59,9246
2019-02-08,11.65,11444
2019-02-11,11.52,8324
2019-02-12,11.25,10387
2019-02-13,10.53,46816
2019-02-14,10.61,7319
2019-02-15,10.63,12053
2019-02-19,11.11,14888
2019-02-20,11.06,5860
2019-02-21,11.22,1244
2019-02-22,11.4,15785
2019-02-25,11.3,5846
2019-02-26,11.61,18001
2019-02-27,11.7,5432
2019-02-28,11.71,3788
2019-03-01,11.7,9445
2019-03-04,11.46,10503
2019-03-05,11.69,2337
2019-03-06,11.63,2764
2019-03-07,11.58,10751
2019-03-08,11.74,9112
2019-03-11,11.75,5513
2019-03-12,11.7,2645
2019-03-13,11.52,8560
2019-03-14,11.25,5800
2019-03-15,11.73,21972
2019-03-18,11.34,2266
2019-03-19,11.15,13844
2019-03-20,11.1,6876
2019-03-21,11.2,203
2019-03-22,10.96,7088
2019-03-25,10.77,11131
2019-03-26,11.08,9238
2019-03-27,11.66,18594
2019-03-28,11.6,1148
2019-03-29,11.5,3483
2019-04-01,11.8,19030
2019-04-02,11.8,3071
2019-04-03,12.41,55182
2019-04-04,12.79,24502
2019-04-05,12.97,20006
2019-04-08,12.58,3895
2019-04-09,11.94,14672
2019-04-10,11.97,4181
2019-04-11,11.8,8479
2019-04-12,12.15,3765
2019-04-15,12.2,4358
2019-04-16,12.8,11167
2019-04-17,12.9,8968
2019-04-18,13.08,3325
2019-04-22,12.74,5805
2019-04-23,12.74,10623
2019-04-24,12.87,3519
2019-04-25,13.37,9934
2019-04-26,13.44,14525
2019-04-29,13.31,10881
2019-04-30,13.01,8934
2019-05-01,13.3,2537
2019-05-02,13.16,10462
2019-05-03,13.4,13160
2019-05-06,13.68,12526
2019-05-07,13.98,22656
2019-05-08,13.85,4948
2019-05-09,13.67,4718
2019-05-10,12.47,19868
2019-05-13,12.5,6427
2019-05-14,12.7,11285
2019-05-15,13.04,2637
2019-05-16,12.85,4064
2019-05-17,12.86,505
2019-05-20,12.71,5912
2019-05-21,13.0,5996
2019-05-22,12.79,1828
2019-05-23,12.73,5092
2019-05-24,12.9,3558
2019-05-28,12.51,6715
2019-05-29,11.97,5687
2019-05-30,12.1,4526
2019-05-31,12.24,852
2019-06-03,12.57,10888
2019-06-04,12.44,2444
2019-06-05,12.07,7497
2019-06-06,11.8,6306
2019-06-07,12.13,2570
2019-06-10,12.18,9029
2019-06-11,12.5,13799
2019-06-12,12.82,1317
2019-06-13,12.32,2414
2019-06-14,12.17,7751
2019-06-17,12.16,2812
2019-06-18,12.19,4208
2019-06-19,12.25,434
2019-06-20,11.82,1979
2019-06-21,11.78,1478
2019-06-24,11.7,5767
2019-06-25,11.6,2244
2019-06-26,11.6,7640
2019-06-27,11.55,9429
2019-06-28,11.66,12785
2019-07-01,11.76,8659
2019-07-02,11.94,5450
2019-07-03,12.3,1705
2019-07-05,11.75,2213
2019-07-08,11.42,18948
2019-07-09,11.06,329
2019-07-10,11.72,8298
2019-07-11,11.4,2998
2019-07-12,11.17,2538
2019-07-15,11.0,8543
2019-07-16,10.94,7687
2019-07-17,10.73,3282
2019-07-18,10.75,6617
2019-07-19,10.51,13209
2019-07-22,10.58,6677
2019-07-23,10.65,2542
2019-07-24,10.67,1409
2019-07-25,10.48,4352
2019-07-26,10.35,14114
2019-07-29,10.2,7132
2019-07-30,10.48,3954
2019-07-31,10.09,4057
2019-08-01,10.2,6618
2019-08-02,10.15,3567
2019-08-05,10.09,9014
2019-08-06,10.12,8035
2019-08-07,10.3,1220
2019-08-08,10.15,6950
2019-08-09,10.39,4061
2019-08-12,10.09,3365
2019-08-13,10.1,19233
2019-08-14,10.03,6698
2019-08-15,10.13,17365
2019-08-16,10.03,733
2019-08-19,10.0,8490
2019-08-20,10.0,131
2019-08-21,10.17,6870
2019-08-22,9.95,782
2019-08-23,9.94,3380
2019-08-26,9.81,710
2019-08-27,9.75,12033
2019-08-28,9.75,1696
2019-08-29,9.8,1147
2019-08-30,9.7,638
2019-09-03,9.63,2223
2019-09-04,9.76,6337
2019-09-05,10.08,4265
2019-09-06,9.82,4043
2019-09-09,9.98,3006
2019-09-10,9.78,1549
2019-09-11,10.15,1080
2019-09-12,10.15,0
2019-09-13,9.95,7500
2019-09-16,9.94,4639
2019-09-17,9.71,1110
2019-09-18,9.83,8462
2019-09-19,9.9,10539
2019-09-20,10.19,7364
2019-09-23,10.31,63232
2019-09-24,9.85,67258
2019-09-25,8.26,74237
2019-09-26,8.5,17650
2019-09-27,8.2,10815
2019-09-30,8.35,20656
2019-10-01,8.5,11736
2019-10-02,8.43,5882
2019-10-03,8.0,7010
2019-10-04,8.47,13713
2019-10-07,9.0,24272
2019-10-08,9.12,16896
2019-10-09,9.36,9165
2019-10-10,9.35,3431
2019-10-11,8.6,2102
2019-10-14,8.6,101
2019-10-15,8.95,24929
2019-10-16,9.23,23195
2019-10-17,9.15,322
2019-10-18,9.08,1853
2019-10-21,9.3,1196
2019-10-22,9.0,154
2019-10-23,9.35,3491
2019-10-24,9.16,4936
2019-10-25,9.07,235
2019-10-28,9.0,424
2019-10-29,9.07,703
2019-10-30,8.94,2182
2019-10-31,8.89,1977
2019-11-01,9.16,2345
2019-11-04,8.8,2914
2019-11-05,8.72,638
2019-11-06,8.71,2709
2019-11-07,8.9,11686
2019-11-08,8.9,0
2019-11-11,8.79,3650
2019-11-12,8.79,60
2019-11-13,8.93,771
2019-11-14,8.94,744
2019-11-15,8.5,52231
2019-11-18,8.15,15306
2019-11-19,8.17,6687
2019-11-20,8.03,19894
2019-11-21,7.96,20412
2019-11-22,8.05,18154
2019-11-25,7.75,12201
2019-11-26,7.75,25817
2019-11-27,7.75,7392
2019-11-29,7.76,3676
2019-12-02,7.78,5324
2019-12-03,7.61,7176
2019-12-04,7.8,13271
2019-12-05,7.99,6548
2019-12-06,7.69,29167
2019-12-09,7.73,30720
2019-12-10,7.79,23123
2019-12-11,8.0,40726
2019-12-12,8.15,18068
2019-12-13,8.25,21857
2019-12-16,8.05,32941
2019-12-17,7.93,11209
2019-12-18,8.21,13822
2019-12-19,7.98,13504
2019-12-20,8.3,37503
2019-12-23,8.11,9561
2019-12-24,8.34,2863
2019-12-26,8.03,36791
2019-12-27,7.97,26555
2019-12-30,7.7,22667
2019-12-31,7.98,29343
2020-01-02,7.92,26618
2020-01-03,7.83,66289
2020-01-06,7.92,5560
2020-01-07,8.4,26270
2020-01-08,8.17,97469
2020-01-09,8.45,11159
2020-01-10,8.01,11907
2020-01-13,8.03,955
2020-01-14,8.4,1109
2020-01-15,8.88,7071
2020-01-16,9.04,15644
2020-01-17,9.25,13104
2020-01-21,9.61,6191
2020-01-22,9.23,11110
2020-01-23,9.23,60371
2020-01-24,8.62,6675
2020-01-27,8.58,1740
2020-01-28,8.6,911
2020-01-29,8.35,7307
2020-01-30,8.36,620
2020-01-31,8.09,5984
2020-02-03,8.05,8872
2020-02-04,8.6,6383
2020-02-05,8.53,886
2020-02-06,8.1,21448
2020-02-07,8.37,4880
2020-02-10,8.15,5268
2020-02-11,7.92,14842
2020-02-12,7.56,22070
2020-02-13,7.66,8383
2020-02-14,7.5,6760
2020-02-18,7.36,3186
2020-02-19,7.45,6326
2020-02-20,7.3,4901
2020-02-21,7.37,14627
2020-02-24,7.3,2159
2020-02-25,7.3,1963
2020-02-26,7.4,8398
2020-02-27,7.4,9650
2020-02-28,7.2,47419
2020-03-02,6.91,10674
2020-03-03,7.11,12359
2020-03-04,7.17,15145
2020-03-05,7.15,9994
2020-03-06,7.12,1857
2020-03-09,6.91,575
2020-03-10,7.29,1666
2020-03-11,6.65,13545
2020-03-12,6.38,14143
2020-03-13,6.13,7667
2020-03-16,6.19,2911
2020-03-17,6.15,9311
2020-03-18,5.54,5074
2020-03-19,5.5,24998
2020-03-20,5.63,32467
2020-03-23,5.15,10805
2020-03-24,5.43,10254
2020-03-25,6.25,5390
2020-03-26,6.14,1930
2020-03-27,6.21,5079
2020-03-30,6.51,2769
2020-03-31,6.3,5418
2020-04-01,6.28,3226
2020-04-02,6.35,5249
2020-04-03,6.23,3402
2020-04-06,6.5,22015
2020-04-07,6.51,2090
2020-04-08,6.49,664
2020-04-09,6.64,5919
2020-04-13,6.82,6244
2020-04-14,7.43,29410
2020-04-15,7.2,962
2020-04-16,7.36,5273
2020-04-17,7.38,986
2020-04-20,7.32,263
2020-04-21,7.22,1332
2020-04-22,7.25,8959
2020-04-23,7.13,5276
2020-04-24,7.17,484
2020-04-27,7.15,922
2020-04-28,6.96,644
2020-04-29,6.96,1563
2020-04-30,6.9,4128
2020-05-01,7.0,2069
2020-05-04,6.89,2872
2020-05-05,6.5,13427
2020-05-06,6.55,10393
2020-05-07,6.31,20601
2020-05-08,6.38,621
2020-05-11,6.99,9798
2020-05-12,7.05,1618
2020-05-13,6.94,6979
2020-05-14,6.48,5421
2020-05-15,5.93,23191
2020-05-18,6.13,11100
2020-05-19,6.08,6235
2020-05-20,6.18,4949
2020-05-21,6.36,6873
2020-05-22,6.5,2394
2020-05-26,6.5,2279
2020-05-27,6.89,3987
2020-05-28,7.27,3700
2020-05-29,6.83,2947
2020-06-01,6.75,8516
2020-06-02,6.77,11738
2020-06-03,7.0,5554
2020-06-04,7.25,5931
2020-06-05,7.25,10989
2020-06-08,7.03,5666
2020-06-09,7.11,3346
2020-06-10,7.13,4663
2020-06-11,6.61,7370
2020-06-12,6.5,2390
2020-06-15,6.5,4727
2020-06-16,6.32,3499
2020-06-17,6.37,10418
2020-06-18,6.43,3473
2020-06-19,6.9,12887
2020-06-22,6.8,7226
2020-06-23,6.99,17993
2020-06-24,6.72,11610
2020-06-25,6.73,10516
2020-06-26,7.4,6443
2020-06-29,7.28,997
2020-06-30,6.84,708
2020-07-01,7.02,3545
2020-07-02,6.94,1649
2020-07-06,7.11,1305
2020-07-07,6.73,19423
2020-07-08,6.65,3847
2020-07-09,6.81,6548
2020-07-10,6.81,2052
2020-07-13,6.75,1122
2020-07-14,6.92,10003
2020-07-15,7.18,1610
2020-07-16,7.11,617
2020-07-17,7.17,1203
2020-07-20,7.0,2544
2020-07-21,7.1,965
2020-07-22,6.92,1225
2020-07-23,6.89,429
2020-07-24,6.92,8886
2020-07-27,6.99,2936
2020-07-28,6.94,1542
2020-07-29,6.77,3928
2020-07-30,7.06,2567
2020-07-31,6.81,7703
2020-08-03,6.57,180187
2020-08-04,6.52,137813
2020-08-05,6.63,9217
2020-08-06,6.65,3189
2020-08-07,6.89,1849
2020-08-10,6.79,9335
2020-08-11,6.89,13241
2020-08-12,7.12,16749
2020-08-13,7.09,23929
2020-08-14,7.06,11776
