date,close,volume
2018-04-25,48.71,444803
2018-04-26,49.38,529030
2018-04-27,39.45,2714811
2018-04-30,40.89,1376039
2018-05-01,40.76,1176906
2018-05-02,40.44,982995
2018-05-03,40.73,742436
2018-05-04,41.17,631569
2018-05-07,41.23,745445
2018-05-08,41.54,423752
2018-05-09,41.77,475410
2018-05-10,42.3,371729
2018-05-11,42.25,274553
2018-05-14,41.69,463100
2018-05-15,41.18,482957
2018-05-16,41.29,361538
2018-05-17,41.38,334314
2018-05-18,41.29,803397
2018-05-21,41.41,403077
2018-05-22,41.73,735975
2018-05-23,41.66,270536
2018-05-24,41.54,307341
2018-05-25,41.34,300297
2018-05-29,41.36,454743
2018-05-30,41.61,471933
2018-05-31,41.62,640502
2018-06-01,42.69,458262
2018-06-04,43.16,434472
2018-06-05,42.97,416177
2018-06-06,43.55,365623
2018-06-07,43.02,389500
2018-06-08,43.2,508717
2018-06-11,43.53,450326
2018-06-12,43.43,353213
2018-06-13,43.29,388393
2018-06-14,43.66,410174
2018-06-15,44.25,1105972
2018-06-18,44.2,455359
2018-06-19,43.66,548473
2018-06-20,43.68,310636
2018-06-21,43.33,366401
2018-06-22,42.95,557539
2018-06-25,41.78,569159
2018-06-26,41.96,465096
2018-06-27,41.39,277940
2018-06-28,41.86,393169
2018-06-29,41.98,572734
2018-07-02,42.74,439145
2018-07-03,42.82,298093
2018-07-05,43.22,1146841
2018-07-06,43.53,432191
2018-07-09,44.01,537795
2018-07-10,43.79,347002
2018-07-11,43.45,261545
2018-07-12,44.14,346024
2018-07-13,44.14,227203
2018-07-16,43.54,351733
2018-07-17,42.81,1098058
2018-07-18,43.46,599843
2018-07-19,43.54,476175
2018-07-20,43.0,300371
2018-07-23,42.42,699179
2018-07-24,41.91,460440
2018-07-25,41.9,604065
2018-07-26,42.16,1120429
2018-07-27,44.0,1719720
2018-07-30,43.9,1974758
2018-07-31,43.81,705278
2018-08-01,44.38,639421
2018-08-02,44.47,417191
2018-08-03,44.41,473943
2018-08-06,45.06,988353
2018-08-07,44.87,514582
2018-08-08,44.58,315725
2018-08-09,44.57,497205
2018-08-10,44.38,278743
2018-08-13,44.89,734903
2018-08-14,44.83,458663
2018-08-15,44.59,385875
2018-08-16,44.57,230158
2018-08-17,44.86,364785
2018-08-20,44.98,525731
2018-08-21,45.02,511984
2018-08-22,45.31,475990
2018-08-23,45.06,447205
2018-08-24,45.32,486519
2018-08-27,47.05,754221
2018-08-28,47.1,361160
2018-08-29,47.5,386114
2018-08-30,47.51,328616
2018-08-31,47.75,431901
2018-09-04,48.1,547396
2018-09-05,47.95,450056
2018-09-06,48.16,406653
2018-09-07,48.19,439709
2018-09-10,48.46,506503
2018-09-11,48.35,374088
2018-09-12,48.59,317410
2018-09-13,48.72,394613
2018-09-14,48.96,358207
2018-09-17,48.08,442259
2018-09-18,48.21,344293
2018-09-19,48.37,365564
2018-09-20,48.67,357799
2018-09-21,48.68,1698762
2018-09-24,48.55,601015
2018-09-25,49.21,475157
2018-09-26,48.64,431884
2018-09-27,48.08,540635
2018-09-28,48.33,375943
2018-10-01,47.95,295750
2018-10-02,47.34,392146
2018-10-03,47.01,456200
2018-10-04,46.61,477428
2018-10-05,45.96,343428
2018-10-08,45.58,442277
2018-10-09,45.83,460849
2018-10-10,44.37,717938
2018-10-11,43.08,580948
2018-10-12,43.72,503137
2018-10-15,43.0,762643
2018-10-16,44.87,681962
2018-10-17,44.49,598705
2018-10-18,43.8,562322
2018-10-19,43.61,347413
