date,close,volume
2020-05-01,9.7,22000
2020-05-04,9.7,1
2020-05-05,9.76,12000
2020-05-06,9.76,12000
2020-05-07,9.91,16012
2020-05-08,9.82,14802
2020-05-11,9.82,0
2020-05-12,9.82,0
2020-05-13,9.81,99904
2020-05-14,9.84,10100
2020-05-15,9.83,900
2020-05-18,9.83,1
2020-05-19,9.82,8639
2020-05-20,9.81,4832
2020-05-21,9.81,79
2020-05-22,9.81,95706
2020-05-26,9.81,4
2020-05-27,9.82,25883
2020-05-28,9.82,1
2020-05-29,9.82,0
2020-06-01,9.82,2
2020-06-02,9.81,564
2020-06-03,9.82,1515
2020-06-04,9.82,49
2020-06-05,9.8,13409
2020-06-08,9.8,2404
2020-06-09,9.81,608
2020-06-10,9.83,18034
2020-06-11,9.83,47419
2020-06-12,9.82,1156
2020-06-15,9.82,1270
2020-06-16,9.8,893
2020-06-17,9.83,6904
2020-06-18,9.85,13316
2020-06-19,9.87,16577
2020-06-22,9.87,1502
2020-06-23,9.87,3
2020-06-24,9.87,2
2020-06-25,9.9,5276
2020-06-26,9.9,2
2020-06-29,9.9,2428
2020-06-30,9.92,3349
2020-07-01,9.92,100
2020-07-02,9.9,6873
2020-07-06,9.91,3544
2020-07-07,9.93,1725
2020-07-08,9.85,27718
2020-07-09,9.91,12420
2020-07-10,9.9,1646
2020-07-13,9.92,755
2020-07-14,9.94,2295
2020-07-15,9.94,26
2020-07-16,9.98,521
2020-07-17,9.98,7
2020-07-20,9.96,1219
2020-07-21,9.97,5201
2020-07-22,9.97,27
2020-07-23,9.98,405
2020-07-24,9.96,3606
2020-07-27,9.96,0
2020-07-28,9.96,42
2020-07-29,9.94,390
2020-07-30,9.94,10650
2020-07-31,9.94,11921
2020-08-03,9.95,36339
2020-08-04,9.95,89
2020-08-05,9.94,110
2020-08-06,9.94,8
2020-08-07,9.92,13600
2020-08-10,9.92,1
2020-08-11,9.92,2
2020-08-12,9.9,25771
2020-08-13,9.9,641
2020-08-14,9.9,400
