date,close,volume
2018-04-25,42.55,127464
2018-04-26,43.25,185941
2018-04-27,44.09,226639
2018-04-30,45.0,435137
2018-05-01,44.57,322730
2018-05-02,44.01,224162
2018-05-03,44.03,79274
2018-05-04,44.05,37602
2018-05-07,44.68,55606
2018-05-08,45.09,94184
2018-05-09,45.89,91593
2018-05-10,46.91,271013
2018-05-11,48.0,181360
2018-05-14,48.6,252752
2018-05-15,48.99,240739
2018-05-16,49.69,166845
2018-05-17,51.35,196919
2018-05-18,51.46,129290
2018-05-21,51.06,241928
2018-05-22,51.7,326118
2018-05-23,51.88,255939
2018-05-24,50.55,109966
2018-05-25,49.98,190235
2018-05-29,49.9,44563
2018-05-30,51.5,140660
2018-05-31,51.57,99918
2018-06-01,53.71,192525
2018-06-04,54.25,381680
2018-06-05,54.45,216419
2018-06-06,53.6,120713
2018-06-07,54.27,109183
2018-06-08,52.66,141067
2018-06-11,53.18,289867
2018-06-12,52.23,99818
2018-06-13,52.15,120943
2018-06-14,51.87,87096
2018-06-15,49.86,201117
2018-06-18,50.68,97570
2018-06-19,49.94,119692
2018-06-20,51.24,91223
2018-06-21,50.6,65105
2018-06-22,51.68,90505
2018-06-25,50.37,148436
2018-06-26,49.97,108685
2018-06-27,49.74,200961
2018-06-28,50.1,113601
2018-06-29,51.06,101419
2018-07-02,51.07,50554
2018-07-03,51.72,103898
2018-07-05,50.95,129540
2018-07-06,52.2,39414
2018-07-09,51.74,88800
2018-07-10,51.66,220852
2018-07-11,50.66,91526
2018-07-12,50.62,124078
2018-07-13,51.59,16216
2018-07-16,51.35,68077
2018-07-17,51.24,197729
2018-07-18,51.14,307104
2018-07-19,51.94,130688
2018-07-20,52.1,134015
2018-07-23,52.05,179464
2018-07-24,52.36,215172
2018-07-25,54.11,308784
2018-07-26,54.03,266015
2018-07-27,53.64,68799
2018-07-30,52.51,63432
2018-07-31,53.05,54343
2018-08-01,53.31,245735
2018-08-02,54.27,88618
2018-08-03,53.7,361052
2018-08-06,52.57,70400
2018-08-07,51.17,176246
2018-08-08,49.43,242213
2018-08-09,49.4,173330
2018-08-10,48.9,386097
2018-08-13,47.87,107665
2018-08-14,48.01,194980
2018-08-15,47.62,136661
2018-08-16,46.79,55646
2018-08-17,47.08,91008
2018-08-20,47.9,94904
2018-08-21,47.64,61155
2018-08-22,47.46,145301
2018-08-23,46.54,259302
2018-08-24,46.3,185438
2018-08-27,46.15,245012
2018-08-28,44.79,279056
2018-08-29,43.0,372894
2018-08-30,44.58,350863
2018-08-31,43.8,164867
2018-09-04,44.08,87436
2018-09-05,43.52,201964
2018-09-06,41.72,111058
2018-09-07,40.97,175162
2018-09-10,40.35,181669
2018-09-11,41.03,275068
2018-09-12,41.1,312548
2018-09-13,40.31,159861
2018-09-14,39.44,145809
2018-09-17,38.46,128169
2018-09-18,37.82,238535
2018-09-19,36.88,413315
2018-09-20,36.8,221886
2018-09-21,37.02,315639
2018-09-24,34.21,709818
2018-09-25,34.9,268697
2018-09-26,34.2,199675
2018-09-27,35.04,134810
2018-09-28,35.41,479021
2018-10-01,38.99,345076
2018-10-02,37.73,273852
2018-10-03,39.28,199186
2018-10-04,39.38,163416
2018-10-05,40.36,238696
2018-10-08,40.53,218076
2018-10-09,40.14,52576
2018-10-10,40.48,426518
2018-10-11,40.8,326331
2018-10-12,39.4,505840
2018-10-15,39.41,194082
2018-10-16,39.98,88030
2018-10-17,39.44,491044
2018-10-18,39.34,206886
2018-10-19,39.08,124255
2018-10-22,38.98,101988
2018-10-23,38.73,127029
2018-10-24,36.55,107116
2018-10-25,35.8,171810
2018-10-26,35.38,147769
2018-10-29,34.87,103911
2018-10-30,34.4,156672
2018-10-31,34.14,245719
2018-11-01,33.86,364164
2018-11-02,34.02,294346
2018-11-05,34.49,232829
2018-11-06,35.6,214545
2018-11-07,41.76,895457
2018-11-08,40.07,294920
2018-11-09,38.11,239882
2018-11-12,37.67,102081
2018-11-13,37.1,133907
2018-11-14,36.28,232194
2018-11-15,36.46,92639
2018-11-16,36.42,166415
2018-11-19,36.0,79566
2018-11-20,34.11,180130
2018-11-21,35.34,237905
2018-11-23,35.37,80341
2018-11-26,34.07,137442
2018-11-27,32.78,278391
2018-11-28,32.48,161361
2018-11-29,34.19,269642
2018-11-30,33.13,180550
2018-12-03,33.94,145772
2018-12-04,33.03,149300
2018-12-06,32.49,191809
2018-12-07,33.91,167254
2018-12-10,33.47,145244
2018-12-11,33.92,292427
2018-12-12,34.44,139257
2018-12-13,34.97,133688
2018-12-14,34.73,184661
2018-12-17,33.08,174383
2018-12-18,31.6,188946
2018-12-19,31.4,235074
2018-12-20,29.89,199360
2018-12-21,27.82,312024
2018-12-24,27.51,117793
2018-12-26,28.32,319452
2018-12-27,27.45,181240
2018-12-28,27.15,214879
2018-12-31,28.84,149877
2019-01-02,29.67,129089
2019-01-03,30.99,120760
2019-01-04,33.44,331908
2019-01-07,34.01,276303
2019-01-08,34.03,245690
2019-01-09,34.07,286140
2019-01-10,32.77,164072
2019-01-11,32.01,233374
2019-01-14,31.08,69640
2019-01-15,32.62,138354
2019-01-16,33.35,194546
2019-01-17,33.0,77828
2019-01-18,32.94,56235
2019-01-22,31.73,70520
2019-01-23,31.12,75243
2019-01-24,31.2,107805
2019-01-25,32.75,230631
2019-01-28,33.18,191323
2019-01-29,33.33,278441
2019-01-30,33.1,179727
2019-01-31,32.2,137209
2019-02-01,32.0,170473
2019-02-04,32.25,56435
2019-02-05,32.53,197548
2019-02-06,32.28,253415
2019-02-07,31.94,92098
2019-02-08,31.3,161173
2019-02-11,31.0,41337
2019-02-12,31.43,78490
2019-02-13,31.69,191996
2019-02-14,32.15,236017
2019-02-15,32.1,133168
2019-02-19,34.33,551482
2019-02-20,34.7,234034
2019-02-21,34.36,191708
2019-02-22,35.1,261037
2019-02-25,35.59,197308
2019-02-26,35.28,187754
2019-02-27,35.14,100918
2019-02-28,33.66,249386
2019-03-01,35.96,449735
2019-03-04,36.45,235869
2019-03-05,36.62,143433
2019-03-06,36.38,190879
2019-03-07,36.66,319848
2019-03-08,35.7,647618
2019-03-11,36.92,351613
2019-03-12,37.17,375891
2019-03-13,36.89,510654
2019-03-14,37.14,258373
2019-03-15,37.25,3254855
2019-03-18,37.95,244590
2019-03-19,38.49,214633
2019-03-20,37.56,214695
2019-03-21,37.9,109308
2019-03-22,36.69,241023
2019-03-25,35.21,324377
2019-03-26,35.41,165557
2019-03-27,35.0,319706
2019-03-28,36.22,423793
2019-03-29,36.01,159937
2019-04-01,37.35,106522
2019-04-02,37.55,72156
2019-04-03,37.25,103909
2019-04-04,37.42,90875
2019-04-05,37.66,146644
2019-04-08,38.15,266185
2019-04-09,37.15,135263
2019-04-10,36.85,158175
2019-04-11,37.01,170154
2019-04-12,36.9,193724
2019-04-15,37.27,98596
2019-04-16,37.68,63595
2019-04-17,37.46,158614
2019-04-18,37.6,132594
2019-04-22,38.2,278695
2019-04-23,37.5,167344
2019-04-24,37.43,232949
2019-04-25,38.54,839102
2019-04-26,36.44,539574
2019-04-29,35.48,328493
2019-04-30,34.43,295564
2019-05-01,34.23,241467
2019-05-02,33.9,367196
2019-05-03,31.82,265361
2019-05-06,31.39,240601
2019-05-07,31.25,230832
2019-05-08,31.4,265177
2019-05-09,31.16,193528
2019-05-10,32.75,298625
2019-05-13,31.72,81764
2019-05-14,31.53,92577
2019-05-15,31.95,179828
2019-05-16,32.74,205534
2019-05-17,32.87,118215
2019-05-20,33.3,68965
2019-05-21,33.02,102066
2019-05-22,32.58,76519
2019-05-23,32.12,120062
2019-05-24,32.23,102722
2019-05-28,31.75,94089
2019-05-29,31.58,125738
2019-05-30,31.06,116654
2019-05-31,30.25,163669
2019-06-03,31.77,225466
2019-06-04,32.22,97958
2019-06-05,32.08,228224
2019-06-06,32.64,169861
2019-06-07,31.96,144340
2019-06-10,32.05,96989
2019-06-11,32.28,56012
2019-06-12,31.8,77249
2019-06-13,32.34,42910
2019-06-14,30.8,387688
2019-06-17,31.04,89273
2019-06-18,31.49,201876
2019-06-19,31.79,189818
2019-06-20,31.97,162197
2019-06-21,32.25,304008
2019-06-24,32.07,78573
2019-06-25,31.81,130684
2019-06-26,31.9,103831
2019-06-27,32.48,99823
2019-06-28,33.26,296414
2019-07-01,33.77,199818
2019-07-02,33.12,100091
2019-07-03,33.87,68138
2019-07-05,33.88,127341
2019-07-08,33.36,152994
2019-07-09,32.61,152700
2019-07-10,33.01,192374
2019-07-11,33.83,167527
2019-07-12,33.68,99108
2019-07-15,32.79,195197
2019-07-16,32.34,102252
2019-07-17,31.13,107544
2019-07-18,30.98,273258
2019-07-19,31.4,92133
2019-07-22,32.04,138018
2019-07-23,31.64,136809
2019-07-24,31.57,89683
2019-07-25,31.18,179582
2019-07-26,31.04,167092
2019-07-29,30.85,396770
2019-07-30,31.02,228630
2019-07-31,30.99,263512
2019-08-01,29.16,213730
2019-08-02,26.9,311286
2019-08-05,27.5,1014716
2019-08-06,28.19,374056
2019-08-07,26.59,338914
2019-08-08,27.44,370614
2019-08-09,27.04,277404
2019-08-12,26.8,428809
2019-08-13,26.21,431362
2019-08-14,24.94,318551
2019-08-15,24.26,178647
2019-08-16,24.36,171429
2019-08-19,24.56,256355
2019-08-20,24.6,412859
2019-08-21,24.66,301793
2019-08-22,24.35,227623
2019-08-23,23.5,323964
2019-08-26,23.49,232887
2019-08-27,22.56,270911
2019-08-28,23.6,436720
2019-08-29,24.21,380582
2019-08-30,24.33,146633
2019-09-03,24.03,122209
2019-09-04,24.2,333034
2019-09-05,24.31,183344
2019-09-06,24.35,360757
2019-09-09,25.49,380074
2019-09-10,26.3,375154
2019-09-11,26.78,318410
2019-09-12,26.54,105454
2019-09-13,27.35,388457
2019-09-16,27.57,387690
2019-09-17,26.75,388103
2019-09-18,26.64,311312
2019-09-19,26.96,387695
2019-09-20,26.97,1177027
2019-09-23,26.7,464419
2019-09-24,24.62,501094
2019-09-25,24.61,523924
2019-09-26,24.32,126192
2019-09-27,24.15,222467
2019-09-30,24.12,175075
2019-10-01,23.91,357713
2019-10-02,23.82,191542
2019-10-03,24.04,386420
2019-10-04,24.88,559125
2019-10-07,24.35,441012
2019-10-08,24.08,147792
2019-10-09,24.0,78545
2019-10-10,24.02,114783
2019-10-11,24.19,297458
2019-10-14,24.1,166268
2019-10-15,24.19,106533
2019-10-16,24.2,153026
2019-10-17,23.99,484438
2019-10-18,23.75,290928
2019-10-21,23.97,98514
2019-10-22,24.09,214988
2019-10-23,24.43,147085
2019-10-24,24.6,163923
2019-10-25,24.81,265394
2019-10-28,24.36,151867
2019-10-29,24.15,161161
2019-10-30,24.1,172455
2019-10-31,24.12,238029
2019-11-01,23.72,188525
2019-11-04,23.97,260959
2019-11-05,23.75,159901
2019-11-06,23.24,187368
2019-11-07,22.89,473707
2019-11-08,22.68,306854
2019-11-11,22.99,348824
2019-11-12,22.8,161657
2019-11-13,22.65,161820
2019-11-14,22.29,230693
2019-11-15,21.76,1641659
2019-11-18,21.77,618891
2019-11-19,20.73,470157
2019-11-20,20.96,377447
2019-11-21,21.37,484170
2019-11-22,21.8,436888
2019-11-25,21.85,659684
2019-11-26,21.16,379129
2019-11-27,21.08,244283
2019-11-29,20.85,137535
2019-12-02,20.71,184095
2019-12-03,20.32,270080
2019-12-04,21.09,305166
2019-12-05,20.87,135726
2019-12-06,21.2,266811
2019-12-09,22.4,455449
2019-12-10,23.62,719478
2019-12-11,23.63,419679
2019-12-12,24.21,868035
2019-12-13,24.9,546637
2019-12-16,25.22,638245
2019-12-17,25.56,1442859
2019-12-18,25.77,413363
2019-12-19,25.89,638048
2019-12-20,26.69,3155634
2019-12-23,26.31,498265
2019-12-24,26.38,76266
2019-12-26,28.52,886222
2019-12-27,27.14,494545
2019-12-30,26.45,283696
2019-12-31,26.56,143758
2020-01-02,26.6,475980
2020-01-03,26.47,492847
2020-01-06,26.77,498010
2020-01-07,26.97,364911
2020-01-08,26.25,261384
2020-01-09,26.17,173238
2020-01-10,26.23,341904
2020-01-13,26.58,550574
2020-01-14,26.13,389788
2020-01-15,26.32,359013
2020-01-16,26.42,281424
2020-01-17,25.74,160225
2020-01-21,24.64,282922
2020-01-22,24.15,485464
2020-01-23,23.34,296577
2020-01-24,22.7,646085
2020-01-27,22.5,648304
2020-01-28,22.31,407979
2020-01-29,21.91,600924
2020-01-30,22.29,644086
2020-01-31,22.4,539247
2020-02-03,21.46,233247
2020-02-04,21.92,225313
2020-02-05,21.99,182215
2020-02-06,22.24,209052
2020-02-07,21.87,140586
2020-02-10,21.06,181184
2020-02-11,21.77,207278
2020-02-12,21.35,512662
2020-02-13,20.05,360051
2020-02-14,19.62,460711
2020-02-18,19.69,414072
2020-02-19,19.64,331512
2020-02-20,20.19,626125
2020-02-21,19.61,485134
2020-02-24,18.93,429068
2020-02-25,17.0,1094907
2020-02-26,16.37,716551
2020-02-27,15.5,779130
2020-02-28,15.35,1473223
2020-03-02,15.98,260766
2020-03-03,14.83,843875
2020-03-04,14.77,498340
2020-03-05,13.95,395811
2020-03-06,11.94,1067033
2020-03-09,4.5,2262321
2020-03-10,5.02,2516613
2020-03-11,5.75,1587296
2020-03-12,5.06,833124
2020-03-13,4.86,1396058
2020-03-16,4.61,764453
2020-03-17,4.11,843813
2020-03-18,3.15,1381659
2020-03-19,3.13,1958108
2020-03-20,4.24,2539713
2020-03-23,2.93,1273475
2020-03-24,2.99,703282
2020-03-25,3.21,1544715
2020-03-26,3.45,880875
2020-03-27,3.05,961577
2020-03-30,2.9,628026
2020-03-31,3.5,866586
2020-04-01,3.21,476566
2020-04-02,3.39,961740
2020-04-03,3.22,533908
2020-04-06,3.1,732896
2020-04-07,3.35,1058382
2020-04-08,3.72,852655
2020-04-09,4.55,1566949
2020-04-13,4.95,1562355
2020-04-14,5.01,879326
2020-04-15,4.23,1500385
2020-04-16,3.92,702598
2020-04-17,4.14,1160242
2020-04-20,4.07,1134626
2020-04-21,4.3,771786
2020-04-22,4.76,932142
2020-04-23,5.44,1696634
2020-04-24,5.54,1290100
2020-04-27,5.86,776812
2020-04-28,6.46,1160532
2020-04-29,7.5,1148151
2020-04-30,7.33,1644716
2020-05-01,6.31,1014086
2020-05-04,5.73,1577769
2020-05-05,6.23,1255056
2020-05-06,6.11,873842
2020-05-07,6.03,1008037
2020-05-08,6.25,1312866
2020-05-11,6.25,672436
2020-05-12,6.2,767963
2020-05-13,6.3,981253
2020-05-14,6.18,689588
2020-05-15,6.82,728559
2020-05-18,7.37,868182
2020-05-19,7.98,2051914
2020-05-20,8.23,1180788
2020-05-21,8.26,486428
2020-05-22,8.21,558266
2020-05-26,8.73,674055
2020-05-27,9.99,997589
2020-05-28,9.62,613477
2020-05-29,9.67,878322
2020-06-01,9.39,489888
2020-06-02,9.02,727281
2020-06-03,9.55,1659919
2020-06-04,10.03,597246
2020-06-05,11.61,951727
2020-06-08,12.37,1265965
2020-06-09,11.35,1330913
2020-06-10,11.11,1270883
2020-06-11,9.11,1647554
2020-06-12,9.69,860778
2020-06-15,9.92,922251
2020-06-16,9.81,1285869
2020-06-17,9.95,762336
2020-06-18,10.05,792130
2020-06-19,10.22,740790
2020-06-22,10.39,475518
2020-06-23,10.05,410583
2020-06-24,9.13,717478
2020-06-25,8.99,1418864
2020-06-26,8.27,676922
2020-06-29,8.18,421100
2020-06-30,8.46,415486
2020-07-01,8.1,522417
2020-07-02,8.0,724835
2020-07-06,7.7,720360
2020-07-07,7.49,1056442
2020-07-08,7.29,1069648
2020-07-09,6.94,1049240
2020-07-10,7.27,663038
2020-07-13,7.03,455214
2020-07-14,7.18,364924
2020-07-15,7.77,753897
2020-07-16,7.83,322664
2020-07-17,7.87,501792
2020-07-20,8.94,1674413
2020-07-21,9.28,986961
2020-07-22,8.77,967005
2020-07-23,8.45,691681
2020-07-24,8.4,511062
2020-07-27,8.58,588928
2020-07-28,8.85,309037
2020-07-29,9.46,653091
2020-07-30,9.5,495486
2020-07-31,9.4,608568
2020-08-03,9.0,1019265
2020-08-04,9.26,667547
2020-08-05,9.53,511173
2020-08-06,9.69,383175
2020-08-07,9.74,480682
2020-08-10,9.99,796390
2020-08-11,9.86,746686
2020-08-12,9.8,374505
2020-08-13,9.81,872544
2020-08-14,9.61,1360335
