date,close,volume
2018-04-25,4.59,273332
2018-04-26,4.86,335186
2018-04-27,4.86,134687
2018-04-30,4.8,219593
2018-05-01,4.93,196032
2018-05-02,4.91,130102
2018-05-03,4.78,110497
2018-05-04,4.79,145110
2018-05-07,4.81,235795
2018-05-08,4.75,273592
2018-05-09,4.7,458466
2018-05-10,4.76,322740
2018-05-11,4.85,334290
2018-05-14,4.98,407033
2018-05-15,5.01,337161
2018-05-16,5.17,281672
2018-05-17,5.18,158512
2018-05-18,5.43,354614
2018-05-21,4.53,9356175
2018-05-22,4.55,1730707
2018-05-23,4.59,978876
2018-05-24,4.52,847791
2018-05-25,4.43,570526
2018-05-29,4.41,565497
2018-05-30,4.37,412279
2018-05-31,4.47,738804
2018-06-01,4.41,395815
2018-06-04,4.4,255133
2018-06-05,4.61,478516
2018-06-06,4.52,292845
2018-06-07,4.51,261383
2018-06-08,4.49,179349
2018-06-11,4.37,360205
2018-06-12,4.39,274756
2018-06-13,4.39,330132
2018-06-14,4.34,429524
2018-06-15,4.52,565321
2018-06-18,4.36,232207
2018-06-19,4.28,270996
2018-06-20,4.34,273543
2018-06-21,3.83,1027731
2018-06-22,3.82,514554
2018-06-25,3.78,412857
2018-06-26,3.72,527964
2018-06-27,3.56,405301
2018-06-28,3.39,462144
2018-06-29,3.48,168068
2018-07-02,3.45,250706
2018-07-03,3.45,165720
2018-07-05,3.45,168801
2018-07-06,3.45,225050
2018-07-09,3.46,264569
2018-07-10,3.5,284786
2018-07-11,3.48,82664
2018-07-12,3.53,206907
2018-07-13,3.57,130585
2018-07-16,3.43,150433
2018-07-17,3.39,169951
2018-07-18,3.42,126851
2018-07-19,3.42,121306
2018-07-20,3.46,142480
2018-07-23,3.36,223928
2018-07-24,3.3,306330
2018-07-25,3.53,397600
2018-07-26,3.08,878526
2018-07-27,2.51,5599191
2018-07-30,2.69,1263090
2018-07-31,2.71,678069
2018-08-01,2.53,677722
2018-08-02,2.49,834418
2018-08-03,2.51,725077
2018-08-06,2.52,294450
2018-08-07,2.38,1214637
2018-08-08,2.5,686973
2018-08-09,2.56,509166
2018-08-10,2.66,578998
2018-08-13,2.67,447163
2018-08-14,2.7,470227
2018-08-15,2.54,553671
2018-08-16,2.56,151327
2018-08-17,2.58,224780
2018-08-20,2.67,400383
2018-08-21,2.62,238838
2018-08-22,2.69,160288
2018-08-23,2.65,245055
2018-08-24,2.73,268097
2018-08-27,2.7,382784
2018-08-28,2.69,230364
2018-08-29,2.6,428280
2018-08-30,2.53,656755
2018-08-31,2.54,404472
2018-09-04,2.48,462223
2018-09-05,2.51,226135
2018-09-06,2.62,444335
2018-09-07,2.69,1071415
2018-09-10,2.67,312461
2018-09-11,2.7,340632
2018-09-12,2.6,290297
2018-09-13,2.61,503186
2018-09-14,2.64,392371
2018-09-17,2.57,583732
2018-09-18,2.56,607014
2018-09-19,2.57,410943
