date,close,volume
2020-07-14,91.59,10526720
2020-07-15,72.34,4754549
2020-07-16,68.24,1864014
2020-07-17,74.0,1924929
2020-07-20,74.1,1271131
2020-07-21,74.97,370396
2020-07-22,74.8,394497
2020-07-23,71.57,349714
2020-07-24,73.84,328408
2020-07-27,71.6,190399
2020-07-28,72.13,252888
2020-07-29,72.51,178422
2020-07-30,76.67,264615
2020-07-31,79.1,211973
2020-08-03,77.28,233554
2020-08-04,76.0,247035
2020-08-05,77.18,289035
2020-08-06,75.33,185179
2020-08-07,75.37,345653
2020-08-10,76.79,348580
2020-08-11,78.88,376886
2020-08-12,82.39,251812
2020-08-13,84.6,435321
2020-08-14,80.25,139720
