date,close,volume
2018-04-25,2.46,189
2018-04-26,2.48,248
2018-04-27,2.48,9399
2018-04-30,2.49,619
2018-05-01,2.54,5064
2018-05-02,2.55,704
2018-05-03,2.9,607596
2018-05-04,2.74,32882
2018-05-07,2.55,34336
2018-05-08,2.3,42934
2018-05-09,2.45,2093
2018-05-10,2.6,56239
2018-05-11,2.45,6187
2018-05-14,2.9,155264
2018-05-15,2.45,110733
2018-05-16,2.15,38716
2018-05-17,2.21,12718
2018-05-18,1.99,48499
2018-05-21,2.0,17963
2018-05-22,1.88,32553
2018-05-23,1.88,4494
2018-05-24,1.85,18028
2018-05-25,1.89,4109
2018-05-29,2.19,162727
2018-05-30,2.02,10396
2018-05-31,1.89,267035
2018-06-01,1.92,19957
2018-06-04,1.8,14857
2018-06-05,2.01,1967187
2018-06-06,1.71,288990
2018-06-07,1.79,51013
2018-06-08,1.74,19313
2018-06-11,1.7,22803
2018-06-12,1.61,48450
2018-06-13,1.71,44262
2018-06-14,1.83,23273
2018-06-15,2.2,468844
2018-06-18,2.44,167738
2018-06-19,2.43,296051
2018-06-20,2.47,76668
2018-06-21,2.51,52389
2018-06-22,2.65,80044
2018-06-25,2.57,20288
2018-06-26,2.45,20707
2018-06-27,2.52,55146
2018-06-28,2.83,243136
2018-06-29,2.55,71417
2018-07-02,2.46,44117
2018-07-03,2.63,32460
2018-07-05,2.69,17573
2018-07-06,2.61,35569
2018-07-09,2.38,47398
2018-07-10,2.34,20129
2018-07-11,2.45,59303
2018-07-12,2.33,546361
2018-07-13,2.22,34861
2018-07-16,2.06,27777
2018-07-17,1.94,459889
2018-07-18,2.09,111802
2018-07-19,2.14,27104
2018-07-20,2.09,22076
2018-07-23,2.05,3477
2018-07-24,2.15,108039
2018-07-25,2.01,21929
2018-07-26,2.23,30174
2018-07-27,2.3,77583
2018-07-30,2.39,58549
2018-07-31,2.49,34524
2018-08-01,2.37,74178
2018-08-02,2.45,39751
2018-08-03,2.43,35800
2018-08-06,2.3,10792
2018-08-07,2.33,19727
2018-08-08,2.33,22169
2018-08-09,2.33,8336
2018-08-10,2.32,6025
2018-08-13,2.27,17355
2018-08-14,2.57,125093
2018-08-15,2.31,41293
2018-08-16,2.5,68761
2018-08-17,2.7,302013
2018-08-20,2.6,73786
2018-08-21,2.59,22178
2018-08-22,2.62,41813
2018-08-23,2.69,32351
2018-08-24,2.58,11226
2018-08-27,2.62,26510
2018-08-28,2.52,18947
2018-08-29,2.54,34262
2018-08-30,2.43,24531
2018-08-31,2.61,9887
2018-09-04,2.58,27900
2018-09-05,2.38,54022
2018-09-06,2.37,12900
2018-09-07,2.58,65087
2018-09-10,2.7,47545
2018-09-11,2.99,138237
2018-09-12,3.1,229519
2018-09-13,3.2,116597
2018-09-14,3.12,20817
2018-09-17,3.1,151945
2018-09-18,3.0,158636
2018-09-19,2.92,40708
2018-09-20,3.25,137753
2018-09-21,3.31,419963
2018-09-24,3.57,232301
2018-09-25,3.41,83916
2018-09-26,3.4,164627
2018-09-27,3.11,162870
2018-09-28,3.06,43154
2018-10-01,2.98,190509
2018-10-02,3.09,56606
2018-10-03,3.1,34546
2018-10-04,2.86,71509
2018-10-05,2.86,85700
2018-10-08,2.86,24444
2018-10-09,2.82,25663
2018-10-10,2.55,115879
2018-10-11,2.25,273335
2018-10-12,2.44,58393
2018-10-15,2.51,142259
2018-10-16,2.82,462379
2018-10-17,3.18,1238469
2018-10-18,3.2,355689
2018-10-19,4.14,2216014
2018-10-22,4.51,3178809
2018-10-23,4.47,772640
2018-10-24,3.88,623910
2018-10-25,4.36,954996
2018-10-26,5.1,1564729
2018-10-29,5.0,1529885
2018-10-30,5.4,712836
2018-10-31,5.4,580795
2018-11-01,4.98,1074940
2018-11-02,4.83,370226
2018-11-05,5.0,339873
2018-11-06,4.5,697507
2018-11-07,4.45,665220
2018-11-08,4.52,1229841
2018-11-09,4.47,304355
2018-11-12,4.12,390205
2018-11-13,3.97,306924
2018-11-14,3.98,275048
2018-11-15,4.21,350959
2018-11-16,4.18,121564
2018-11-19,4.03,132036
2018-11-20,3.95,149356
