date,close,volume
2018-04-25,78.89,119258
2018-04-26,78.99,116288
2018-04-27,77.66,155044
2018-04-30,76.83,138613
2018-05-01,77.21,152784
2018-05-02,76.83,195660
2018-05-03,79.06,412450
2018-05-04,77.11,375246
2018-05-07,79.3,434566
2018-05-08,80.44,294704
2018-05-09,80.35,195746
2018-05-10,81.49,209379
2018-05-11,81.64,192085
2018-05-14,79.68,295104
2018-05-15,80.1,166340
2018-05-16,82.85,308342
2018-05-17,83.6,346620
2018-05-18,84.03,262892
2018-05-21,83.4,252042
2018-05-22,80.87,182446
2018-05-23,79.63,124671
2018-05-24,78.33,166642
2018-05-25,77.3,150968
2018-05-29,77.14,194038
2018-05-30,78.68,152893
2018-05-31,76.14,228494
2018-06-01,77.07,217936
2018-06-04,77.7,190095
2018-06-05,79.44,114542
2018-06-06,80.42,284871
2018-06-07,80.12,232932
2018-06-08,80.28,294906
2018-06-11,82.32,206260
2018-06-12,83.04,215967
2018-06-13,81.83,301636
2018-06-14,82.41,158292
2018-06-15,82.8,294605
2018-06-18,82.94,168507
2018-06-19,82.72,426893
2018-06-20,83.04,307559
2018-06-21,82.92,296350
2018-06-22,81.09,453534
2018-06-25,80.07,301519
2018-06-26,81.32,390270
2018-06-27,80.25,265368
2018-06-28,81.22,233227
2018-06-29,80.86,211780
2018-07-02,81.07,176842
2018-07-03,80.77,71308
2018-07-05,83.18,209377
2018-07-06,85.03,248117
2018-07-09,85.97,146423
2018-07-10,85.79,169456
2018-07-11,84.78,152638
2018-07-12,85.92,200485
2018-07-13,88.2,308299
2018-07-16,87.79,288115
2018-07-17,90.75,469954
2018-07-18,90.05,229672
2018-07-19,90.05,269426
2018-07-20,89.98,296550
2018-07-23,88.28,412138
2018-07-24,87.67,299781
2018-07-25,89.46,533461
2018-07-26,97.62,383412
2018-07-27,99.06,473967
2018-07-30,96.4,283008
2018-07-31,99.67,353928
2018-08-01,97.83,205827
2018-08-02,98.57,104181
2018-08-03,98.33,200337
2018-08-06,99.87,146109
2018-08-07,100.15,194531
2018-08-08,100.91,142644
2018-08-09,101.12,157201
2018-08-10,100.21,93878
2018-08-13,98.25,117803
2018-08-14,98.93,154994
2018-08-15,96.69,195606
2018-08-16,97.8,130732
2018-08-17,98.56,101479
2018-08-20,98.81,101888
2018-08-21,99.98,256454
2018-08-22,100.32,104206
2018-08-23,99.91,118141
2018-08-24,100.42,165291
2018-08-27,100.64,117190
2018-08-28,99.4,125097
2018-08-29,99.89,218685
2018-08-30,99.89,226646
2018-08-31,101.01,165230
2018-09-04,100.18,123055
2018-09-05,99.87,162047
2018-09-06,99.35,187762
2018-09-07,99.32,172977
2018-09-10,99.02,148225
2018-09-11,98.61,125293
2018-09-12,100.53,206469
2018-09-13,102.11,142192
2018-09-14,102.87,147696
2018-09-17,100.84,152899
2018-09-18,101.81,142249
2018-09-19,101.1,194592
2018-09-20,104.38,239459
2018-09-21,104.93,446050
2018-09-24,102.33,129358
2018-09-25,103.76,221600
2018-09-26,102.09,212802
2018-09-27,101.81,174758
2018-09-28,101.88,276370
2018-10-01,103.25,183007
2018-10-02,95.14,764081
2018-10-03,98.28,315588
2018-10-04,97.74,191403
2018-10-05,96.21,237832
2018-10-08,94.8,182173
2018-10-09,94.04,264347
2018-10-10,86.56,643566
2018-10-11,82.69,470966
2018-10-12,84.94,431103
2018-10-15,85.15,193414
2018-10-16,89.83,334476
2018-10-17,89.85,314476
2018-10-18,88.86,325783
2018-10-19,88.63,395213
2018-10-22,88.33,288371
2018-10-23,87.08,420855
2018-10-24,82.58,285088
2018-10-25,89.08,468818
2018-10-26,86.73,352292
2018-10-29,86.53,320953
2018-10-30,88.66,328896
2018-10-31,91.08,333575
2018-11-01,94.47,252134
2018-11-02,98.66,387657
2018-11-05,97.61,282316
2018-11-06,99.98,234364
2018-11-07,103.34,363325
2018-11-08,101.57,192953
2018-11-09,98.53,230944
2018-11-12,97.21,153565
2018-11-13,96.99,168450
2018-11-14,96.09,253009
2018-11-15,98.35,347150
2018-11-16,99.04,338449
2018-11-19,95.24,186243
2018-11-20,93.56,150398
2018-11-21,95.28,132153
2018-11-23,95.62,45190
2018-11-26,96.04,213876
2018-11-27,94.88,103470
2018-11-28,97.98,217116
2018-11-29,98.01,176887
2018-11-30,98.01,237660
2018-12-03,100.6,219934
2018-12-04,95.02,187612
2018-12-06,90.45,287312
2018-12-07,85.18,604335
2018-12-10,86.51,545407
2018-12-11,77.56,702495
2018-12-12,81.68,495282
2018-12-13,82.63,411645
2018-12-14,82.98,354457
2018-12-17,79.74,282853
2018-12-18,79.86,246379
2018-12-19,79.25,358108
2018-12-20,80.06,318413
2018-12-21,77.79,784261
2018-12-24,75.51,108295
2018-12-26,79.63,254144
2018-12-27,81.92,222969
2018-12-28,82.09,269315
2018-12-31,83.69,211361
2019-01-02,84.02,214232
2019-01-03,79.69,158737
2019-01-04,83.99,233165
2019-01-07,84.17,158216
2019-01-08,86.22,104538
2019-01-09,86.47,185833
2019-01-10,88.37,143415
2019-01-11,88.23,174781
2019-01-14,86.24,141295
2019-01-15,86.19,112996
2019-01-16,88.31,164247
2019-01-17,89.65,200182
2019-01-18,92.78,212710
2019-01-22,90.84,207948
2019-01-23,88.14,193355
2019-01-24,88.53,132844
2019-01-25,91.61,116297
2019-01-28,91.5,136496
2019-01-29,91.44,145765
2019-01-30,93.16,124366
2019-01-31,94.07,123768
2019-02-01,95.19,118914
2019-02-04,96.37,143623
2019-02-05,96.15,141732
2019-02-06,96.0,131558
2019-02-07,93.16,156324
2019-02-08,92.17,175925
2019-02-11,95.05,205189
2019-02-12,98.25,237550
2019-02-13,97.0,302711
2019-02-14,107.87,1131781
2019-02-15,111.18,490594
2019-02-19,113.1,363597
