date,close,volume
2018-04-25,8.25,26531
2018-04-26,8.1,18288
2018-04-27,7.9,42972
2018-04-30,7.65,24977
2018-05-01,7.75,28429
2018-05-02,7.65,26099
2018-05-03,7.55,38008
2018-05-04,7.5,61231
2018-05-07,7.8,34233
2018-05-08,7.8,16098
2018-05-09,7.3,73460
2018-05-10,7.4,23969
2018-05-11,7.35,23029
2018-05-14,7.35,22272
2018-05-15,7.25,16763
2018-05-16,7.5,26097
2018-05-17,9.5,212665
2018-05-18,9.6,113433
2018-05-21,9.3,43431
2018-05-22,9.4,54526
2018-05-23,9.9,76188
2018-05-24,9.55,41909
2018-05-25,9.65,28335
2018-05-29,9.8,39335
2018-05-30,9.35,62576
2018-05-31,9.25,59373
2018-06-01,9.35,39074
2018-06-04,9.1,35704
2018-06-05,9.65,100405
2018-06-06,9.7,46486
2018-06-07,9.65,40421
2018-06-08,9.45,25314
2018-06-11,9.65,30850
2018-06-12,9.6,18551
2018-06-13,9.45,16890
2018-06-14,9.55,34314
2018-06-15,9.45,37072
2018-06-18,9.35,34811
2018-06-19,9.2,43549
2018-06-20,9.25,9642
2018-06-21,8.95,62976
2018-06-22,9.35,51061
2018-06-25,8.9,12715
2018-06-26,8.7,18805
2018-06-27,8.55,23759
2018-06-28,8.6,12460
2018-06-29,8.7,15409
2018-07-02,8.65,10080
2018-07-03,8.95,20864
2018-07-05,9.1,14134
2018-07-06,9.45,24463
2018-07-09,9.3,21292
2018-07-10,9.05,20358
2018-07-11,8.85,12841
2018-07-12,8.8,41322
2018-07-13,8.8,12695
2018-07-16,8.65,17979
2018-07-17,8.35,40366
2018-07-18,8.45,11943
2018-07-19,8.7,12145
2018-07-20,8.55,33203
2018-07-23,8.35,9804
2018-07-24,8.65,26147
2018-07-25,8.45,11843
2018-07-26,8.55,37051
2018-07-27,8.45,21404
2018-07-30,8.55,12426
2018-07-31,8.55,4302
2018-08-01,8.85,19532
2018-08-02,8.6,8685
2018-08-03,8.65,12831
2018-08-06,9.1,17720
2018-08-07,8.95,16546
2018-08-08,8.65,100300
2018-08-09,8.5,14262
2018-08-10,8.45,13245
2018-08-13,8.1,14464
2018-08-14,7.9,27762
2018-08-15,7.6,17925
2018-08-16,7.5,13015
2018-08-17,7.65,16937
2018-08-20,7.55,23397
2018-08-21,7.7,38913
2018-08-22,7.75,65280
2018-08-23,7.95,25607
2018-08-24,8.2,18997
2018-08-27,8.3,22888
2018-08-28,8.25,12503
2018-08-29,8.35,8038
2018-08-30,8.15,16441
2018-08-31,7.9,14188
2018-09-04,7.8,16657
2018-09-05,7.65,12853
2018-09-06,7.55,14826
2018-09-07,7.45,9649
2018-09-10,7.45,3606
2018-09-11,6.9,42359
2018-09-12,7.0,35784
2018-09-13,6.9,9444
2018-09-14,6.9,9574
2018-09-17,6.8,7577
2018-09-18,6.7,21350
2018-09-19,6.8,8526
2018-09-20,6.75,19001
2018-09-21,6.5,56125
2018-09-24,6.45,23501
2018-09-25,6.35,26192
2018-09-26,5.95,37694
2018-09-27,5.95,31206
2018-09-28,6.0,22187
2018-10-01,6.29,36878
2018-10-02,6.62,47640
2018-10-03,6.76,9511
2018-10-04,6.6,16004
2018-10-05,6.31,32050
2018-10-08,6.53,8300
2018-10-09,6.43,32071
2018-10-10,6.35,12836
2018-10-11,6.25,18762
2018-10-12,6.16,22060
2018-10-15,6.04,18267
2018-10-16,6.19,12224
2018-10-17,5.94,10825
2018-10-18,5.7,23424
2018-10-19,5.65,11423
2018-10-22,5.71,7931
2018-10-23,5.56,10788
2018-10-24,5.12,21879
2018-10-25,5.33,26423
2018-10-26,5.43,29446
2018-10-29,5.4,14972
2018-10-30,5.28,13651
2018-10-31,5.3,7903
2018-11-01,5.58,10974
2018-11-02,5.52,13616
2018-11-05,5.55,13701
2018-11-06,5.56,8996
2018-11-07,5.39,10930
2018-11-08,4.93,30417
2018-11-09,4.76,6760
2018-11-12,4.94,14350
2018-11-13,4.95,10488
2018-11-14,4.92,11421
2018-11-15,4.88,20717
2018-11-16,4.91,10361
2018-11-19,4.56,22900
2018-11-20,4.43,9352
2018-11-21,5.01,13992
2018-11-23,4.91,7396
2018-11-26,4.75,12055
2018-11-27,4.33,18478
2018-11-28,4.55,13966
2018-11-29,4.34,16712
2018-11-30,4.24,43653
2018-12-03,4.31,11994
2018-12-04,4.04,21003
2018-12-06,3.86,19080
2018-12-07,3.88,19738
2018-12-10,3.89,23737
2018-12-11,3.42,60825
2018-12-12,3.91,43633
2018-12-13,3.63,48780
2018-12-14,3.55,18727
2018-12-17,3.22,34896
2018-12-18,3.23,35692
2018-12-19,3.55,54117
2018-12-20,3.52,14941
2018-12-21,3.13,176038
2018-12-24,3.15,51105
2018-12-26,3.14,74993
2018-12-27,3.09,67810
2018-12-28,3.3,59973
2018-12-31,3.51,54584
2019-01-02,3.54,21884
2019-01-03,3.49,12632
2019-01-04,3.7,14813
2019-01-07,3.78,18465
2019-01-08,4.02,24647
2019-01-09,4.03,25286
2019-01-10,4.2,43012
2019-01-11,4.11,16695
2019-01-14,4.06,16528
2019-01-15,4.11,22793
2019-01-16,4.21,23561
2019-01-17,4.48,30419
2019-01-18,4.46,32544
2019-01-22,4.2,11940
2019-01-23,4.21,25442
2019-01-24,4.12,13440
2019-01-25,4.18,9456
2019-01-28,3.94,21513
2019-01-29,4.0,9926
2019-01-30,4.02,9961
2019-01-31,3.79,20294
2019-02-01,3.8,15905
2019-02-04,3.87,13261
2019-02-05,3.98,20014
2019-02-06,3.9,6012
2019-02-07,3.71,28953
2019-02-08,3.72,11028
2019-02-11,3.69,11281
2019-02-12,3.89,20722
2019-02-13,4.3,21222
2019-02-14,4.47,21887
2019-02-15,4.63,23211
2019-02-19,4.44,12193
2019-02-20,4.41,10322
2019-02-21,4.36,8220
2019-02-22,4.45,15608
2019-02-25,4.35,11497
2019-02-26,4.29,12519
2019-02-27,4.38,5553
2019-02-28,4.33,15675
2019-03-01,4.07,18751
2019-03-04,4.29,8261
