date,close,volume
2018-04-25,13.27,4457
2018-04-26,13.32,2233
2018-04-27,13.6,3262
2018-04-30,13.6,88
2018-05-01,13.5,3486
2018-05-02,13.73,159
2018-05-03,13.55,604
2018-05-04,13.56,1400
2018-05-07,13.54,2649
2018-05-08,13.54,1
2018-05-09,13.5,6473
2018-05-10,13.5,0
2018-05-11,13.5,2701
2018-05-14,13.45,0
2018-05-15,13.25,1390
2018-05-16,13.37,294
2018-05-17,13.33,4200
2018-05-18,13.34,200
2018-05-21,13.34,96
2018-05-22,13.45,520
2018-05-23,13.41,3202
2018-05-24,13.34,3196
2018-05-25,13.32,555
2018-05-29,13.35,153
2018-05-30,13.29,8029
2018-05-31,13.34,1847
2018-06-01,13.33,1684
2018-06-04,13.33,2657
2018-06-05,13.25,7300
2018-06-06,13.25,115
2018-06-07,13.18,3179
2018-06-08,13.2,6491
2018-06-11,13.24,1340
2018-06-12,13.19,4166
2018-06-13,13.1,10831
2018-06-14,13.09,801
2018-06-15,13.09,0
2018-06-18,13.07,3892
2018-06-19,13.1,330
2018-06-20,13.09,1222
2018-06-21,13.11,5409
2018-06-22,13.1,913
2018-06-25,13.1,304
2018-06-26,13.1,0
2018-06-27,13.09,2001
2018-06-28,13.14,2398
2018-06-29,13.09,7788
2018-07-02,13.2,6084
2018-07-03,13.13,3032
2018-07-05,13.1,402
2018-07-06,13.05,401
2018-07-09,13.05,0
2018-07-10,13.0,6721
2018-07-11,13.0,114
2018-07-12,12.99,8744
2018-07-13,12.91,4418
2018-07-16,12.95,705
2018-07-17,12.95,0
2018-07-18,12.89,600
2018-07-19,13.16,2603
2018-07-20,13.16,1
2018-07-23,12.88,2637
2018-07-24,12.92,1169
2018-07-25,12.88,13824
2018-07-26,12.95,2000
2018-07-27,12.95,1093
2018-07-30,12.98,1816
2018-07-31,12.92,10409
2018-08-01,12.89,5512
2018-08-02,12.98,3801
2018-08-03,12.95,2250
2018-08-06,12.9,3532
2018-08-07,12.9,2251
2018-08-08,12.87,1001
2018-08-09,12.87,0
2018-08-10,12.87,0
2018-08-13,12.93,2716
2018-08-14,12.94,6969
2018-08-15,13.0,375
2018-08-16,12.92,1317
2018-08-17,12.68,20926
2018-08-20,12.75,2023
2018-08-21,12.74,2788
2018-08-22,12.75,2426
2018-08-23,12.67,1566
2018-08-24,12.7,200
2018-08-27,12.72,2455
2018-08-28,12.47,21741
2018-08-29,12.35,21254
2018-08-30,12.44,5117
2018-08-31,12.45,4342
2018-09-04,12.41,3319
2018-09-05,12.45,3101
2018-09-06,12.38,2219
2018-09-07,12.45,2193
2018-09-10,12.36,7002
2018-09-11,12.37,7197
2018-09-12,12.41,245
2018-09-13,12.31,5223
2018-09-14,12.33,1325
2018-09-17,12.31,4319
2018-09-18,12.32,4340
2018-09-19,12.32,2633
2018-09-20,12.3,1554
2018-09-21,12.35,693
2018-09-24,12.28,3215
2018-09-25,12.21,5100
2018-09-26,12.26,531
2018-09-27,12.37,4858
2018-09-28,12.34,5809
2018-10-01,12.22,4121
2018-10-02,12.21,5867
2018-10-03,12.24,5413
2018-10-04,12.17,5857
2018-10-05,12.2,1300
2018-10-08,12.17,1250
2018-10-09,12.19,2200
2018-10-10,12.07,7084
2018-10-11,12.05,2873
2018-10-12,12.1,5506
2018-10-15,12.17,1115
2018-10-16,12.03,7487
2018-10-17,12.11,1151
2018-10-18,12.2,4174
2018-10-19,11.99,1041
2018-10-22,11.98,1940
2018-10-23,11.97,5580
