date,close,volume
2018-04-25,79.05,78570
2018-04-26,79.1,82871
2018-04-27,78.0,40043
2018-04-30,78.0,140612
2018-05-01,78.3,152316
2018-05-02,78.75,112060
2018-05-03,78.65,56568
2018-05-04,79.45,45265
2018-05-07,79.9,86868
2018-05-08,79.9,88094
2018-05-09,79.5,63102
2018-05-10,79.0,201189
2018-05-11,80.75,66062
2018-05-14,80.0,74476
2018-05-15,80.2,65284
2018-05-16,81.15,69347
2018-05-17,81.2,104885
2018-05-18,81.7,65518
2018-05-21,82.45,54768
2018-05-22,83.55,212307
2018-05-23,82.8,62525
2018-05-24,82.8,31533
2018-05-25,81.45,83322
2018-05-29,81.0,87953
2018-05-30,82.05,59166
2018-05-31,81.15,93103
2018-06-01,81.65,72403
2018-06-04,82.5,66548
2018-06-05,82.95,45764
2018-06-06,83.1,88592
2018-06-07,82.75,76477
2018-06-08,82.9,40748
2018-06-11,83.45,52359
2018-06-12,83.4,46086
2018-06-13,82.6,72200
2018-06-14,83.65,58206
2018-06-15,84.1,126340
2018-06-18,84.8,45862
2018-06-19,85.2,67960
2018-06-20,85.2,60940
2018-06-21,84.6,86338
2018-06-22,84.35,89137
2018-06-25,84.2,71124
2018-06-26,84.55,57437
2018-06-27,84.55,54281
2018-06-28,84.95,54145
2018-06-29,84.85,159904
2018-07-02,84.95,61479
2018-07-03,84.9,26034
2018-07-05,86.2,47507
2018-07-06,86.7,32900
2018-07-09,88.15,54132
2018-07-10,87.2,57234
2018-07-11,86.6,43936
2018-07-12,87.0,58958
2018-07-13,87.05,27822
2018-07-16,86.3,42079
2018-07-17,86.75,65424
2018-07-18,87.0,37677
2018-07-19,88.35,43768
2018-07-20,88.0,52729
2018-07-23,87.4,55516
2018-07-24,87.5,67606
2018-07-25,86.95,40810
2018-07-26,88.85,49014
2018-07-27,87.35,53779
2018-07-30,87.85,39766
2018-07-31,87.8,120320
2018-08-01,87.2,75155
2018-08-02,88.95,47147
2018-08-03,89.4,49435
2018-08-06,88.7,62396
2018-08-07,88.45,52197
2018-08-08,89.35,82309
2018-08-09,89.2,70918
2018-08-10,88.15,59952
2018-08-13,88.4,62822
2018-08-14,88.95,56985
2018-08-15,88.65,47416
2018-08-16,89.3,77296
2018-08-17,89.6,60387
2018-08-20,89.35,61778
2018-08-21,90.1,107704
2018-08-22,90.0,62430
2018-08-23,88.95,56269
2018-08-24,89.45,44969
2018-08-27,89.35,49033
2018-08-28,89.8,38404
2018-08-29,90.45,58704
2018-08-30,90.9,81346
2018-08-31,91.25,91419
2018-09-04,91.1,80924
2018-09-05,91.85,50242
2018-09-06,91.85,68702
2018-09-07,91.65,57984
2018-09-10,91.75,55694
2018-09-11,91.9,55466
2018-09-12,93.95,89820
2018-09-13,93.85,152008
2018-09-14,95.6,96902
2018-09-17,95.95,75878
2018-09-18,94.55,128239
2018-09-19,93.15,81898
2018-09-20,93.45,39687
2018-09-21,92.1,154415
