date,close,volume
2018-04-25,78.29,134049
2018-04-26,77.0,166728
2018-04-27,76.06,185087
2018-04-30,75.15,106379
2018-05-01,74.66,215967
2018-05-02,73.97,242223
2018-05-03,67.19,636705
2018-05-04,69.2,326987
2018-05-07,70.44,236929
2018-05-08,71.74,189516
2018-05-09,72.23,163403
2018-05-10,72.89,138622
2018-05-11,72.83,77980
2018-05-14,72.57,88648
2018-05-15,72.43,136484
2018-05-16,73.07,183750
2018-05-17,74.6,342764
2018-05-18,74.48,112649
2018-05-21,75.22,144101
2018-05-22,74.84,271119
2018-05-23,74.69,225769
2018-05-24,75.26,129030
2018-05-25,75.43,245535
2018-05-29,75.15,255143
2018-05-30,76.29,202061
2018-05-31,73.66,118750
2018-06-01,72.59,161197
2018-06-04,72.75,177232
2018-06-05,73.73,107090
2018-06-06,74.33,232104
2018-06-07,74.55,168281
2018-06-08,75.02,161671
2018-06-11,75.46,172501
2018-06-12,76.33,143921
2018-06-13,76.1,191442
2018-06-14,76.21,118405
2018-06-15,75.52,276026
2018-06-18,74.71,172178
2018-06-19,73.58,160062
2018-06-20,73.21,190488
2018-06-21,71.17,168831
2018-06-22,69.75,554761
2018-06-25,70.46,168513
2018-06-26,72.07,190093
2018-06-27,70.28,133247
2018-06-28,70.41,88278
2018-06-29,69.95,99469
2018-07-02,70.29,141218
2018-07-03,70.77,99244
2018-07-05,72.33,150778
2018-07-06,72.42,94100
2018-07-09,73.54,89932
2018-07-10,73.02,77726
2018-07-11,72.31,125780
2018-07-12,72.28,110161
2018-07-13,73.18,70643
2018-07-16,72.06,151909
2018-07-17,71.87,104781
2018-07-18,72.62,127113
2018-07-19,73.29,112411
2018-07-20,73.45,66048
2018-07-23,72.43,133201
2018-07-24,72.55,118569
2018-07-25,72.71,75897
2018-07-26,74.27,97607
2018-07-27,73.82,88790
2018-07-30,74.48,104507
2018-07-31,76.39,165327
2018-08-01,75.07,153002
2018-08-02,70.13,822153
2018-08-03,72.13,343607
2018-08-06,74.6,192783
2018-08-07,75.99,195872
2018-08-08,74.25,193225
2018-08-09,73.08,254456
2018-08-10,72.61,140359
2018-08-13,72.16,261101
2018-08-14,72.6,88089
2018-08-15,72.7,196637
2018-08-16,74.06,90362
2018-08-17,75.0,128070
2018-08-20,74.91,69475
2018-08-21,76.18,102525
2018-08-22,75.42,75763
2018-08-23,74.34,81148
2018-08-24,75.34,53038
2018-08-27,75.64,98882
2018-08-28,74.93,39212
2018-08-29,75.34,52013
