date,close,volume
2018-04-25,34.15,24125
2018-04-26,34.25,12686
2018-04-27,33.45,10892
2018-04-30,32.7,36543
2018-05-01,35.05,55976
2018-05-02,35.1,14088
2018-05-03,34.6,45934
2018-05-04,34.5,25991
2018-05-07,34.3,25961
2018-05-08,33.6,18843
2018-05-09,33.45,78615
2018-05-10,34.15,78336
2018-05-11,34.35,19433
2018-05-14,34.45,60811
2018-05-15,34.5,18986
2018-05-16,34.65,24594
2018-05-17,34.85,55117
2018-05-18,34.5,48940
2018-05-21,34.75,36608
2018-05-22,34.1,22619
2018-05-23,34.55,28543
2018-05-24,34.6,20179
2018-05-25,34.65,13418
2018-05-29,34.2,16638
2018-05-30,34.9,24191
2018-05-31,34.45,25332
2018-06-01,36.15,32278
2018-06-04,36.9,15044
2018-06-05,37.45,19025
2018-06-06,37.95,20507
2018-06-07,37.25,14377
2018-06-08,37.3,16327
2018-06-11,37.2,17240
2018-06-12,37.15,29658
2018-06-13,36.55,12854
2018-06-14,37.3,20042
2018-06-15,36.8,45810
2018-06-18,37.55,15900
2018-06-19,37.9,17870
2018-06-20,38.35,25829
2018-06-21,37.05,19616
2018-06-22,38.0,142273
2018-06-25,37.9,25681
2018-06-26,37.95,29656
2018-06-27,37.3,14290
2018-06-28,37.85,13393
2018-06-29,37.4,24782
2018-07-02,38.0,22048
2018-07-03,37.95,13718
2018-07-05,37.85,36227
2018-07-06,37.95,30477
2018-07-09,37.8,25208
2018-07-10,36.75,16973
2018-07-11,36.1,20684
2018-07-12,35.8,37016
2018-07-13,35.8,44382
2018-07-16,35.8,70551
2018-07-17,35.9,43576
2018-07-18,36.05,68142
2018-07-19,36.05,49575
2018-07-20,36.4,44869
2018-07-23,36.9,50561
2018-07-24,36.2,30891
2018-07-25,35.8,40322
2018-07-26,35.95,58328
2018-07-27,36.75,34021
2018-07-30,37.45,92124
2018-07-31,37.95,35939
2018-08-01,37.95,31214
2018-08-02,38.0,31831
2018-08-03,37.45,17853
2018-08-06,38.0,39831
2018-08-07,38.0,41313
2018-08-08,37.9,32449
2018-08-09,37.9,13411
2018-08-10,37.9,17959
2018-08-13,38.0,98495
2018-08-14,37.9,23383
2018-08-15,37.5,20033
2018-08-16,37.9,10262
2018-08-17,37.9,18905
2018-08-20,37.95,26309
2018-08-21,37.9,43481
2018-08-22,39.7,210360
2018-08-23,40.0,36709
