date,close,volume
2019-04-10,48.97,1
2019-04-11,48.81,0
2019-04-12,45.01,0
2019-04-15,45.87,0
2019-04-16,45.28,0
2019-04-17,45.17,0
2019-04-18,45.23,0
2019-04-22,43.67,0
2019-04-23,43.83,0
2019-04-24,44.69,0
2019-04-25,44.55,0
2019-04-26,45.69,400
2019-04-29,45.71,0
2019-04-30,45.76,0
2019-05-01,47.5,500
2019-05-02,49.41,0
2019-05-03,48.19,200
2019-05-06,48.29,0
2019-05-07,49.06,0
2019-05-08,49.37,0
2019-05-09,50.61,0
2019-05-10,50.41,100
2019-05-13,52.09,900
2019-05-14,50.79,600
2019-05-15,50.54,400
2019-05-16,49.68,0
2019-05-17,50.86,0
2019-05-20,50.81,0
2019-05-21,49.55,200
2019-05-22,51.14,1600
2019-05-23,54.69,200
2019-05-24,54.15,0
2019-05-28,55.08,0
2019-05-29,55.58,0
2019-05-30,57.46,0
2019-05-31,59.63,0
2019-06-03,58.43,900
2019-06-04,56.53,500
2019-06-05,58.44,0
2019-06-06,56.26,500
2019-06-07,56.31,400
2019-06-10,55.68,0
2019-06-11,55.31,200
2019-06-12,56.68,500
2019-06-13,55.31,700
2019-06-14,55.59,400
2019-06-17,54.84,200
2019-06-18,53.24,0
2019-06-19,53.21,200
2019-06-20,50.38,0
2019-06-21,50.01,0
2019-06-24,51.22,0
2019-06-25,51.73,0
2019-06-26,48.99,2
2019-06-27,49.88,200
2019-06-28,48.65,1000
2019-07-01,48.94,0
2019-07-02,51.1,900
2019-07-03,50.47,0
2019-07-05,50.38,0
2019-07-08,50.23,0
2019-07-09,50.25,0
2019-07-10,48.91,0
2019-07-11,48.52,1
2019-07-12,47.86,200
2019-07-15,48.75,1
2019-07-16,49.11,0
2019-07-17,50.07,202
2019-07-18,49.81,200
2019-07-19,48.95,200
2019-07-22,48.84,0
2019-07-23,48.63,2
2019-07-24,48.04,0
2019-07-25,49.68,0
2019-07-26,49.65,0
2019-07-29,50.12,0
2019-07-30,48.7,2
2019-07-31,49.22,0
2019-08-01,51.01,400
2019-08-02,52.64,400
2019-08-05,56.48,0
2019-08-06,57.02,0
2019-08-07,58.05,0
2019-08-08,54.75,2
2019-08-09,55.75,0
2019-08-12,57.98,1300
2019-08-13,56.64,0
2019-08-14,60.76,200
2019-08-15,60.66,600
2019-08-16,58.82,800
2019-08-19,55.64,7627
2019-08-20,57.07,100
2019-08-21,56.01,100
2019-08-22,56.92,0
2019-08-23,62.04,700
2019-08-26,61.26,100
2019-08-27,62.35,0
2019-08-28,60.18,1
2019-08-29,57.81,204
2019-08-30,57.44,0
2019-09-03,57.82,1
2019-09-04,56.03,0
2019-09-05,54.33,0
2019-09-06,53.97,0
2019-09-09,52.02,0
2019-09-10,50.73,0
2019-09-11,50.22,0
2019-09-12,51.13,0
2019-09-13,50.39,0
2019-09-16,46.36,0
2019-09-17,48.01,0
2019-09-18,48.58,0
2019-09-19,48.72,0
2019-09-20,48.44,0
2019-09-23,48.42,0
2019-09-24,49.59,0
2019-09-25,49.11,102
2019-09-26,50.34,0
2019-09-27,50.38,0
2019-09-30,51.08,0
2019-10-01,52.88,0
2019-10-02,55.52,0
2019-10-03,53.92,2
2019-10-04,52.87,0
2019-10-07,53.34,0
2019-10-08,54.78,0
2019-10-09,53.12,100
2019-10-10,51.32,100
2019-10-11,49.88,100
2019-10-14,50.44,0
2019-10-15,49.9,0
2019-10-16,51.3,0
2019-10-17,51.07,0
2019-10-18,51.44,54
2019-10-21,49.7,0
2019-10-22,47.94,0
2019-10-23,47.54,0
2019-10-24,47.23,0
2019-10-25,46.11,0
2019-10-28,46.63,0
2019-10-29,45.8,0
2019-10-30,48.36,0
2019-10-31,48.92,0
2019-11-01,46.0,100
2019-11-04,43.68,0
2019-11-05,43.63,0
2019-11-06,45.53,900
2019-11-07,43.69,1300
2019-11-08,43.69,0
2019-11-11,44.34,0
2019-11-12,44.84,0
2019-11-13,45.6,1
2019-11-14,45.96,0
2019-11-15,45.24,0
2019-11-18,46.06,0
2019-11-19,47.58,0
2019-11-20,46.69,400
2019-11-21,45.37,0
2019-11-22,46.21,0
2019-11-25,45.93,0
2019-11-26,47.15,0
2019-11-27,47.0,0
2019-11-29,48.07,0
2019-12-02,48.16,0
2019-12-03,49.83,0
2019-12-04,48.06,0
2019-12-05,48.92,200
2019-12-06,46.7,0
2019-12-09,47.46,0
2019-12-10,47.1,100
2019-12-11,47.59,0
2019-12-12,45.42,200
2019-12-13,46.23,2
2019-12-16,44.44,0
2019-12-17,44.23,0
2019-12-18,43.93,0
2019-12-19,44.1,0
2019-12-20,43.15,0
2019-12-23,42.48,0
2019-12-24,42.3,0
2019-12-26,42.34,3000
2019-12-27,42.7,1100
2019-12-30,43.11,0
2019-12-31,42.4,0
2020-01-02,41.21,0
2020-01-03,41.58,0
2020-01-06,40.58,1
2020-01-07,40.57,1
2020-01-08,41.82,100
2020-01-09,41.08,0
2020-01-10,41.33,1
2020-01-13,41.42,0
2020-01-14,41.15,0
2020-01-15,41.85,0
2020-01-16,41.96,0
2020-01-17,42.53,0
2020-01-21,43.86,0
2020-01-22,44.87,0
2020-01-23,45.63,0
2020-01-24,46.65,0
2020-01-27,49.63,0
2020-01-28,48.87,0
2020-01-29,50.37,0
2020-01-30,49.57,0
2020-01-31,52.69,0
2020-02-03,54.68,0
2020-02-04,54.02,0
2020-02-05,49.7,2
2020-02-06,50.82,0
2020-02-07,51.83,0
2020-02-10,52.48,1200
2020-02-11,50.98,200
2020-02-12,49.03,200
2020-02-13,49.13,1098
2020-02-14,49.76,0
2020-02-18,50.62,0
2020-02-19,48.42,0
2020-02-20,47.71,0
2020-02-21,48.83,0
2020-02-24,53.6,2
2020-02-25,58.8,100
2020-02-26,62.85,1
2020-02-27,69.92,100
2020-02-28,69.17,4
2020-03-02,66.11,102
2020-03-03,69.03,100
2020-03-04,66.8,0
2020-03-05,73.03,600
2020-03-06,81.65,0
2020-03-09,118.82,272
2020-03-10,101.99,1297
2020-03-11,119.01,3218
2020-03-12,152.0,2094
2020-03-13,149.84,11981
2020-03-16,132.52,1379
2020-03-17,157.49,647
2020-03-18,186.93,428
2020-03-19,168.3,24
2020-03-20,155.74,181
2020-03-23,178.45,1998
2020-03-24,130.77,1633
2020-03-25,110.61,1398
2020-03-26,97.82,930
2020-03-27,109.56,12
2020-03-30,108.16,0
2020-03-31,104.67,3902
2020-04-01,117.72,416
2020-04-02,95.98,1501
2020-04-03,98.96,214
2020-04-06,87.31,653
2020-04-07,84.57,15
2020-04-08,71.08,1
2020-04-09,72.67,97
2020-04-13,73.6,0
2020-04-14,74.37,0
2020-04-15,83.88,5013
2020-04-16,93.15,10
2020-04-17,70.78,203
2020-04-20,75.62,511
2020-04-21,77.61,116
2020-04-22,70.05,304
2020-04-23,65.35,50
2020-04-24,66.69,168
2020-04-27,61.12,0
2020-04-28,57.01,458
2020-04-29,44.73,60
2020-04-30,47.07,50
2020-05-01,54.43,1074
2020-05-04,49.26,165
2020-05-05,49.09,0
2020-05-06,52.5,0
2020-05-07,49.28,525
2020-05-08,44.03,0
2020-05-11,45.4,204
2020-05-12,47.66,300
2020-05-13,52.16,218
2020-05-14,51.6,637
2020-05-15,51.17,0
2020-05-18,41.11,7
2020-05-19,43.47,162
2020-05-20,40.01,31
2020-05-21,41.3,21
2020-05-22,41.78,17
2020-05-26,39.85,0
2020-05-27,38.83,62
2020-05-28,41.07,109
2020-05-29,42.12,3
2020-06-01,40.22,0
