date,close,volume
2018-04-25,21.2,42080
2018-04-26,21.24,59122
2018-04-27,21.16,34970
2018-04-30,21.05,65341
2018-05-01,20.83,63002
2018-05-02,20.18,142217
2018-05-03,20.47,81164
2018-05-04,20.71,64131
2018-05-07,20.61,25147
2018-05-08,20.39,72585
2018-05-09,20.05,74110
2018-05-10,20.25,56260
2018-05-11,20.31,30549
2018-05-14,20.28,51509
2018-05-15,20.43,26949
2018-05-16,20.66,61456
2018-05-17,20.68,56398
2018-05-18,20.68,49160
2018-05-21,20.68,45422
2018-05-22,20.68,46466
2018-05-23,20.53,71470
2018-05-24,20.41,34429
2018-05-25,20.38,37946
2018-05-29,20.17,83948
2018-05-30,20.06,78906
2018-05-31,19.84,67143
2018-06-01,19.8,27404
2018-06-04,20.08,53333
2018-06-05,19.84,37205
2018-06-06,19.93,45209
2018-06-07,20.07,33799
2018-06-08,20.0,56210
2018-06-11,20.13,67870
2018-06-12,20.02,72528
2018-06-13,20.05,49426
2018-06-14,19.92,45028
2018-06-15,19.77,81772
2018-06-18,19.66,47558
2018-06-19,19.65,71586
2018-06-20,19.55,87256
2018-06-21,19.48,52478
2018-06-22,19.57,91962
2018-06-25,19.36,69531
2018-06-26,19.48,79136
2018-06-27,19.41,80180
2018-06-28,19.41,79124
2018-06-29,19.43,36173
2018-07-02,18.96,96395
2018-07-03,18.83,37171
2018-07-05,18.89,52689
2018-07-06,19.01,45413
2018-07-09,18.2,178145
2018-07-10,18.67,214968
2018-07-11,18.21,96212
2018-07-12,18.16,126596
2018-07-13,18.19,103276
2018-07-16,18.2,144090
2018-07-17,18.39,180662
2018-07-18,18.39,106204
2018-07-19,18.39,147074
2018-07-20,18.41,65751
2018-07-23,18.44,40112
2018-07-24,18.64,124900
2018-07-25,18.64,103903
2018-07-26,18.58,85238
2018-07-27,18.66,114908
2018-07-30,18.87,61538
2018-07-31,18.91,36070
2018-08-01,18.77,136722
2018-08-02,18.77,47219
2018-08-03,18.74,40680
2018-08-06,18.83,46820
2018-08-07,18.95,67597
2018-08-08,18.92,59754
2018-08-09,18.72,41933
2018-08-10,18.67,67520
2018-08-13,18.71,90614
2018-08-14,18.65,69586
2018-08-15,18.57,84616
2018-08-16,18.77,58165
2018-08-17,18.74,101587
2018-08-20,18.88,69834
2018-08-21,19.01,83582
2018-08-22,19.14,55272
