date,close,volume
2018-04-25,3.19,974
2018-04-26,3.16,4092
2018-04-27,3.21,788
2018-04-30,3.21,161
2018-05-01,3.32,1511
2018-05-02,3.29,1238
2018-05-03,3.25,101
2018-05-04,3.13,128
2018-05-07,3.2,68047
2018-05-08,3.34,27855
2018-05-09,3.29,3909
2018-05-10,3.29,5885
2018-05-11,3.33,11634
2018-05-14,3.15,4515
2018-05-15,3.19,3502
2018-05-16,3.21,1242
2018-05-17,3.21,0
2018-05-18,3.21,37
2018-05-21,3.23,2351
2018-05-22,3.15,210
2018-05-23,3.16,10367
2018-05-24,3.14,7065
2018-05-25,3.17,433
2018-05-29,3.16,215
2018-05-30,3.08,2713
2018-05-31,3.14,3515
2018-06-01,3.24,3670
2018-06-04,3.18,1370
2018-06-05,3.18,0
2018-06-06,3.17,1581
2018-06-07,3.23,1414
2018-06-08,3.23,7365
2018-06-11,3.22,2482
2018-06-12,3.22,55604
2018-06-13,3.26,1926
2018-06-14,3.24,13925
2018-06-15,3.23,574
2018-06-18,3.23,0
2018-06-19,3.23,7595
2018-06-20,3.24,3401
2018-06-21,3.23,4409
2018-06-22,3.44,3335
2018-06-25,3.48,8901
2018-06-26,3.3,20012
2018-06-27,3.39,1607
2018-06-28,3.63,9320
2018-06-29,3.42,1525
2018-07-02,3.48,1600
2018-07-03,3.53,1520
2018-07-05,3.47,1506
2018-07-06,3.5,1560
2018-07-09,3.42,1438
2018-07-10,3.42,50
2018-07-11,3.39,1347
2018-07-12,3.58,15420
2018-07-13,3.27,15556
2018-07-16,3.31,530
2018-07-17,3.31,21
2018-07-18,3.43,563
2018-07-19,3.38,1117
2018-07-20,3.38,12
2018-07-23,3.21,3836
2018-07-24,3.33,433
2018-07-25,3.31,1415
2018-07-26,3.47,381
2018-07-27,3.31,2102
2018-07-30,3.48,274
2018-07-31,3.33,3047
2018-08-01,6.34,1407723
2018-08-02,4.56,2307155
2018-08-03,4.24,633632
2018-08-06,3.83,187023
2018-08-07,3.72,66587
2018-08-08,3.66,52515
2018-08-09,3.76,196213
2018-08-10,3.7,67502
2018-08-13,3.7,29009
2018-08-14,3.64,69262
2018-08-15,3.94,262399
2018-08-16,3.96,75297
2018-08-17,4.12,66595
2018-08-20,4.0,61810
2018-08-21,4.01,13944
2018-08-22,3.94,1055
2018-08-23,4.0,51434
2018-08-24,4.3,177912
2018-08-27,4.22,32497
2018-08-28,4.29,6515
2018-08-29,4.3,14389
2018-08-30,4.39,37702
2018-08-31,4.26,14205
2018-09-04,4.23,11763
2018-09-05,4.29,9913
2018-09-06,4.18,19547
2018-09-07,4.04,9891
2018-09-10,4.02,16250
2018-09-11,4.05,8222
2018-09-12,4.15,8111
2018-09-13,4.03,14388
2018-09-14,4.03,560
2018-09-17,4.19,6378
2018-09-18,4.25,12548
2018-09-19,4.11,20106
2018-09-20,4.18,11738
2018-09-21,4.1,15130
2018-09-24,4.08,3324
2018-09-25,4.1,52497
2018-09-26,4.1,11496
2018-09-27,4.12,12406
2018-09-28,4.1,2110
2018-10-01,4.09,3315
2018-10-02,4.11,5006
2018-10-03,4.21,5086
2018-10-04,4.1,7284
2018-10-05,4.07,26070
2018-10-08,4.09,5187
2018-10-09,4.12,7413
2018-10-10,4.09,11741
2018-10-11,4.01,17017
2018-10-12,4.18,6487
2018-10-15,3.96,1066
2018-10-16,4.08,1629
2018-10-17,4.15,2423
2018-10-18,4.29,7065
2018-10-19,4.36,22204
2018-10-22,4.4,1595
2018-10-23,4.36,6977
2018-10-24,4.48,15096
2018-10-25,4.41,1231
2018-10-26,4.32,1611
2018-10-29,4.35,6901
2018-10-30,4.26,2106
2018-10-31,4.35,362
2018-11-01,4.35,12318
2018-11-02,4.28,7914
2018-11-05,4.38,8850
2018-11-06,4.58,4255
2018-11-07,4.75,14361
2018-11-08,4.65,6815
2018-11-09,4.65,8077
2018-11-12,4.7,1037
2018-11-13,4.64,4144
2018-11-14,4.69,7967
2018-11-15,4.89,23566
2018-11-16,4.94,60139
2018-11-19,5.45,26736
2018-11-20,4.91,2491
2018-11-21,4.82,5474
2018-11-23,4.84,270
2018-11-26,4.66,2908
2018-11-27,4.68,9107
2018-11-28,4.77,6142
2018-11-29,4.82,10220
2018-11-30,5.15,42375
2018-12-03,5.1,5376
2018-12-04,4.73,13549
2018-12-06,5.02,923
2018-12-07,4.72,9311
2018-12-10,4.57,3617
2018-12-11,4.48,5039
2018-12-12,4.23,6214
2018-12-13,4.28,3580
2018-12-14,4.28,3
2018-12-17,4.19,1832
2018-12-18,4.11,2790
2018-12-19,3.95,912
2018-12-20,3.98,10162
2018-12-21,3.71,6205
2018-12-24,3.52,991
2018-12-26,3.56,4717
2018-12-27,3.52,9068
2018-12-28,3.58,5237
2018-12-31,3.55,3885
2019-01-02,3.96,2680
2019-01-03,4.2,10874
2019-01-04,4.16,1463
2019-01-07,4.47,3838
2019-01-08,4.03,4330
2019-01-09,4.23,109
2019-01-10,4.29,1970
2019-01-11,4.22,2607
2019-01-14,4.18,3451
2019-01-15,4.14,761
2019-01-16,4.27,408
2019-01-17,4.3,2075
2019-01-18,4.32,1287
2019-01-22,4.3,737
2019-01-23,4.25,3488
2019-01-24,4.17,6148
2019-01-25,4.35,6694
2019-01-28,4.17,4766
2019-01-29,4.16,11947
2019-01-30,4.17,11314
2019-01-31,4.27,325
2019-02-01,4.27,131
2019-02-04,4.31,1455
2019-02-05,4.25,719
2019-02-06,4.21,16901
2019-02-07,4.21,3372
2019-02-08,4.3,515
2019-02-11,4.59,87882
2019-02-12,4.7,40350
2019-02-13,4.91,32367
2019-02-14,4.92,23017
2019-02-15,4.68,19991
2019-02-19,4.69,29905
2019-02-20,4.62,10827
2019-02-21,4.85,19046
2019-02-22,4.7,3926
2019-02-25,4.66,1952
2019-02-26,4.62,1257
2019-02-27,4.64,25582
2019-02-28,4.6,9515
2019-03-01,4.7,2775
2019-03-04,4.69,6250
2019-03-05,4.67,9057
2019-03-06,4.66,2624
2019-03-07,4.92,21922
2019-03-08,4.75,4832
2019-03-11,4.72,7964
2019-03-12,4.9,4257
2019-03-13,4.81,577
2019-03-14,4.9,199
2019-03-15,4.77,555
2019-03-18,4.74,5306
2019-03-19,4.88,3040
2019-03-20,4.77,2066
2019-03-21,4.87,707
2019-03-22,4.76,432
2019-03-25,4.85,7031
2019-03-26,4.74,8834
2019-03-27,4.63,6403
2019-03-28,4.65,1876
2019-03-29,4.73,1302
2019-04-01,4.7,16741
2019-04-02,4.28,13370
2019-04-03,4.1,5135
2019-04-04,4.13,1530
2019-04-05,4.44,3084
2019-04-08,4.24,1743
2019-04-09,4.29,4930
2019-04-10,4.38,3091
2019-04-11,4.28,5962
2019-04-12,4.25,1610
2019-04-15,4.24,3382
2019-04-16,4.28,1478
2019-04-17,4.18,3244
2019-04-18,4.15,4349
2019-04-22,4.12,2372
2019-04-23,4.13,4412
2019-04-24,4.03,10058
2019-04-25,4.03,610
2019-04-26,4.27,11500
2019-04-29,4.03,7450
2019-04-30,4.17,233
2019-05-01,4.15,4463
2019-05-02,4.12,4924
2019-05-03,4.02,24378
2019-05-06,4.0,16775
2019-05-07,4.0,4036
2019-05-08,3.89,10063
2019-05-09,3.81,4922
2019-05-10,3.98,1831
2019-05-13,3.84,44078
2019-05-14,4.06,10607
2019-05-15,4.12,10796
2019-05-16,3.87,14005
2019-05-17,3.98,758
2019-05-20,4.2,11049
2019-05-21,4.13,8938
2019-05-22,4.13,372
2019-05-23,4.13,1
2019-05-24,4.14,2064
2019-05-28,4.09,143
2019-05-29,4.01,361
2019-05-30,4.01,21
2019-05-31,4.01,64
2019-06-03,4.01,35
2019-06-04,3.85,33791
2019-06-05,4.04,1415
2019-06-06,4.0,408
2019-06-07,4.0,36
2019-06-10,3.92,31623
2019-06-11,3.82,6023
2019-06-12,3.87,8813
2019-06-13,3.99,6280
2019-06-14,3.93,10730
2019-06-17,3.96,3213
2019-06-18,3.9,4663
2019-06-19,3.78,700
2019-06-20,3.78,0
2019-06-21,4.0,4504
2019-06-24,4.02,617
2019-06-25,4.02,62
2019-06-26,4.07,7073
2019-06-27,4.02,2171
2019-06-28,4.02,0
2019-07-01,4.16,689
2019-07-02,4.0,894
2019-07-03,4.0,0
2019-07-05,4.0,12
2019-07-08,4.0,26
2019-07-09,3.85,917
2019-07-10,3.85,30
2019-07-11,3.99,1061
2019-07-12,3.91,203
2019-07-15,3.85,2998
2019-07-16,3.71,358
2019-07-17,3.71,215
2019-07-18,3.66,279
2019-07-19,3.65,330
2019-07-22,3.65,35
2019-07-23,3.65,101
2019-07-24,3.65,148
2019-07-25,3.84,6168
2019-07-26,3.88,2522
2019-07-29,3.85,1249
2019-07-30,4.07,2488
2019-07-31,3.7,5267
2019-08-01,3.71,190
2019-08-02,3.69,2170
2019-08-05,3.6,3862
2019-08-06,3.56,10813
2019-08-07,3.41,7218
2019-08-08,3.35,1385
2019-08-09,3.35,6
2019-08-12,3.42,1791
2019-08-13,3.3,1500
2019-08-14,3.3,10
2019-08-15,3.23,13702
2019-08-16,3.2,1670
2019-08-19,3.24,3835
2019-08-20,3.35,2984
2019-08-21,3.1,850
2019-08-22,3.22,214
2019-08-23,3.35,2062
2019-08-26,3.3,2152
2019-08-27,3.21,2484
2019-08-28,3.16,3078
2019-08-29,3.12,9350
2019-08-30,3.16,12095
2019-09-03,3.08,2930
2019-09-04,3.08,2002
2019-09-05,3.06,1885
2019-09-06,2.96,3136
2019-09-09,3.0,3774
2019-09-10,2.98,3900
2019-09-11,2.98,4610
2019-09-12,3.1,8585
2019-09-13,2.99,1022
2019-09-16,3.02,1599
2019-09-17,2.96,5110
2019-09-18,2.96,14098
2019-09-19,2.99,2261
2019-09-20,3.08,1750
2019-09-23,2.96,6789
2019-09-24,3.05,5319
2019-09-25,2.95,2100
2019-09-26,3.04,263
2019-09-27,3.03,2201
2019-09-30,3.03,4987
2019-10-01,2.98,28911
2019-10-02,2.88,8181
2019-10-03,2.91,1390
2019-10-04,2.91,2188
2019-10-07,2.94,5632
2019-10-08,2.94,3101
2019-10-09,2.94,32
2019-10-10,2.94,44
2019-10-11,2.95,4138
2019-10-14,2.98,2300
2019-10-15,2.96,8996
2019-10-16,2.96,9274
2019-10-17,2.96,19
2019-10-18,2.96,0
2019-10-21,2.94,4503
2019-10-22,2.92,7597
2019-10-23,2.9,12442
2019-10-24,2.75,35320
2019-10-25,2.82,3330
2019-10-28,2.75,518
2019-10-29,2.84,7616
2019-10-30,2.81,5244
2019-10-31,2.81,115
2019-11-01,2.81,20
2019-11-04,2.84,4805
2019-11-05,2.84,2019
2019-11-06,2.83,2602
2019-11-07,2.76,17950
2019-11-08,2.7,11812
2019-11-11,2.7,393
2019-11-12,2.75,16040
2019-11-13,4.1,17233163
2019-11-14,4.29,795351
2019-11-15,4.49,198946
2019-11-18,4.52,188975
2019-11-19,4.13,84370
2019-11-20,4.14,60597
2019-11-21,4.25,70261
2019-11-22,4.17,70326
2019-11-25,4.09,31009
2019-11-26,4.08,25185
2019-11-27,4.09,24055
2019-11-29,4.1,5542
2019-12-02,3.98,44771
2019-12-03,3.87,26381
2019-12-04,3.97,21147
2019-12-05,3.94,11827
2019-12-06,3.85,3785
2019-12-09,3.98,7547
2019-12-10,3.9,16048
2019-12-11,4.08,7090
2019-12-12,3.99,6189
2019-12-13,4.02,4340
2019-12-16,3.92,13275
2019-12-17,3.97,2528
2019-12-18,4.28,117471
2019-12-19,4.38,91808
2019-12-20,4.4,87377
2019-12-23,4.83,35483
2019-12-24,5.11,24806
2019-12-26,5.12,45501
2019-12-27,5.35,48603
2019-12-30,5.19,39588
2019-12-31,4.87,16151
2020-01-02,5.22,22993
2020-01-03,4.96,74168
2020-01-06,5.35,6900
2020-01-07,5.17,13431
2020-01-08,5.01,6415
2020-01-09,5.01,54060
2020-01-10,5.35,2962
2020-01-13,5.01,22720
2020-01-14,5.19,34330
2020-01-15,5.02,6945
2020-01-16,4.95,4226
2020-01-17,5.05,20600
2020-01-21,4.9,15143
2020-01-22,4.89,2286
2020-01-23,4.98,7184
2020-01-24,4.77,14305
2020-01-27,4.97,2322
2020-01-28,4.87,5874
2020-01-29,4.93,4909
2020-01-30,4.68,16265
2020-01-31,4.68,92
2020-02-03,4.47,10426
2020-02-04,4.44,6253
2020-02-05,4.51,1698
2020-02-06,4.67,3243
2020-02-07,4.68,1235
2020-02-10,4.63,4951
2020-02-11,4.62,4919
2020-02-12,4.63,973
2020-02-13,4.62,872
2020-02-14,4.56,994
2020-02-18,4.6,11162
2020-02-19,4.55,2504
2020-02-20,4.46,3261
2020-02-21,4.59,4222
2020-02-24,4.2,5040
2020-02-25,4.2,3989
2020-02-26,4.21,2337
2020-02-27,4.01,7561
2020-02-28,3.97,3663
2020-03-02,3.96,972
2020-03-03,3.85,2037
2020-03-04,3.88,3437
2020-03-05,3.72,1991
2020-03-06,3.77,5511
2020-03-09,3.61,1467
2020-03-10,3.61,73
2020-03-11,3.57,13446
2020-03-12,3.3,596
2020-03-13,3.07,4530
2020-03-16,2.9,3447
2020-03-17,2.95,5236
2020-03-18,2.95,23
2020-03-19,3.0,6464
2020-03-20,2.69,27370
2020-03-23,2.84,7032
2020-03-24,2.96,12338
2020-03-25,2.73,19008
2020-03-26,3.15,16416
2020-03-27,3.2,1646
2020-03-30,3.44,2236
2020-03-31,3.42,2258
2020-04-01,3.35,2666
2020-04-02,3.36,299
2020-04-03,3.36,865
2020-04-06,3.48,16239
2020-04-07,3.81,565
2020-04-08,3.84,2736
2020-04-09,3.88,924
2020-04-13,3.88,125
2020-04-14,3.75,12411
2020-04-15,3.73,706
2020-04-16,3.69,509
2020-04-17,3.84,1876
2020-04-20,3.84,107
2020-04-21,3.3,429
2020-04-22,3.7,1275
2020-04-23,3.7,74
2020-04-24,3.71,1571
